gene_id	pfam_ids	go_ids	bin_id
gene-EXX96DRAFT_2		NA	100
gene-EXX96DRAFT_645169		NA	100
gene-EXX96DRAFT_544108		NA	100
gene-EXX96DRAFT_645171		NA	100
gene-EXX96DRAFT_t1		NA	100
gene-EXX96DRAFT_544113		NA	100
gene-EXX96DRAFT_544121	PF00134.29,PF00382.25	GO:0017025	100
gene-EXX96DRAFT_475337	PF02893.27,PF16016.12	NA	100
gene-EXX96DRAFT_533545	PF02985.29,PF02985.29,PF03810.26,PF12717.14,PF13513.13,PF13513.13,PF23271.2,PF24714.2,PF25574.2,PF25574.2,PF25780.2	GO:0005515,GO:0006886,GO:0031267	6
gene-EXX96DRAFT_544140	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene-EXX96DRAFT_603554		NA	100
gene-EXX96DRAFT_544148	PF00696.34,PF01842.32,PF13840.13,PF22468.3	NA	100
gene-EXX96DRAFT_544149	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-EXX96DRAFT_493314		NA	100
gene-EXX96DRAFT_475904	PF00076.29,PF00076.29,PF00806.26,PF00806.26,PF00806.26	GO:0003723	4
gene-EXX96DRAFT_362	PF16093.11	GO:0043248	100
gene-EXX96DRAFT_388	PF01248.32	NA	100
gene-EXX96DRAFT_544163		NA	100
gene-EXX96DRAFT_416	PF01762.28,PF12326.14	GO:0005789,GO:0009101,GO:0016020,GO:0016758,GO:0034599	3
gene-EXX96DRAFT_613080		NA	100
gene-EXX96DRAFT_544179		NA	100
gene-EXX96DRAFT_613081		NA	100
gene-EXX96DRAFT_493338	PF01583.27,PF01747.24,PF14306.13	GO:0004781	8
gene-EXX96DRAFT_603562		NA	100
gene-EXX96DRAFT_544189	PF00339.35	NA	100
gene-EXX96DRAFT_645185	PF00389.37,PF02826.26	GO:0016616,GO:0051287	8
gene-EXX96DRAFT_598200		NA	100
gene-EXX96DRAFT_544196		NA	100
gene-EXX96DRAFT_475598	PF14852.13,PF14853.13	NA	100
gene-EXX96DRAFT_533560	PF00833.24	GO:0003735,GO:0005840,GO:0006412	4
gene-EXX96DRAFT_513589		NA	100
gene-EXX96DRAFT_880	PF05859.18	GO:0000278,GO:0000775,GO:0005634	100
gene-EXX96DRAFT_474560	PF00400.39	GO:0005515	100
gene-EXX96DRAFT_930	PF00400.39,PF22956.3	GO:0005515	100
gene-EXX96DRAFT_471820	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-EXX96DRAFT_473087	PF01039.28,PF03255.20	GO:0003989,GO:0006633,GO:0009317,GO:0016743	8
gene-EXX96DRAFT_544228		NA	100
gene-EXX96DRAFT_473255		NA	100
gene-EXX96DRAFT_592454		NA	100
gene-EXX96DRAFT_474283	PF00450.29	GO:0004185,GO:0006508	5
gene-EXX96DRAFT_493377	PF00083.31,PF00083.31,PF03092.23,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-EXX96DRAFT_613099		NA	100
gene-EXX96DRAFT_493379	PF00702.33,PF13242.13,PF13344.13	NA	100
gene-EXX96DRAFT_1214		NA	100
gene-EXX96DRAFT_544251	PF00096.33,PF00096.33	NA	100
gene-EXX96DRAFT_544253	PF00505.26,PF09011.17	NA	100
gene-EXX96DRAFT_544260		NA	100
gene-EXX96DRAFT_544261	PF04032.23	GO:0006396	8
gene-EXX96DRAFT_544263		NA	100
gene-EXX96DRAFT_544268	PF04979.20	GO:0004864,GO:0009966	100
gene-EXX96DRAFT_513629	PF00432.28	GO:0003824	8
gene-EXX96DRAFT_544275	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12265.15	GO:0005515	100
gene-EXX96DRAFT_513635	PF12855.13	NA	100
gene-EXX96DRAFT_598211	PF00501.35,PF00501.35,PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-EXX96DRAFT_533578	PF02278.27,PF02884.23,PF08124.18	GO:0005576,GO:0016829	8
gene-EXX96DRAFT_1487		NA	100
gene-EXX96DRAFT_624546		NA	100
gene-EXX96DRAFT_544293	PF00200.29,PF13574.13,PF13582.13,PF13583.12,PF13688.13	NA	100
