gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00078.33,PF00385.31,PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF24626.2	NA	1
GML000002		NA	100
GML000003	PF00106.32,PF00106.32,PF08659.17,PF08659.17,PF13561.13,PF13561.13	NA	100
GML000004		NA	100
GML000005	PF00583.32	GO:0016747	8
GML000006	PF00724.27	GO:0010181,GO:0016491	8
GML000007	PF00226.37,PF00226.37,PF00684.26,PF00684.26,PF01556.24,PF01556.24	GO:0031072,GO:0051082	100
GML000008	PF00294.30,PF00294.30,PF04227.18,PF04227.18	GO:0004730	8
GML000009		NA	100
GML000010	PF00254.35,PF17800.8	GO:0003755	8
GML000011		NA	100
GML000012		NA	100
GML000013	PF07971.19,PF17678.8	NA	100
GML000014	PF02544.22,PF04140.20,PF06966.18	GO:0004671,GO:0006481,GO:0006629,GO:0016020,GO:0016627	8
GML000015	PF04515.19	GO:0022857,GO:0055085	6
GML000016	PF00501.35,PF13193.13	NA	100
GML000017		NA	100
GML000018	PF05180.18	GO:0008270	100
GML000019	PF24913.2,PF24913.2,PF24913.2,PF24913.2	NA	100
GML000020	PF01472.27,PF17832.8,PF26292.1	GO:0003723	4
GML000021	PF00494.25	GO:0009058	8
GML000022	PF04387.20	NA	100
GML000023	PF03006.27	GO:0016020	100
GML000024	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000025	PF03009.24,PF03009.24	GO:0006629,GO:0008081	8
GML000026	PF03969.23	GO:0005524,GO:0016887	8
GML000027		NA	100
GML000028	PF00903.32	NA	100
GML000029	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000030	PF00561.27,PF12146.16,PF12697.14	NA	100
GML000031	PF07859.20,PF07859.20,PF20434.6,PF20434.6	GO:0016787	8
GML000032	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000033		NA	100
GML000034	PF05724.18,PF08241.19,PF13649.13	GO:0008757	8
GML000035	PF03937.22	NA	100
GML000036	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000037	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000038		NA	100
GML000039	PF04193.20,PF04193.20,PF04193.20,PF04193.20	NA	100
GML000040	PF01619.25,PF01619.25,PF01619.25,PF01619.25	NA	100
GML000041	PF05153.22	GO:0005506,GO:0005737,GO:0019310,GO:0050113	2
GML000042	PF24840.2	NA	100
GML000043	PF00070.34,PF00070.34,PF00355.33,PF00355.33,PF07992.21,PF07992.21	GO:0016491,GO:0051537	8
GML000044		NA	100
GML000045	PF00226.37	NA	100
GML000046		NA	100
GML000047	PF03313.22,PF03313.22,PF03315.22,PF03315.22	GO:0003941,GO:0006094,GO:0051539	8
GML000048		NA	100
GML000049	PF13523.13	NA	100
GML000050	PF00107.33,PF00107.33,PF08240.18,PF08240.18,PF13602.13,PF13602.13	NA	100
GML000051	PF00724.27	GO:0010181,GO:0016491	8
GML000052		NA	100
GML000053	PF10356.16	NA	100
GML000054	PF07719.24,PF13181.13,PF13429.13,PF13432.13	GO:0005515	100
GML000055	PF12597.14	GO:0005743,GO:0033617	100
GML000056		NA	100
GML000057	PF06687.18	GO:0005886	100
GML000058		NA	100
GML000059	PF01565.29,PF01565.29,PF04030.20,PF04030.20,PF04030.20,PF04030.20	GO:0003885,GO:0016020,GO:0050660	8
GML000060	PF01220.26	GO:0003855	8
GML000061		NA	100
GML000062	PF07264.18	NA	100
GML000063	PF01490.25	NA	100
GML000064	PF04588.19	NA	100
GML000065		NA	100
GML000066	PF07690.22	GO:0022857,GO:0055085	6
GML000067	PF00581.26,PF00581.26,PF00581.26,PF00581.26	NA	100
GML000068	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000069		NA	100
GML000070		NA	100
GML000071	PF00026.29	NA	100
GML000072	PF01042.27,PF01042.27	NA	100
GML000073		NA	100
GML000074		NA	100
GML000075	PF02207.26,PF02207.26,PF02617.23,PF02617.23,PF18995.6,PF18995.6,PF22960.3,PF22960.3,PF30856.1,PF30856.1	GO:0008270,GO:0030163	8
GML000076	PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000077	PF08426.16,PF08426.16	NA	100
GML000078	PF01916.24	GO:0008612	8
GML000079		NA	100
GML000080	PF03124.21	GO:0016020	100
GML000081	PF05603.18,PF21057.3	NA	100
GML000082	PF09420.16	NA	100
GML000083		NA	100
