gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BDZ99DRAFT_375363	rna-XM_033714972.1		None	None
gene-BDZ99DRAFT_373539	rna-XM_033714876.1	PF25545.2	Partial	None
gene-BDZ99DRAFT_456533	rna-XM_033718481.1		None	None
gene-BDZ99DRAFT_86	rna-XM_033728972.1		None	None
gene-BDZ99DRAFT_513001	rna-XM_033724667.1		None	None
gene-BDZ99DRAFT_165	rna-XM_033712902.1	PF12697.14	Partial	None
gene-BDZ99DRAFT_456538	rna-XM_033718482.1	PF11905.14	Partial	None
gene-BDZ99DRAFT_203	rna-XM_033713271.1	PF00071.29,PF08477.20	Partial	None
gene-BDZ99DRAFT_513006	rna-XM_033724668.1	PF14479.12	Partial	None
gene-BDZ99DRAFT_513007	rna-XM_033724669.1		None	None
gene-BDZ99DRAFT_483883	rna-XM_033722611.1	PF12998.13	Partial	None
gene-BDZ99DRAFT_564583	rna-XM_033727374.1	PF21762.4	Complete	None
gene-BDZ99DRAFT_492698	rna-XM_033723183.1		None	None
gene-BDZ99DRAFT_375155	rna-XM_033714966.1		None	None
gene-BDZ99DRAFT_456549	rna-XM_033718483.1		None	None
gene-BDZ99DRAFT_309	rna-XM_033714251.1		None	None
gene-BDZ99DRAFT_350453	rna-XM_033714504.1		None	None
gene-BDZ99DRAFT_374997	rna-XM_033714952.1	PF00141.29,PF01822.25,PF01822.25	Complete	None
gene-BDZ99DRAFT_356094	rna-XM_033714615.1	PF01822.25	Partial	None
gene-BDZ99DRAFT_342	rna-XM_033714384.1	PF02338.26	Partial	None
gene-BDZ99DRAFT_456555	rna-XM_033718484.1	PF05724.18	Partial	None
gene-BDZ99DRAFT_564590	rna-XM_033727375.1	PF00083.31,PF07690.22	Partial	None
gene-BDZ99DRAFT_430310	rna-XM_033717244.1	PF09463.16	Partial	None
gene-BDZ99DRAFT_492706	rna-XM_033723184.1	PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF24883.3	Complete	None
gene-BDZ99DRAFT_456561	rna-XM_033718485.1	PF00576.28	Partial	None
gene-BDZ99DRAFT_483892	rna-XM_033722612.1	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	Complete	None
gene-BDZ99DRAFT_373410	rna-XM_033714870.1	PF07690.22	Partial	None
gene-BDZ99DRAFT_615	rna-XM_033728769.1		None	None
gene-BDZ99DRAFT_609	rna-XM_033728762.1		None	None
gene-BDZ99DRAFT_528667	rna-XM_033726389.1		None	None
gene-BDZ99DRAFT_649	rna-XM_033728794.1		None	None
gene-BDZ99DRAFT_469847	rna-XM_033721592.1	PF00170.27,PF07716.21,PF11785.14,PF11786.14,PF11787.14	Complete	None
gene-BDZ99DRAFT_430331	rna-XM_033717245.1	PF04734.19,PF17048.12	Complete	None
gene-BDZ99DRAFT_456566	rna-XM_033718486.1	PF05700.17	Partial	None
gene-BDZ99DRAFT_374694	rna-XM_033714932.1	PF00072.31,PF00512.32,PF02518.32	Complete	None
gene-BDZ99DRAFT_403879	rna-XM_033716368.1	PF05730.17,PF20684.4	Partial	None
gene-BDZ99DRAFT_812	rna-XM_033728921.1		None	None
gene-BDZ99DRAFT_456570	rna-XM_033718487.1	PF01485.28	Complete	None
gene-BDZ99DRAFT_513032	rna-XM_033724670.1	PF08314.18	Partial	None
gene-BDZ99DRAFT_564605	rna-XM_033727376.1		None	None
gene-BDZ99DRAFT_456572	rna-XM_033718488.1		None	None
gene-BDZ99DRAFT_528680	rna-XM_033726390.1	PF20684.4	Partial	None
gene-BDZ99DRAFT_528682	rna-XM_033726391.1	PF00324.28,PF13520.13	Partial	None
gene-BDZ99DRAFT_430350	rna-XM_033717246.1	PF00067.28	Partial	None
gene-BDZ99DRAFT_513038	rna-XM_033724671.1	PF20516.5	Partial	None
gene-BDZ99DRAFT_469861	rna-XM_033721593.1	PF20516.5	Partial	None
gene-BDZ99DRAFT_403892	rna-XM_033716369.1	PF01476.27	Complete	None
gene-BDZ99DRAFT_456580	rna-XM_033718489.1	PF00069.32,PF07714.24	Partial	None
gene-BDZ99DRAFT_403899	rna-XM_033716370.1	PF16010.11	Partial	None
gene-BDZ99DRAFT_456584	rna-XM_033718490.1		None	None
gene-BDZ99DRAFT_469866	rna-XM_033721594.1		None	None
gene-BDZ99DRAFT_456585	rna-XM_033718491.1		None	None
gene-BDZ99DRAFT_564612	rna-XM_033727377.1	PF20684.4	Partial	None
gene-BDZ99DRAFT_1135	rna-XM_033712445.1	PF09962.15	Partial	None
gene-BDZ99DRAFT_373605	rna-XM_033714883.1	PF07690.22	Partial	None
gene-BDZ99DRAFT_403903	rna-XM_033716371.1	PF00172.24,PF11951.14	Partial	None
gene-BDZ99DRAFT_483908	rna-XM_033722613.1	PF01546.34,PF07687.20	Complete	None
gene-BDZ99DRAFT_430369	rna-XM_033717247.1	PF08449.18	Partial	None
gene-BDZ99DRAFT_1254	rna-XM_033712558.1		None	None
gene-BDZ99DRAFT_373391	rna-XM_033714867.1	PF00013.36,PF00013.36,PF00013.36	Complete	None
gene-BDZ99DRAFT_374155	rna-XM_033714909.1	PF00107.33,PF08240.18	Partial	None
gene-BDZ99DRAFT_456593	rna-XM_033718492.1	PF03226.22	Partial	None
gene-BDZ99DRAFT_373310	rna-XM_033714860.1	PF00226.37,PF00515.35,PF00515.35,PF07719.24,PF07719.24,PF13174.13,PF13176.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF13432.13,PF14559.13,PF14559.13,PF14559.13	Complete	None
gene-BDZ99DRAFT_469879	rna-XM_033721595.1		None	None
gene-BDZ99DRAFT_403925	rna-XM_033716372.1	PF01699.30,PF01699.30	Complete	None
gene-BDZ99DRAFT_564625	rna-XM_033727378.1	PF04791.22	Partial	None
gene-BDZ99DRAFT_373462	rna-XM_033714873.1	PF00462.31	Partial	None
gene-BDZ99DRAFT_1355	rna-XM_033712639.1	PF13646.13,PF22646.3,PF22956.3,PF22956.3	Complete	None
gene-BDZ99DRAFT_564628	rna-XM_033727379.1	PF12900.14	Partial	None
gene-BDZ99DRAFT_403941	rna-XM_033716373.1	PF03483.23,PF03484.22,PF17759.7,PF18262.8	Complete	None
gene-BDZ99DRAFT_483920	rna-XM_033722614.1	PF16499.12	Partial	None
gene-BDZ99DRAFT_374589	rna-XM_033714929.1	PF29050.1	Partial	None
gene-BDZ99DRAFT_504777	rna-XM_033724064.1	PF00083.31,PF07690.22	Partial	None
gene-BDZ99DRAFT_513063	rna-XM_033724672.1		None	None
gene-BDZ99DRAFT_513064	rna-XM_033724673.1		None	None
gene-BDZ99DRAFT_1496	rna-XM_033712763.1		None	None
gene-BDZ99DRAFT_469888	rna-XM_033721596.1	PF09783.15	Complete	None
gene-BDZ99DRAFT_492749	rna-XM_033723185.1		None	None
gene-BDZ99DRAFT_504780	rna-XM_033724065.1	PF01636.30	Partial	None
gene-BDZ99DRAFT_1623	rna-XM_033712875.1	PF09748.15	Partial	None
gene-BDZ99DRAFT_1569	rna-XM_033712840.1	PF02194.21	Partial	None
gene-BDZ99DRAFT_1596	rna-XM_033712857.1	PF03221.23,PF04218.20	Complete	None
gene-BDZ99DRAFT_456611	rna-XM_033718493.1	PF01926.30,PF02421.25,PF02824.28,PF16897.11	Complete	None
gene-BDZ99DRAFT_483929	rna-XM_033722615.1	PF05995.19	Partial	None
gene-BDZ99DRAFT_492754	rna-XM_033723186.1	PF05686.19	Complete	None
