gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003	PF01793.24,PF01793.24	GO:0000030,GO:0009101,GO:0016020	8
GML000004	PF00005.34,PF00005.34,PF12848.14	GO:0005524,GO:0016887	8
GML000005		NA	100
GML000006	PF00096.33,PF00096.33	NA	100
GML000007	PF01546.34,PF07687.20	GO:0016787	8
GML000008	PF00023.37,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515	100
GML000009		NA	100
GML000010	PF01068.27,PF14743.13	GO:0003910,GO:0005524,GO:0006281,GO:0006310	3
GML000011		NA	100
GML000012	PF00320.34,PF00320.34	GO:0006355,GO:0043565	4
GML000013	PF10058.15,PF31016.1	NA	100
GML000014		NA	100
GML000015		NA	100
GML000016		NA	100
GML000017	PF00854.28	GO:0016020,GO:0022857,GO:0055085	6
GML000018		NA	100
GML000019		NA	100
GML000020	PF07687.20,PF07687.20	NA	100
GML000021	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000022		NA	100
GML000023		NA	100
GML000024		NA	100
GML000025		NA	100
GML000026	PF00665.33,PF07727.20,PF13976.12,PF22936.2,PF25597.2	NA	1
GML000027	PF00665.33,PF07727.20,PF13976.12,PF22936.2,PF25597.2	NA	1
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031		NA	100
GML000032		NA	100
GML000033		NA	100
GML000034		NA	100
GML000035		NA	100
GML000036		NA	100
GML000037		NA	100
GML000038		NA	100
GML000039		NA	100
GML000040		NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044		NA	100
GML000045		NA	100
GML000046		NA	100
GML000047		NA	100
GML000048		NA	100
GML000049	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000050	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000051	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000052	PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000053		NA	100
GML000054	PF00018.35,PF00169.36,PF00536.38,PF07647.25,PF07653.24,PF14604.13	GO:0005515	100
GML000055	PF01184.25	GO:0016020	100
GML000056	PF00328.28,PF00328.28	NA	100
GML000057	PF00328.28	NA	100
GML000058		NA	100
GML000059		NA	100
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063		NA	100
GML000064	PF01498.25,PF13358.13	GO:0003677,GO:0006313,GO:0015074	1
GML000065		NA	100
GML000066	PF00501.35,PF00501.35,PF13193.13,PF13193.13	NA	100
GML000067	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13,PF13857.13	GO:0005515	100
GML000068	PF13358.13	NA	100
GML000069		NA	100
GML000070	PF00078.33,PF00078.33,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17921.8,PF17921.8,PF24626.2,PF24626.2	NA	1
GML000071		NA	100
GML000072	PF17921.8	NA	1
GML000073		NA	100
GML000074		NA	100
GML000075	PF00078.33,PF00385.31,PF00665.33,PF09337.17,PF17917.8,PF17919.8,PF17921.8,PF24626.2	NA	1
GML000076	PF16297.12,PF30901.1	NA	100
GML000077		NA	100
GML000078	PF07727.20,PF07727.20,PF13976.12,PF13976.12,PF14223.15,PF14223.15,PF22936.2,PF22936.2,PF25597.2,PF25597.2	NA	100
GML000079		NA	100
GML000080	PF00063.28,PF00063.28,PF00173.34,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	GO:0003774,GO:0005524,GO:0016459	100
GML000081	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23953.2,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
GML000082	PF00023.37,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515	100
GML000083		NA	100
GML000084	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000085	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000086		NA	100
GML000087	PF07690.22,PF11700.15	GO:0022857,GO:0055085	6
GML000088	PF01425.27,PF26053.2	NA	100
GML000089	PF03061.29	NA	100
GML000090		NA	100
GML000091		NA	100
GML000092	PF08719.18,PF08719.18	NA	100
GML000093		NA	100
GML000094	PF19977.6,PF19977.6	GO:0070034,GO:1904868	4
GML000095	PF00860.27	GO:0016020,GO:0022857,GO:0055085	6
GML000096	PF00850.25	NA	100
GML000097	PF00884.29,PF01663.28,PF04987.20	GO:0005789,GO:0006506,GO:0016740	8
GML000098	PF20174.5	NA	100
