gene_id	pfam_ids	go_ids	bin_id
gene-QQS21_000001	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-QQS21_000002	PF00172.24,PF08493.16	GO:0000981,GO:0003677,GO:0005634,GO:0006355,GO:0008270,GO:0045122	2
gene-QQS21_000003	PF02469.28,PF02469.28	NA	100
gene-QQS21_000004	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-QQS21_000005	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-QQS21_000006	PF00743.26	GO:0004499,GO:0050660,GO:0050661	2
gene-QQS21_000007	PF00743.26	GO:0004499,GO:0050660,GO:0050661	2
gene-QQS21_000008	PF00891.25	GO:0008171	8
gene-QQS21_000009	PF07110.18	GO:0016491	8
gene-QQS21_000010	PF00109.33,PF00550.32,PF00550.32,PF00698.27,PF00975.27,PF02801.29,PF14765.13,PF16073.11,PF22621.3	GO:0009058	8
gene-QQS21_000011	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-QQS21_000012	PF02515.23	GO:0003824	8
gene-QQS21_000013		NA	100
gene-QQS21_000014	PF00725.28,PF02737.25	GO:0006631,GO:0016491,GO:0016616,GO:0070403	8
gene-QQS21_000015	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-QQS21_000016	PF01425.27	NA	100
gene-QQS21_000017	PF07859.20,PF10340.16	GO:0016787	8
gene-QQS21_000018		NA	100
gene-QQS21_000019		NA	100
gene-QQS21_000020	PF11327.14	NA	100
gene-QQS21_000021		NA	100
gene-QQS21_000022	PF01794.26	NA	100
gene-QQS21_000023		NA	100
gene-QQS21_000024		NA	100
gene-QQS21_000025	PF13810.13	NA	100
gene-QQS21_000026	PF14622.12	GO:0004525,GO:0006396	1
gene-QQS21_000027	PF30690.1	NA	100
gene-QQS21_000028	PF00248.28	NA	100
gene-QQS21_000029	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-QQS21_000030		NA	100
gene-QQS21_000031		NA	100
gene-QQS21_000032	PF01016.25	GO:0003735,GO:0005840,GO:0006412	4
gene-QQS21_000033	PF28115.1	NA	100
gene-QQS21_000034	PF04979.20	GO:0004864,GO:0009966	100
gene-QQS21_000035	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-QQS21_000036	PF00122.26,PF00689.27,PF00690.32,PF00702.33,PF13246.13	NA	100
gene-QQS21_000037	PF03851.22	GO:0004519,GO:0006289,GO:0009411	3
gene-QQS21_000038	PF00856.34,PF09273.17	GO:0005515	100
gene-QQS21_000039		NA	100
