protein_id	length
rna-gnl|WGS:RWJN|EIP91_000001-T1_mrna	1587
rna-gnl|WGS:RWJN|EIP91_000101-T1_mrna	527
rna-gnl|WGS:RWJN|EIP91_000203-T1_mrna	992
rna-gnl|WGS:RWJN|EIP91_000304-T1_mrna	140
rna-gnl|WGS:RWJN|EIP91_000405-T1_mrna	473
rna-gnl|WGS:RWJN|EIP91_000507-T1_mrna	95
rna-gnl|WGS:RWJN|EIP91_000608-T1_mrna	461
rna-gnl|WGS:RWJN|EIP91_000708-T1_mrna	344
rna-gnl|WGS:RWJN|EIP91_000811-T1_mrna	309
rna-gnl|WGS:RWJN|EIP91_000913-T1_mrna	417
rna-gnl|WGS:RWJN|EIP91_001013-T1_mrna	262
rna-gnl|WGS:RWJN|EIP91_001117-T1_mrna	332
rna-gnl|WGS:RWJN|EIP91_001219-T1_mrna	540
rna-gnl|WGS:RWJN|EIP91_001320-T1_mrna	939
rna-gnl|WGS:RWJN|EIP91_001421-T1_mrna	359
rna-gnl|WGS:RWJN|EIP91_001523-T1_mrna	845
rna-gnl|WGS:RWJN|EIP91_001624-T1_mrna	419
rna-gnl|WGS:RWJN|EIP91_001726-T1_mrna	529
rna-gnl|WGS:RWJN|EIP91_001828-T1_mrna	253
rna-gnl|WGS:RWJN|EIP91_001932-T1_mrna	246
rna-gnl|WGS:RWJN|EIP91_002032-T1_mrna	1053
rna-gnl|WGS:RWJN|EIP91_002137-T1_mrna	470
rna-gnl|WGS:RWJN|EIP91_002238-T1_mrna	517
rna-gnl|WGS:RWJN|EIP91_002341-T1_mrna	809
rna-gnl|WGS:RWJN|EIP91_002446-T1_mrna	257
rna-gnl|WGS:RWJN|EIP91_002550-T1_mrna	603
rna-gnl|WGS:RWJN|EIP91_002652-T1_mrna	507
rna-gnl|WGS:RWJN|EIP91_002754-T1_mrna	431
rna-gnl|WGS:RWJN|EIP91_002856-T1_mrna	458
rna-gnl|WGS:RWJN|EIP91_002958-T1_mrna	413
rna-gnl|WGS:RWJN|EIP91_003059-T1_mrna	1265
rna-gnl|WGS:RWJN|EIP91_003160-T1_mrna	111
rna-gnl|WGS:RWJN|EIP91_003260-T1_mrna	637
rna-gnl|WGS:RWJN|EIP91_003363-T1_mrna	135
rna-gnl|WGS:RWJN|EIP91_003464-T1_mrna	415
rna-gnl|WGS:RWJN|EIP91_003564-T1_mrna	274
rna-gnl|WGS:RWJN|EIP91_003666-T1_mrna	1387
rna-gnl|WGS:RWJN|EIP91_003769-T1_mrna	689
rna-gnl|WGS:RWJN|EIP91_003871-T1_mrna	241
rna-gnl|WGS:RWJN|EIP91_003973-T1_mrna	170
rna-gnl|WGS:RWJN|EIP91_004073-T1_mrna	356
rna-gnl|WGS:RWJN|EIP91_004174-T1_mrna	122
rna-gnl|WGS:RWJN|EIP91_004274-T1_mrna	340
rna-gnl|WGS:RWJN|EIP91_004374-T1_mrna	60
rna-gnl|WGS:RWJN|EIP91_004481-T1_mrna	361
rna-gnl|WGS:RWJN|EIP91_004582-T1_mrna	506
rna-gnl|WGS:RWJN|EIP91_004682-T1_mrna	1091
rna-gnl|WGS:RWJN|EIP91_004783-T1_mrna	449
rna-gnl|WGS:RWJN|EIP91_004885-T1_mrna	1251
rna-gnl|WGS:RWJN|EIP91_004985-T1_mrna	683
rna-gnl|WGS:RWJN|EIP91_005086-T1_mrna	403
rna-gnl|WGS:RWJN|EIP91_005186-T1_mrna	253
rna-gnl|WGS:RWJN|EIP91_005288-T1_mrna	429
rna-gnl|WGS:RWJN|EIP91_005389-T1_mrna	940
rna-gnl|WGS:RWJN|EIP91_005491-T1_mrna	986
rna-gnl|WGS:RWJN|EIP91_005591-T1_mrna	142
rna-gnl|WGS:RWJN|EIP91_005693-T1_mrna	592
rna-gnl|WGS:RWJN|EIP91_005795-T1_mrna	529
rna-gnl|WGS:RWJN|EIP91_005896-T1_mrna	397
rna-gnl|WGS:RWJN|EIP91_005996-T1_mrna	674
rna-gnl|WGS:RWJN|EIP91_006097-T1_mrna	606
rna-gnl|WGS:RWJN|EIP91_006197-T1_mrna	541
rna-gnl|WGS:RWJN|EIP91_006299-T1_mrna	437
rna-gnl|WGS:RWJN|EIP91_006401-T1_mrna	584
rna-gnl|WGS:RWJN|EIP91_006501-T1_mrna	512
rna-gnl|WGS:RWJN|EIP91_006604-T1_mrna	133
rna-gnl|WGS:RWJN|EIP91_006704-T1_mrna	366
rna-gnl|WGS:RWJN|EIP91_006806-T1_mrna	415
rna-gnl|WGS:RWJN|EIP91_006910-T1_mrna	206
rna-gnl|WGS:RWJN|EIP91_007012-T1_mrna	590
rna-gnl|WGS:RWJN|EIP91_007113-T1_mrna	340
rna-gnl|WGS:RWJN|EIP91_007215-T1_mrna	1025
rna-gnl|WGS:RWJN|EIP91_007316-T1_mrna	312
rna-gnl|WGS:RWJN|EIP91_007416-T1_mrna	297
rna-gnl|WGS:RWJN|EIP91_007518-T1_mrna	456
rna-gnl|WGS:RWJN|EIP91_007619-T1_mrna	309
rna-gnl|WGS:RWJN|EIP91_007722-T1_mrna	518
rna-gnl|WGS:RWJN|EIP91_007824-T1_mrna	363
rna-gnl|WGS:RWJN|EIP91_007927-T1_mrna	1086
rna-gnl|WGS:RWJN|EIP91_008027-T1_mrna	578
rna-gnl|WGS:RWJN|EIP91_008130-T1_mrna	420
