gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1		None	None
GML000001	GML000001_mRNA2		None	Unchanged
GML000002	GML000002_mRNA1		None	None
GML000003	GML000003_mRNA1		None	None
GML000004	GML000004_mRNA1		None	None
GML000004	GML000004_mRNA2		None	Unchanged
GML000005	GML000005_mRNA1		None	None
GML000006	GML000006_mRNA1		None	None
GML000007	GML000007_mRNA1		None	None
GML000007	GML000007_mRNA2		None	Unchanged
GML000008	GML000008_mRNA1		None	None
GML000008	GML000008_mRNA2		None	Unchanged
GML000009	GML000009_mRNA1		None	None
GML000009	GML000009_mRNA2		None	Unchanged
GML000009	GML000009_mRNA3		None	Unchanged
GML000010	GML000010_mRNA1	PF18759.8	Partial	None
GML000010	GML000010_mRNA2	PF18759.8	Partial	Unchanged
GML000010	GML000010_mRNA3		None	Loss
GML000010	GML000010_mRNA4		None	Loss
GML000010	GML000010_mRNA5		None	Loss
GML000011	GML000011_mRNA1		None	None
GML000012	GML000012_mRNA1	PF02150.22	Partial	None
GML000012	GML000012_mRNA2	PF01096.24,PF02150.22	Complete	Gain
GML000012	GML000012_mRNA3		None	Loss
GML000013	GML000013_mRNA1		None	None
GML000014	GML000014_mRNA1	PF03134.25	Partial	None
GML000015	GML000015_mRNA1	PF05978.23,PF07690.22	Partial	None
GML000016	GML000016_mRNA1		None	None
GML000017	GML000017_mRNA1	PF02466.25	Partial	None
GML000018	GML000018_mRNA1		None	None
GML000019	GML000019_mRNA1		None	None
GML000019	GML000019_mRNA2		None	Unchanged
GML000020	GML000020_mRNA1	PF01266.31	Partial	None
GML000020	GML000020_mRNA2	PF01266.31	Partial	Unchanged
GML000021	GML000021_mRNA1	PF08123.20	Complete	None
GML000022	GML000022_mRNA1	PF00108.30,PF22691.3	Complete	None
GML000022	GML000022_mRNA2	PF00108.30,PF22691.3	Complete	Unchanged
GML000023	GML000023_mRNA1	PF00004.36,PF00004.36,PF07728.21,PF17862.8,PF17862.8	Complete	None
GML000023	GML000023_mRNA2	PF00004.36,PF00004.36,PF07728.21,PF17862.8,PF17862.8	Complete	Unchanged
GML000024	GML000024_mRNA1	PF04113.21,PF04113.21	Partial	None
GML000024	GML000024_mRNA2	PF04113.21,PF04113.21	Partial	Unchanged
GML000025	GML000025_mRNA1	PF00145.24	Partial	None
GML000026	GML000026_mRNA1	PF00628.36	Complete	None
GML000026	GML000026_mRNA2	PF00628.36	Complete	Unchanged
GML000027	GML000027_mRNA1		None	None
GML000028	GML000028_mRNA1		None	None
GML000028	GML000028_mRNA2		None	Unchanged
GML000029	GML000029_mRNA1	PF01363.28	Partial	None
GML000030	GML000030_mRNA1	PF01161.27	Complete	None
GML000031	GML000031_mRNA1	PF00270.36,PF00271.38,PF04408.30,PF07717.23,PF13401.13,PF21010.3	Complete	None
GML000032	GML000032_mRNA1	PF08238.19,PF08238.19,PF08238.19	Complete	None
GML000032	GML000032_mRNA2	PF08238.19,PF08238.19,PF08238.19	Complete	Unchanged
GML000033	GML000033_mRNA1	PF00580.28,PF13361.13	Complete	None
GML000034	GML000034_mRNA1	PF00005.34	Complete	None
GML000034	GML000034_mRNA2	PF00005.34	Complete	Unchanged
GML000035	GML000035_mRNA1	PF00118.30	Partial	None
GML000036	GML000036_mRNA1	PF00118.30	Partial	None
GML000036	GML000036_mRNA2	PF00118.30	Partial	Unchanged
GML000037	GML000037_mRNA1	PF00476.27,PF18136.7	Complete	None
GML000037	GML000037_mRNA2	PF00476.27,PF18136.7	Complete	Unchanged
GML000038	GML000038_mRNA1	PF01656.30,PF02374.22,PF13614.13	Partial	None
GML000038	GML000038_mRNA2	PF01656.30,PF02374.22,PF13614.13	Partial	Unchanged
GML000039	GML000039_mRNA1	PF16969.11	Partial	None
GML000040	GML000040_mRNA1	PF02735.23,PF08785.17	Complete	None
GML000041	GML000041_mRNA1		None	None
GML000042	GML000042_mRNA1	PF00176.30,PF00271.38,PF00439.31,PF04851.22,PF07529.19,PF11496.15,PF14619.12	Complete	None
GML000042	GML000042_mRNA2	PF00176.30,PF00271.38,PF00439.31,PF04851.22,PF07529.19,PF11496.15,PF14619.12	Complete	Unchanged
GML000042	GML000042_mRNA3	PF00176.30,PF00271.38,PF00439.31,PF04851.22,PF07529.19,PF11496.15,PF14619.12	Complete	Unchanged
GML000043	GML000043_mRNA1	PF00170.27	Complete	None
GML000043	GML000043_mRNA2	PF00170.27	Complete	Unchanged
GML000044	GML000044_mRNA1	PF10256.15	Complete	None
GML000045	GML000045_mRNA1	PF00515.35,PF12895.14,PF13174.13,PF13174.13,PF13174.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF23914.2,PF29407.1	Complete	None
GML000045	GML000045_mRNA2	PF00515.35,PF12895.14,PF13174.13,PF13174.13,PF13174.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF23914.2,PF29407.1	Complete	Unchanged
GML000045	GML000045_mRNA3	PF00515.35,PF12895.14,PF13174.13,PF13174.13,PF13174.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF23914.2,PF29407.1	Complete	Unchanged
GML000046	GML000046_mRNA1		None	None
GML000046	GML000046_mRNA2		None	Unchanged
GML000047	GML000047_mRNA1	PF10104.15	Partial	None
GML000047	GML000047_mRNA2	PF10104.15	Partial	Unchanged
GML000047	GML000047_mRNA3	PF10104.15	Complete	Extended
GML000047	GML000047_mRNA4		None	Loss
GML000048	GML000048_mRNA1	PF10104.15	Partial	None
GML000049	GML000049_mRNA1	PF00574.29	Partial	None
GML000050	GML000050_mRNA1		None	None
GML000050	GML000050_mRNA2		None	Unchanged
GML000051	GML000051_mRNA1	PF00200.29,PF01562.25,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	None
GML000051	GML000051_mRNA2	PF00200.29,PF01562.25,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	Unchanged
GML000051	GML000051_mRNA3	PF00200.29,PF01421.26,PF01562.25,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	Gain
GML000052	GML000052_mRNA1	PF00200.29,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	None
GML000052	GML000052_mRNA2	PF00200.29,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	Unchanged
GML000052	GML000052_mRNA3	PF00200.29,PF01421.26,PF13574.13,PF13582.13,PF13583.12,PF13688.13	Complete	Gain
GML000053	GML000053_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000053	GML000053_mRNA2	PF00270.36,PF00271.38,PF04851.22	Complete	Unchanged
GML000054	GML000054_mRNA1	PF01237.24,PF01237.24	Partial	None
GML000054	GML000054_mRNA2	PF01237.24,PF01237.24	Partial	Unchanged
GML000055	GML000055_mRNA1		None	None
GML000055	GML000055_mRNA2		None	Unchanged
GML000056	GML000056_mRNA1		None	None
GML000057	GML000057_mRNA1		None	None
GML000058	GML000058_mRNA1		None	None
GML000059	GML000059_mRNA1	PF03223.21	Partial	None
GML000060	GML000060_mRNA1	PF00013.36,PF00013.36,PF24563.2,PF29031.1,PF29529.1,PF29993.1,PF29998.1	Complete	None
GML000060	GML000060_mRNA2	PF00013.36,PF00013.36,PF24563.2,PF29031.1,PF29529.1,PF29993.1,PF29998.1	Complete	Unchanged
GML000061	GML000061_mRNA1	PF01585.29,PF12171.15,PF12874.14	Complete	None
GML000061	GML000061_mRNA2	PF01585.29,PF12171.15,PF12874.14	Complete	Truncated
GML000062	GML000062_mRNA1	PF00439.31,PF00439.31,PF17035.11	Complete	None
GML000063	GML000063_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00439.31	Complete	None
GML000063	GML000063_mRNA2	PF00400.39,PF00400.39,PF00400.39,PF00439.31	Complete	Unchanged
GML000063	GML000063_mRNA3	PF00400.39,PF00400.39,PF00400.39,PF00439.31	Complete	Unchanged
GML000063	GML000063_mRNA4	PF00400.39,PF00400.39,PF00400.39	Complete	Loss
GML000063	GML000063_mRNA5	PF00400.39,PF00400.39,PF00400.39	Complete	Loss
GML000064	GML000064_mRNA1		None	None
GML000065	GML000065_mRNA1	PF01491.23	Partial	None
GML000065	GML000065_mRNA2	PF01491.23	Partial	Unchanged
GML000066	GML000066_mRNA1	PF00581.26	Partial	None
GML000066	GML000066_mRNA2	PF00581.26	Partial	Unchanged
GML000067	GML000067_mRNA1	PF04145.21	Partial	None
GML000067	GML000067_mRNA2	PF04145.21	Partial	Unchanged
GML000068	GML000068_mRNA1	PF20238.5	Partial	None
GML000069	GML000069_mRNA1	PF20238.5	Partial	None
GML000070	GML000070_mRNA1	PF00642.31,PF01480.23	Complete	None
GML000071	GML000071_mRNA1	PF13365.13	Partial	None
GML000072	GML000072_mRNA1	PF10441.15	Complete	None
GML000073	GML000073_mRNA1		None	None
GML000074	GML000074_mRNA1	PF05773.28	Partial	None
GML000074	GML000074_mRNA2	PF05773.28	Partial	Unchanged
GML000075	GML000075_mRNA1		None	None
GML000076	GML000076_mRNA1		None	None
GML000077	GML000077_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000078	GML000078_mRNA1	PF01212.28,PF01212.28	Partial	None
GML000078	GML000078_mRNA2	PF01212.28,PF01212.28	Partial	Unchanged
GML000078	GML000078_mRNA3	PF01212.28,PF01212.28	Partial	Unchanged
GML000079	GML000079_mRNA1		None	None
GML000080	GML000080_mRNA1	PF00400.39,PF00400.39	Complete	None
GML000081	GML000081_mRNA1	PF04117.18	Complete	None
GML000082	GML000082_mRNA1	PF01981.22	Partial	None
GML000082	GML000082_mRNA2		None	Loss
GML000083	GML000083_mRNA1	PF00270.36	Partial	None
GML000084	GML000084_mRNA1	PF03661.19	Partial	None
GML000085	GML000085_mRNA1	PF00564.31,PF00571.34,PF00571.34,PF00571.34,PF00571.34	Complete	None
GML000085	GML000085_mRNA2	PF00564.31,PF00571.34,PF00571.34,PF00571.34,PF00571.34	Complete	Unchanged
GML000086	GML000086_mRNA1	PF08209.18	Complete	None
GML000086	GML000086_mRNA2	PF08209.18	Complete	Unchanged
GML000087	GML000087_mRNA1	PF07690.22	Partial	None
GML000087	GML000087_mRNA2	PF07690.22	Partial	Unchanged
GML000088	GML000088_mRNA1	PF06419.18,PF20653.4,PF20653.4	Partial	None
GML000089	GML000089_mRNA1	PF07690.22	Partial	None
GML000089	GML000089_mRNA2	PF07690.22,PF07690.22	Partial	Unchanged
GML000089	GML000089_mRNA3		None	Loss
GML000090	GML000090_mRNA1	PF07690.22	Partial	None
GML000090	GML000090_mRNA2		None	Loss
GML000091	GML000091_mRNA1	PF01981.22	Partial	None
GML000091	GML000091_mRNA2	PF01981.22	Partial	Unchanged
GML000092	GML000092_mRNA1		None	None
GML000093	GML000093_mRNA1		None	None
GML000094	GML000094_mRNA1	PF30871.1	Partial	None
GML000095	GML000095_mRNA1	PF02902.26	Complete	None
GML000095	GML000095_mRNA2	PF02902.26	Complete	Unchanged
GML000096	GML000096_mRNA1	PF03226.22	Partial	None
GML000097	GML000097_mRNA1		None	None
GML000097	GML000097_mRNA2		None	Unchanged
GML000098	GML000098_mRNA1	PF00071.29,PF08477.20	Partial	None
GML000099	GML000099_mRNA1		None	None
GML000099	GML000099_mRNA2		None	Unchanged
GML000099	GML000099_mRNA3		None	Unchanged
GML000100	GML000100_mRNA1	PF02466.25	Partial	None
GML000101	GML000101_mRNA1		None	None
GML000101	GML000101_mRNA2		None	Unchanged
GML000102	GML000102_mRNA1	PF10310.16	Partial	None
GML000103	GML000103_mRNA1	PF00329.26	Partial	None
GML000104	GML000104_mRNA1	PF05700.17	Partial	None
GML000105	GML000105_mRNA1	PF27955.2	Complete	None
GML000105	GML000105_mRNA2	PF27955.2	Complete	Unchanged
GML000106	GML000106_mRNA1	PF00549.25,PF08442.16,PF13549.12	Complete	None
GML000107	GML000107_mRNA1		None	None
GML000107	GML000107_mRNA2		None	Unchanged
GML000107	GML000107_mRNA3		None	Unchanged
GML000107	GML000107_mRNA4	PF12867.13	Partial	Gain
GML000108	GML000108_mRNA1	PF00850.25	Partial	None
GML000109	GML000109_mRNA1	PF05181.19	Complete	None
GML000110	GML000110_mRNA1	PF02551.22,PF13622.13,PF20789.4	Partial	None
GML000110	GML000110_mRNA2	PF02551.22,PF13622.13,PF20789.4	Partial	Unchanged
GML000111	GML000111_mRNA1		None	None
GML000112	GML000112_mRNA1		None	None
GML000113	GML000113_mRNA1	PF06968.19	Complete	None
GML000114	GML000114_mRNA1		None	None
GML000114	GML000114_mRNA2		None	Unchanged
GML000115	GML000115_mRNA1	PF00929.32	Partial	None
GML000116	GML000116_mRNA1		None	None
GML000116	GML000116_mRNA2		None	Unchanged
GML000117	GML000117_mRNA1	PF16507.12	Partial	None
GML000117	GML000117_mRNA2	PF16507.12	Partial	Unchanged
GML000118	GML000118_mRNA1		None	None
GML000118	GML000118_mRNA2		None	Unchanged
GML000119	GML000119_mRNA1	PF01997.22	Partial	None
GML000120	GML000120_mRNA1		None	None
GML000121	GML000121_mRNA1	PF00097.32,PF13445.13,PF13639.13,PF13923.13	Complete	None
GML000121	GML000121_mRNA2	PF00097.32,PF13445.13,PF13639.13,PF13923.13	Complete	Unchanged
GML000122	GML000122_mRNA1		None	None
GML000123	GML000123_mRNA1	PF01612.27	Partial	None
GML000123	GML000123_mRNA2	PF01612.27	Partial	Unchanged
GML000124	GML000124_mRNA1	PF00704.35	Partial	None
GML000124	GML000124_mRNA2	PF00704.35	Partial	Unchanged
GML000125	GML000125_mRNA1	PF02839.20	Complete	None
GML000125	GML000125_mRNA2	PF02839.20	Complete	Unchanged
GML000125	GML000125_mRNA3	PF00704.35,PF02839.20	Complete	Gain
GML000125	GML000125_mRNA4	PF00704.35,PF02839.20	Complete	Gain
GML000126	GML000126_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000127	GML000127_mRNA1	PF00856.34	Partial	None
GML000128	GML000128_mRNA1	PF00226.37,PF01556.24	Partial	None
GML000128	GML000128_mRNA2	PF00226.37,PF01556.24	Partial	Unchanged
GML000128	GML000128_mRNA3	PF00226.37	Partial	Loss
GML000129	GML000129_mRNA1	PF01556.24	Partial	None
GML000129	GML000129_mRNA2	PF01556.24	Partial	Unchanged
GML000130	GML000130_mRNA1	PF07690.22	Partial	None
GML000130	GML000130_mRNA2	PF07690.22	Partial	Unchanged
GML000130	GML000130_mRNA3	PF07690.22	Partial	Unchanged
GML000131	GML000131_mRNA1	PF01633.27,PF01636.30	Partial	None
GML000132	GML000132_mRNA1		None	None
GML000133	GML000133_mRNA1	PF11919.14,PF16507.12,PF23096.2	Complete	None
GML000133	GML000133_mRNA2	PF11919.14,PF16507.12,PF23096.2	Complete	Unchanged
GML000133	GML000133_mRNA3	PF11919.14,PF16507.12,PF23096.2	Complete	Unchanged
GML000134	GML000134_mRNA1	PF16035.11,PF16035.11	Partial	None
GML000135	GML000135_mRNA1		None	None
GML000135	GML000135_mRNA2		None	Unchanged
GML000136	GML000136_mRNA1	PF00125.31	Partial	None
GML000137	GML000137_mRNA1	PF08294.18	Partial	None
GML000137	GML000137_mRNA2	PF08294.18	Partial	Unchanged
GML000138	GML000138_mRNA1	PF01990.23	Partial	None
GML000138	GML000138_mRNA2	PF01990.23	Partial	Unchanged
GML000138	GML000138_mRNA3	PF01990.23	Partial	Unchanged
GML000139	GML000139_mRNA1	PF07093.17	Partial	None
GML000140	GML000140_mRNA1		None	None
GML000141	GML000141_mRNA1	PF01217.27	Partial	None
GML000142	GML000142_mRNA1	PF04934.20	Partial	None
GML000143	GML000143_mRNA1	PF01566.26	Partial	None
GML000144	GML000144_mRNA1	PF00096.33	Complete	None
GML000145	GML000145_mRNA1	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF21933.3	Complete	None
GML000145	GML000145_mRNA2	PF00493.30,PF01078.28,PF07728.21,PF17207.10,PF17855.8,PF21933.3	Complete	Truncated,Loss
GML000146	GML000146_mRNA1	PF01398.27,PF13012.12	Partial	None
GML000147	GML000147_mRNA1	PF00069.32,PF00069.32,PF07714.24,PF07714.24	Partial	None
GML000148	GML000148_mRNA1		None	None
GML000149	GML000149_mRNA1	PF00069.32,PF00069.32,PF07714.24	Complete	None
GML000150	GML000150_mRNA1	PF01522.27	Complete	None
GML000150	GML000150_mRNA2	PF01522.27	Complete	Unchanged
GML000151	GML000151_mRNA1	PF00956.24	Partial	None
GML000152	GML000152_mRNA1	PF02383.24	Partial	None
GML000153	GML000153_mRNA1	PF13855.13,PF14580.13	Partial	None
GML000154	GML000154_mRNA1	PF13664.12	Partial	None
GML000154	GML000154_mRNA2	PF13664.12	Partial	Unchanged
GML000155	GML000155_mRNA1	PF00355.33,PF02921.20	Complete	None
GML000156	GML000156_mRNA1	PF07716.21	Complete	None
GML000156	GML000156_mRNA2		None	Loss
GML000157	GML000157_mRNA1	PF05020.21,PF05021.21,PF11543.16	Partial	None
GML000157	GML000157_mRNA2	PF05020.21,PF05021.21,PF11543.16	Partial	Unchanged
GML000158	GML000158_mRNA1	PF00293.35	Partial	None
GML000159	GML000159_mRNA1	PF00153.33	Complete	None
GML000160	GML000160_mRNA1	PF00168.37,PF00168.37,PF00168.37,PF00168.37,PF00168.37,PF24920.2,PF25669.2	Complete	None
GML000160	GML000160_mRNA2	PF00168.37,PF00168.37,PF00168.37,PF00168.37,PF24920.2,PF25669.2	Complete	Unchanged
GML000161	GML000161_mRNA1		None	None
GML000162	GML000162_mRNA1	PF00168.37,PF00168.37	Partial	None
GML000163	GML000163_mRNA1	PF01426.25,PF17872.8,PF22606.3	Complete	None
GML000163	GML000163_mRNA2	PF01426.25,PF17872.8,PF22606.3	Complete	Unchanged
GML000163	GML000163_mRNA3	PF01426.25,PF17872.8,PF22606.3	Complete	Unchanged
GML000163	GML000163_mRNA4	PF01426.25	Partial	Loss
GML000164	GML000164_mRNA1	PF00004.36,PF13191.13,PF13401.13,PF17872.8,PF22606.3	Complete	None
GML000164	GML000164_mRNA2	PF00004.36,PF13191.13,PF13401.13,PF17872.8,PF22606.3	Complete	Unchanged
GML000164	GML000164_mRNA3	PF00004.36,PF13191.13,PF13401.13,PF17872.8,PF22606.3	Complete	Unchanged
GML000165	GML000165_mRNA1	PF03167.26	Partial	None
GML000166	GML000166_mRNA1	PF00225.30,PF16796.12	Partial	None
GML000166	GML000166_mRNA2	PF00225.30	Partial	Loss
GML000167	GML000167_mRNA1	PF08317.17,PF18210.7	Complete	None
GML000168	GML000168_mRNA1		None	None
GML000169	GML000169_mRNA1	PF04922.19	Partial	None
GML000170	GML000170_mRNA1	PF02668.23	Partial	None
GML000170	GML000170_mRNA2	PF02668.23	Partial	Unchanged
GML000171	GML000171_mRNA1	PF03169.21,PF03169.21	Partial	None
GML000172	GML000172_mRNA1	PF00400.39,PF00400.39,PF08606.17,PF12894.14	Complete	None
GML000172	GML000172_mRNA2	PF00400.39,PF00400.39,PF12894.14	Complete	Loss
GML000173	GML000173_mRNA1	PF00515.35,PF00515.35,PF07719.24,PF07719.24,PF13176.13,PF13181.13,PF13181.13,PF13414.13,PF13431.13,PF13432.13,PF16546.11	Complete	None
GML000174	GML000174_mRNA1	PF00249.38,PF00249.38,PF00249.38,PF13921.13,PF13921.13,PF13921.13	Complete	None
GML000175	GML000175_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	Complete	None
GML000176	GML000176_mRNA1		None	None
GML000176	GML000176_mRNA2		None	Unchanged
GML000177	GML000177_mRNA1	PF00493.30,PF01078.28,PF14551.12,PF17207.10,PF17855.8,PF23191.2	Complete	None
GML000178	GML000178_mRNA1	PF00224.28,PF02887.22	Complete	None
GML000179	GML000179_mRNA1	PF04488.22	Complete	None
GML000180	GML000180_mRNA1	PF00834.26	Partial	None
GML000181	GML000181_mRNA1		None	None
GML000182	GML000182_mRNA1		None	None
GML000182	GML000182_mRNA2		None	Unchanged
GML000183	GML000183_mRNA1	PF02046.21	Partial	None
GML000184	GML000184_mRNA1	PF00389.37,PF02826.26,PF18004.7	Partial	None
GML000184	GML000184_mRNA2	PF00389.37,PF02826.26	Partial	Loss
GML000184	GML000184_mRNA3	PF00389.37,PF02826.26	Partial	Loss
GML000185	GML000185_mRNA1	PF00067.28	Partial	None
GML000185	GML000185_mRNA2	PF00067.28	Partial	Unchanged
GML000186	GML000186_mRNA1	PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF01749.27,PF02985.29,PF13513.13,PF13513.13,PF16186.12	Complete	None
GML000187	GML000187_mRNA1		None	None
GML000187	GML000187_mRNA2		None	Unchanged
GML000188	GML000188_mRNA1	PF00886.25	Partial	None
GML000189	GML000189_mRNA1	PF00023.37,PF00549.25,PF00887.25,PF12796.14,PF13606.13,PF13607.12,PF13637.13,PF13857.13	Complete	None
GML000189	GML000189_mRNA2	PF00023.37,PF00549.25,PF00887.25,PF12796.14,PF13606.13,PF13607.12,PF13637.13,PF13857.13	Complete	Unchanged
GML000189	GML000189_mRNA3	PF00023.37,PF00549.25,PF00887.25,PF12796.14,PF13606.13,PF13607.12,PF13637.13,PF13857.13	Complete	Unchanged
GML000189	GML000189_mRNA4	PF00023.37,PF00549.25,PF00887.25,PF12796.14,PF13606.13,PF13607.12,PF13637.13,PF13857.13	Complete	Unchanged
GML000190	GML000190_mRNA1	PF24139.2,PF24140.2	Complete	None
GML000190	GML000190_mRNA2	PF24139.2,PF24140.2	Complete	Unchanged
GML000190	GML000190_mRNA3	PF24139.2,PF24140.2	Complete	Unchanged
GML000191	GML000191_mRNA1	PF03810.26,PF08389.19,PF24138.2	Complete	None
GML000192	GML000192_mRNA1	PF00735.25,PF01926.30	Partial	None
GML000193	GML000193_mRNA1		None	None
GML000194	GML000194_mRNA1	PF10213.15	Partial	None
GML000194	GML000194_mRNA2	PF10213.15	Partial	Unchanged
GML000195	GML000195_mRNA1	PF05907.19	Partial	None
GML000196	GML000196_mRNA1	PF30383.1	Complete	None
GML000196	GML000196_mRNA2	PF30383.1	Complete	Unchanged
GML000196	GML000196_mRNA3		None	Loss
GML000196	GML000196_mRNA4		None	Loss
GML000196	GML000196_mRNA5		None	Loss
GML000197	GML000197_mRNA1	PF00069.32,PF07714.24,PF14531.13	Complete	None
GML000198	GML000198_mRNA1	PF08513.18,PF10607.15	Partial	None
GML000199	GML000199_mRNA1	PF00743.26,PF00743.26	Partial	None
GML000199	GML000199_mRNA2	PF00743.26,PF00743.26	Partial	Unchanged
GML000200	GML000200_mRNA1	PF07890.18	Partial	None
GML000201	GML000201_mRNA1	PF01843.26	Complete	None
GML000202	GML000202_mRNA1	PF01694.29	Complete	None
GML000202	GML000202_mRNA2	PF01694.29,PF01694.29	Complete	Unchanged
GML000202	GML000202_mRNA3		None	Loss
GML000203	GML000203_mRNA1	PF01694.29	Partial	None
GML000203	GML000203_mRNA2	PF01694.29	Partial	Unchanged
GML000204	GML000204_mRNA1	PF07779.19	Partial	None
GML000205	GML000205_mRNA1	PF08559.16	Partial	None
GML000206	GML000206_mRNA1		None	None
GML000207	GML000207_mRNA1	PF00929.32	Partial	None
GML000208	GML000208_mRNA1	PF00153.33,PF00153.33,PF00153.33	Complete	None
GML000208	GML000208_mRNA2	PF00153.33,PF00153.33	Partial	Truncated
GML000208	GML000208_mRNA3	PF00153.33,PF00153.33	Partial	Truncated
GML000209	GML000209_mRNA1	PF12906.14	Partial	None
GML000210	GML000210_mRNA1	PF03177.21,PF08801.18	Partial	None
GML000211	GML000211_mRNA1	PF00636.32	Partial	None
GML000211	GML000211_mRNA2		None	Loss
GML000212	GML000212_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000212	GML000212_mRNA2	PF00069.32,PF07714.24	Partial	Unchanged
GML000213	GML000213_mRNA1	PF01794.26,PF08022.19,PF08030.18	Complete	None
GML000214	GML000214_mRNA1		None	None
GML000215	GML000215_mRNA1	PF02301.24	Partial	None
GML000216	GML000216_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	Complete	None
GML000217	GML000217_mRNA1		None	None
GML000217	GML000217_mRNA2		None	Unchanged
GML000217	GML000217_mRNA3		None	Unchanged
GML000217	GML000217_mRNA4		None	Unchanged
GML000218	GML000218_mRNA1		None	None
GML000218	GML000218_mRNA2		None	Unchanged
GML000219	GML000219_mRNA1		None	None
GML000219	GML000219_mRNA2		None	Unchanged
GML000220	GML000220_mRNA1		None	None
GML000220	GML000220_mRNA2		None	Unchanged
GML000221	GML000221_mRNA1	PF01717.25	Partial	None
GML000222	GML000222_mRNA1	PF01294.24	Partial	None
GML000223	GML000223_mRNA1	PF00173.34,PF00487.31	Partial	None
GML000223	GML000223_mRNA2	PF00173.34,PF00487.31	Partial	Unchanged
GML000223	GML000223_mRNA3	PF00487.31	Partial	Loss
GML000224	GML000224_mRNA1	PF08316.17	Partial	None
GML000224	GML000224_mRNA2	PF08316.17	Partial	Unchanged
GML000224	GML000224_mRNA3	PF08316.17	Partial	Unchanged
GML000224	GML000224_mRNA4	PF08316.17	Partial	Unchanged
GML000225	GML000225_mRNA1	PF00117.35,PF00977.28,PF07685.21	Partial	None
GML000225	GML000225_mRNA2	PF00117.35,PF00977.28,PF07685.21	Partial	Unchanged
GML000226	GML000226_mRNA1	PF00389.37,PF02826.26	Partial	None
GML000227	GML000227_mRNA1	PF08423.18	Partial	None
GML000228	GML000228_mRNA1	PF12937.13	Partial	None
GML000229	GML000229_mRNA1	PF00573.28	Partial	None
GML000230	GML000230_mRNA1	PF00380.26	Partial	None
GML000231	GML000231_mRNA1	PF16589.13	Complete	None
GML000232	GML000232_mRNA1		None	None
GML000232	GML000232_mRNA2		None	Unchanged
GML000233	GML000233_mRNA1	PF00400.39,PF00400.39	Complete	None
GML000233	GML000233_mRNA2	PF00400.39,PF00400.39	Complete	Unchanged
GML000234	GML000234_mRNA1		None	None
GML000235	GML000235_mRNA1		None	None
GML000236	GML000236_mRNA1		None	None
GML000237	GML000237_mRNA1	PF08159.18,PF25121.1	Complete	None
GML000238	GML000238_mRNA1	PF04969.23	Partial	None
GML000239	GML000239_mRNA1	PF02891.27,PF11789.15,PF14324.13	Complete	None
GML000239	GML000239_mRNA2	PF02891.27,PF11789.15,PF14324.13	Complete	Unchanged
GML000240	GML000240_mRNA1	PF00153.33,PF00153.33,PF00153.33	Complete	None
GML000241	GML000241_mRNA1	PF00270.36,PF00271.38,PF04851.22,PF30411.1	Complete	None
GML000242	GML000242_mRNA1	PF00294.30,PF00294.30,PF04227.18	Complete	None
GML000242	GML000242_mRNA2	PF00294.30,PF00294.30,PF04227.18	Complete	Unchanged
GML000243	GML000243_mRNA1	PF02391.23	Partial	None
GML000243	GML000243_mRNA2	PF02391.23	Partial	Unchanged
GML000244	GML000244_mRNA1	PF08426.16	Partial	None
