gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BZA70DRAFT_243046	rna-XM_064910591.1	PF01794.26	Complete	None
gene-BZA70DRAFT_270132	rna-XM_064911254.1	PF06609.19,PF07690.22	Partial	None
gene-BZA70DRAFT_270134	rna-XM_064911255.1	PF13474.13	Partial	None
gene-BZA70DRAFT_270136	rna-XM_064911256.1	PF00067.28	Partial	None
gene-BZA70DRAFT_270139	rna-XM_064911257.1		None	None
gene-BZA70DRAFT_235315	rna-XM_064910337.1	PF00175.27,PF00258.31,PF00667.27	Complete	None
gene-BZA70DRAFT_286359	rna-XM_064913853.1	PF00083.31,PF07690.22	Partial	None
gene-BZA70DRAFT_99	rna-XM_064915593.1	PF00067.28	Partial	None
gene-BZA70DRAFT_146	rna-XM_064909668.1	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
gene-BZA70DRAFT_286362	rna-XM_064913854.1	PF03992.23	Partial	None
gene-BZA70DRAFT_89	rna-XM_064915510.1	PF01557.24	Partial	None
gene-BZA70DRAFT_292386	rna-XM_064914375.1	PF00172.24,PF04082.24	Partial	None
gene-BZA70DRAFT_260	rna-XM_064910872.1	PF01794.26,PF08022.19,PF08030.18	Complete	None
gene-BZA70DRAFT_304	rna-XM_064914761.1		None	None
gene-BZA70DRAFT_312	rna-XM_064914971.1	PF01494.26,PF21274.4	Complete	None
gene-BZA70DRAFT_270154	rna-XM_064911258.1	PF00903.32	Partial	None
gene-BZA70DRAFT_270158	rna-XM_064911259.1	PF07690.22	Partial	None
gene-BZA70DRAFT_337	rna-XM_064915043.1	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-BZA70DRAFT_341	rna-XM_064915046.1	PF00501.35,PF13193.13	Complete	None
gene-BZA70DRAFT_270161	rna-XM_064911260.1	PF02441.26	Partial	None
gene-BZA70DRAFT_264397	rna-XM_064910901.1	PF00566.26	Partial	None
gene-BZA70DRAFT_286373	rna-XM_064913855.1	PF00566.26,PF02893.27,PF23436.2	Partial	None
gene-BZA70DRAFT_264399	rna-XM_064910902.1	PF12298.15	Partial	None
gene-BZA70DRAFT_286375	rna-XM_064913856.1	PF07973.20	Complete	None
gene-BZA70DRAFT_252563	rna-XM_064910723.1	PF09423.16	Partial	None
gene-BZA70DRAFT_270169	rna-XM_064911261.1	PF00370.28,PF02782.23	Partial	None
gene-BZA70DRAFT_270171	rna-XM_064911262.1	PF13889.12,PF13915.12	Complete	None
gene-BZA70DRAFT_300482	rna-XM_064914707.1		None	None
gene-BZA70DRAFT_526	rna-XM_064915184.1	PF00400.39,PF08596.17	Complete	None
gene-BZA70DRAFT_270176	rna-XM_064911263.1	PF01248.32	Partial	None
gene-BZA70DRAFT_511	rna-XM_064915163.1	PF01417.27,PF07651.23	Partial	None
gene-BZA70DRAFT_286383	rna-XM_064913857.1	PF04110.20	Partial	None
gene-BZA70DRAFT_234202	rna-XM_064910286.1		None	None
gene-BZA70DRAFT_900	rna-XM_064915523.1	PF05615.19	Partial	None
gene-BZA70DRAFT_662	rna-XM_064915307.1		None	None
gene-BZA70DRAFT_270193	rna-XM_064911264.1		None	None
gene-BZA70DRAFT_270194	rna-XM_064911265.1	PF02516.21,PF21436.3	Complete	None
gene-BZA70DRAFT_270196	rna-XM_064911266.1	PF00909.27	Partial	None
gene-BZA70DRAFT_270199	rna-XM_064911267.1	PF04193.20,PF04193.20	Complete	None
gene-BZA70DRAFT_286390	rna-XM_064913858.1	PF10232.15	Partial	None
gene-BZA70DRAFT_300496	rna-XM_064914708.1	PF04969.23	Partial	None
gene-BZA70DRAFT_721	rna-XM_064915353.1	PF00085.27,PF26973.1	Partial	None
gene-BZA70DRAFT_691	rna-XM_064915328.1	PF04652.22,PF18097.7	Complete	None
gene-BZA70DRAFT_286394	rna-XM_064913859.1	PF06657.19	Complete	None
gene-BZA70DRAFT_270213	rna-XM_064911268.1	PF00173.34,PF01644.24,PF03142.22,PF13632.13,PF13641.13	Complete	None
gene-BZA70DRAFT_1006	rna-XM_064909316.1	PF00063.28,PF00173.34,PF01644.24,PF03142.22,PF08766.17,PF13632.13	Complete	None
gene-BZA70DRAFT_1003	rna-XM_064909311.1	PF00583.32,PF13508.14,PF13673.14	Partial	None
gene-BZA70DRAFT_252600	rna-XM_064910724.1	PF13181.13,PF13432.13,PF14559.13	Complete	None
gene-BZA70DRAFT_264421	rna-XM_064910903.1	PF00262.26	Partial	None
gene-BZA70DRAFT_1035	rna-XM_064909342.1	PF00596.28	Partial	None
gene-BZA70DRAFT_1112	rna-XM_064909415.1	PF00026.29,PF00026.29	Partial	None
gene-BZA70DRAFT_1102	rna-XM_064909404.1	PF00076.29,PF02136.27	Complete	None
gene-BZA70DRAFT_226260	rna-XM_064910215.1	PF00622.37	Partial	None
gene-BZA70DRAFT_270227	rna-XM_064911269.1		None	None
gene-BZA70DRAFT_270228	rna-XM_064911270.1		None	None
gene-BZA70DRAFT_270230	rna-XM_064911271.1	PF02535.29	Partial	None
gene-BZA70DRAFT_270233	rna-XM_064911272.1	PF10394.16,PF10394.16,PF21184.4	Complete	None
gene-BZA70DRAFT_292426	rna-XM_064914376.1	PF02146.24	Partial	None
gene-BZA70DRAFT_270236	rna-XM_064911273.1	PF02847.24,PF02854.26	Complete	None
gene-BZA70DRAFT_t1	gene-BZA70DRAFT_t1		None	None
gene-BZA70DRAFT_286410	rna-XM_064913860.1	PF04137.21	Partial	None
