protein_id	length
rna-gnl|WGS:AQHS|F503_mrna04944	531
rna-gnl|WGS:AQHS|F503_mrna05044	751
rna-gnl|WGS:AQHS|F503_mrna05144	278
rna-gnl|WGS:AQHS|F503_mrna05244	443
rna-gnl|WGS:AQHS|F503_mrna05344	1475
rna-gnl|WGS:AQHS|F503_mrna05444	275
rna-gnl|WGS:AQHS|F503_mrna05544	358
rna-gnl|WGS:AQHS|F503_mrna05644	373
rna-gnl|WGS:AQHS|F503_mrna05744	221
rna-gnl|WGS:AQHS|F503_mrna05844	1435
rna-gnl|WGS:AQHS|F503_mrna05944	454
rna-gnl|WGS:AQHS|F503_mrna06044	657
rna-gnl|WGS:AQHS|F503_mrna06842	862
rna-gnl|WGS:AQHS|F503_mrna06942	543
rna-gnl|WGS:AQHS|F503_mrna07042	151
rna-gnl|WGS:AQHS|F503_mrna07142	466
rna-gnl|WGS:AQHS|F503_mrna07242	1135
rna-gnl|WGS:AQHS|F503_mrna07342	269
rna-gnl|WGS:AQHS|F503_mrna07442	106
rna-gnl|WGS:AQHS|F503_mrna07543	84
rna-gnl|WGS:AQHS|F503_mrna04096	578
rna-gnl|WGS:AQHS|F503_mrna04196	225
rna-gnl|WGS:AQHS|F503_mrna04296	319
rna-gnl|WGS:AQHS|F503_mrna04396	870
rna-gnl|WGS:AQHS|F503_mrna04496	311
rna-gnl|WGS:AQHS|F503_mrna04596	860
rna-gnl|WGS:AQHS|F503_mrna00808	325
rna-gnl|WGS:AQHS|F503_mrna00908	1692
rna-gnl|WGS:AQHS|F503_mrna01008	707
rna-gnl|WGS:AQHS|F503_mrna01108	723
rna-gnl|WGS:AQHS|F503_mrna01208	153
rna-gnl|WGS:AQHS|F503_mrna00259	397
rna-gnl|WGS:AQHS|F503_mrna00359	124
rna-gnl|WGS:AQHS|F503_mrna00459	211
rna-gnl|WGS:AQHS|F503_mrna00559	454
rna-gnl|WGS:AQHS|F503_mrna00659	154
rna-gnl|WGS:AQHS|F503_mrna07833	402
rna-gnl|WGS:AQHS|F503_mrna07933	174
rna-gnl|WGS:AQHS|F503_mrna08033	355
rna-gnl|WGS:AQHS|F503_mrna08133	532
rna-gnl|WGS:AQHS|F503_mrna03142	279
rna-gnl|WGS:AQHS|F503_mrna03242	363
rna-gnl|WGS:AQHS|F503_mrna03342	293
rna-gnl|WGS:AQHS|F503_mrna03442	481
rna-gnl|WGS:AQHS|F503_mrna02393	183
rna-gnl|WGS:AQHS|F503_mrna02493	311
rna-gnl|WGS:AQHS|F503_mrna02593	475
rna-gnl|WGS:AQHS|F503_mrna02693	409
rna-gnl|WGS:AQHS|F503_mrna02793	1926
rna-gnl|WGS:AQHS|F503_mrna02893	90
rna-gnl|WGS:AQHS|F503_mrna02993	898
rna-gnl|WGS:AQHS|F503_mrna08184	318
rna-gnl|WGS:AQHS|F503_mrna08284	1120
rna-gnl|WGS:AQHS|F503_mrna08384	337
rna-gnl|WGS:AQHS|F503_mrna02077	572
rna-gnl|WGS:AQHS|F503_mrna02177	860
rna-gnl|WGS:AQHS|F503_mrna02277	666
rna-gnl|WGS:AQHS|F503_mrna03691	369
rna-gnl|WGS:AQHS|F503_mrna03791	189
rna-gnl|WGS:AQHS|F503_mrna03891	497
rna-gnl|WGS:AQHS|F503_mrna00066	284
rna-gnl|WGS:AQHS|F503_mrna00166	317
rna-gnl|WGS:AQHS|F503_mrna06204	316
rna-gnl|WGS:AQHS|F503_mrna06304	440
rna-gnl|WGS:AQHS|F503_mrna03520	161
rna-gnl|WGS:AQHS|F503_mrna03620	580
rna-gnl|WGS:AQHS|F503_mrna01318	2276
rna-gnl|WGS:AQHS|F503_mrna01418	509
rna-gnl|WGS:AQHS|F503_mrna04675	105
rna-gnl|WGS:AQHS|F503_mrna04775	411
rna-gnl|WGS:AQHS|F503_mrna04875	598
rna-gnl|WGS:AQHS|F503_mrna01725	632
rna-gnl|WGS:AQHS|F503_mrna01825	2117
rna-gnl|WGS:AQHS|F503_mrna06493	137
rna-gnl|WGS:AQHS|F503_mrna01916	355
rna-gnl|WGS:AQHS|F503_mrna06674	305
rna-gnl|WGS:AQHS|F503_mrna07651	1868
rna-gnl|WGS:AQHS|F503_mrna01963	374
rna-gnl|WGS:AQHS|F503_mrna01457	454
rna-gnl|WGS:AQHS|F503_mrna08633	811
rna-gnl|WGS:AQHS|F503_mrna08791	282
rna-gnl|WGS:AQHS|F503_mrna01552	433
rna-gnl|WGS:AQHS|F503_mrna01652	551
rna-gnl|WGS:AQHS|F503_mrna04002	186
rna-gnl|WGS:AQHS|F503_mrna06564	632
rna-gnl|WGS:AQHS|F503_mrna06748	920
rna-gnl|WGS:AQHS|F503_mrna00710	345
rna-gnl|WGS:AQHS|F503_mrna08571	673
rna-gnl|WGS:AQHS|F503_mrna06111	433
