gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-THITE_2106044	rna-XM_003648464.1		None	None
gene-THITE_2106054	rna-XM_003648465.1		None	None
gene-THITE_2106057	rna-XM_003648466.1	PF01055.33,PF13802.13,PF21365.4	Complete	None
gene-THITE_2106058	rna-XM_003648467.1	PF00083.31,PF07690.22	Partial	None
gene-THITE_2093483	rna-XM_003648468.1	PF05730.17,PF20684.4	Partial	None
gene-THITE_112038	rna-XM_003648469.1		None	None
gene-THITE_2106060	rna-XM_003648470.1	PF27522.2	Partial	None
gene-THITE_2106062	rna-XM_003648471.1	PF13520.13	Partial	None
gene-THITE_2106066	rna-XM_003648472.1		None	None
gene-THITE_2083705	rna-XM_003648473.1		None	None
gene-THITE_2106069	rna-XM_003648474.1	PF01565.29,PF08031.18	Complete	None
gene-THITE_120212	rna-XM_003648475.1	PF00190.29,PF00190.29,PF07883.18,PF07883.18	Complete	None
gene-THITE_2106073	rna-XM_003648476.1	PF00856.34,PF09273.17	Complete	None
gene-THITE_2106074	rna-XM_003648477.1	PF08214.19,PF08214.19	Partial	None
gene-THITE_2106075	rna-XM_003648478.1		None	None
gene-THITE_2106079	rna-XM_003648479.1	PF20150.5	Partial	None
gene-THITE_2106082	rna-XM_003648480.1	PF00067.28	Partial	None
gene-THITE_2106084	rna-XM_003648481.1		None	None
gene-THITE_2106085	rna-XM_003648482.1	PF13622.13,PF20789.4	Partial	None
gene-THITE_2083715	rna-XM_003648483.1		None	None
gene-THITE_2140511	rna-XM_003648484.1	PF01116.27	Partial	None
gene-THITE_2140512	rna-XM_003648485.1	PF11578.14	Partial	None
gene-THITE_2106106	rna-XM_003648486.1		None	None
gene-THITE_2072060	rna-XM_003648487.1	PF22384.2	Partial	None
gene-THITE_2041120	rna-XM_003648488.1	PF03992.23	Partial	None
gene-THITE_2106112	rna-XM_003648489.1	PF00448.29,PF02492.26,PF02881.25,PF02978.27,PF13671.13	Complete	None
gene-THITE_2083723	rna-XM_003648490.1	PF26061.1	Partial	None
gene-THITE_2140518	rna-XM_003648491.1		None	None
gene-THITE_2040152	rna-XM_003648492.1	PF00928.27,PF01217.27	Partial	None
gene-THITE_2106119	rna-XM_003648493.1	PF08618.16	Partial	None
gene-THITE_2106121	rna-XM_003648494.1	PF00702.33,PF13242.13	Complete	None
gene-THITE_153704	rna-XM_003648495.1		None	None
gene-THITE_39363	rna-XM_003648496.1	PF06283.18	Partial	None
gene-THITE_2041135	rna-XM_003648497.1	PF13091.13	Complete	None
gene-THITE_126432	rna-XM_003648498.1	PF00734.24,PF01341.24	Partial	None
gene-THITE_2106126	rna-XM_003648499.1	PF01532.27	Partial	None
gene-THITE_2106129	rna-XM_003648500.1	PF28613.1,PF30957.1	Complete	None
gene-THITE_2106130	rna-XM_003648501.1		None	None
gene-THITE_2106132	rna-XM_003648502.1		None	None
gene-THITE_2106135	rna-XM_003648503.1	PF02223.24	Partial	None
gene-THITE_2106137	rna-XM_003648504.1	PF01227.28	Partial	None
gene-THITE_2106139	rna-XM_003648505.1	PF04719.21	Complete	None
gene-THITE_2169110	rna-XM_003648506.1		None	None
gene-THITE_2072080	rna-XM_003648507.1	PF01016.25,PF04979.20	Complete	None
gene-THITE_2060441	rna-XM_003648508.1	PF00083.31,PF07690.22	Partial	None
gene-THITE_2106159	rna-XM_003648509.1	PF11951.14	Partial	None
gene-THITE_2072089	rna-XM_003648510.1	PF00172.24,PF00172.24,PF00533.34,PF00644.27,PF02877.20,PF04082.24,PF05406.21,PF12738.14	Complete	None
gene-THITE_2106168	rna-XM_003648511.1	PF09949.16	Partial	None
gene-THITE_2083750	rna-XM_003648512.1	PF00043.31,PF14497.12	Partial	None
gene-THITE_2106174	rna-XM_003648513.1	PF00928.27,PF01217.27	Partial	None
gene-THITE_2039728	rna-XM_003648514.1	PF25539.2	Partial	None
gene-THITE_153729	rna-XM_003648515.1		None	None
gene-THITE_2043103	rna-XM_003648516.1		None	None
gene-THITE_2041100	rna-XM_003648517.1	PF07727.20	Partial	None
gene-THITE_2042071	rna-XM_003648518.1		None	None
gene-THITE_2106178	rna-XM_003648519.1	PF03851.22	Partial	None
gene-THITE_2039153	rna-XM_003648520.1		None	None
gene-THITE_2106179	rna-XM_003648521.1		None	None
gene-THITE_2106180	rna-XM_003648522.1		None	None
gene-THITE_2106184	rna-XM_003648523.1	PF11951.14	Partial	None
gene-THITE_2106186	rna-XM_003648524.1	PF01734.28	Partial	None
gene-THITE_2106190	rna-XM_003648525.1	PF14613.13,PF19343.6,PF19343.6	Complete	None
gene-THITE_2040977	rna-XM_003648526.1	PF01284.29	Partial	None
gene-THITE_2106193	rna-XM_003648527.1		None	None
gene-THITE_2037150	rna-XM_003648528.1	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-THITE_2106195	rna-XM_003648529.1		None	None
gene-THITE_2106197	rna-XM_003648530.1		None	None
gene-THITE_40970	rna-XM_003648531.1	PF00172.24	Complete	None
gene-THITE_2093517	rna-XM_003648532.1	PF04106.19,PF20637.3,PF20638.4	Complete	None
gene-THITE_2106203	rna-XM_003648533.1		None	None
gene-THITE_2106207	rna-XM_003648534.1		None	None
gene-THITE_2152641	rna-XM_003648535.1	PF04061.20	Partial	None
gene-THITE_2169126	rna-XM_003648536.1		None	None
gene-THITE_38345	rna-XM_003648537.1		None	None
gene-THITE_2106215	rna-XM_003648538.1	PF00072.31,PF00512.32,PF02518.32	Complete	None
gene-THITE_2106217	rna-XM_003648539.1	PF02627.27	Partial	None
gene-THITE_2106220	rna-XM_003648540.1		None	None
gene-THITE_2106221	rna-XM_003648541.1	PF03109.23	Partial	None
gene-THITE_2106222	rna-XM_003648542.1	PF00248.28	Partial	None
gene-THITE_2106224	rna-XM_003648543.1	PF01217.27	Partial	None
gene-THITE_2106227	rna-XM_003648544.1	PF09174.16	Partial	None
gene-THITE_2106230	rna-XM_003648545.1	PF00481.27	Partial	None
gene-THITE_2106231	rna-XM_003648546.1	PF05345.19,PF05345.19,PF05345.19	Complete	None
gene-THITE_2043056	rna-XM_003648547.1	PF10294.16	Partial	None
gene-THITE_2106235	rna-XM_003648548.1		None	None
gene-THITE_2106236	rna-XM_003648549.1	PF19031.7	Partial	None
gene-THITE_2106238	rna-XM_003648550.1		None	None
gene-THITE_2106239	rna-XM_003648551.1		None	None
gene-THITE_2106241	rna-XM_003648552.1		None	None
gene-THITE_129437	rna-XM_003648553.1	PF06424.18,PF13181.13,PF13428.13,PF13428.13,PF13432.13,PF13432.13,PF13432.13,PF14559.13,PF29376.1	Complete	None
gene-THITE_2106245	rna-XM_003648554.1	PF13515.13	Complete	None
gene-THITE_2106247	rna-XM_003648555.1	PF00702.33,PF13242.13,PF13419.13	Complete	None
gene-THITE_2106250	rna-XM_003648556.1	PF00069.32,PF03109.23,PF07714.24	Partial	None
gene-THITE_2106254	rna-XM_003648557.1	PF14632.12,PF14633.13,PF14635.13,PF14639.12,PF14641.12,PF17674.8,PF21710.4,PF22706.2	Complete	None
gene-THITE_2106257	rna-XM_003648558.1	PF00169.36,PF01237.24,PF15409.14	Partial	None
gene-THITE_2140577	rna-XM_003648559.1	PF01968.25,PF02538.20,PF05378.20,PF19278.5	Complete	None
gene-THITE_2106261	rna-XM_003648560.1	PF00069.32,PF07714.24,PF08587.18,PF16579.12,PF16579.12	Complete	None
gene-THITE_2106263	rna-XM_003648561.1	PF01940.22	Partial	None
gene-THITE_2106268	rna-XM_003648562.1		None	None
gene-THITE_2106273	rna-XM_003648563.1	PF00172.24,PF04082.24	Partial	None
gene-THITE_112118	rna-XM_003648564.1		None	None
gene-THITE_2083808	rna-XM_003648565.1		None	None
gene-THITE_2106274	rna-XM_003648566.1	PF00109.33,PF00550.32,PF00550.32,PF00698.27,PF00975.27,PF02801.29,PF14765.13,PF16073.11,PF22621.3	Complete	None
gene-THITE_2038876	rna-XM_003648567.1	PF00394.29,PF07731.21,PF07732.22	Complete	None
gene-THITE_2106279	rna-XM_003648568.1	PF04042.22,PF29084.1	Complete	None
gene-THITE_2106284	rna-XM_003648569.1		None	None
gene-THITE_2106286	rna-XM_003648570.1		None	None
gene-THITE_2106287	rna-XM_003648571.1	PF00787.30,PF02194.21,PF08628.18	Complete	None
gene-THITE_2148588	rna-XM_003648572.1	PF07690.22	Partial	None
gene-THITE_2106294	rna-XM_003648573.1	PF11559.14	Partial	None
gene-THITE_2106296	rna-XM_003648574.1	PF12923.13,PF17799.8	Partial	None
gene-THITE_2106298	rna-XM_003648575.1	PF00111.33,PF03473.24,PF03475.20	Complete	None
gene-THITE_2106301	rna-XM_003648576.1	PF00646.39,PF12937.13	Partial	None
gene-THITE_2106304	rna-XM_003648577.1	PF00018.35,PF03114.24,PF07653.24,PF14604.13	Complete	None
gene-THITE_2106307	rna-XM_003648578.1	PF00266.26,PF01041.24,PF01212.28	Partial	None
gene-THITE_2106309	rna-XM_003648579.1		None	None
gene-THITE_2124977	rna-XM_003648580.1	PF05368.20,PF13460.13	Partial	None
gene-THITE_2106312	rna-XM_003648581.1		None	None
gene-THITE_2039081	rna-XM_003648582.1	PF01266.31	Partial	None
gene-THITE_153800	rna-XM_003648583.1	PF01873.24	Partial	None
gene-THITE_2106323	rna-XM_003648584.1	PF19117.6	Partial	None
gene-THITE_2106324	rna-XM_003648585.1	PF01284.29	Partial	None
gene-THITE_2106325	rna-XM_003648586.1	PF12222.15,PF25156.3	Complete	None
gene-THITE_2152666	rna-XM_003648587.1	PF06916.19	Partial	None
gene-THITE_2106335	rna-XM_003648588.1	PF01987.24	Partial	None
gene-THITE_2083831	rna-XM_003648589.1		None	None
gene-THITE_2106338	rna-XM_003648590.1	PF00646.39,PF12937.13	Complete	None
gene-THITE_2106340	rna-XM_003648591.1		None	None
gene-THITE_112145	rna-XM_003648592.1		None	None
gene-THITE_2106343	rna-XM_003648593.1	PF00069.32,PF07714.24	Complete	None
gene-THITE_2106346	rna-XM_003648594.1	PF06398.18,PF06398.18	Partial	None
gene-THITE_2106347	rna-XM_003648595.1	PF00348.23	Partial	None
gene-THITE_2106348	rna-XM_003648596.1	PF08045.17	Partial	None
gene-THITE_2060551	rna-XM_003648597.1		None	None
gene-THITE_2106351	rna-XM_003648598.1	PF07690.22	Partial	None
gene-THITE_2106352	rna-XM_003648599.1	PF00171.28	Partial	None
gene-THITE_2106353	rna-XM_003648600.1	PF12709.13	Complete	None
gene-THITE_2106359	rna-XM_003648601.1	PF00069.32,PF07714.24	Partial	None
gene-THITE_129457	rna-XM_003648602.1	PF04383.20	Partial	None
gene-THITE_2106365	rna-XM_003648603.1	PF12738.14	Complete	None
gene-THITE_2106367	rna-XM_003648604.1	PF00501.35,PF13193.13,PF16177.12	Complete	None
gene-THITE_2169147	rna-XM_003648605.1		None	None
gene-THITE_2106371	rna-XM_003648606.1		None	None
gene-THITE_2106372	rna-XM_003648607.1	PF00107.33,PF08240.18,PF13602.13	Partial	None
gene-THITE_2106374	rna-XM_003648608.1	PF01738.25	Partial	None
gene-THITE_2106375	rna-XM_003648609.1	PF16679.12,PF26121.2	Complete	None
gene-THITE_2027442	rna-XM_003648610.1	PF01381.29,PF08523.16	Complete	None
gene-THITE_2106378	rna-XM_003648611.1	PF07103.17	Partial	None
gene-THITE_2106380	rna-XM_003648612.1	PF04828.23	Partial	None
gene-THITE_2106383	rna-XM_003648613.1	PF08193.17	Partial	None
gene-THITE_2106386	rna-XM_003648614.1	PF00622.37,PF08513.18,PF10607.15	Complete	None
gene-THITE_133645	rna-XM_003648615.1	PF10568.16,PF17171.10,PF17172.11	Complete	None
gene-THITE_2106391	rna-XM_003648616.1	PF00069.32,PF07714.24	Partial	None
gene-THITE_2169155	rna-XM_003648617.1		None	None
gene-THITE_2125012	rna-XM_003648618.1	PF00106.32,PF00106.32,PF08659.17,PF13561.13,PF13561.13	Partial	None
gene-THITE_2106393	rna-XM_003648619.1	PF02338.26	Partial	None
gene-THITE_2106394	rna-XM_003648620.1	PF12814.14	Complete	None
gene-THITE_2083863	rna-XM_003648621.1	PF05368.20	Partial	None
gene-THITE_153839	rna-XM_003648622.1		None	None
gene-THITE_2106401	rna-XM_003648623.1	PF00702.33,PF13242.13,PF13419.13	Complete	None
gene-THITE_2106402	rna-XM_003648624.1	PF00071.29	Partial	None
gene-THITE_2106405	rna-XM_003648625.1		None	None
gene-THITE_2106406	rna-XM_003648626.1		None	None
gene-THITE_2106408	rna-XM_003648627.1	PF01644.24,PF03142.22,PF08407.18,PF13632.13	Complete	None
gene-THITE_2106411	rna-XM_003648628.1	PF00179.32	Partial	None
gene-THITE_2169158	rna-XM_003648629.1	PF01450.26,PF07991.19	Partial	None
gene-THITE_2106420	rna-XM_003648630.1	PF01231.24	Partial	None
gene-THITE_2148619	rna-XM_003648631.1		None	None
gene-THITE_2106423	rna-XM_003648632.1	PF00588.25,PF08032.18	Complete	None
gene-THITE_2106426	rna-XM_003648633.1	PF00176.30,PF00271.38,PF04851.22,PF11496.15,PF15446.13,PF23615.2	Complete	None
gene-THITE_2125030	rna-XM_003648634.1		None	None
gene-THITE_2106427	rna-XM_003648635.1	PF22788.3,PF22788.3	Partial	None
gene-THITE_2106430	rna-XM_003648636.1	PF01336.32,PF02721.22,PF04057.19,PF08646.17,PF16900.12	Complete	None
gene-THITE_2106433	rna-XM_003648637.1	PF04909.21	Partial	None
gene-THITE_2106436	rna-XM_003648638.1		None	None
gene-THITE_2106438	rna-XM_003648639.1		None	None
gene-THITE_2106442	rna-XM_003648640.1	PF26146.1	Partial	None
gene-THITE_2106444	rna-XM_003648641.1	PF06687.18	Partial	None
gene-THITE_2106446	rna-XM_003648642.1	PF28357.1	Partial	None
gene-THITE_2040205	rna-XM_003648643.1		None	None
gene-THITE_2040462	rna-XM_003648644.1		None	None
gene-THITE_2106449	rna-XM_003648645.1		None	None
gene-THITE_2106451	rna-XM_003648646.1		None	None
gene-THITE_112196	rna-XM_003648647.1		None	None
gene-THITE_2140658	rna-XM_003648648.1		None	None
gene-THITE_2106455	rna-XM_003648649.1		None	None
gene-THITE_t39	gene-THITE_t39		None	None
gene-THITE_2106456	rna-XM_003648650.1		None	None
gene-THITE_2033836	rna-XM_003648651.1		None	None
gene-THITE_57424	rna-XM_003648652.1	PF01105.30	Partial	None
gene-THITE_107944	rna-XM_003648653.1	PF03937.22	Partial	None
gene-THITE_2106463	rna-XM_003648654.1	PF08202.17	Partial	None
gene-THITE_2106467	rna-XM_003648655.1	PF00170.27,PF11785.14,PF11786.14,PF11787.14	Complete	None
gene-THITE_2125046	rna-XM_003648656.1		None	None
gene-THITE_2106469	rna-XM_003648657.1	PF13410.12,PF25907.1	Partial	None
gene-THITE_2106470	rna-XM_003648658.1	PF00250.25,PF00498.32	Complete	None
gene-THITE_2106472	rna-XM_003648659.1		None	None
gene-THITE_2152701	rna-XM_003648660.1	PF16983.12,PF16983.12	Complete	None
gene-THITE_2169171	rna-XM_003648661.1	PF06687.18	Partial	None
gene-THITE_2106476	rna-XM_003648662.1		None	None
gene-THITE_2106477	rna-XM_003648663.1		None	None
gene-THITE_2061513	rna-XM_003648664.1		None	None
gene-THITE_2037149	rna-XM_003648665.1	PF06011.18,PF14558.12	Partial	None
gene-THITE_2106480	rna-XM_003648666.1	PF11915.14,PF11915.14	Complete	None
gene-THITE_2106481	rna-XM_003648667.1		None	None
gene-THITE_2106482	rna-XM_003648668.1	PF01435.25	Partial	None
gene-THITE_2093593	rna-XM_003648669.1	PF26113.1	Partial	None
gene-THITE_2039581	rna-XM_003648670.1		None	None
gene-THITE_2106492	rna-XM_003648671.1	PF07716.21	Partial	None
gene-THITE_2125062	rna-XM_003648672.1		None	None
