gene_id	pfam_ids	go_ids	bin_id
gene-B0I36DRAFT_235489	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-B0I36DRAFT_356960		NA	100
gene-B0I36DRAFT_356961		NA	100
gene-B0I36DRAFT_308885		NA	100
gene-B0I36DRAFT_308886		NA	100
gene-B0I36DRAFT_233310	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-B0I36DRAFT_370652	PF00743.26,PF13450.13	GO:0004499,GO:0050660,GO:0050661	2
gene-B0I36DRAFT_356964	PF14856.12	NA	100
gene-B0I36DRAFT_390092	PF01565.29	GO:0050660	100
gene-B0I36DRAFT_233580	PF01168.27,PF14031.14	NA	100
gene-B0I36DRAFT_233133	PF00171.28,PF05893.20	GO:0003995,GO:0008218,GO:0016491	8
gene-B0I36DRAFT_356968	PF00106.32,PF08659.17,PF13561.13,PF13561.13	NA	100
gene-B0I36DRAFT_233252	PF07690.22	GO:0022857,GO:0055085	6
gene-B0I36DRAFT_356970	PF00155.28	GO:0009058,GO:0030170	8
gene-B0I36DRAFT_343428		NA	100
gene-B0I36DRAFT_356972		NA	100
gene-B0I36DRAFT_356973	PF07690.22	GO:0022857,GO:0055085	6
gene-B0I36DRAFT_235353	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene-B0I36DRAFT_390130	PF07690.22	GO:0022857,GO:0055085	6
gene-B0I36DRAFT_308893	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-B0I36DRAFT_308896		NA	100
gene-B0I36DRAFT_356977	PF07690.22	GO:0022857,GO:0055085	6
gene-B0I36DRAFT_308898	PF00701.29	GO:0016829	8
gene-B0I36DRAFT_279793	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-B0I36DRAFT_235661	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0I36DRAFT_370665	PF00703.28,PF02836.24,PF02837.25	GO:0004553,GO:0005975	8
gene-B0I36DRAFT_279799	PF07690.22	GO:0022857,GO:0055085	6
gene-B0I36DRAFT_356983		NA	100
gene-B0I36DRAFT_308907	PF00264.26	GO:0016491	8
gene-B0I36DRAFT_234890	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-B0I36DRAFT_279804	PF01179.28,PF02727.22,PF02728.23	GO:0005507,GO:0008131,GO:0009308,GO:0048038	8
gene-B0I36DRAFT_390173	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-B0I36DRAFT_233693	PF00171.28	GO:0016491	8
gene-B0I36DRAFT_356989	PF00205.29,PF02775.27,PF02776.24	GO:0000287,GO:0003824,GO:0030976	8
gene-B0I36DRAFT_258628	PF01565.29,PF02913.25	GO:0003824,GO:0050660	8
gene-B0I36DRAFT_426242	PF00890.31,PF01593.31,PF13450.13	GO:0016491	8
gene-B0I36DRAFT_232683	PF03332.20,PF08282.19	GO:0004615,GO:0009298	8
gene-B0I36DRAFT_343449	PF00026.29	NA	100
gene-B0I36DRAFT_378745	PF00171.28	GO:0016491	8
gene-B0I36DRAFT_370676	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0I36DRAFT_139	PF01557.24	GO:0003824	8
gene-B0I36DRAFT_356996	PF11578.14	NA	100
