gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-RJT20DRAFT_131673	rna-XM_064918065.1		None	None
gene-RJT20DRAFT_123476	rna-XM_064915959.1		None	None
gene-RJT20DRAFT_147039	rna-XM_064918898.1	PF14510.12	Partial	None
gene-RJT20DRAFT_6014	rna-XM_064920929.1	PF00083.31,PF06609.19,PF07690.22	Partial	None
gene-RJT20DRAFT_147047	rna-XM_064918899.1		None	None
gene-RJT20DRAFT_147050	rna-XM_064918901.1	PF00096.33,PF04082.24	Partial	None
gene-RJT20DRAFT_137618	rna-XM_064918578.1	PF10022.16,PF20938.4	Partial	None
gene-RJT20DRAFT_147053	rna-XM_064918902.1	PF00245.26	Partial	None
gene-RJT20DRAFT_148514	rna-XM_064918982.1	PF07690.22	Partial	None
gene-RJT20DRAFT_6031	rna-XM_064920931.1	PF07470.20	Partial	None
gene-RJT20DRAFT_123488	rna-XM_064915960.1	PF00701.29	Partial	None
gene-RJT20DRAFT_100980	rna-XM_064915655.1	PF00248.28	Partial	None
gene-RJT20DRAFT_123490	rna-XM_064915961.1	PF00107.33,PF08240.18	Partial	None
gene-RJT20DRAFT_151996	rna-XM_064919062.1	PF02746.22	Partial	None
gene-RJT20DRAFT_151997	rna-XM_064919063.1	PF00701.29	Partial	None
gene-RJT20DRAFT_6039	rna-XM_064920935.1		None	None
gene-RJT20DRAFT_147057	rna-XM_064918903.1	PF00172.24	Partial	None
gene-RJT20DRAFT_6046	rna-XM_064920940.1	PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF11765.14	Complete	None
gene-RJT20DRAFT_131691	rna-XM_064918066.1	PF11765.14,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11	Complete	None
gene-RJT20DRAFT_6415	rna-XM_064921064.1	PF00096.33,PF00096.33	Complete	None
gene-RJT20DRAFT_123517	rna-XM_064915962.1	PF12074.14,PF23271.2,PF23271.2,PF23271.2,PF23271.2,PF24916.2,PF24984.2,PF24987.2,PF24993.2,PF25786.1,PF25801.2,PF26715.1	Complete	None
gene-RJT20DRAFT_6424	rna-XM_064921069.1	PF00642.31,PF00642.31	Complete	None
gene-RJT20DRAFT_112275	rna-XM_064915783.1	PF00270.36,PF00271.38,PF04851.22,PF09382.18,PF11408.14,PF16124.11	Complete	None
gene-RJT20DRAFT_6452	rna-XM_064921087.1	PF00179.32	Partial	None
gene-RJT20DRAFT_123522	rna-XM_064915963.1	PF00172.24,PF03902.19	Partial	None
gene-RJT20DRAFT_123525	rna-XM_064915964.1	PF28298.1	Complete	None
gene-RJT20DRAFT_123527	rna-XM_064915965.1	PF00566.26,PF23436.2	Partial	None
gene-RJT20DRAFT_123528	rna-XM_064915966.1	PF00467.36,PF00900.27,PF01479.31,PF08071.18,PF16121.11	Complete	None
gene-RJT20DRAFT_123532	rna-XM_064915967.1	PF21953.2	Complete	None
gene-RJT20DRAFT_123533	rna-XM_064915968.1	PF10429.16	Partial	None
gene-RJT20DRAFT_131704	rna-XM_064918067.1	PF00320.34	Complete	None
gene-RJT20DRAFT_143480	rna-XM_064918665.1	PF00240.30,PF00627.38,PF11976.15,PF23195.2	Complete	None
gene-RJT20DRAFT_131706	rna-XM_064918068.1	PF10406.15	Complete	None
gene-RJT20DRAFT_123540	rna-XM_064915969.1	PF00982.28,PF02358.23	Complete	None
gene-RJT20DRAFT_123542	rna-XM_064915970.1	PF12243.15,PF12350.14	Complete	None
gene-RJT20DRAFT_152019	rna-XM_064919064.1		None	None
gene-RJT20DRAFT_137644	rna-XM_064918579.1		None	None
gene-RJT20DRAFT_123546	rna-XM_064915971.1	PF01176.27	Partial	None
gene-RJT20DRAFT_90063	rna-XM_064921303.1	PF05653.21	Partial	None
gene-RJT20DRAFT_4139	rna-XM_064920048.1		None	None
gene-RJT20DRAFT_6822	rna-XM_064921155.1		None	None
gene-RJT20DRAFT_89855	rna-XM_064921294.1	PF00069.32,PF06293.21,PF07714.24	Partial	None
gene-RJT20DRAFT_6862	rna-XM_064921159.1	PF04084.21,PF24882.2	Complete	None
gene-RJT20DRAFT_6851	rna-XM_064921158.1	PF01096.24,PF02150.22	Complete	None
gene-RJT20DRAFT_6815	rna-XM_064921154.1		None	None
gene-RJT20DRAFT_123553	rna-XM_064915972.1	PF08660.18	Partial	None
gene-RJT20DRAFT_123554	rna-XM_064915973.1	PF00172.24,PF04082.24	Partial	None
gene-RJT20DRAFT_123555	rna-XM_064915974.1	PF00561.27,PF12697.14	Partial	None
gene-RJT20DRAFT_6893	rna-XM_064921160.1	PF00172.24	Partial	None
gene-RJT20DRAFT_6900	rna-XM_064921161.1		None	None
gene-RJT20DRAFT_6904	rna-XM_064921162.1	PF21369.4	Partial	None
gene-RJT20DRAFT_123558	rna-XM_064915975.1	PF10350.16,PF25150.2,PF25151.2	Complete	None
gene-RJT20DRAFT_123560	rna-XM_064915976.1	PF00176.30,PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-RJT20DRAFT_6935	rna-XM_064921163.1	PF18826.7	Partial	None
gene-RJT20DRAFT_4153	rna-XM_064920053.1	PF01208.24	Partial	None
gene-RJT20DRAFT_123563	rna-XM_064915977.1	PF04389.23,PF22250.2,PF22251.2,PF22251.2	Complete	None
gene-RJT20DRAFT_t26	gene-RJT20DRAFT_t26		None	None
gene-RJT20DRAFT_t25	gene-RJT20DRAFT_t25		None	None
gene-RJT20DRAFT_t1	gene-RJT20DRAFT_t1		None	None
gene-RJT20DRAFT_131728	rna-XM_064918069.1	PF00056.30,PF02866.24	Partial	None
gene-RJT20DRAFT_123567	rna-XM_064915978.1	PF09451.17	Partial	None
gene-RJT20DRAFT_89934	rna-XM_064921297.1	PF02219.24,PF21895.2	Partial	None
gene-RJT20DRAFT_131731	rna-XM_064918070.1	PF08585.19	Partial	None
gene-RJT20DRAFT_6963	rna-XM_064921165.1	PF02732.22	Complete	None
gene-RJT20DRAFT_6964	rna-XM_064921166.1	PF23190.2,PF23317.2	Partial	None
gene-RJT20DRAFT_123570	rna-XM_064915979.1	PF01379.26,PF03900.21	Complete	None
gene-RJT20DRAFT_143494	rna-XM_064918666.1	PF01379.26,PF03900.21	Complete	None
gene-RJT20DRAFT_123575	rna-XM_064915980.1	PF00501.35,PF13193.13,PF16177.12	Complete	None
gene-RJT20DRAFT_123577	rna-XM_064915981.1	PF02602.21	Partial	None
gene-RJT20DRAFT_131738	rna-XM_064918071.1	PF00023.37,PF01833.31,PF12796.14,PF13637.13,PF25603.2	Complete	None
gene-RJT20DRAFT_123582	rna-XM_064915982.1	PF00076.29	Partial	None
gene-RJT20DRAFT_152050	rna-XM_064919065.1	PF28838.1	Partial	None
gene-RJT20DRAFT_123585	rna-XM_064915983.1	PF00225.30,PF16796.12	Partial	None
gene-RJT20DRAFT_4168	rna-XM_064920060.1		None	None
gene-RJT20DRAFT_131743	rna-XM_064918072.1	PF01142.24	Partial	None
gene-RJT20DRAFT_89579	rna-XM_064921277.1	PF00581.26,PF00581.26	Partial	None
gene-RJT20DRAFT_7132	rna-XM_064921169.1	PF02805.22	Partial	None
gene-RJT20DRAFT_7116	rna-XM_064921168.1	PF01794.26,PF08022.19,PF08030.18	Complete	None
gene-RJT20DRAFT_t24	gene-RJT20DRAFT_t24		None	None
gene-RJT20DRAFT_123589	rna-XM_064915984.1	PF00817.26,PF18439.8	Complete	None
gene-RJT20DRAFT_148538	rna-XM_064918983.1	PF04050.21	Complete	None
gene-RJT20DRAFT_123593	rna-XM_064915985.1		None	None
gene-RJT20DRAFT_7201	rna-XM_064921171.1	PF01161.27	Partial	None
gene-RJT20DRAFT_131751	rna-XM_064918073.1		None	None
gene-RJT20DRAFT_131752	rna-XM_064918074.1	PF00170.27	Complete	None
gene-RJT20DRAFT_7189	rna-XM_064921170.1		None	None
gene-RJT20DRAFT_91508	rna-XM_064921377.1	PF02284.22	Partial	None
gene-RJT20DRAFT_123604	rna-XM_064915986.1	PF08602.17	Partial	None
gene-RJT20DRAFT_123605	rna-XM_064915987.1		None	None
gene-RJT20DRAFT_7274	rna-XM_064921172.1		None	None
gene-RJT20DRAFT_123608	rna-XM_064915988.1	PF12998.13	Partial	None
gene-RJT20DRAFT_152069	rna-XM_064919066.1	PF11701.16	Partial	None
gene-RJT20DRAFT_123610	rna-XM_064915989.1	PF04810.21,PF04811.22,PF04815.21,PF08033.18	Complete	None
gene-RJT20DRAFT_7293	rna-XM_064921173.1	PF08733.16	Partial	None
gene-RJT20DRAFT_123614	rna-XM_064915990.1	PF00004.36,PF00004.36,PF00158.33,PF07724.21,PF07728.21,PF10431.16,PF17871.8,PF23569.2	Complete	None
gene-RJT20DRAFT_123615	rna-XM_064915991.1	PF12763.14,PF12763.14	Complete	None
gene-RJT20DRAFT_152074	rna-XM_064919067.1	PF03070.22,PF08543.18	Partial	None
gene-RJT20DRAFT_123619	rna-XM_064915992.1	PF00962.29,PF19326.6	Complete	None
gene-RJT20DRAFT_123620	rna-XM_064915993.1	PF29647.1,PF29647.1	Partial	None
gene-RJT20DRAFT_7456	rna-XM_064921179.1	PF08737.16	Partial	None
gene-RJT20DRAFT_7360	rna-XM_064921177.1	PF00069.32,PF07714.24	Partial	None
gene-RJT20DRAFT_7452	rna-XM_064921178.1	PF01490.25	Partial	None
