protein_id	length
rna-XM_028634267.1	317
rna-XM_028634367.1	251
rna-XM_028634467.1	204
rna-XM_028634567.1	113
rna-XM_028634667.1	502
rna-XM_028634767.1	542
rna-XM_028634867.1	320
rna-XM_028634967.1	1465
rna-XM_028635067.1	347
rna-XM_028635167.1	616
rna-XM_028635267.1	805
rna-XM_028635367.1	451
rna-XM_028635467.1	327
rna-XM_028635567.1	600
rna-XM_028635667.1	297
rna-XM_028635767.1	485
rna-XM_028635867.1	247
rna-XM_028635967.1	291
rna-XM_028636067.1	292
rna-XM_028636167.1	328
rna-XM_028636267.1	75
rna-XM_028636367.1	317
rna-XM_028636467.1	373
rna-XM_028636567.1	1546
rna-XM_028636667.1	231
rna-XM_028636767.1	1000
rna-XM_028636867.1	415
rna-XM_028636967.1	550
rna-XM_028637067.1	326
rna-XM_028637167.1	286
rna-XM_028637267.1	461
rna-XM_028637367.1	404
rna-XM_028637467.1	654
rna-XM_028637568.1	1083
rna-XM_028637668.1	494
rna-XM_028637768.1	107
rna-XM_028637868.1	376
rna-XM_028637968.1	998
rna-XM_028638068.1	229
rna-XM_028638168.1	592
rna-XM_028638268.1	438
rna-XM_028638368.1	404
rna-XM_028638468.1	530
rna-XM_028638568.1	269
rna-XM_028638668.1	359
rna-XM_028638768.1	176
rna-XM_028638868.1	326
rna-XM_028638968.1	517
rna-XM_028639068.1	551
rna-XM_028639168.1	536
rna-XM_028639268.1	356
rna-XM_028639368.1	259
rna-XM_028639468.1	836
rna-XM_028639568.1	311
rna-XM_028639668.1	461
rna-XM_028639768.1	403
rna-XM_028639868.1	1447
rna-XM_028639968.1	208
rna-XM_028640068.1	428
rna-XM_028640168.1	264
rna-XM_028640268.1	306
rna-XM_028640368.1	214
rna-XM_028640468.1	215
rna-XM_028640568.1	121
rna-XM_028640668.1	213
rna-XM_028640768.1	513
rna-XM_028640868.1	646
rna-XM_028640968.1	315
rna-XM_028641068.1	318
rna-XM_028641168.1	197
rna-XM_028641268.1	337
rna-XM_028641368.1	292
rna-XM_028641468.1	199
rna-XM_028641568.1	552
rna-XM_028641668.1	281
rna-XM_028641768.1	358
rna-XM_028641868.1	333
rna-XM_028641968.1	465
rna-XM_028642068.1	186
rna-XM_028642168.1	841
rna-XM_028642268.1	313
rna-XM_028642368.1	386
rna-XM_028642468.1	525
rna-XM_028642568.1	884
rna-XM_028642668.1	262
rna-XM_028642768.1	174
rna-XM_028642868.1	865
rna-XM_028642968.1	648
rna-XM_028643068.1	561
rna-XM_028643168.1	629
rna-XM_028643268.1	72
rna-XM_028643368.1	418
rna-XM_028643468.1	528
rna-XM_028643568.1	536
rna-XM_028643668.1	326
