protein_id	length
rna-DDAS111_LOCUS1	366
rna-DDAS111_LOCUS101	402
rna-DDAS111_LOCUS201	946
rna-DDAS111_LOCUS301	1468
rna-DDAS111_LOCUS401	521
rna-DDAS111_LOCUS501	429
rna-DDAS111_LOCUS601	371
rna-DDAS111_LOCUS701	285
rna-DDAS111_LOCUS801	230
rna-DDAS111_LOCUS901	312
rna-DDAS111_LOCUS1001	320
rna-DDAS111_LOCUS1101	371
rna-DDAS111_LOCUS1201	195
rna-DDAS111_LOCUS1301	270
rna-DDAS111_LOCUS1401	584
rna-DDAS111_LOCUS1501	616
rna-DDAS111_LOCUS1601	392
rna-DDAS111_LOCUS1701	668
rna-DDAS111_LOCUS1801	457
rna-DDAS111_LOCUS1901	294
rna-DDAS111_LOCUS2001	708
rna-DDAS111_LOCUS2101	337
rna-DDAS111_LOCUS2201	221
rna-DDAS111_LOCUS2301	517
rna-DDAS111_LOCUS2401	348
rna-DDAS111_LOCUS2501	108
rna-DDAS111_LOCUS2601	378
rna-DDAS111_LOCUS2701	140
rna-DDAS111_LOCUS2801	838
rna-DDAS111_LOCUS2901	483
rna-DDAS111_LOCUS3001	336
rna-DDAS111_LOCUS3101	563
rna-DDAS111_LOCUS3201	269
rna-DDAS111_LOCUS3301	452
rna-DDAS111_LOCUS3401	144
rna-DDAS111_LOCUS3501	272
rna-DDAS111_LOCUS3601	249
rna-DDAS111_LOCUS3701	161
rna-DDAS111_LOCUS3801	226
rna-DDAS111_LOCUS3901	420
rna-DDAS111_LOCUS4001	229
rna-DDAS111_LOCUS4101	640
rna-DDAS111_LOCUS4201	740
rna-DDAS111_LOCUS4301	224
rna-DDAS111_LOCUS4401	397
rna-DDAS111_LOCUS4501	396
rna-DDAS111_LOCUS4601	280
rna-DDAS111_LOCUS4701	245
rna-DDAS111_LOCUS4801	251
rna-DDAS111_LOCUS4901	268
rna-DDAS111_LOCUS5001	822
rna-DDAS111_LOCUS5101	575
rna-DDAS111_LOCUS5201	977
rna-DDAS111_LOCUS5301-2	756
rna-DDAS111_LOCUS5401	500
rna-DDAS111_LOCUS5501	707
rna-DDAS111_LOCUS5601	334
rna-DDAS111_LOCUS5701	127
rna-DDAS111_LOCUS5801	327
rna-DDAS111_LOCUS5901	477
rna-DDAS111_LOCUS6001	493
rna-DDAS111_LOCUS6101	475
rna-DDAS111_LOCUS6201	242
rna-DDAS111_LOCUS6301	91
rna-DDAS111_LOCUS6401	475
rna-DDAS111_LOCUS6501	2242
rna-DDAS111_LOCUS6601	151
rna-DDAS111_LOCUS6701	338
rna-DDAS111_LOCUS6801	402
rna-DDAS111_LOCUS6901	493
rna-DDAS111_LOCUS7001	578
rna-DDAS111_LOCUS7101	367
rna-DDAS111_LOCUS7201	254
rna-DDAS111_LOCUS7301	255
rna-DDAS111_LOCUS7401	232
rna-DDAS111_LOCUS7501	205
rna-DDAS111_LOCUS7601	282
rna-DDAS111_LOCUS7701	193
rna-DDAS111_LOCUS7801	1265
rna-DDAS111_LOCUS7901	586
rna-DDAS111_LOCUS8001	647
rna-DDAS111_LOCUS8101	882
rna-DDAS111_LOCUS8201	285
rna-DDAS111_LOCUS8301	284
rna-DDAS111_LOCUS8401	133
rna-DDAS111_LOCUS8501	299
rna-DDAS111_LOCUS8601	349
rna-DDAS111_LOCUS8701	269
rna-DDAS111_LOCUS8801	155
rna-DDAS111_LOCUS8901	313
rna-DDAS111_LOCUS9001	146
rna-DDAS111_LOCUS9101	156
rna-DDAS111_LOCUS9201	497
rna-DDAS111_LOCUS9301	463
rna-DDAS111_LOCUS9401	121
rna-DDAS111_LOCUS9501	544
rna-DDAS111_LOCUS9601	497
rna-DDAS111_LOCUS9701	241
rna-DDAS111_LOCUS9801	719
rna-DDAS111_LOCUS9901	340
rna-DDAS111_LOCUS10001	220
rna-DDAS111_LOCUS10101	290
rna-DDAS111_LOCUS10201	1479
rna-DDAS111_LOCUS10301	558
