protein_id	length
GML000001_mRNA1	1600
GML000101_mRNA1	353
GML000201_mRNA1	769
GML000301_mRNA1	440
GML000401_mRNA1	479
GML000501_mRNA1	245
GML000601_mRNA1	348
GML000701_mRNA1	521
GML000801_mRNA1	507
GML000901_mRNA1	215
GML001001_mRNA1	341
GML001101_mRNA1	262
GML001201_mRNA1	1049
GML001301_mRNA1	297
GML001401_mRNA1	341
GML001501_mRNA1	584
GML001601_mRNA1	993
GML001701_mRNA1	374
GML001801_mRNA1	540
GML001901_mRNA1	1161
GML002001_mRNA1	571
GML002101_mRNA1	527
GML002201_mRNA1	171
GML002301_mRNA1	904
GML002401_mRNA1	563
GML002501_mRNA1	843
GML002601_mRNA1	343
GML002701_mRNA1	77
GML002801_mRNA1	237
GML002901_mRNA1	577
GML003001_mRNA1	1897
GML003101_mRNA1	154
GML003201_mRNA1	549
GML003301_mRNA1	545
GML003401_mRNA1	252
GML003501_mRNA1	593
GML003601_mRNA1	276
GML003701_mRNA1	96
GML003801_mRNA1	459
GML003901_mRNA1	665
GML004001_mRNA1	338
GML004101_mRNA1	357
GML004201_mRNA1	780
GML004301_mRNA1	309
GML004401_mRNA1	515
GML004501_mRNA1	381
GML004601_mRNA1	178
GML004701_mRNA1	368
GML004801_mRNA1	221
GML004901_mRNA1	87
GML005001_mRNA1	491
GML005101_mRNA1	832
GML005201_mRNA1	675
GML005301_mRNA1	337
GML005401_mRNA1	693
GML005501_mRNA1	336
GML005601_mRNA1	255
GML005701_mRNA1	539
GML005801_mRNA1	1543
GML005901_mRNA1	929
GML006001_mRNA1	644
GML006101_mRNA1	466
GML006201_mRNA1	378
GML006301_mRNA1	521
GML006401_mRNA1	225
GML006501_mRNA1	247
GML006601_mRNA1	49
GML006701_mRNA1	375
GML006801_mRNA1	507
GML006901_mRNA1	430
GML007001_mRNA1	454
GML007101_mRNA1	118
GML007201_mRNA1	452
GML007301_mRNA1	139
GML007401_mRNA1	791
GML007501_mRNA1	687
GML007601_mRNA1	445
GML007701_mRNA1	317
GML007801_mRNA1	126
GML007901_mRNA1	227
GML008001_mRNA1	986
GML008101_mRNA1	200
GML008201_mRNA1	138
GML008301_mRNA1	649
GML008401_mRNA1	508
GML008501_mRNA1	182
GML008601_mRNA1	181
GML008701_mRNA1	338
GML008801_mRNA1	358
GML008901_mRNA1	298
GML009001_mRNA1	379
GML009101_mRNA1	256
GML009201_mRNA1	552
GML009301_mRNA1	326
GML009401_mRNA1	208
GML009501_mRNA1	202
GML009601_mRNA1	555
GML009701_mRNA1	354
GML009801_mRNA1	441
GML009901_mRNA1	204
GML010001_mRNA1	539
GML010101_mRNA1	389
GML010201_mRNA1	1434
GML010301_mRNA1	87
GML010401_mRNA1	254
GML010501_mRNA1	1000
GML010601_mRNA1	331
GML010701_mRNA1	234
GML010801_mRNA1	291
GML010901_mRNA1	514
GML011001_mRNA1	404
GML011101_mRNA1	186
GML011201_mRNA1	719
GML011301_mRNA1	1792
GML011401_mRNA1	155
GML011501_mRNA1	848
GML011601_mRNA1	1049
GML011701_mRNA1	284
GML011801_mRNA1	415
GML011901_mRNA1	149
GML012001_mRNA1	470
GML012101_mRNA1	140
GML012201_mRNA1	95
GML012301_mRNA1	143
GML012401_mRNA1	219
GML012501_mRNA1	513
GML012601_mRNA1	361
GML012701_mRNA1	190
GML012801_mRNA1	285
GML012901_mRNA1	303
GML013001_mRNA1	411
GML013101_mRNA1	845
