protein_id	length
GML000001_mRNA1	1227
GML000101_mRNA1	98
GML000201_mRNA1	237
GML000301_mRNA1	69
GML000401_mRNA1	370
GML000501_mRNA1	160
GML000601_mRNA1	435
GML000701_mRNA1	506
GML000801_mRNA1	300
GML000901_mRNA1	601
GML001001_mRNA1	1185
GML001101_mRNA1	701
GML001201_mRNA1	361
GML001301_mRNA1	223
GML001401_mRNA1	400
GML001501_mRNA1	613
GML001601_mRNA1	128
GML001701_mRNA1	115
GML001801_mRNA1	713
GML001901_mRNA1	463
GML002001_mRNA1	87
GML002101_mRNA1	997
GML002201_mRNA1	1115
GML002301_mRNA1	516
GML002401_mRNA1	846
GML002501_mRNA1	142
GML002601_mRNA1	88
GML002701_mRNA1	80
GML002801_mRNA1	172
GML002901_mRNA1	332
GML003001_mRNA1	422
GML003101_mRNA1	609
GML003201_mRNA1	350
GML003301_mRNA1	213
GML003401_mRNA1	189
GML003501_mRNA1	825
GML003601_mRNA1	145
GML003701_mRNA1	607
GML003801_mRNA1	101
GML003901_mRNA1	536
GML004001_mRNA1	311
GML004101_mRNA1	608
GML004201_mRNA1	64
GML004301_mRNA1	1989
GML004401_mRNA1	382
GML004501_mRNA1	459
GML004601_mRNA1	85
GML004701_mRNA1	127
GML004801_mRNA1	830
GML004901_mRNA1	294
GML005001_mRNA1	323
GML005101_mRNA1	312
GML005201_mRNA1	275
GML005301_mRNA1	366
GML005401_mRNA1	1606
GML005501_mRNA1	190
GML005601_mRNA1	232
GML005701_mRNA1	1554
GML005801_mRNA1	471
GML005901_mRNA1	109
GML006001_mRNA1	631
GML006101_mRNA1	451
GML006201_mRNA1	284
GML006301_mRNA1	208
GML006401_mRNA1	425
GML006501_mRNA1	1080
GML006601_mRNA1	572
GML006701_mRNA1	250
GML006801_mRNA1	582
GML006901_mRNA1	865
GML007001_mRNA1	668
GML007101_mRNA1	489
GML007201_mRNA1	995
GML007301_mRNA1	163
GML007401_mRNA1	65
GML007501_mRNA1	172
GML007601_mRNA1	540
GML007701_mRNA1	321
GML007801_mRNA1	288
GML007901_mRNA1	446
GML008001_mRNA1	631
GML008101_mRNA1	542
GML008201_mRNA1	83
GML008301_mRNA1	185
GML008401_mRNA1	252
GML008501_mRNA1	409
GML008601_mRNA1	209
GML008701_mRNA1	629
GML008801_mRNA1	340
GML008901_mRNA1	395
GML009001_mRNA1	1119
GML009101_mRNA1	335
GML009201_mRNA1	420
GML009301_mRNA1	586
GML009401_mRNA1	506
GML009501_mRNA1	517
GML009601_mRNA1	676
GML009701_mRNA1	316
GML009801_mRNA1	131
GML009901_mRNA1	438
GML010001_mRNA1	124
GML010101_mRNA1	113
GML010201_mRNA1	95
GML010301_mRNA1	173
GML010401_mRNA1	538
GML010501_mRNA1	94
GML010600_mRNA1	512
GML010701_mRNA1	251
GML010801_mRNA1	267
GML010901_mRNA1	301
GML011001_mRNA1	410
GML011101_mRNA1	244
GML011201_mRNA1	542
GML011301_mRNA1	455
GML011401_mRNA1	567
GML011501_mRNA1	646
GML011601_mRNA1	128
GML011701_mRNA1	292
GML011801_mRNA1	914
GML011901_mRNA1	175
GML012001_mRNA1	1027
GML012101_mRNA1	856
GML012201_mRNA1	727
GML012301_mRNA1	91
GML012401_mRNA1	1050
GML012501_mRNA1	349
GML012601_mRNA1	418
GML012701_mRNA1	98
GML012801_mRNA1	141
GML012901_mRNA1	162
GML013001_mRNA1	272
GML013101_mRNA1	795
