protein_id	length
rna-XM_009267619.1	980
rna-XM_009267402.1	193
rna-XM_009267512.1	395
rna-XM_009267623.1	475
rna-XM_009267734.1	404
rna-XM_009267899.1	507
rna-XM_009267999.1	235
rna-XM_009268099.1	187
rna-XM_009268280.1	145
rna-XM_009268380.1	419
rna-XM_009268192.1	428
rna-XM_009268499.1	381
rna-XM_009268599.1	379
rna-XM_009268699.1	294
rna-XM_009268799.1	155
rna-XM_009268899.1	434
rna-XM_009268999.1	122
rna-XM_009269099.1	97
rna-XM_009269199.1	215
rna-XM_009269298.1	314
rna-XM_009269398.1	507
rna-XM_009269498.1	847
rna-XM_009269598.1	330
rna-XM_009269698.1	401
rna-XM_009269798.1	634
rna-XM_009269898.1	484
rna-XM_009269998.1	215
rna-XM_009270098.1	447
rna-XM_009270198.1	619
rna-XM_009270298.1	301
rna-XM_009270398.1	156
rna-XM_009270498.1	520
rna-XM_009270598.1	313
rna-XM_009270698.1	580
rna-XM_009270893.1	1074
rna-XM_009270829.1	174
rna-XM_009270997.1	326
rna-XM_009271097.1	568
rna-XM_009271197.1	1209
rna-XM_009271297.1	765
rna-XM_009271397.1	274
rna-XM_009271497.1	337
rna-XM_009271597.1	283
rna-XM_009271697.1	161
rna-XM_009271797.1	646
rna-XM_009271897.1	528
rna-XM_009271997.1	422
rna-XM_009272097.1	791
rna-XM_009272197.1	1086
