gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-L228DRAFT_4	rna-XM_018336559.1		None	None
gene-L228DRAFT_242223	rna-XM_018331392.1		None	None
gene-L228DRAFT_242224	rna-XM_018331393.1		None	None
gene-L228DRAFT_257377	rna-XM_018333978.1	PF00106.32,PF13561.13	Partial	None
gene-L228DRAFT_234985	rna-XM_018330681.1	PF00172.24,PF04082.24	Partial	None
gene-L228DRAFT_254647	rna-XM_018333845.1	PF00107.33,PF08240.18	Partial	None
gene-L228DRAFT_206950	rna-XM_018329700.1	PF00106.32,PF08659.17,PF13561.13,PF23441.1	Partial	None
gene-L228DRAFT_242229	rna-XM_018331394.1	PF00106.32,PF01073.26,PF01370.28,PF02719.22,PF08659.17,PF13561.13	Partial	None
gene-L228DRAFT_242231	rna-XM_018331395.1		None	None
gene-L228DRAFT_257382	rna-XM_018333979.1	PF14342.12	Partial	None
gene-L228DRAFT_264303	rna-XM_018334557.1	PF01636.30	Partial	None
gene-L228DRAFT_113	rna-XM_018328929.1	PF20174.5	Partial	None
gene-L228DRAFT_242235	rna-XM_018331396.1	PF00730.32,PF07934.19	Partial	None
gene-L228DRAFT_225488	rna-XM_018330383.1	PF00076.29,PF00076.29,PF00076.29,PF29326.1	Complete	None
gene-L228DRAFT_225490	rna-XM_018330384.1	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF16363.12	Partial	None
gene-L228DRAFT_242238	rna-XM_018331397.1	PF00070.34,PF07992.21,PF13738.13	Complete	None
gene-L228DRAFT_242241	rna-XM_018331398.1	PF00764.26,PF20979.3	Partial	None
gene-L228DRAFT_264309	rna-XM_018334558.1	PF25485.2	Complete	None
gene-L228DRAFT_264310	rna-XM_018334559.1		None	None
gene-L228DRAFT_264311	rna-XM_018334560.1	PF25485.2,PF25485.2	Complete	None
gene-L228DRAFT_242247	rna-XM_018331399.1	PF07690.22	Partial	None
gene-L228DRAFT_403	rna-XM_018336563.1	PF00501.35,PF00550.32,PF00668.26,PF13193.13	Complete	None
gene-L228DRAFT_264314	rna-XM_018334561.1		None	None
gene-L228DRAFT_235003	rna-XM_018330682.1	PF11204.14	Complete	None
gene-L228DRAFT_215896	rna-XM_018330100.1	PF12768.14,PF20842.5,PF20843.5	Complete	None
gene-L228DRAFT_492	rna-XM_018336635.1	PF00002.30	Partial	None
gene-L228DRAFT_254655	rna-XM_018333846.1	PF00312.28,PF08069.18	Partial	None
gene-L228DRAFT_242257	rna-XM_018331400.1	PF05186.19	Complete	None
gene-L228DRAFT_271863	rna-XM_018335577.1	PF08774.18,PF21170.5,PF21315.4	Complete	None
gene-L228DRAFT_225515	rna-XM_018330385.1	PF00324.28,PF13520.13	Partial	None
gene-L228DRAFT_279149	rna-XM_018335649.1	PF01266.31	Partial	None
gene-L228DRAFT_279150	rna-XM_018335650.1	PF00702.33	Partial	None
gene-L228DRAFT_242264	rna-XM_018331401.1		None	None
gene-L228DRAFT_628	rna-XM_018336783.1		None	None
gene-L228DRAFT_257404	rna-XM_018333980.1	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	Complete	None
gene-L228DRAFT_279153	rna-XM_018335651.1		None	None
gene-L228DRAFT_207319	rna-XM_018329716.1	PF05719.17	Partial	None
gene-L228DRAFT_242269	rna-XM_018331402.1	PF00550.32	Partial	None
gene-L228DRAFT_215913	rna-XM_018330101.1	PF00037.33,PF00037.33,PF12838.13,PF13187.12,PF13237.12	Complete	None
gene-L228DRAFT_242271	rna-XM_018331403.1	PF04935.18,PF15459.12	Partial	None
gene-L228DRAFT_242272	rna-XM_018331404.1		None	None
gene-L228DRAFT_242273	rna-XM_018331405.1	PF00324.28,PF13520.13	Partial	None
gene-L228DRAFT_225531	rna-XM_018330386.1	PF01074.29,PF07748.20,PF09261.17,PF17677.8,PF22907.3	Complete	None
gene-L228DRAFT_257412	rna-XM_018333981.1	PF00565.24	Partial	None
gene-L228DRAFT_257413	rna-XM_018333982.1	PF01636.30	Partial	None
gene-L228DRAFT_264335	rna-XM_018334562.1	PF00566.26,PF23436.2	Partial	None
gene-L228DRAFT_235024	rna-XM_018330683.1	PF00916.27,PF01740.27	Complete	None
gene-L228DRAFT_264337	rna-XM_018334563.1		None	None
gene-L228DRAFT_264338	rna-XM_018334564.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-L228DRAFT_225545	rna-XM_018330387.1	PF00646.39,PF02373.29,PF12937.13,PF13621.13	Complete	None
gene-L228DRAFT_909	rna-XM_018336958.1	PF04145.21	Partial	None
gene-L228DRAFT_264340	rna-XM_018334565.1	PF00190.29,PF06052.19	Partial	None
gene-L228DRAFT_264341	rna-XM_018334566.1		None	None
gene-L228DRAFT_279169	rna-XM_018335652.1	PF00293.35	Partial	None
gene-L228DRAFT_989	rna-XM_018337040.1		None	None
gene-L228DRAFT_271885	rna-XM_018335578.1	PF04045.20	Partial	None
gene-L228DRAFT_242286	rna-XM_018331406.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04003.18,PF25172.2,PF25173.2	Complete	None
gene-L228DRAFT_215946	rna-XM_018330102.1	PF07019.18	Partial	None
gene-L228DRAFT_235036	rna-XM_018330684.1	PF00705.24,PF02747.21,PF04139.19,PF12632.13	Complete	None
gene-L228DRAFT_264346	rna-XM_018334567.1	PF08543.18	Partial	None
gene-L228DRAFT_242291	rna-XM_018331407.1	PF00692.25,PF22769.2	Partial	None
gene-L228DRAFT_279174	rna-XM_018335653.1	PF01565.29,PF08031.18	Complete	None
gene-L228DRAFT_215956	rna-XM_018330103.1	PF08920.16,PF22646.3	Complete	None
gene-L228DRAFT_264350	rna-XM_018334568.1	PF00096.33,PF00096.33,PF12874.14,PF13894.13	Complete	None
gene-L228DRAFT_1216	rna-XM_018328999.1		None	None
gene-L228DRAFT_242301	rna-XM_018331408.1	PF00406.30,PF00406.30,PF05191.21,PF13207.13	Complete	None
gene-L228DRAFT_235044	rna-XM_018330685.1	PF07766.20	Partial	None
gene-L228DRAFT_279180	rna-XM_018335654.1	PF01557.24	Partial	None
gene-L228DRAFT_264355	rna-XM_018334569.1		None	None
gene-L228DRAFT_264356	rna-XM_018334570.1		None	None
gene-L228DRAFT_242304	rna-XM_018331409.1	PF01480.23	Partial	None
gene-L228DRAFT_242306	rna-XM_018331410.1	PF09340.16	Partial	None
gene-L228DRAFT_206194	rna-XM_018329668.1	PF09423.16,PF19050.6,PF19050.6	Partial	None
gene-L228DRAFT_279185	rna-XM_018335655.1		None	None
gene-L228DRAFT_206359	rna-XM_018329675.1	PF02222.28,PF02222.28,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF07478.19,PF25596.2,PF25596.2	Complete	None
gene-L228DRAFT_257439	rna-XM_018333983.1	PF08590.16,PF14608.13,PF14608.13,PF28536.1	Complete	None
gene-L228DRAFT_257440	rna-XM_018333984.1	PF09335.17	Partial	None
gene-L228DRAFT_215975	rna-XM_018330104.1	PF00787.30,PF09325.16	Partial	None
gene-L228DRAFT_t22	gene-L228DRAFT_t22		None	None
gene-L228DRAFT_279190	rna-XM_018335656.1	PF00082.28,PF01483.28	Complete	None
gene-L228DRAFT_279191	rna-XM_018335657.1	PF00270.36,PF00270.36,PF00271.38,PF02889.22,PF02889.22,PF04851.22,PF04851.22,PF18149.7,PF21188.3,PF23445.2,PF23445.2	Complete	None
gene-L228DRAFT_242315	rna-XM_018331411.1		None	None
gene-L228DRAFT_1486	rna-XM_018329258.1	PF01370.28	Partial	None
gene-L228DRAFT_235059	rna-XM_018330686.1	PF05020.21,PF05021.21	Partial	None
gene-L228DRAFT_242319	rna-XM_018331412.1	PF09802.15	Partial	None
gene-L228DRAFT_242320	rna-XM_018331413.1	PF08445.17,PF28379.1	Complete	None
gene-L228DRAFT_279197	rna-XM_018335658.1		None	None
