gene_id	pfam_ids	go_ids	bin_id
gene-QBC37DRAFT_407678		NA	100
gene-QBC37DRAFT_26	PF13641.13	NA	100
gene-QBC37DRAFT_477092		NA	100
gene-QBC37DRAFT_60		NA	100
gene-QBC37DRAFT_407689	PF06423.19	GO:0006506,GO:0016020,GO:0016746	8
gene-QBC37DRAFT_t17		NA	100
gene-QBC37DRAFT_84	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-QBC37DRAFT_271207	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
gene-QBC37DRAFT_t1		NA	100
gene-QBC37DRAFT_137		NA	100
gene-QBC37DRAFT_407701	PF01425.27	NA	100
gene-QBC37DRAFT_407705		NA	100
gene-QBC37DRAFT_393839	PF00320.34,PF00989.32,PF08447.19,PF14598.13	GO:0005515,GO:0006355,GO:0043565	4
gene-QBC37DRAFT_477100	PF13476.13,PF13558.13	GO:0006302,GO:0016887	3
gene-QBC37DRAFT_393841	PF09184.17	GO:0019888,GO:0030289	100
gene-QBC37DRAFT_312		NA	100
gene-QBC37DRAFT_346	PF10607.15,PF13445.13	NA	100
gene-QBC37DRAFT_302070	PF25995.1,PF28231.1	NA	100
gene-QBC37DRAFT_367076		NA	100
gene-QBC37DRAFT_407729	PF00152.26,PF01336.32	GO:0000166,GO:0003676,GO:0004812,GO:0005524,GO:0006418	4
gene-QBC37DRAFT_393846		NA	100
gene-QBC37DRAFT_402	PF15406.13	NA	100
gene-QBC37DRAFT_394		NA	100
gene-QBC37DRAFT_271251	PF00072.31,PF00512.32,PF02518.32,PF26131.1	GO:0000155,GO:0000160,GO:0007165	3
gene-QBC37DRAFT_483		NA	100
gene-QBC37DRAFT_506	PF00171.28	GO:0016491	8
gene-QBC37DRAFT_435991	PF01212.28,PF04082.24	GO:0003677,GO:0006351,GO:0006520,GO:0008270,GO:0016829	4
gene-QBC37DRAFT_555	PF01204.25,PF22422.3	GO:0004555,GO:0005991	8
gene-QBC37DRAFT_393855		NA	100
gene-QBC37DRAFT_367087		NA	100
gene-QBC37DRAFT_731	PF02144.22	GO:0000077	3
gene-QBC37DRAFT_367089		NA	100
gene-QBC37DRAFT_734	PF00439.31,PF00583.32	GO:0005515,GO:0016747	8
gene-QBC37DRAFT_407770	PF16755.12	NA	100
gene-QBC37DRAFT_329753	PF00227.32,PF12465.14	GO:0005839,GO:0030163	8
gene-QBC37DRAFT_769	PF08238.19,PF08238.19,PF08238.19	NA	100
gene-QBC37DRAFT_783	PF13302.14	GO:0016747	8
gene-QBC37DRAFT_468682	PF07970.18,PF13850.12	NA	100
gene-QBC37DRAFT_810	PF04080.20	GO:0006506	8
gene-QBC37DRAFT_367097	PF28255.1	NA	100
gene-QBC37DRAFT_436001	PF02541.23,PF23566.2	NA	100
gene-QBC37DRAFT_393867		NA	100
gene-QBC37DRAFT_271228	PF26013.1	NA	100
gene-QBC37DRAFT_1030	PF27934.1	NA	100
gene-QBC37DRAFT_393870	PF12273.14	NA	100
gene-QBC37DRAFT_393871	PF00380.26	GO:0003735,GO:0005840,GO:0006412	4
gene-QBC37DRAFT_1106	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
gene-QBC37DRAFT_468689	PF00264.26,PF00562.34,PF04560.26,PF04561.20,PF04563.21,PF04565.22,PF06883.18,PF18132.7	GO:0003677,GO:0003899,GO:0005634,GO:0006351,GO:0016491	4
gene-QBC37DRAFT_393876	PF01399.34	NA	100
gene-QBC37DRAFT_271179	PF00069.32,PF00498.32,PF07714.24,PF14531.13,PF17667.8	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
gene-QBC37DRAFT_1221	PF03073.21	GO:0016020	100
gene-QBC37DRAFT_1317	PF04959.20,PF12066.14,PF13821.12	NA	100
gene-QBC37DRAFT_393880	PF00406.30,PF13207.13,PF13238.13	NA	100
gene-QBC37DRAFT_1382	PF30929.1	NA	100
gene-QBC37DRAFT_t16		NA	100
gene-QBC37DRAFT_t2		NA	100
gene-QBC37DRAFT_393882		NA	100
gene-QBC37DRAFT_445324	PF00009.34,PF03144.32,PF09173.18	GO:0003924,GO:0005525	8
gene-QBC37DRAFT_407840	PF17104.11	NA	100
gene-QBC37DRAFT_407842	PF05064.19,PF13634.12,PF13634.12,PF13634.12	NA	100
gene-QBC37DRAFT_367119	PF04568.18	GO:0005739,GO:0032780,GO:0042030	100
gene-QBC37DRAFT_436013	PF00244.27	NA	100
gene-QBC37DRAFT_1606	PF00226.37,PF05207.19	NA	100
gene-QBC37DRAFT_393889	PF18126.7	NA	100
