gene_id	pfam_ids	go_ids	bin_id
gene-PHYBLDRAFT_137810		NA	100
gene-PHYBLDRAFT_160916		NA	100
gene-PHYBLDRAFT_160917		NA	100
gene-PHYBLDRAFT_74144		NA	100
gene-PHYBLDRAFT_160919		NA	100
gene-PHYBLDRAFT_160920		NA	100
gene-PHYBLDRAFT_160921		NA	100
gene-PHYBLDRAFT_t27		NA	100
gene-PHYBLDRAFT_73886		NA	100
gene-PHYBLDRAFT_137818		NA	100
gene-PHYBLDRAFT_137820		NA	100
gene-PHYBLDRAFT_137821		NA	100
gene-PHYBLDRAFT_160923		NA	100
gene-PHYBLDRAFT_137824		NA	100
gene-PHYBLDRAFT_73964		NA	100
gene-PHYBLDRAFT_9972		NA	100
gene-PHYBLDRAFT_160927		NA	100
gene-PHYBLDRAFT_137828		NA	100
gene-PHYBLDRAFT_137829	PF14529.13	GO:0003824	8
gene-PHYBLDRAFT_160929		NA	100
gene-PHYBLDRAFT_160930		NA	100
gene-PHYBLDRAFT_160931		NA	100
gene-PHYBLDRAFT_160932	PF03372.30,PF14529.13	GO:0003824	8
gene-PHYBLDRAFT_137835		NA	100
gene-PHYBLDRAFT_160934		NA	100
gene-PHYBLDRAFT_160935		NA	100
gene-PHYBLDRAFT_160936		NA	100
gene-PHYBLDRAFT_160937	PF14529.13	GO:0003824	8
gene-PHYBLDRAFT_61335		NA	100
gene-PHYBLDRAFT_137842		NA	100
gene-PHYBLDRAFT_160940		NA	100
gene-PHYBLDRAFT_61339		NA	100
gene-PHYBLDRAFT_137847	PF14214.12	NA	100
gene-PHYBLDRAFT_160943		NA	100
gene-PHYBLDRAFT_137849		NA	100
gene-PHYBLDRAFT_184236	PF00899.28,PF08825.16	GO:0019781,GO:0045116	8
gene-PHYBLDRAFT_137851	PF26191.1,PF26200.2	NA	100
gene-PHYBLDRAFT_61350		NA	100
gene-PHYBLDRAFT_137853	PF12239.14	NA	100
gene-PHYBLDRAFT_178533		NA	100
gene-PHYBLDRAFT_104965	PF00617.25,PF00618.26	GO:0005085,GO:0007264	3
gene-PHYBLDRAFT_76644	PF00400.39,PF00400.39	GO:0005515	100
gene-PHYBLDRAFT_160955		NA	100
gene-PHYBLDRAFT_87361	PF00696.34,PF04768.21	NA	100
gene-PHYBLDRAFT_129059	PF01053.27,PF30496.1	GO:0019346,GO:0030170	8
gene-PHYBLDRAFT_178537		NA	100
gene-PHYBLDRAFT_178538		NA	100
gene-PHYBLDRAFT_137862		NA	100
gene-PHYBLDRAFT_160960	PF00621.26,PF00780.29,PF00780.29	GO:0005085	100
gene-PHYBLDRAFT_160961		NA	100
gene-PHYBLDRAFT_156846		NA	100
gene-PHYBLDRAFT_160962	PF00134.29,PF08613.17	GO:0000079,GO:0019901	100
gene-PHYBLDRAFT_129062	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-PHYBLDRAFT_156848	PF00097.32,PF13445.13,PF13639.13,PF13920.13,PF13923.13,PF14634.13	GO:0046872	100
gene-PHYBLDRAFT_17446	PF00076.29,PF00806.26,PF00806.26	GO:0003723	4
gene-PHYBLDRAFT_61366		NA	100
gene-PHYBLDRAFT_137874		NA	100
gene-PHYBLDRAFT_137876		NA	100
gene-PHYBLDRAFT_137877		NA	100
gene-PHYBLDRAFT_137878	PF13359.13	NA	100
gene-PHYBLDRAFT_160972		NA	100
gene-PHYBLDRAFT_137880	PF12762.14	NA	100
gene-PHYBLDRAFT_61374		NA	100
gene-PHYBLDRAFT_137881		NA	100
gene-PHYBLDRAFT_102485		NA	100
gene-PHYBLDRAFT_160977		NA	100
gene-PHYBLDRAFT_160978		NA	100
gene-PHYBLDRAFT_137885		NA	100
gene-PHYBLDRAFT_t1		NA	100
gene-PHYBLDRAFT_61381	PF00454.34,PF02259.30,PF02260.26,PF08163.19,PF19704.6,PF19704.6,PF20500.5,PF20502.5	GO:0005515,GO:0005634,GO:0006303	3
gene-PHYBLDRAFT_61382		NA	100
gene-PHYBLDRAFT_178542	PF00156.34	NA	100
gene-PHYBLDRAFT_93225	PF00505.26,PF09011.17	NA	100
gene-PHYBLDRAFT_61385		NA	100
gene-PHYBLDRAFT_100201	PF10058.15,PF31016.1	NA	100
gene-PHYBLDRAFT_76654	PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-PHYBLDRAFT_137897		NA	100
gene-PHYBLDRAFT_178545	PF01201.28	NA	100
gene-PHYBLDRAFT_61391		NA	100
gene-PHYBLDRAFT_160990	PF04910.21	NA	100
gene-PHYBLDRAFT_99199	PF05495.18,PF13639.13,PF14599.12	GO:0008270	100
gene-PHYBLDRAFT_160992		NA	100
gene-PHYBLDRAFT_104822	PF03798.22	GO:0016020	100
gene-PHYBLDRAFT_153860	PF00262.26,PF00262.26,PF00262.26	GO:0005509,GO:0005783,GO:0006457,GO:0051082	5
gene-PHYBLDRAFT_129079	PF00475.25	GO:0000105,GO:0004424	8
gene-PHYBLDRAFT_129081		NA	100
gene-PHYBLDRAFT_178552	PF11559.14	NA	100
gene-PHYBLDRAFT_160999		NA	100
gene-PHYBLDRAFT_61401	PF00010.32	GO:0046983	100
gene-PHYBLDRAFT_76662	PF01302.32	NA	100
gene-PHYBLDRAFT_100240	PF10496.15	NA	100
gene-PHYBLDRAFT_137911		NA	100
gene-PHYBLDRAFT_176481	PF00122.26,PF00690.32,PF13246.13	NA	100
gene-PHYBLDRAFT_184259	PF00447.24	GO:0003700,GO:0006355,GO:0043565	3
gene-PHYBLDRAFT_137914	PF01068.27,PF14743.13	GO:0003910,GO:0005524,GO:0006281,GO:0006310	3
gene-PHYBLDRAFT_61408		NA	100
gene-PHYBLDRAFT_137916		NA	100
gene-PHYBLDRAFT_137917		NA	100
gene-PHYBLDRAFT_137918	PF03942.21	NA	100
gene-PHYBLDRAFT_55743	PF03647.19	GO:0016020	100
gene-PHYBLDRAFT_17947		NA	100
gene-PHYBLDRAFT_156861		NA	100
gene-PHYBLDRAFT_36860	PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-PHYBLDRAFT_161012	PF10184.16	NA	100
gene-PHYBLDRAFT_120337	PF04116.20	NA	100
gene-PHYBLDRAFT_61417	PF26163.1	GO:0003735	4
gene-PHYBLDRAFT_129099	PF03006.27	GO:0016020	100
gene-PHYBLDRAFT_178562	PF00046.36,PF05920.18	GO:0003677,GO:0006355	4
gene-PHYBLDRAFT_184267	PF00293.35	NA	100
gene-PHYBLDRAFT_161018	PF03547.24	GO:0016020,GO:0055085	6
gene-PHYBLDRAFT_137930	PF04157.23	NA	100
gene-PHYBLDRAFT_61423	PF18126.7	NA	100
gene-PHYBLDRAFT_61424		NA	100
gene-PHYBLDRAFT_105061	PF04111.18,PF17675.7	NA	100
gene-PHYBLDRAFT_153869	PF01008.24	NA	100
gene-PHYBLDRAFT_95212		NA	100
gene-PHYBLDRAFT_161025		NA	100
gene-PHYBLDRAFT_61429		NA	100
gene-PHYBLDRAFT_61430		NA	100
gene-PHYBLDRAFT_178566		NA	100
gene-PHYBLDRAFT_161028		NA	100
gene-PHYBLDRAFT_178567	PF12763.14,PF12763.14,PF12763.14	GO:0005515	100
gene-PHYBLDRAFT_17694	PF05328.18	NA	100
gene-PHYBLDRAFT_129105		NA	100
gene-PHYBLDRAFT_178569	PF03942.21	NA	100
gene-PHYBLDRAFT_104926	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene-PHYBLDRAFT_95352		NA	100
gene-PHYBLDRAFT_153870	PF02809.27,PF02809.27,PF02809.27,PF04056.21,PF13519.13	NA	100
gene-PHYBLDRAFT_176486	PF09768.16	GO:0004222	8
gene-PHYBLDRAFT_104675	PF00069.32,PF06479.18,PF07714.24	GO:0004540,GO:0004672,GO:0005524,GO:0006397,GO:0006468	1
gene-PHYBLDRAFT_137947	PF01709.27,PF20772.3	NA	100
gene-PHYBLDRAFT_137948	PF00134.29	NA	100
gene-PHYBLDRAFT_61444	PF03134.25	NA	100
gene-PHYBLDRAFT_137950	PF00651.38,PF01344.32,PF07646.22,PF24681.2,PF24681.2,PF24981.2	GO:0005515	100
gene-PHYBLDRAFT_129115	PF00238.25	GO:0003735,GO:0005840,GO:0006412	4
gene-PHYBLDRAFT_178573	PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
gene-PHYBLDRAFT_153875	PF01174.26,PF07685.21	GO:0003824,GO:0004359,GO:0042819,GO:0042823	8
gene-PHYBLDRAFT_56856	PF08449.18	GO:0055085	6
gene-PHYBLDRAFT_17957	PF00501.35,PF13193.13	NA	100
gene-PHYBLDRAFT_161047		NA	100
gene-PHYBLDRAFT_178574	PF24681.2	NA	100
gene-PHYBLDRAFT_156870	PF13966.12	NA	100
gene-PHYBLDRAFT_137959		NA	100
gene-PHYBLDRAFT_61455		NA	100
gene-PHYBLDRAFT_29138		NA	100
gene-PHYBLDRAFT_61456	PF02184.23,PF05843.21,PF23231.2,PF23233.2,PF23233.2,PF23240.2,PF23240.2,PF23240.2,PF23240.2,PF23240.2,PF23241.2,PF23241.2	GO:0005634,GO:0006396	8
gene-PHYBLDRAFT_137964	PF06221.19	GO:0005634,GO:0008270,GO:0072344,GO:0180022	8
gene-PHYBLDRAFT_137965		NA	100
gene-PHYBLDRAFT_105039	PF00004.36,PF17862.8	GO:0005524,GO:0016887	8
gene-PHYBLDRAFT_161056	PF00117.35,PF06418.21,PF07722.20	GO:0003883,GO:0006221,GO:0016787	8
gene-PHYBLDRAFT_156872	PF00466.26	NA	100
gene-PHYBLDRAFT_184284	PF03366.23,PF20305.5	NA	100
gene-PHYBLDRAFT_103082	PF23230.1	NA	100
gene-PHYBLDRAFT_137971		NA	100
gene-PHYBLDRAFT_178582	PF04054.22,PF12842.13,PF16415.12,PF16417.12,PF16418.12,PF23590.2,PF25097.2	NA	100
gene-PHYBLDRAFT_178583		NA	100
gene-PHYBLDRAFT_137974		NA	100
gene-PHYBLDRAFT_129134	PF01244.29	GO:0006508,GO:0070573	5
gene-PHYBLDRAFT_161062	PF06888.19	GO:0016791	8
gene-PHYBLDRAFT_120377	PF03982.19	GO:0008374	8
gene-PHYBLDRAFT_161064		NA	100
gene-PHYBLDRAFT_156876		NA	100
gene-PHYBLDRAFT_95221		NA	100
gene-PHYBLDRAFT_105105		NA	100
gene-PHYBLDRAFT_184290	PF06941.18	GO:0008253,GO:0009264	8
gene-PHYBLDRAFT_161070		NA	100
gene-PHYBLDRAFT_61476		NA	100
gene-PHYBLDRAFT_178590	PF00258.31,PF01077.28,PF01855.25,PF03460.23,PF03460.23,PF17147.10	GO:0010181,GO:0016491,GO:0020037,GO:0051536	8
gene-PHYBLDRAFT_137985		NA	100
gene-PHYBLDRAFT_156877		NA	100
gene-PHYBLDRAFT_36910	PF08718.17	GO:0005737,GO:0120009,GO:0120013	6
gene-PHYBLDRAFT_161078		NA	100
gene-PHYBLDRAFT_96974	PF00732.26,PF00890.31,PF05199.20,PF13450.13	GO:0016614,GO:0050660	8
gene-PHYBLDRAFT_161081		NA	100
gene-PHYBLDRAFT_161082		NA	100
gene-PHYBLDRAFT_137995		NA	100
gene-PHYBLDRAFT_36918	PF03357.27	GO:0007034	6
gene-PHYBLDRAFT_137999	PF00400.39,PF00400.39,PF00646.39,PF12894.14,PF12937.13	GO:0005515	100
gene-PHYBLDRAFT_178598		NA	100
gene-PHYBLDRAFT_178599	PF00076.29,PF05383.24	GO:0003723	4
gene-PHYBLDRAFT_17816	PF00254.35	GO:0003755	8
gene-PHYBLDRAFT_138003	PF00134.29	NA	100
