protein_id	length
GML000001_mRNA1	337
GML000101_mRNA1	83
GML000201_mRNA1	204
GML000301_mRNA1	1907
GML000401_mRNA1	764
GML000501_mRNA1	793
GML000601_mRNA1	183
GML000701_mRNA1	360
GML000801_mRNA1	57
GML000901_mRNA1	493
GML001001_mRNA1	749
GML001101_mRNA1	479
GML001201_mRNA1	138
GML001301_mRNA1	586
GML001401_mRNA1	516
GML001501_mRNA1	212
GML001601_mRNA1	149
GML001701_mRNA1	443
GML001801_mRNA1	389
GML001901_mRNA1	573
GML002001_mRNA1	400
GML002101_mRNA1	470
GML002201_mRNA1	1745
GML002301_mRNA1	299
GML002401_mRNA1	726
GML002501_mRNA1	170
GML002601_mRNA1	207
GML002701_mRNA1	177
GML002801_mRNA1	243
GML002901_mRNA1	152
GML003001_mRNA1	278
GML003101_mRNA1	511
GML003201_mRNA1	401
GML003301_mRNA1	533
GML003401_mRNA1	1474
GML003501_mRNA1	319
GML003601_mRNA1	221
GML003701_mRNA1	179
GML003801_mRNA1	375
GML003901_mRNA1	558
GML004001_mRNA1	411
GML004101_mRNA1	184
GML004201_mRNA1	136
GML004301_mRNA1	446
GML004401_mRNA1	163
GML004501_mRNA1	286
GML004601_mRNA1	510
GML004701_mRNA1	1471
GML004801_mRNA1	1362
GML004901_mRNA1	615
GML005001_mRNA1	457
GML005101_mRNA1	164
GML005201_mRNA1	597
GML005301_mRNA1	568
GML005401_mRNA1	404
GML005501_mRNA1	1525
GML005601_mRNA1	282
GML005701_mRNA1	1019
GML005801_mRNA1	145
GML005901_mRNA1	187
GML006001_mRNA1	752
GML006101_mRNA1	818
GML006201_mRNA1	585
GML006301_mRNA1	168
GML006401_mRNA1	506
GML006501_mRNA1	532
GML006601_mRNA1	267
GML006701_mRNA1	660
GML006801_mRNA1	523
GML006901_mRNA1	758
GML007001_mRNA1	92
GML007101_mRNA1	490
GML007201_mRNA1	803
GML007301_mRNA1	379
GML007401_mRNA1	687
GML007501_mRNA1	742
GML007601_mRNA1	519
GML007701_mRNA1	516
GML007801_mRNA1	415
GML007901_mRNA1	1194
GML008001_mRNA1	1506
GML008101_mRNA1	180
GML008201_mRNA1	165
GML008301_mRNA1	854
GML008401_mRNA1	511
GML008501_mRNA1	407
GML008601_mRNA1	382
GML008701_mRNA1	875
GML008801_mRNA1	281
GML008901_mRNA1	154
GML009001_mRNA1	580
GML009101_mRNA1	190
GML009201_mRNA1	158
GML009301_mRNA1	55
GML009401_mRNA1	537
GML009501_mRNA1	1061
GML009601_mRNA1	376
GML009701_mRNA1	777
GML009801_mRNA1	268
GML009901_mRNA1	429
GML010001_mRNA1	778
GML010101_mRNA1	304
GML010201_mRNA1	278
GML010301_mRNA1	269
GML010401_mRNA1	137
GML010501_mRNA1	152
GML010601_mRNA1	608
GML010701_mRNA1	1037
GML010801_mRNA1	804
GML010901_mRNA1	114
GML011001_mRNA1	261
GML011101_mRNA1	730
GML011201_mRNA1	897
GML011301_mRNA1	780
GML011401_mRNA1	83
GML011501_mRNA1	548
GML011601_mRNA1	681
GML011701_mRNA1	417
GML011801_mRNA1	145
GML011901_mRNA1	388
GML012001_mRNA1	112
GML012101_mRNA1	351
