gene_id	pfam_ids	go_ids	bin_id
gene-PSEUBRA_000001	PF01261.31	NA	100
gene-PSEUBRA_000002	PF00226.37,PF00684.26,PF01556.24	GO:0031072,GO:0051082	100
gene-PSEUBRA_000003	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-PSEUBRA_000004		NA	100
gene-PSEUBRA_000005	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-PSEUBRA_000006	PF00583.32	GO:0016747	8
gene-PSEUBRA_000007	PF00724.27	GO:0010181,GO:0016491	8
gene-PSEUBRA_000008		NA	100
gene-PSEUBRA_000009		NA	100
gene-PSEUBRA_000010		NA	100
gene-PSEUBRA_000011		NA	100
gene-PSEUBRA_000012		NA	100
gene-PSEUBRA_000013	PF07971.19,PF17678.8	NA	100
gene-PSEUBRA_000014	PF04525.20	NA	100
gene-PSEUBRA_000015	PF02544.22,PF04140.20,PF06966.18	GO:0004671,GO:0006481,GO:0006629,GO:0016020,GO:0016627	8
gene-PSEUBRA_000016	PF04515.19	GO:0022857,GO:0055085	6
gene-PSEUBRA_000017	PF04525.20	NA	100
gene-PSEUBRA_000018	PF00501.35	NA	100
gene-PSEUBRA_000019	PF05180.18	GO:0008270	100
gene-PSEUBRA_000020	PF01425.27	NA	100
gene-PSEUBRA_000021		NA	100
gene-PSEUBRA_000022	PF01472.27,PF17832.8,PF26292.1	GO:0003723	4
gene-PSEUBRA_000023	PF24913.2,PF24913.2	NA	100
gene-PSEUBRA_000024	PF07690.22	GO:0022857,GO:0055085	6
gene-PSEUBRA_000025	PF00903.32	NA	100
gene-PSEUBRA_000026	PF03969.23	GO:0005524,GO:0016887	8
gene-PSEUBRA_000027		NA	100
gene-PSEUBRA_000028	PF03009.24	GO:0006629,GO:0008081	8
gene-PSEUBRA_000029	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-PSEUBRA_000030	PF03006.27	GO:0016020	100
gene-PSEUBRA_000031	PF04387.20	NA	100
gene-PSEUBRA_000032	PF00494.25	GO:0009058	8
gene-PSEUBRA_000033	PF07859.20,PF20434.6	GO:0016787	8
gene-PSEUBRA_000034		NA	100
gene-PSEUBRA_000035	PF00561.27,PF12146.16,PF12697.14	NA	100
gene-PSEUBRA_000036		NA	100
gene-PSEUBRA_000037	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-PSEUBRA_000038	PF05724.18,PF08241.19,PF13649.13	GO:0008757	8
gene-PSEUBRA_000039		NA	100
gene-PSEUBRA_000040	PF05153.22	GO:0005506,GO:0005737,GO:0019310,GO:0050113	2
gene-PSEUBRA_000041	PF24840.2	NA	100
gene-PSEUBRA_000042	PF01619.25,PF01619.25	NA	100
gene-PSEUBRA_006424		NA	100
gene-PSEUBRA_000043	PF04193.20,PF04193.20	NA	100
gene-PSEUBRA_000044		NA	100
gene-PSEUBRA_000045		NA	100
gene-PSEUBRA_000046	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-PSEUBRA_000047	PF03937.22	NA	100
gene-PSEUBRA_000048		NA	100
gene-PSEUBRA_000049	PF00070.34,PF00355.33,PF07992.21	GO:0016491,GO:0051537	8
gene-PSEUBRA_000050		NA	100
gene-PSEUBRA_000051	PF00226.37	NA	100
gene-PSEUBRA_000052		NA	100
gene-PSEUBRA_000053	PF03313.22,PF03315.22	GO:0003941,GO:0006094,GO:0051539	8
gene-PSEUBRA_000054		NA	100
gene-PSEUBRA_000055	PF13523.13	NA	100
gene-PSEUBRA_000056	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-PSEUBRA_000057	PF00724.27	GO:0010181,GO:0016491	8
gene-PSEUBRA_000058	PF12597.14	GO:0005743,GO:0033617	100
gene-PSEUBRA_000059	PF07719.24,PF13432.13,PF13432.13	NA	100
gene-PSEUBRA_000060	PF06687.18	GO:0005886	100
gene-PSEUBRA_000061		NA	100
gene-PSEUBRA_000062	PF01565.29,PF04030.20,PF04030.20	GO:0003885,GO:0016020,GO:0050660	8
gene-PSEUBRA_000063		NA	100
gene-PSEUBRA_000064	PF07264.18	NA	100
gene-PSEUBRA_006425		NA	100
gene-PSEUBRA_000065	PF01490.25	NA	100
gene-PSEUBRA_000066	PF04588.19	NA	100
gene-PSEUBRA_000067	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-PSEUBRA_000068	PF00581.26,PF00581.26	NA	100
gene-PSEUBRA_000069		NA	100
gene-PSEUBRA_006426		NA	100
gene-PSEUBRA_000070		NA	100
gene-PSEUBRA_000071		NA	100
gene-PSEUBRA_000072	PF00026.29	NA	100
gene-PSEUBRA_000073	PF01042.27	NA	100
gene-PSEUBRA_000074		NA	100
gene-PSEUBRA_000075	PF02207.26,PF02617.23,PF18995.6,PF22960.3,PF30856.1	GO:0008270,GO:0030163	8
gene-PSEUBRA_000076	PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-PSEUBRA_000077	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-PSEUBRA_000078	PF08426.16,PF08426.16	NA	100
gene-PSEUBRA_000079	PF01916.24	GO:0008612	8
gene-PSEUBRA_000080		NA	100
