gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1		None	None
GML000001	GML000001_mRNA2		None	Unchanged
GML000002	GML000002_mRNA1		None	None
GML000003	GML000003_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000003	GML000003_mRNA2	PF00270.36,PF00271.38,PF04851.22	Complete	Unchanged
GML000004	GML000004_mRNA1	PF09458.17,PF09458.17,PF09458.17	Complete	None
GML000004	GML000004_mRNA2	PF09458.17,PF09458.17,PF09458.17	Complete	Unchanged
GML000005	GML000005_mRNA1	PF09458.17,PF09458.17,PF09458.17	Complete	None
GML000005	GML000005_mRNA2	PF09458.17,PF09458.17,PF09458.17	Complete	Unchanged
GML000006	GML000006_mRNA1	PF00447.24	Partial	None
GML000007	GML000007_mRNA1		None	None
GML000008	GML000008_mRNA1	PF00072.31	Complete	None
GML000009	GML000009_mRNA1	PF20151.5	Partial	None
GML000009	GML000009_mRNA2	PF20151.5	Partial	Unchanged
GML000010	GML000010_mRNA1	PF20151.5	Partial	None
GML000010	GML000010_mRNA2	PF20151.5	Partial	Unchanged
GML000011	GML000011_mRNA1		None	None
GML000012	GML000012_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF13360.14,PF23098.2,PF24883.3	Complete	None
GML000013	GML000013_mRNA1		None	None
GML000014	GML000014_mRNA1		None	None
GML000014	GML000014_mRNA2		None	Unchanged
GML000014	GML000014_mRNA3		None	Unchanged
GML000015	GML000015_mRNA1	PF01255.25	Partial	None
GML000016	GML000016_mRNA1	PF01255.25	Partial	None
GML000017	GML000017_mRNA1		None	None
GML000018	GML000018_mRNA1		None	None
GML000019	GML000019_mRNA1		None	None
GML000020	GML000020_mRNA1		None	None
GML000020	GML000020_mRNA2		None	Unchanged
GML000020	GML000020_mRNA3		None	Unchanged
GML000021	GML000021_mRNA1		None	None
GML000022	GML000022_mRNA1		None	None
GML000023	GML000023_mRNA1		None	None
GML000023	GML000023_mRNA2		None	Unchanged
GML000023	GML000023_mRNA3		None	Unchanged
GML000024	GML000024_mRNA1		None	None
GML000024	GML000024_mRNA2		None	Unchanged
GML000025	GML000025_mRNA1	PF04434.23	Complete	None
GML000026	GML000026_mRNA1		None	None
GML000026	GML000026_mRNA2		None	Unchanged
GML000026	GML000026_mRNA3		None	Unchanged
GML000027	GML000027_mRNA1	PF00646.39,PF12937.13	Partial	None
GML000028	GML000028_mRNA1		None	None
GML000029	GML000029_mRNA1	PF01535.27,PF01535.27	Complete	None
GML000030	GML000030_mRNA1	PF12998.13	Partial	None
GML000030	GML000030_mRNA2	PF12998.13	Partial	Unchanged
GML000030	GML000030_mRNA3	PF12998.13	Partial	Unchanged
GML000031	GML000031_mRNA1	PF07690.22,PF07690.22	Partial	None
GML000031	GML000031_mRNA2	PF07690.22,PF07690.22	Partial	Unchanged
GML000032	GML000032_mRNA1		None	None
GML000033	GML000033_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000034	GML000034_mRNA1	PF00782.26,PF04179.18	Partial	None
GML000035	GML000035_mRNA1	PF00400.39	Partial	None
GML000035	GML000035_mRNA2	PF00400.39	Partial	Unchanged
GML000035	GML000035_mRNA3	PF00400.39	Partial	Unchanged
GML000036	GML000036_mRNA1		None	None
GML000036	GML000036_mRNA2		None	Unchanged
GML000037	GML000037_mRNA1		None	None
GML000037	GML000037_mRNA2		None	Unchanged
GML000038	GML000038_mRNA1		None	None
GML000039	GML000039_mRNA1		None	None
GML000040	GML000040_mRNA1	PF00400.39	Partial	None
GML000040	GML000040_mRNA2	PF00400.39	Partial	Unchanged
GML000041	GML000041_mRNA1		None	None
GML000041	GML000041_mRNA2		None	Unchanged
GML000042	GML000042_mRNA1		None	None
GML000042	GML000042_mRNA2		None	Unchanged
GML000042	GML000042_mRNA3		None	Unchanged
GML000043	GML000043_mRNA1		None	None
GML000043	GML000043_mRNA2		None	Unchanged
GML000044	GML000044_mRNA1		None	None
GML000045	GML000045_mRNA1		None	None
GML000046	GML000046_mRNA1	PF00400.39	Partial	None
GML000047	GML000047_mRNA1	PF02992.21	Complete	None
GML000048	GML000048_mRNA1		None	None
GML000048	GML000048_mRNA2		None	Unchanged
GML000049	GML000049_mRNA1		None	None
GML000050	GML000050_mRNA1		None	None
GML000050	GML000050_mRNA2		None	Unchanged
GML000051	GML000051_mRNA1		None	None
GML000052	GML000052_mRNA1		None	None
GML000053	GML000053_mRNA1	PF12949.14	Partial	None
GML000054	GML000054_mRNA1		None	None
GML000055	GML000055_mRNA1		None	None
GML000056	GML000056_mRNA1	PF00025.28,PF00071.29,PF01926.30,PF08477.20	Partial	None
GML000057	GML000057_mRNA1		None	None
GML000058	GML000058_mRNA1		None	None
GML000058	GML000058_mRNA2		None	Unchanged
GML000058	GML000058_mRNA3		None	Unchanged
GML000059	GML000059_mRNA1	PF00067.28	Partial	None
GML000060	GML000060_mRNA1	PF00067.28	Partial	None
GML000061	GML000061_mRNA1		None	None
GML000062	GML000062_mRNA1		None	None
GML000062	GML000062_mRNA2		None	Unchanged
GML000063	GML000063_mRNA1	PF00023.37,PF12796.14	Complete	None
GML000064	GML000064_mRNA1		None	None
GML000065	GML000065_mRNA1	PF07690.22	Partial	None
GML000065	GML000065_mRNA2	PF07690.22	Partial	Unchanged
GML000066	GML000066_mRNA1	PF01269.24	Partial	None
GML000067	GML000067_mRNA1		None	None
GML000068	GML000068_mRNA1	PF02366.25,PF02815.26,PF16192.11	Complete	None
GML000068	GML000068_mRNA2	PF02366.25,PF02815.26,PF16192.11	Complete	Unchanged
GML000069	GML000069_mRNA1		None	None
GML000070	GML000070_mRNA1		None	None
GML000071	GML000071_mRNA1		None	None
GML000072	GML000072_mRNA1	PF00083.31,PF07690.22	Partial	None
GML000073	GML000073_mRNA1		None	None
GML000074	GML000074_mRNA1	PF06293.21	Complete	None
GML000074	GML000074_mRNA2	PF06293.21	Complete	Unchanged
GML000074	GML000074_mRNA3	PF06293.21	Complete	Unchanged
GML000075	GML000075_mRNA1		None	None
GML000075	GML000075_mRNA2		None	Unchanged
GML000076	GML000076_mRNA1		None	None
GML000077	GML000077_mRNA1	PF02936.20	Partial	None
GML000078	GML000078_mRNA1	PF01398.27,PF13012.12	Partial	None
GML000079	GML000079_mRNA1	PF04037.19,PF04046.22	Complete	None
GML000080	GML000080_mRNA1	PF02752.28	Partial	None
GML000080	GML000080_mRNA2	PF02752.28	Partial	Unchanged
GML000081	GML000081_mRNA1		None	None
GML000081	GML000081_mRNA2		None	Unchanged
GML000082	GML000082_mRNA1		None	None
GML000083	GML000083_mRNA1		None	None
GML000083	GML000083_mRNA2		None	Unchanged
GML000084	GML000084_mRNA1	PF00501.35	Partial	None
GML000085	GML000085_mRNA1	PF00657.29,PF13472.13	Partial	None
GML000086	GML000086_mRNA1		None	None
GML000086	GML000086_mRNA2		None	Unchanged
GML000087	GML000087_mRNA1		None	None
GML000087	GML000087_mRNA2		None	Unchanged
GML000088	GML000088_mRNA1		None	None
GML000088	GML000088_mRNA2		None	Unchanged
GML000089	GML000089_mRNA1		None	None
GML000089	GML000089_mRNA2		None	Unchanged
GML000090	GML000090_mRNA1	PF12451.14	Complete	None
GML000091	GML000091_mRNA1	PF23266.2,PF23341.2,PF23356.2	Partial	None
GML000092	GML000092_mRNA1	PF23266.2,PF23341.2	Partial	None
GML000093	GML000093_mRNA1		None	None
GML000094	GML000094_mRNA1		None	None
GML000095	GML000095_mRNA1		None	None
GML000095	GML000095_mRNA2		None	Unchanged
GML000095	GML000095_mRNA3		None	Unchanged
GML000096	GML000096_mRNA1		None	None
GML000096	GML000096_mRNA2		None	Unchanged
GML000097	GML000097_mRNA1		None	None
GML000098	GML000098_mRNA1	PF00447.24	Partial	None
GML000098	GML000098_mRNA2	PF00447.24	Partial	Unchanged
GML000099	GML000099_mRNA1		None	None
GML000099	GML000099_mRNA2		None	Unchanged
GML000100	GML000100_mRNA1		None	None
GML000101	GML000101_mRNA1		None	None
GML000102	GML000102_mRNA1		None	None
GML000103	GML000103_mRNA1		None	None
GML000104	GML000104_mRNA1		None	None
GML000104	GML000104_mRNA2		None	Unchanged
GML000104	GML000104_mRNA3		None	Unchanged
GML000104	GML000104_mRNA4		None	Unchanged
GML000104	GML000104_mRNA5		None	Unchanged
GML000105	GML000105_mRNA1		None	None
GML000105	GML000105_mRNA2		None	Unchanged
GML000106	GML000106_mRNA1		None	None
GML000106	GML000106_mRNA2		None	Unchanged
GML000107	GML000107_mRNA1	PF19872.5	Partial	None
GML000108	GML000108_mRNA1		None	None
GML000108	GML000108_mRNA2		None	Unchanged
GML000109	GML000109_mRNA1		None	None
GML000109	GML000109_mRNA2		None	Unchanged
GML000110	GML000110_mRNA1	PF20236.4	Partial	None
GML000111	GML000111_mRNA1	PF08695.17	Partial	None
GML000112	GML000112_mRNA1	PF00722.29	Complete	None
GML000113	GML000113_mRNA1	PF13632.13,PF25550.2	Complete	None
GML000114	GML000114_mRNA1	PF00107.33,PF08240.18,PF13602.13	Partial	None
GML000114	GML000114_mRNA2	PF00107.33,PF08240.18,PF13602.13	Partial	Unchanged
GML000115	GML000115_mRNA1	PF00185.31,PF02729.27	Partial	None
GML000116	GML000116_mRNA1	PF19872.5	Complete	None
GML000117	GML000117_mRNA1		None	None
GML000118	GML000118_mRNA1	PF20151.5	Partial	None
GML000118	GML000118_mRNA2	PF20151.5	Partial	Unchanged
GML000119	GML000119_mRNA1	PF08561.16	Partial	None
GML000120	GML000120_mRNA1		None	None
GML000121	GML000121_mRNA1		None	None
GML000122	GML000122_mRNA1		None	None
GML000122	GML000122_mRNA2		None	Unchanged
GML000123	GML000123_mRNA1		None	None
GML000124	GML000124_mRNA1		None	None
GML000124	GML000124_mRNA2		None	Unchanged
GML000125	GML000125_mRNA1		None	None
GML000125	GML000125_mRNA2		None	Unchanged
GML000126	GML000126_mRNA1		None	None
GML000127	GML000127_mRNA1		None	None
GML000128	GML000128_mRNA1		None	None
GML000129	GML000129_mRNA1		None	None
GML000130	GML000130_mRNA1	PF14033.13,PF21666.3	Partial	None
GML000131	GML000131_mRNA1		None	None
GML000132	GML000132_mRNA1	PF00443.36	Complete	None
GML000132	GML000132_mRNA2	PF00443.36	Complete	Unchanged
GML000133	GML000133_mRNA1	PF14033.13,PF21666.3	Partial	None
GML000134	GML000134_mRNA1		None	None
GML000135	GML000135_mRNA1		None	None
GML000136	GML000136_mRNA1	PF04499.21	Partial	None
GML000137	GML000137_mRNA1		None	None
GML000138	GML000138_mRNA1	PF01909.30,PF03828.25,PF22600.3	Complete	None
GML000139	GML000139_mRNA1	PF12770.13	Complete	None
GML000139	GML000139_mRNA2	PF12770.13	Complete	Unchanged
GML000139	GML000139_mRNA3	PF12770.13	Partial	Truncated
GML000140	GML000140_mRNA1	PF00928.27,PF01217.27	Partial	None
GML000140	GML000140_mRNA2	PF00928.27,PF01217.27	Partial	Unchanged
GML000140	GML000140_mRNA3	PF00928.27,PF01217.27	Partial	Unchanged
GML000141	GML000141_mRNA1	PF04909.21	Partial	None
GML000142	GML000142_mRNA1		None	None
GML000142	GML000142_mRNA2		None	Unchanged
GML000142	GML000142_mRNA3		None	Unchanged
GML000143	GML000143_mRNA1		None	None
GML000143	GML000143_mRNA2		None	Unchanged
GML000144	GML000144_mRNA1		None	None
GML000145	GML000145_mRNA1	PF00646.39	Partial	None
GML000146	GML000146_mRNA1	PF13920.13,PF23202.2,PF23230.1,PF25447.2	Complete	None
GML000147	GML000147_mRNA1	PF03443.21	Partial	None
GML000147	GML000147_mRNA2	PF03443.21	Partial	Unchanged
GML000147	GML000147_mRNA3	PF03443.21	Partial	Unchanged
GML000148	GML000148_mRNA1		None	None
GML000149	GML000149_mRNA1		None	None
GML000150	GML000150_mRNA1	PF20151.5	Partial	None
GML000151	GML000151_mRNA1	PF09532.16	Complete	None
GML000151	GML000151_mRNA2	PF09532.16,PF12701.14	Complete	Gain
GML000152	GML000152_mRNA1		None	None
GML000152	GML000152_mRNA2		None	Unchanged
GML000153	GML000153_mRNA1	PF20151.5	Partial	None
GML000154	GML000154_mRNA1		None	None
GML000155	GML000155_mRNA1		None	None
GML000155	GML000155_mRNA2		None	Unchanged
GML000156	GML000156_mRNA1		None	None
GML000157	GML000157_mRNA1	PF25534.1	Partial	None
GML000157	GML000157_mRNA2	PF25534.1	Partial	Unchanged
GML000157	GML000157_mRNA3	PF25534.1	Partial	Unchanged
GML000158	GML000158_mRNA1	PF01557.24	Partial	None
GML000158	GML000158_mRNA2	PF01557.24	Partial	Unchanged
GML000159	GML000159_mRNA1		None	None
GML000160	GML000160_mRNA1		None	None
GML000161	GML000161_mRNA1	PF00205.29,PF02775.27,PF02775.27	Complete	None
GML000161	GML000161_mRNA2	PF02775.27,PF02775.27	Complete	Loss
GML000162	GML000162_mRNA1		None	None
GML000163	GML000163_mRNA1		None	None
GML000164	GML000164_mRNA1	PF00702.33,PF13246.13,PF16209.11,PF16212.12	Complete	None
GML000164	GML000164_mRNA2	PF00702.33,PF13246.13,PF16209.11,PF16212.12	Complete	Unchanged
GML000165	GML000165_mRNA1		None	None
GML000165	GML000165_mRNA2		None	Unchanged
GML000166	GML000166_mRNA1		None	None
GML000167	GML000167_mRNA1		None	None
GML000168	GML000168_mRNA1		None	None
GML000169	GML000169_mRNA1		None	None
GML000170	GML000170_mRNA1		None	None
GML000171	GML000171_mRNA1		None	None
GML000172	GML000172_mRNA1	PF00646.39,PF12937.13	Complete	None
GML000172	GML000172_mRNA2	PF00646.39,PF12937.13	Complete	Unchanged
GML000173	GML000173_mRNA1	PF00583.32,PF08445.17,PF13508.14,PF13673.14	Partial	None
GML000174	GML000174_mRNA1	PF00610.28,PF12257.15,PF29595.1	Complete	None
GML000174	GML000174_mRNA2	PF00610.28,PF12257.15,PF29595.1	Complete	Truncated
GML000175	GML000175_mRNA1		None	None
GML000176	GML000176_mRNA1		None	None
GML000177	GML000177_mRNA1		None	None
GML000178	GML000178_mRNA1		None	None
GML000178	GML000178_mRNA2		None	Unchanged
GML000179	GML000179_mRNA1	PF14138.12	Partial	None
GML000180	GML000180_mRNA1	PF00709.28,PF00709.28	Partial	None
GML000181	GML000181_mRNA1	PF00106.32	Partial	None
GML000181	GML000181_mRNA2	PF00106.32	Partial	Unchanged
GML000181	GML000181_mRNA3	PF00106.32	Partial	Unchanged
GML000182	GML000182_mRNA1		None	None
GML000182	GML000182_mRNA2		None	Unchanged
GML000183	GML000183_mRNA1		None	None
GML000184	GML000184_mRNA1		None	None
GML000184	GML000184_mRNA2		None	Unchanged
GML000185	GML000185_mRNA1		None	None
GML000186	GML000186_mRNA1		None	None
GML000187	GML000187_mRNA1	PF14033.13,PF21666.3	Partial	None
GML000188	GML000188_mRNA1	PF11699.15	Complete	None
GML000188	GML000188_mRNA2	PF11699.15	Complete	Unchanged
GML000189	GML000189_mRNA1	PF20153.5	Partial	None
GML000189	GML000189_mRNA2	PF20153.5	Partial	Unchanged
GML000190	GML000190_mRNA1		None	None
GML000191	GML000191_mRNA1	PF03054.23,PF20258.5,PF20259.4	Complete	None
GML000191	GML000191_mRNA2	PF03054.23,PF20258.5,PF20259.4	Complete	Unchanged
GML000192	GML000192_mRNA1	PF20153.5	Partial	None
GML000192	GML000192_mRNA2	PF20153.5	Partial	Unchanged
GML000193	GML000193_mRNA1	PF12937.13	Partial	None
GML000193	GML000193_mRNA2	PF12937.13	Partial	Unchanged
GML000194	GML000194_mRNA1	PF04515.19	Partial	None
GML000195	GML000195_mRNA1		None	None
GML000196	GML000196_mRNA1	PF00134.29,PF08613.17	Partial	None
GML000197	GML000197_mRNA1		None	None
GML000198	GML000198_mRNA1		None	None
GML000199	GML000199_mRNA1	PF08719.18,PF20153.5	Complete	None
GML000199	GML000199_mRNA2	PF08719.18,PF20153.5	Complete	Unchanged
GML000199	GML000199_mRNA3	PF08719.18,PF20153.5	Complete	Unchanged
GML000199	GML000199_mRNA4	PF08719.18,PF20153.5	Complete	Unchanged
GML000199	GML000199_mRNA5	PF08719.18,PF20153.5	Complete	Unchanged
GML000200	GML000200_mRNA1	PF00702.33,PF13246.13,PF16209.11,PF16212.12	Complete	None
GML000200	GML000200_mRNA2	PF00702.33,PF13246.13,PF16209.11,PF16212.12	Complete	Unchanged
GML000201	GML000201_mRNA1	PF00735.25,PF01926.30,PF04548.23	Partial	None
GML000201	GML000201_mRNA2	PF00735.25,PF01926.30,PF04548.23	Partial	Unchanged
GML000202	GML000202_mRNA1	PF08327.18,PF09229.18	Partial	None
GML000202	GML000202_mRNA2	PF08327.18,PF09229.18	Partial	Unchanged
GML000202	GML000202_mRNA3	PF08327.18,PF09229.18	Partial	Unchanged
GML000202	GML000202_mRNA4	PF08327.18,PF09229.18	Complete	Extended
GML000203	GML000203_mRNA1	PF19086.6	Partial	None
GML000204	GML000204_mRNA1	PF11911.14	Partial	None
GML000204	GML000204_mRNA2	PF11911.14	Partial	Unchanged
GML000205	GML000205_mRNA1	PF00018.35,PF07653.24	Complete	None
GML000206	GML000206_mRNA1	PF13646.13,PF20153.5	Complete	None
GML000206	GML000206_mRNA2	PF13646.13,PF20153.5	Complete	Unchanged
GML000207	GML000207_mRNA1	PF00150.25	Partial	None
GML000207	GML000207_mRNA2	PF00150.25	Partial	Unchanged
GML000208	GML000208_mRNA1		None	None
GML000208	GML000208_mRNA2		None	Unchanged
GML000209	GML000209_mRNA1	PF00176.30,PF00271.38	Complete	None
GML000210	GML000210_mRNA1	PF20153.5	Partial	None
GML000211	GML000211_mRNA1	PF08566.16	Partial	None
GML000212	GML000212_mRNA1	PF00018.35,PF14604.13	Complete	None
GML000212	GML000212_mRNA2	PF00018.35,PF14604.13	Complete	Unchanged
GML000213	GML000213_mRNA1	PF00642.31	Partial	None
GML000213	GML000213_mRNA2	PF00004.36,PF07724.21,PF07728.21	Partial	Loss,Gain
GML000214	GML000214_mRNA1	PF00004.36,PF07724.21,PF07728.21	Partial	None
GML000215	GML000215_mRNA1		None	None
GML000216	GML000216_mRNA1		None	None
GML000217	GML000217_mRNA1		None	None
GML000218	GML000218_mRNA1		None	None
GML000219	GML000219_mRNA1	PF00150.25	Partial	None
GML000220	GML000220_mRNA1		None	None
GML000220	GML000220_mRNA2		None	Unchanged
GML000221	GML000221_mRNA1	PF00270.36,PF00271.38,PF04851.22,PF13959.12	Complete	None
GML000222	GML000222_mRNA1	PF00646.39	Partial	None
GML000222	GML000222_mRNA2		None	Loss
GML000223	GML000223_mRNA1		None	None
GML000224	GML000224_mRNA1	PF13976.12,PF22936.2,PF25597.2	Complete	None
GML000225	GML000225_mRNA1		None	None
GML000226	GML000226_mRNA1		None	None
GML000227	GML000227_mRNA1		None	None
GML000228	GML000228_mRNA1		None	None
GML000229	GML000229_mRNA1		None	None
GML000230	GML000230_mRNA1	PF00120.30	Partial	None
GML000231	GML000231_mRNA1	PF13374.13,PF24883.3	Complete	None
GML000232	GML000232_mRNA1		None	None
GML000232	GML000232_mRNA2		None	Unchanged
GML000233	GML000233_mRNA1	PF01331.26,PF03919.22	Complete	None
GML000234	GML000234_mRNA1	PF01466.25,PF03931.22	Complete	None
GML000235	GML000235_mRNA1	PF01016.25	Partial	None
GML000236	GML000236_mRNA1		None	None
GML000237	GML000237_mRNA1		None	None
GML000238	GML000238_mRNA1		None	None
GML000239	GML000239_mRNA1		None	None
GML000239	GML000239_mRNA2		None	Unchanged
GML000240	GML000240_mRNA1	PF01764.32	Partial	None
GML000241	GML000241_mRNA1	PF02184.23,PF05843.21,PF13428.13,PF13432.13,PF23231.2,PF23231.2,PF23233.2,PF23240.2,PF23240.2,PF23241.2,PF23241.2	Complete	None
GML000241	GML000241_mRNA2	PF02184.23,PF05843.21,PF13428.13,PF13432.13,PF23231.2,PF23231.2,PF23233.2,PF23240.2,PF23240.2,PF23241.2,PF23241.2	Complete	Unchanged
GML000242	GML000242_mRNA1		None	None
GML000243	GML000243_mRNA1		None	None
GML000244	GML000244_mRNA1	PF02992.21	Complete	None
GML000245	GML000245_mRNA1		None	None
GML000246	GML000246_mRNA1		None	None
GML000247	GML000247_mRNA1		None	None
GML000248	GML000248_mRNA1	PF07727.20,PF13976.12,PF22936.2,PF25597.2	Complete	None
GML000249	GML000249_mRNA1	PF12937.13	Partial	None
GML000250	GML000250_mRNA1		None	None
GML000251	GML000251_mRNA1		None	None
GML000251	GML000251_mRNA2		None	Unchanged
GML000252	GML000252_mRNA1	PF10400.16,PF30969.1	Complete	None
GML000253	GML000253_mRNA1	PF12937.13	Partial	None
GML000254	GML000254_mRNA1		None	None
GML000255	GML000255_mRNA1		None	None
GML000256	GML000256_mRNA1		None	None
GML000256	GML000256_mRNA2		None	Unchanged
GML000257	GML000257_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF12937.13	Complete	None
GML000258	GML000258_mRNA1		None	None
GML000259	GML000259_mRNA1	PF24535.2	Partial	None
GML000260	GML000260_mRNA1	PF00646.39	Complete	None
GML000260	GML000260_mRNA2	PF00646.39	Complete	Unchanged
GML000261	GML000261_mRNA1	PF01979.27	Partial	None
GML000261	GML000261_mRNA2	PF01979.27,PF07969.18	Partial	Gain
GML000262	GML000262_mRNA1	PF02383.24,PF12456.15	Complete	None
GML000263	GML000263_mRNA1		None	None
GML000264	GML000264_mRNA1	PF00412.29,PF00412.29	Complete	None
GML000265	GML000265_mRNA1		None	None
GML000266	GML000266_mRNA1		None	None
GML000266	GML000266_mRNA2		None	Unchanged
GML000267	GML000267_mRNA1	PF26138.1	Partial	None
GML000267	GML000267_mRNA2	PF26138.1	Partial	Unchanged
GML000268	GML000268_mRNA1		None	None
GML000269	GML000269_mRNA1		None	None
GML000270	GML000270_mRNA1	PF07727.20	Partial	None
GML000271	GML000271_mRNA1	PF13976.12,PF22936.2,PF25597.2	Complete	None
GML000272	GML000272_mRNA1	PF18758.8,PF18803.7	Complete	None
GML000272	GML000272_mRNA2	PF18758.8,PF18803.7	Complete	Unchanged
GML000272	GML000272_mRNA3	PF18758.8,PF18803.7	Complete	Unchanged
GML000272	GML000272_mRNA4		None	Loss
GML000273	GML000273_mRNA1		None	None
GML000274	GML000274_mRNA1	PF18758.8,PF18803.7	Partial	None
GML000274	GML000274_mRNA2	PF18758.8,PF18803.7	Partial	Unchanged
GML000275	GML000275_mRNA1		None	None
GML000275	GML000275_mRNA2		None	Unchanged
GML000276	GML000276_mRNA1		None	None
GML000277	GML000277_mRNA1		None	None
GML000277	GML000277_mRNA2		None	Unchanged
GML000278	GML000278_mRNA1		None	None
GML000279	GML000279_mRNA1		None	None
GML000279	GML000279_mRNA2		None	Unchanged
GML000280	GML000280_mRNA1		None	None
GML000281	GML000281_mRNA1		None	None
GML000281	GML000281_mRNA2		None	Unchanged
GML000281	GML000281_mRNA3		None	Unchanged
GML000282	GML000282_mRNA1		None	None
GML000282	GML000282_mRNA2		None	Unchanged
GML000283	GML000283_mRNA1		None	None
GML000284	GML000284_mRNA1		None	None
GML000285	GML000285_mRNA1		None	None
GML000286	GML000286_mRNA1		None	None
GML000286	GML000286_mRNA2		None	Unchanged
GML000287	GML000287_mRNA1		None	None
GML000288	GML000288_mRNA1		None	None
GML000288	GML000288_mRNA2		None	Unchanged
GML000289	GML000289_mRNA1	PF20414.4	Partial	None
GML000290	GML000290_mRNA1		None	None
GML000291	GML000291_mRNA1		None	None
GML000291	GML000291_mRNA2		None	Unchanged
GML000292	GML000292_mRNA1		None	None
GML000293	GML000293_mRNA1	PF18759.8	Partial	None
GML000293	GML000293_mRNA2	PF18759.8	Partial	Unchanged
GML000293	GML000293_mRNA3	PF18759.8	Partial	Unchanged
GML000294	GML000294_mRNA1		None	None
GML000295	GML000295_mRNA1		None	None
GML000295	GML000295_mRNA2		None	Unchanged
GML000296	GML000296_mRNA1	PF03328.21,PF15617.13	Partial	None
GML000296	GML000296_mRNA2	PF03328.21,PF15617.13	Partial	Unchanged
GML000297	GML000297_mRNA1	PF00270.36,PF00271.38,PF04408.30,PF07717.23,PF21010.3	Complete	None
GML000298	GML000298_mRNA1	PF20152.5	Complete	None
GML000298	GML000298_mRNA2	PF20152.5	Complete	Unchanged
GML000298	GML000298_mRNA3	PF20152.5	Complete	Unchanged
GML000299	GML000299_mRNA1	PF00106.32,PF13561.13	Partial	None
GML000299	GML000299_mRNA2	PF00106.32,PF13561.13	Partial	Unchanged
GML000299	GML000299_mRNA3	PF00106.32,PF13561.13	Partial	Unchanged
GML000300	GML000300_mRNA1		None	None
GML000301	GML000301_mRNA1	PF01627.29,PF02515.23,PF02515.23,PF02515.23	Complete	None
GML000301	GML000301_mRNA2	PF01627.29	Partial	Loss,Truncated
GML000302	GML000302_mRNA1	PF06733.22,PF13307.13	Complete	None
GML000303	GML000303_mRNA1		None	None
GML000303	GML000303_mRNA2		None	Unchanged
GML000303	GML000303_mRNA3		None	Unchanged
GML000303	GML000303_mRNA4		None	Unchanged
GML000304	GML000304_mRNA1	PF01699.30,PF01699.30,PF03733.19	Complete	None
GML000305	GML000305_mRNA1	PF03178.22,PF10433.16,PF23726.2	Complete	None
GML000306	GML000306_mRNA1	PF00009.34,PF00679.31,PF14492.13,PF25118.2	Complete	None
GML000306	GML000306_mRNA2	PF00009.34,PF00679.31,PF14492.13,PF25118.2	Complete	Unchanged
GML000306	GML000306_mRNA3	PF00009.34,PF00679.31,PF14492.13,PF25118.2	Complete	Unchanged
GML000307	GML000307_mRNA1	PF04577.20,PF04676.20,PF04677.21	Complete	None
GML000307	GML000307_mRNA2	PF04577.20	Partial	Loss,Truncated
GML000308	GML000308_mRNA1	PF00072.31,PF00360.27,PF00512.32,PF01590.33,PF02518.32,PF08446.18	Complete	None
GML000308	GML000308_mRNA2	PF00072.31,PF00360.27,PF00512.32,PF01590.33,PF02518.32,PF08446.18	Complete	Unchanged
GML000309	GML000309_mRNA1		None	None
GML000310	GML000310_mRNA1		None	None
GML000311	GML000311_mRNA1	PF01565.29,PF02913.25	Partial	None
GML000312	GML000312_mRNA1	PF09597.19	Partial	None
GML000313	GML000313_mRNA1		None	None
GML000314	GML000314_mRNA1	PF00498.32	Complete	None
GML000315	GML000315_mRNA1		None	None
GML000316	GML000316_mRNA1	PF00172.24	Complete	None
GML000316	GML000316_mRNA2	PF00172.24	Complete	Unchanged
GML000317	GML000317_mRNA1		None	None
GML000317	GML000317_mRNA2		None	Unchanged
GML000318	GML000318_mRNA1		None	None
GML000318	GML000318_mRNA2		None	Unchanged
GML000319	GML000319_mRNA1	PF00097.32,PF17979.8	Complete	None
GML000319	GML000319_mRNA2	PF00097.32,PF17979.8	Partial	Truncated
GML000320	GML000320_mRNA1	PF01344.32,PF01344.32,PF24681.2,PF24981.2	Complete	None
GML000321	GML000321_mRNA1	PF01243.28,PF12766.14	Partial	None
GML000321	GML000321_mRNA2	PF01243.28,PF10590.15,PF12766.14	Complete	Gain
GML000322	GML000322_mRNA1		None	None
