protein_id	length
GML000001_mRNA1	541
GML000101_mRNA1	539
GML000201_mRNA1	652
GML000301_mRNA1	435
GML000401_mRNA1	475
GML000501_mRNA1	418
GML000601_mRNA1	373
GML000701_mRNA1	390
GML000801_mRNA1	1066
GML000901_mRNA1	295
GML001001_mRNA1	250
GML001101_mRNA1	721
GML001201_mRNA1	332
GML001301_mRNA1	618
GML001401_mRNA1	207
GML001501_mRNA1	1141
GML001601_mRNA1	156
GML001701_mRNA1	927
GML001801_mRNA1	770
GML001901_mRNA1	191
GML002001_mRNA1	139
GML002101_mRNA1	1107
GML002201_mRNA1	1166
GML002301_mRNA1	449
GML002401_mRNA1	306
GML002501_mRNA1	115
GML002601_mRNA1	370
GML002701_mRNA1	389
GML002801_mRNA1	440
GML002901_mRNA1	209
GML003001_mRNA1	224
GML003101_mRNA1	418
GML003201_mRNA1	268
GML003301_mRNA1	667
GML003401_mRNA1	476
GML003501_mRNA1	97
GML003601_mRNA1	887
GML003701_mRNA1	434
GML003801_mRNA1	367
GML003901_mRNA1	213
GML004001_mRNA1	126
GML004101_mRNA1	513
GML004201_mRNA1	300
GML004301_mRNA1	296
GML004401_mRNA1	430
GML004501_mRNA1	466
GML004601_mRNA1	624
GML004701_mRNA1	362
GML004801_mRNA1	510
GML004901_mRNA1	361
GML005001_mRNA1	1443
GML005101_mRNA1	925
GML005201_mRNA1	479
GML005301_mRNA1	44
GML005401_mRNA1	267
GML005501_mRNA1	407
GML005601_mRNA1	469
GML005701_mRNA1	206
GML005801_mRNA1	960
GML005901_mRNA1	243
GML006001_mRNA1	142
GML006101_mRNA1	499
GML006201_mRNA1	476
GML006301_mRNA1	156
GML006401_mRNA1	709
GML006501_mRNA1	286
