gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1	PF00149.34	Partial	None
GML000001	GML000001_mRNA2	PF00149.34	Partial	Unchanged
GML000002	GML000002_mRNA1	PF00175.27,PF00970.31	Partial	None
GML000002	GML000002_mRNA2	PF00175.27,PF00970.31	Partial	Unchanged
GML000003	GML000003_mRNA1	PF08167.19	Partial	None
GML000004	GML000004_mRNA1	PF00733.28,PF00733.28,PF13522.13,PF13537.12	Partial	None
GML000004	GML000004_mRNA2	PF00733.28,PF00733.28,PF13522.13,PF13537.12	Partial	Unchanged
GML000005	GML000005_mRNA1		None	None
GML000006	GML000006_mRNA1	PF00324.28,PF13520.13	Partial	None
GML000007	GML000007_mRNA1		None	None
GML000007	GML000007_mRNA2		None	Unchanged
GML000007	GML000007_mRNA3		None	Unchanged
GML000008	GML000008_mRNA1		None	None
GML000009	GML000009_mRNA1	PF00172.24,PF04082.24	Partial	None
GML000010	GML000010_mRNA1		None	None
GML000011	GML000011_mRNA1		None	None
GML000012	GML000012_mRNA1		None	None
GML000013	GML000013_mRNA1	PF05970.21,PF13245.13,PF13401.13,PF13604.13,PF21530.4	Complete	None
GML000013	GML000013_mRNA2	PF05970.21,PF13245.13,PF13401.13,PF13604.13,PF21530.4	Complete	Unchanged
GML000014	GML000014_mRNA1		None	None
GML000015	GML000015_mRNA1	PF05493.19	Complete	None
GML000015	GML000015_mRNA2		None	Loss
GML000016	GML000016_mRNA1		None	None
GML000017	GML000017_mRNA1	PF00298.25,PF03946.20	Partial	None
GML000018	GML000018_mRNA1	PF00176.30,PF00271.38,PF00439.31,PF04749.23	Complete	None
GML000018	GML000018_mRNA2	PF00176.30,PF00271.38,PF00439.31,PF04749.23	Complete	Unchanged
GML000018	GML000018_mRNA3	PF00176.30,PF00271.38,PF00439.31,PF04749.23	Complete	Unchanged
GML000018	GML000018_mRNA4	PF04749.23	Partial	Truncated,Loss
GML000019	GML000019_mRNA1		None	None
GML000020	GML000020_mRNA1		None	None
GML000021	GML000021_mRNA1	PF02366.25,PF02815.26,PF16192.11	Complete	None
GML000022	GML000022_mRNA1	PF00175.27	Complete	None
GML000023	GML000023_mRNA1		None	None
GML000024	GML000024_mRNA1		None	None
GML000025	GML000025_mRNA1	PF10551.16	Complete	None
GML000025	GML000025_mRNA2	PF10551.16	Complete	Unchanged
GML000025	GML000025_mRNA3		None	Loss
GML000026	GML000026_mRNA1	PF10551.16	Complete	None
GML000026	GML000026_mRNA2	PF10551.16	Complete	Unchanged
GML000027	GML000027_mRNA1	PF10551.16	Complete	None
GML000027	GML000027_mRNA2	PF10551.16	Complete	Unchanged
GML000028	GML000028_mRNA1	PF01293.26	Partial	None
GML000028	GML000028_mRNA2	PF01293.26	Partial	Unchanged
GML000029	GML000029_mRNA1	PF03234.20,PF08565.17	Complete	None
GML000029	GML000029_mRNA2	PF03234.20,PF08565.17	Complete	Unchanged
GML000030	GML000030_mRNA1	PF03909.23,PF08567.18	Complete	None
GML000031	GML000031_mRNA1		None	None
GML000031	GML000031_mRNA2		None	Unchanged
GML000032	GML000032_mRNA1	PF01965.31	Partial	None
GML000033	GML000033_mRNA1		None	None
GML000034	GML000034_mRNA1		None	None
GML000035	GML000035_mRNA1		None	None
GML000036	GML000036_mRNA1	PF00561.27,PF08386.17	Complete	None
GML000037	GML000037_mRNA1	PF18758.8	Complete	None
GML000038	GML000038_mRNA1		None	None
GML000039	GML000039_mRNA1		None	None
GML000039	GML000039_mRNA2		None	Unchanged
GML000040	GML000040_mRNA1	PF09088.18,PF09090.18	Complete	None
GML000040	GML000040_mRNA2	PF09088.18,PF09090.18	Partial	Truncated
GML000040	GML000040_mRNA3	PF09088.18,PF09090.18	Partial	Truncated
GML000041	GML000041_mRNA1	PF05648.20	Partial	None
GML000042	GML000042_mRNA1		None	None
GML000042	GML000042_mRNA2		None	Unchanged
GML000043	GML000043_mRNA1	PF04082.24,PF14681.13	Complete	None
GML000043	GML000043_mRNA2	PF14681.13	Partial	Truncated,Loss
GML000044	GML000044_mRNA1	PF03798.22	Partial	None
GML000044	GML000044_mRNA2	PF03798.22	Partial	Unchanged
GML000044	GML000044_mRNA3	PF03798.22	Partial	Unchanged
GML000044	GML000044_mRNA4	PF03798.22	Partial	Unchanged
GML000045	GML000045_mRNA1	PF12937.13	Partial	None
GML000046	GML000046_mRNA1	PF03798.22	Complete	None
GML000046	GML000046_mRNA2	PF03798.22	Complete	Unchanged
GML000046	GML000046_mRNA3	PF03798.22	Complete	Unchanged
GML000046	GML000046_mRNA4	PF03798.22	Complete	Unchanged
GML000046	GML000046_mRNA5	PF03798.22	Partial	Truncated
GML000047	GML000047_mRNA1	PF00070.34,PF07992.21	Complete	None
GML000047	GML000047_mRNA2	PF00070.34,PF07992.21	Complete	Unchanged
GML000048	GML000048_mRNA1		None	None
GML000049	GML000049_mRNA1	PF00083.31,PF06609.19,PF07690.22	Partial	None
GML000050	GML000050_mRNA1		None	None
GML000051	GML000051_mRNA1	PF00225.30,PF13931.12,PF16796.12	Complete	None
GML000052	GML000052_mRNA1		None	None
