protein_id	length
GML000001_mRNA1	87
GML000101_mRNA1	2242
GML000201_mRNA1	118
GML000301_mRNA1	242
GML000401_mRNA1	1050
GML000501_mRNA1	168
GML000601_mRNA1	666
GML000701_mRNA1	175
GML000801_mRNA1	2947
GML000901_mRNA1	421
GML001001_mRNA1	1674
GML001101_mRNA1	430
GML001201_mRNA1	1554
GML001301_mRNA1	154
GML001401_mRNA1	197
GML001501_mRNA1	285
GML001601_mRNA1	443
GML001701_mRNA1	342
GML001801_mRNA1	515
GML001901_mRNA1	173
GML002001_mRNA1	85
GML002101_mRNA1	367
GML002201_mRNA1	348
GML002301_mRNA1	338
GML002401_mRNA1	252
GML002501_mRNA1	286
GML002601_mRNA1	157
GML002701_mRNA1	1451
GML002801_mRNA1	1279
GML002901_mRNA1	1485
GML003001_mRNA1	485
GML003101_mRNA1	393
GML003201_mRNA1	751
GML003301_mRNA1	62
GML003401_mRNA1	1425
GML003501_mRNA1	66
GML003602_mRNA1	192
GML003701_mRNA1	116
GML003801_mRNA1	233
GML003901_mRNA1	468
GML004001_mRNA1	818
GML004101_mRNA1	742
GML004201_mRNA1	363
GML004301_mRNA1	359
GML004401_mRNA1	669
GML004501_mRNA1	546
GML004601_mRNA1	684
GML004701_mRNA1	716
GML004801_mRNA1	498
GML004901_mRNA1	178
GML005001_mRNA1	287
GML005101_mRNA1	1769
GML005201_mRNA1	5396
GML005301_mRNA1	1425
GML005401_mRNA1	673
GML005501_mRNA1	255
GML005601_mRNA1	1264
GML005701_mRNA1	602
GML005801_mRNA1	724
GML005901_mRNA1	310
GML006001_mRNA1	168
GML006101_mRNA1	558
GML006201_mRNA1	130
GML006301_mRNA1	341
GML006401_mRNA1	603
GML006501_mRNA1	257
GML006601_mRNA1	477
GML006701_mRNA1	525
GML006801_mRNA1	605
GML006901_mRNA1	192
GML007001_mRNA1	613
GML007101_mRNA1	939
GML007201_mRNA1	466
GML007301_mRNA1	336
GML007401_mRNA1	276
