gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-TOPH_00001	rna-gnl|WGS:LFRF|TOPH_00001-RA		None	None
gene-TOPH_00002	rna-gnl|WGS:LFRF|TOPH_00002-RA	PF20684.4	Partial	None
gene-TOPH_00003	rna-gnl|WGS:LFRF|TOPH_00003-RA	PF00561.27,PF12697.14	Partial	None
gene-TOPH_00004	rna-gnl|WGS:LFRF|TOPH_00004-RA	PF00704.35,PF30526.1,PF30529.1	Complete	None
gene-TOPH_00005	rna-gnl|WGS:LFRF|TOPH_00005-RA	PF07287.18,PF07287.18	Partial	None
gene-TOPH_00006	rna-gnl|WGS:LFRF|TOPH_00006-RA	PF00378.26,PF16113.11	Partial	None
gene-TOPH_00007	rna-gnl|WGS:LFRF|TOPH_00007-RA	PF18313.8	Complete	None
gene-TOPH_00008	rna-gnl|WGS:LFRF|TOPH_00008-RA	PF00172.24,PF04082.24	Partial	None
gene-TOPH_00009	rna-gnl|WGS:LFRF|TOPH_00009-RA	PF03659.22	Partial	None
gene-TOPH_00010	rna-gnl|WGS:LFRF|TOPH_00010-RA	PF00070.34,PF00355.33,PF07992.21,PF14759.13	Complete	None
gene-TOPH_00011	rna-gnl|WGS:LFRF|TOPH_00011-RA		None	None
gene-TOPH_00012	rna-gnl|WGS:LFRF|TOPH_00012-RA		None	None
gene-TOPH_00013	rna-gnl|WGS:LFRF|TOPH_00013-RA		None	None
gene-TOPH_00014	rna-gnl|WGS:LFRF|TOPH_00014-RA		None	None
gene-TOPH_00015	rna-gnl|WGS:LFRF|TOPH_00015-RA	PF02464.24	Partial	None
gene-TOPH_00016	rna-gnl|WGS:LFRF|TOPH_00016-RA	PF00583.32,PF13508.14	Complete	None
gene-TOPH_00017	rna-gnl|WGS:LFRF|TOPH_00017-RA	PF00172.24	Partial	None
gene-TOPH_00018	rna-gnl|WGS:LFRF|TOPH_00018-RA	PF20150.5	Partial	None
gene-TOPH_00019	rna-gnl|WGS:LFRF|TOPH_00019-RA	PF03663.21	Partial	None
gene-TOPH_00020	rna-gnl|WGS:LFRF|TOPH_00020-RA	PF00069.32,PF00069.32	Partial	None
