gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF10601.15,PF10601.15	NA	100
GML000003	PF00172.24,PF00172.24,PF00172.24,PF04082.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000004	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
GML000005	PF12351.14	GO:0016020	100
GML000006		NA	100
GML000007	PF00400.39,PF00400.39	GO:0005515	100
GML000008	PF09302.17,PF09302.17,PF09302.17,PF21928.2,PF21928.2,PF21928.2	GO:0005634,GO:0006302	3
GML000009	PF00250.25,PF00250.25	GO:0003700,GO:0006355,GO:0043565	3
GML000010	PF09732.15,PF09732.15,PF10312.15,PF10312.15	GO:0005515	100
GML000011	PF25534.1,PF25534.1	NA	100
GML000012	PF01027.27	NA	100
GML000013	PF01625.29,PF01625.29	GO:0008113	8
GML000014	PF00027.36,PF00027.36,PF00646.39,PF12937.13,PF16643.11,PF25372.2	GO:0005515	100
GML000015	PF00642.31,PF00642.31,PF14608.13,PF14608.13,PF14608.13	GO:0046872	100
GML000016	PF00704.35	GO:0005975	8
GML000017	PF04100.19,PF04100.19,PF04100.19,PF16854.12,PF16854.12,PF16854.12	NA	100
GML000018	PF00787.30	GO:0035091	100
GML000019	PF07766.20	GO:0043022	100
GML000020	PF00406.30,PF00406.30,PF05191.21,PF13207.13	GO:0004017	3
GML000021	PF00069.32,PF00069.32,PF01636.30,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000022		NA	100
GML000023	PF00082.28,PF01483.28	GO:0004252,GO:0006508,GO:0008236	5
GML000024	PF19050.6,PF19050.6	NA	100
GML000025	PF08643.17	NA	100
GML000026	PF00641.24,PF08325.17	NA	100
GML000027	PF24803.2	NA	100
GML000028		NA	100
GML000029	PF00070.34,PF07992.21,PF13738.13	GO:0016491	8
GML000030		NA	100
GML000031	PF03062.25,PF03062.25,PF03062.25,PF03062.25	NA	100
GML000032		NA	100
GML000033		NA	100
GML000034		NA	100
GML000035	PF00225.30,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000036	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000037	PF08617.16	NA	100
GML000038		NA	100
GML000039	PF04991.21,PF04991.21	NA	100
GML000040	PF00875.25,PF03441.20,PF03441.20	NA	100
GML000041		NA	100
GML000042	PF09494.17,PF09494.17	GO:0005634,GO:0006260,GO:0006281,GO:0033557	3
GML000043	PF30669.1,PF30669.1	NA	100
GML000044		NA	100
GML000045	PF03435.25,PF05368.20,PF13460.13	NA	100
GML000046	PF03167.26	NA	100
GML000047	PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33	NA	100
GML000048		NA	100
GML000049	PF01040.24,PF01040.24,PF01040.24	GO:0016020,GO:0016765	8
GML000050	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000051	PF08101.17	NA	100
GML000052		NA	100
GML000053	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000054	PF00023.37,PF00023.37,PF12796.14	GO:0005515	100
GML000055	PF07690.22	GO:0022857,GO:0055085	6
GML000056	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000057	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000058	PF05652.18,PF11969.14	GO:0000290,GO:0016787	8
GML000059	PF03227.23	GO:0016671	8
GML000060	PF00349.28,PF03727.23	GO:0005524,GO:0005975	8
GML000061	PF00249.38,PF00249.38,PF11831.14,PF13921.13,PF13921.13	NA	100
GML000062		NA	100
GML000063	PF00940.25,PF14700.12,PF26713.1	NA	100
GML000064	PF26719.2	NA	100
GML000065	PF02265.23	GO:0003676,GO:0004519,GO:0006308	4
GML000066	PF00117.35	NA	100
GML000067	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000068	PF11710.15,PF11970.15	NA	100
GML000069	PF27672.1,PF27672.1	NA	100
GML000070	PF09770.16	NA	100
GML000071	PF01793.24	GO:0000030,GO:0009101,GO:0016020	8
GML000072	PF00164.32	GO:0003735,GO:0005840,GO:0006412	4
GML000073	PF01301.26,PF10435.16,PF13363.12,PF13364.13,PF13364.13	NA	100
GML000074	PF05546.17	NA	100
GML000075	PF12710.14	NA	100
GML000076	PF00355.33,PF00355.33,PF02921.20,PF02921.20	GO:0008121,GO:0051537	6
GML000077	PF05208.20	GO:0000030	8
GML000078	PF01176.27	GO:0003723,GO:0003743,GO:0006413	4
GML000079	PF07690.22	GO:0022857,GO:0055085	6
GML000080	PF00441.30,PF02770.25,PF02771.22,PF08028.17	GO:0016627,GO:0050660	8
GML000081	PF00069.32,PF00130.29,PF00130.29,PF00433.30,PF02185.23,PF02185.23,PF07714.24	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0007165	3
GML000082	PF00587.31,PF03129.26,PF09180.17	GO:0000166,GO:0004812,GO:0004827,GO:0005524,GO:0005737,GO:0006418,GO:0006433	8
GML000083	PF00118.30	GO:0005524	100
GML000084		NA	100
GML000085	PF00248.28,PF00248.28	NA	100
GML000086	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23098.2	GO:0005515	100
GML000087	PF01817.27	GO:0004106,GO:0046417	8
GML000088	PF13862.12	NA	100
GML000089	PF00117.35,PF00958.28,PF02540.24,PF07722.20	GO:0003922,GO:0005524,GO:0006164,GO:0006177,GO:0016787	8
GML000090		NA	100
GML000091		NA	100
GML000092	PF00069.32,PF00069.32,PF00400.39,PF00400.39,PF07714.24,PF22956.3,PF22956.3	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000093	PF13855.13,PF14580.13	GO:0005515	100
GML000094		NA	100
GML000095		NA	100
GML000096	PF00067.28,PF00067.28,PF03098.21,PF03098.21	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000097	PF00571.34,PF00654.26	GO:0006821,GO:0015108,GO:0016020,GO:0055085	6
GML000098	PF10282.16	NA	100
GML000099		NA	100
GML000100	PF04981.20,PF21192.4,PF21193.4,PF29994.1	NA	100
GML000101	PF00561.27,PF12697.14	NA	100
GML000102	PF02668.23	GO:0016491	8
GML000103		NA	100
GML000104	PF00069.32,PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000105		NA	100
GML000106	PF00266.26	NA	100
GML000107	PF06221.19	GO:0005634,GO:0008270,GO:0072344,GO:0180022	8
GML000108		NA	100
GML000109		NA	100
GML000110		NA	100
GML000111	PF02213.22	GO:0005515	100
GML000112		NA	100
GML000113	PF13434.13	NA	100
GML000114		NA	100
GML000115		NA	100
GML000116	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000117	PF00501.35,PF00501.35,PF00501.35,PF00550.32,PF00550.32,PF00550.32,PF00550.32,PF00550.32,PF00668.26,PF00668.26,PF00668.26,PF00668.26,PF00668.26,PF00668.26	GO:0003824	8
GML000118		NA	100
GML000119	PF03130.23,PF03130.23,PF03130.23,PF03130.23,PF03130.23,PF03130.23,PF13646.13,PF13646.13,PF13646.13,PF13646.13	NA	100
GML000120	PF01096.24,PF01096.24,PF02150.22,PF02150.22	GO:0003676,GO:0006351,GO:0008270	4
GML000121	PF12765.14,PF12830.14	NA	100
GML000122		NA	100
GML000123		NA	100
GML000124	PF00023.37,PF00023.37,PF04383.20,PF13637.13	GO:0005515	100
GML000125	PF20263.5	NA	100
GML000126	PF00583.32,PF08445.17,PF13508.14	GO:0016747	8
GML000127	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000128	PF00241.26	GO:0003779	7
GML000129		NA	100
GML000130	PF00106.32,PF13561.13	NA	100
GML000131	PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000132	PF03835.22,PF10403.15,PF10404.15,PF10405.16	GO:0003677	4
GML000133	PF12689.14	GO:0016791	8
GML000134		NA	100
GML000135	PF04191.19,PF04191.19,PF04191.19,PF04191.19	NA	100
GML000136		NA	100
GML000137	PF01656.30,PF10609.16	NA	100
GML000138	PF01368.28,PF02833.20	GO:0005737,GO:0016462	8
GML000139	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000140		NA	100
GML000141	PF00009.34,PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
GML000142	PF00994.30,PF00994.30,PF00994.30,PF00994.30,PF00994.30,PF24102.2,PF24102.2,PF24102.2,PF24102.2,PF24102.2	NA	100
GML000143	PF00650.26,PF03765.22	NA	100
GML000144	PF08577.17,PF11566.14	NA	100
GML000145	PF00520.38,PF00520.38,PF23317.2,PF23317.2	GO:0005216,GO:0006811,GO:0016020,GO:0055085	6
GML000146	PF02567.22,PF02567.22	GO:0003824,GO:0009058	8
GML000147	PF03810.26,PF03810.26,PF25018.2,PF25018.2	GO:0006886,GO:0031267	6
GML000148	PF02301.24	NA	100
GML000149	PF26200.2	NA	100
GML000150	PF00583.32,PF22998.3	GO:0016747	8
GML000151	PF09724.15	GO:0007064,GO:0031390	100
GML000152	PF00621.26,PF25351.2	GO:0005085	100
GML000153	PF00646.39,PF00646.39	GO:0005515	100
GML000154	PF29555.1	NA	100
GML000155	PF02811.27	GO:0003824	8
GML000156		NA	100
GML000157	PF00076.29,PF00076.29	GO:0003723	4
GML000158	PF08611.16	NA	100
GML000159	PF01546.34,PF04389.23	GO:0016787	8
GML000160	PF13902.12	NA	100
GML000161		NA	100
GML000162	PF03969.23	GO:0005524,GO:0016887	8
GML000163	PF00850.25	NA	100
GML000164	PF01702.26,PF01702.26,PF01702.26	GO:0006400	8
GML000165	PF20150.5	NA	100
GML000166		NA	100
GML000167	PF00201.25,PF03033.27,PF06722.19	GO:0005975,GO:0008194,GO:0016758	8
GML000168	PF00005.34,PF00005.34,PF06472.21,PF06472.21	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000169	PF03031.25,PF03031.25	NA	100
GML000170	PF03911.22,PF03911.22	NA	100
GML000171		NA	100
GML000172	PF01494.26	GO:0071949	100
GML000173		NA	100
GML000174	PF03198.21,PF07983.19	NA	100
GML000175		NA	100
GML000176	PF03998.20	GO:0006364,GO:0032040	8
GML000177	PF08583.16,PF08583.16	NA	100
GML000178	PF00856.34,PF00856.34,PF00856.34	GO:0005515	100
GML000179	PF05222.22,PF05222.22,PF05222.22	NA	100
GML000180	PF04446.18,PF14413.12	GO:0000287,GO:0006400,GO:0008193	8
GML000181		NA	100
GML000182	PF00999.27	GO:0006812,GO:0015297,GO:0016020,GO:0055085,GO:1902600	6
GML000183		NA	100
GML000184	PF13476.13,PF13558.13	GO:0006302,GO:0016887	3
GML000185	PF00320.34,PF00320.34,PF00989.32,PF00989.32,PF08447.19,PF08447.19,PF08448.17,PF08448.17,PF13426.14,PF13426.14,PF14598.13,PF14598.13	GO:0005515,GO:0006355,GO:0043565	4
GML000186		NA	100
GML000187	PF01042.27	NA	100
GML000188		NA	100
GML000189		NA	100
GML000190		NA	100
GML000191	PF10607.15,PF10607.15,PF13445.13,PF13445.13	NA	100
GML000192	PF25995.1,PF25995.1,PF25995.1,PF28231.1,PF28231.1,PF28231.1	NA	100
GML000193	PF02953.21	NA	100
GML000194	PF00152.26,PF00152.26	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
GML000195	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000196		NA	100
GML000197	PF00169.36,PF15406.13	NA	100
GML000198		NA	100
GML000199		NA	100
GML000200	PF00072.31,PF00072.31,PF00072.31,PF00072.31,PF00512.32,PF00512.32,PF00512.32,PF00512.32,PF00989.32,PF00989.32,PF00989.32,PF00989.32,PF02518.32,PF02518.32,PF02518.32,PF02518.32,PF08448.17,PF08448.17,PF08448.17,PF08448.17,PF13188.14,PF13188.14	GO:0000155,GO:0000160,GO:0006355,GO:0007165	3
GML000201	PF26131.1	NA	100
GML000202		NA	100
GML000203	PF05328.18	NA	100
GML000204	PF00675.26,PF05193.27	NA	100
GML000205	PF04571.20,PF08235.20,PF24565.2,PF24694.2	NA	100
GML000206		NA	100
GML000207	PF01753.25	NA	100
GML000208	PF20255.4,PF20255.4	NA	100
GML000209		NA	100
GML000210		NA	100
GML000211		NA	100
GML000212		NA	100
GML000213		NA	100
GML000214	PF01636.30	NA	100
GML000215		NA	100
GML000216		NA	100
GML000217	PF00069.32,PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000218		NA	100
GML000219	PF00136.27,PF03104.26,PF14260.12,PF24055.3,PF24065.2	GO:0000166,GO:0003677	4
GML000220		NA	100
GML000221	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000222		NA	100
GML000223		NA	100
GML000224	PF01866.23	GO:0017183,GO:0090560	8
GML000225	PF00682.26	GO:0003824	8
GML000226	PF25539.2	NA	100
GML000227	PF07859.20,PF07859.20,PF07859.20,PF07859.20	GO:0016787	8
GML000228	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000229	PF00830.25	GO:0003735	4
GML000230	PF01138.28,PF01138.28	NA	100
GML000231	PF03095.21	GO:0019211	100
GML000232		NA	100
GML000233		NA	100
GML000234	PF23749.2	NA	100
GML000235	PF01053.27	GO:0019346,GO:0030170	8
GML000236	PF09335.17	NA	100
GML000237	PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515	100
GML000238	PF05368.20,PF13460.13	NA	100
GML000239	PF00172.24,PF08493.16	GO:0000981,GO:0003677,GO:0005634,GO:0006355,GO:0008270,GO:0045122	2
GML000240		NA	100
GML000241		NA	100
GML000242	PF01513.27,PF01513.27,PF20143.5,PF20143.5	GO:0006741	8
GML000243	PF01553.27,PF16076.11	GO:0016746	8
GML000244		NA	100
GML000245		NA	100
GML000246	PF01937.25	NA	100
GML000247	PF00400.39,PF07819.20,PF22939.3,PF24883.3	GO:0005515,GO:0016788	8
GML000248	PF03881.21	NA	100
GML000249	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000250		NA	100
GML000251		NA	100
GML000252	PF13176.13,PF13181.13,PF13432.13,PF13432.13	GO:0005515	100
GML000253	PF00176.30,PF00270.36,PF00271.38,PF00439.31,PF04851.22,PF07529.19,PF08880.17,PF11496.15,PF14619.12	GO:0003676,GO:0003677,GO:0005515,GO:0005524,GO:0005634,GO:0006355,GO:0016787,GO:0042393,GO:0070823	4
GML000254	PF10230.16	GO:0005811,GO:0016298,GO:0019915	8
GML000255		NA	100
GML000256		NA	100
GML000257		NA	100
GML000258	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000259	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000260	PF01040.24	GO:0016020,GO:0016765	8
GML000261	PF20684.4	NA	100
GML000262	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000263	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000264	PF06609.19,PF06609.19,PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000265	PF00734.24	GO:0005576,GO:0005975,GO:0030248	8
GML000266	PF00264.26,PF00734.24	GO:0005576,GO:0005975,GO:0016491,GO:0030248	8
GML000267		NA	100
GML000268		NA	100
GML000269		NA	100
GML000270	PF02902.26	GO:0006508,GO:0008234	5
GML000271	PF02284.22	GO:0005743,GO:0006123	8
GML000272		NA	100
GML000273		NA	100
GML000274	PF27522.2	NA	100
GML000275	PF00083.31,PF00083.31	GO:0016020,GO:0022857,GO:0055085	6
GML000276	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000277		NA	100
GML000278		NA	100
GML000279	PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000280		NA	100
GML000281	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000282		NA	100
GML000283		NA	100
GML000284	PF14479.12	NA	100
GML000285	PF25545.2	NA	100
GML000286		NA	100
GML000287	PF01118.31,PF02774.24	GO:0008652,GO:0016620,GO:0046983,GO:0051287	8
GML000288	PF03435.25,PF16653.11	NA	100
GML000289		NA	100
GML000290	PF10937.14	GO:0006103	8
GML000291	PF09637.16,PF09637.16,PF09637.16,PF09637.16	GO:0003712,GO:0006357,GO:0016592	100
GML000292		NA	100
GML000293	PF00270.36,PF00271.38,PF04851.22,PF08148.18,PF13234.13,PF21408.3,PF22527.3	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000294	PF02141.27,PF02141.27,PF03455.25,PF03455.25,PF03456.26,PF03456.26	NA	100
GML000295	PF25534.1	NA	100
GML000296	PF13136.12	NA	100
GML000297	PF04762.19,PF23797.2,PF23878.2,PF23925.2,PF23936.2	NA	100
GML000298	PF00467.36,PF22682.3	NA	100
GML000299	PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
GML000300		NA	100
GML000301		NA	100
GML000302	PF01490.25	NA	100
GML000303	PF00026.29	NA	100
GML000304	PF01239.29,PF01239.29,PF29177.1	GO:0008318,GO:0018342	8
GML000305		NA	100
GML000306		NA	100
GML000307	PF13347.13,PF13347.13,PF13347.13,PF13347.13	NA	100
