gene_id	pfam_ids	go_ids	bin_id
gene-M409DRAFT_15639		NA	100
gene-M409DRAFT_15640		NA	100
gene-M409DRAFT_15641	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene-M409DRAFT_61807	PF07690.22	GO:0022857,GO:0055085	6
gene-M409DRAFT_15643		NA	100
gene-M409DRAFT_61808	PF02668.23	GO:0016491	8
gene-M409DRAFT_61809		NA	100
gene-M409DRAFT_15646	PF12171.15,PF12874.14,PF12874.14,PF12874.14	NA	100
gene-M409DRAFT_15647	PF20174.5	NA	100
gene-M409DRAFT_48351	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-M409DRAFT_15649	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-M409DRAFT_15650		NA	100
gene-M409DRAFT_15651		NA	100
gene-M409DRAFT_15652		NA	100
gene-M409DRAFT_15653	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-M409DRAFT_15654	PF12751.14,PF12751.14	NA	100
gene-M409DRAFT_61813	PF12767.13	GO:0070461	100
gene-M409DRAFT_15656		NA	100
gene-M409DRAFT_61814	PF04597.20	GO:0009101,GO:0016020	8
gene-M409DRAFT_15658	PF00294.30,PF00294.30,PF04227.18	GO:0004730	8
gene-M409DRAFT_15659	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13637.13,PF13857.13,PF24883.3	GO:0005515	100
gene-M409DRAFT_48361	PF00155.28,PF01053.27,PF30496.1	GO:0009058,GO:0019346,GO:0030170	8
gene-M409DRAFT_15661	PF00856.34	GO:0005515	100
gene-M409DRAFT_61817	PF06441.19	NA	100
gene-M409DRAFT_61818	PF01602.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
gene-M409DRAFT_61819	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-M409DRAFT_15665		NA	100
gene-M409DRAFT_61820	PF00982.28	GO:0003824,GO:0005992	8
gene-M409DRAFT_48367		NA	100
