protein_id	length
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA6	642
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA463229	133
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA463313	775
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA9597	74
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA394089	802
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA454949	1129
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA435658	1140
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA463781	78
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA395242	436
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA415960	584
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA483258	555
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA416287	1023
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA395254	269
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA396249	590
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA523638	327
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA474250	411
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA517134	482
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA188416	225
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA474518	179
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA231087	160
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA524077	617
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA509924	397
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA465183	76
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA418572	1904
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA274150	221
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA492830	648
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA419103	897
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA465650	457
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA419509	280
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA398968	1875
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA513537	216
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA398982	497
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA399166	703
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA325966	677
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA466332	472
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA399994	525
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA466509	174
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA466588	345
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA466677	371
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA388987	796
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA466857	591
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA457853	721
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA401181	5440
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA476735	1466
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA401541	290
rna-gnl|WGS:JAAEJR|M011DRAFT_mRNA458170	680
