protein_id	length
rna-XM_003168975.1	333
rna-XM_003169075.1	275
rna-XM_003169175.1	115
rna-XM_003169275.1	40
rna-XM_003169375.1	550
rna-XM_003169475.1	226
rna-XM_003169575.1	223
rna-XM_003169675.1	244
rna-XM_003169775.1	170
rna-XM_003169875.1	449
rna-XM_003169975.1	330
rna-XM_003170075.1	599
rna-XM_003170175.1	624
rna-XM_003170275.1	617
rna-XM_003170375.1	233
rna-XM_003170475.1	394
rna-XM_003170575.1	1085
rna-XM_003170675.1	1471
rna-XM_003170775.1	331
rna-XM_003170875.1	672
rna-XM_003170975.1	250
rna-XM_003171075.1	281
rna-XM_003171175.1	324
rna-XM_003171275.1	771
rna-XM_003171375.1	431
rna-XM_003171475.1	254
rna-XM_003171575.1	727
rna-XM_003171675.1	540
rna-XM_003171775.1	434
rna-XM_003171875.1	557
rna-XM_003171975.1	345
rna-XM_003172075.1	399
rna-XM_003172175.1	67
rna-XM_003172275.1	903
rna-XM_003172375.1	318
rna-XM_003172475.1	543
rna-XM_003172575.1	184
rna-XM_003172675.1	102
rna-XM_003172775.1	1944
rna-XM_003172875.1	475
rna-XM_003172975.1	263
rna-XM_003173075.1	645
rna-XM_003173175.1	169
rna-XM_003173275.1	451
rna-XM_003173375.1	155
rna-XM_003173475.1	883
rna-XM_003173575.1	701
rna-XM_003173675.1	267
rna-XM_003173775.1	683
rna-XM_003173875.1	389
rna-XM_003173975.1	988
rna-XM_003174075.1	784
rna-XM_003174175.1	385
rna-XM_003174275.1	90
rna-XM_003174375.1	78
rna-XM_003174475.1	283
rna-XM_003174575.1	593
rna-XM_003174675.1	117
rna-XM_003174775.1	555
rna-XM_003174875.1	543
rna-XM_003174975.1	206
rna-XM_003175075.1	665
rna-XM_003175175.1	120
rna-XM_003175275.1	92
rna-XM_003175375.1	141
rna-XM_003175475.1	106
rna-XM_003175575.1	387
rna-XM_003175675.1	135
rna-XM_003175775.1	917
rna-XM_003175875.1	276
rna-XM_003175975.1	1352
rna-XM_003176075.1	698
rna-XM_003176175.1	100
rna-XM_003176275.1	96
rna-XM_003176375.1	1555
rna-XM_003176475.1	415
rna-XM_003176575.1	215
rna-XM_003176675.1	233
rna-XM_003176775.1	255
rna-XM_003176875.1	191
rna-XM_003176975.1	338
rna-XM_003177075.1	450
rna-XM_003177175.1	598
rna-XM_003177275.1	232
rna-XM_003177375.1	555
rna-XM_003177475.1	449
rna-XM_003177575.1	120
rna-XM_003177675.1	608
rna-XM_003177775.1	449
rna-XM_003177875.1	216
