protein_id	length
GML000001_mRNA1	381
GML000101_mRNA1	83
GML000201_mRNA1	258
GML000301_mRNA1	785
GML000401_mRNA1	667
GML000501_mRNA1	165
GML000601_mRNA1	163
GML000701_mRNA1	787
GML000801_mRNA1	702
GML000901_mRNA1	113
GML001001_mRNA1	125
GML001101_mRNA1	362
GML001201_mRNA1	413
GML001301_mRNA1	308
GML001400_mRNA1	534
GML001501_mRNA1	382
GML001601_mRNA1	124
GML001701_mRNA1	362
GML001801_mRNA1	558
GML001901_mRNA1	575
GML002001_mRNA1	435
GML002101_mRNA1	403
GML002201_mRNA1	409
GML002301_mRNA1	446
GML002401_mRNA1	103
GML002501_mRNA1	437
GML002601_mRNA1	626
GML002701_mRNA1	266
GML002801_mRNA1	528
GML002901_mRNA1	580
GML003001_mRNA1	387
GML003101_mRNA1	302
GML003201_mRNA1	513
GML003301_mRNA1	231
GML003401_mRNA1	719
GML003501_mRNA1	178
GML003601_mRNA1	1496
GML003701_mRNA1	636
GML003801_mRNA1	278
GML003901_mRNA1	464
GML004001_mRNA1	624
GML004101_mRNA1	127
GML004201_mRNA1	1028
GML004301_mRNA1	418
GML004401_mRNA1	425
GML004501_mRNA1	532
GML004601_mRNA1	163
GML004701_mRNA1	540
GML004801_mRNA1	1236
GML004901_mRNA1	691
GML005001_mRNA1	1316
GML005101_mRNA1	555
GML005201_mRNA1	547
GML005301_mRNA1	656
GML005401_mRNA1	394
GML005501_mRNA1	401
GML005601_mRNA1	556
GML005701_mRNA1	602
GML005801_mRNA1	773
GML005901_mRNA1	854
GML006001_mRNA1	538
GML006101_mRNA1	469
GML006201_mRNA1	420
GML006301_mRNA1	945
GML006401_mRNA1	167
GML006501_mRNA1	453
GML006601_mRNA1	273
GML006701_mRNA1	201
GML006801_mRNA1	159
GML006901_mRNA1	121
GML007001_mRNA1	973
GML007101_mRNA1	101
GML007201_mRNA1	90
GML007301_mRNA1	703
GML007401_mRNA1	177
GML007501_mRNA1	85
GML007601_mRNA1	556
GML007701_mRNA1	239
GML007801_mRNA1	629
GML007901_mRNA1	347
GML008001_mRNA1	281
GML008101_mRNA1	114
GML008201_mRNA1	189
GML008301_mRNA1	727
GML008401_mRNA1	616
GML008501_mRNA1	163
GML008601_mRNA1	226
GML008701_mRNA1	737
GML008801_mRNA1	815
GML008901_mRNA1	146
