gene_id	pfam_ids	go_ids	bin_id
gene-LQ351_000001	PF20516.5	NA	100
gene-LQ351_000002		NA	100
gene-LQ351_000003		NA	100
gene-LQ351_000004		NA	100
gene-LQ351_000005		NA	100
gene-LQ351_000006	PF00004.36	GO:0005524,GO:0016887	8
gene-LQ351_000007	PF17866.9	NA	100
gene-LQ351_000008	PF13086.13,PF13087.13	GO:0004386	8
gene-LQ351_000009	PF07690.22	GO:0022857,GO:0055085	6
gene-LQ351_000010	PF20684.4	NA	100
gene-LQ351_000011	PF06985.18	NA	100
gene-LQ351_000012		NA	100
gene-LQ351_000013	PF00156.34,PF01565.29,PF04275.21	GO:0004631,GO:0005737,GO:0006695,GO:0050660	3
gene-LQ351_000014	PF07690.22	GO:0022857,GO:0055085	6
gene-LQ351_000015	PF00884.29,PF16347.11	NA	100
gene-LQ351_000016	PF07690.22	GO:0022857,GO:0055085	6
gene-LQ351_000017	PF02668.23	GO:0016491	8
gene-LQ351_000018		NA	100
gene-LQ351_000019		NA	100
gene-LQ351_000020		NA	100
gene-LQ351_000021	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-LQ351_000022	PF00106.32,PF00109.33,PF00698.27,PF02801.29,PF08240.18,PF08659.17,PF13602.13,PF14765.13,PF23114.1	NA	100
gene-LQ351_000023	PF13561.13	NA	100
gene-LQ351_000024	PF28351.1	NA	100
gene-LQ351_000025		NA	100
gene-LQ351_000026		NA	100
gene-LQ351_000027		NA	100
gene-LQ351_000028	PF00043.31,PF02798.27,PF13409.13,PF13417.13,PF14497.12	NA	100
gene-LQ351_000029	PF00106.32,PF00550.32,PF08659.17	NA	100
gene-LQ351_000030	PF00107.33,PF00109.33,PF00698.27,PF02801.29,PF08240.18,PF08241.19,PF08242.19,PF14765.13,PF16197.12,PF21089.4,PF22336.3,PF22621.3,PF23114.1	GO:0008757	8
gene-LQ351_000031	PF00155.28	GO:0009058,GO:0030170	8
gene-LQ351_000032	PF10067.15	NA	100
gene-LQ351_000033	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-LQ351_000034	PF00106.32,PF00172.24,PF08493.16,PF08659.17,PF13561.13	GO:0000981,GO:0003677,GO:0005634,GO:0006355,GO:0008270,GO:0045122	2
gene-LQ351_000035	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-LQ351_000036		NA	100
gene-LQ351_000037		NA	100
gene-LQ351_000038		NA	100
gene-LQ351_000039	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-LQ351_000040	PF00583.32,PF08445.17,PF13508.14,PF13673.14	GO:0016747	8
gene-LQ351_000041	PF06728.20	GO:0016020,GO:0016255,GO:0042765	8
