gene_id	pfam_ids	go_ids	bin_id
gene-BZA05DRAFT_345363	PF00734.24,PF01341.24	GO:0004553,GO:0005576,GO:0005975,GO:0030245,GO:0030248	8
gene-BZA05DRAFT_380791	PF05368.20,PF13460.13	NA	100
gene-BZA05DRAFT_17	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-BZA05DRAFT_33	PF00857.27,PF01425.27	NA	100
gene-BZA05DRAFT_37	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BZA05DRAFT_380813	PF08241.19,PF08242.19,PF13489.13,PF13649.13	GO:0008757	8
gene-BZA05DRAFT_380821		NA	100
gene-BZA05DRAFT_439982		NA	100
gene-BZA05DRAFT_380823		NA	100
gene-BZA05DRAFT_317179	PF01569.28	NA	100
gene-BZA05DRAFT_380830		NA	100
gene-BZA05DRAFT_380832	PF00270.36,PF00271.38,PF04851.22,PF23002.3,PF26076.1	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-BZA05DRAFT_215	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BZA05DRAFT_380838	PF28391.1	NA	100
gene-BZA05DRAFT_380842	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BZA05DRAFT_423138	PF01408.29,PF02894.23,PF22725.2	GO:0000166	100
gene-BZA05DRAFT_330493	PF00097.32	GO:0046872	100
gene-BZA05DRAFT_416		NA	100
gene-BZA05DRAFT_411	PF00850.25	NA	100
gene-BZA05DRAFT_380864		NA	100
gene-BZA05DRAFT_469649	PF03443.21	NA	100
gene-BZA05DRAFT_313788		NA	100
gene-BZA05DRAFT_380871		NA	100
gene-BZA05DRAFT_454	PF20684.4	NA	100
gene-BZA05DRAFT_t24		NA	100
gene-BZA05DRAFT_541	PF26013.1	NA	100
gene-BZA05DRAFT_581	PF07510.17	NA	100
gene-BZA05DRAFT_380900	PF00035.33,PF00636.32,PF14622.12	GO:0004525,GO:0006396	1
gene-BZA05DRAFT_440000	PF14518.12	NA	100
gene-BZA05DRAFT_380907	PF26616.1	NA	100
gene-BZA05DRAFT_345411	PF03239.21	GO:0005381,GO:0016020,GO:0033573,GO:0034755	6
gene-BZA05DRAFT_380913		NA	100
gene-BZA05DRAFT_380915	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-BZA05DRAFT_380917	PF00097.32	GO:0046872	100
gene-BZA05DRAFT_719		NA	100
gene-BZA05DRAFT_440007		NA	100
gene-BZA05DRAFT_380927	PF00501.35,PF13193.13	NA	100
gene-BZA05DRAFT_t23		NA	100
gene-BZA05DRAFT_380929	PF00173.34,PF00441.30,PF02770.25,PF02771.22,PF08028.17	GO:0016627,GO:0050660	8
gene-BZA05DRAFT_440010		NA	100
gene-BZA05DRAFT_440011		NA	100
gene-BZA05DRAFT_380930	PF00561.27,PF12146.16,PF12697.14	NA	100
gene-BZA05DRAFT_t22		NA	100
gene-BZA05DRAFT_380931		NA	100
gene-BZA05DRAFT_836	PF01866.23	GO:0017183,GO:0090560	8
gene-BZA05DRAFT_795	PF09805.15	NA	100
gene-BZA05DRAFT_330219	PF01485.28,PF01485.28,PF22191.3	GO:0008270	100
gene-BZA05DRAFT_380936		NA	100
gene-BZA05DRAFT_427833	PF00498.32,PF16508.12	GO:0005515	100
gene-BZA05DRAFT_380942	PF02755.21,PF02755.21,PF02755.21	NA	100
gene-BZA05DRAFT_380945		NA	100
gene-BZA05DRAFT_380947		NA	100
gene-BZA05DRAFT_380950	PF03676.20,PF03676.20	NA	100
gene-BZA05DRAFT_954	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
gene-BZA05DRAFT_956	PF09731.15,PF09731.15	NA	100
gene-BZA05DRAFT_329818	PF05183.18,PF25358.2	NA	100
gene-BZA05DRAFT_440027	PF00173.34	NA	100
gene-BZA05DRAFT_1157	PF00410.25	GO:0003735,GO:0005840,GO:0006412	4
gene-BZA05DRAFT_1155	PF13638.13	NA	100
gene-BZA05DRAFT_432310	PF03908.19	NA	100
gene-BZA05DRAFT_329363	PF00581.26	NA	100
gene-BZA05DRAFT_1148		NA	100
gene-BZA05DRAFT_427840	PF01474.23	GO:0003849,GO:0009073	8
gene-BZA05DRAFT_345467	PF00488.28,PF01624.26,PF05188.24,PF05190.24,PF05192.24	GO:0005524,GO:0006298,GO:0030983	3
gene-BZA05DRAFT_380981	PF00579.32	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-BZA05DRAFT_365637	PF05691.19,PF05691.19	NA	100
gene-BZA05DRAFT_380986	PF20994.3	NA	100
gene-BZA05DRAFT_380988	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
