gene_id	pfam_ids	go_ids	bin_id
gene-BC941DRAFT_407155	PF00456.27,PF00676.26,PF02779.30,PF02780.26,PF22613.2	GO:0016624	8
gene-BC941DRAFT_446901	PF00307.37,PF00612.34,PF00616.25,PF03836.22,PF29130.1	GO:0005515,GO:0043087	100
gene-BC941DRAFT_407158	PF00254.35,PF14559.13,PF23322.2	GO:0003755	8
gene-BC941DRAFT_407162	PF03224.21,PF11698.15	GO:0000221,GO:0046961,GO:1902600	6
gene-BC941DRAFT_497260	PF01149.30,PF06831.20	GO:0003684,GO:0003906,GO:0006284,GO:0008270,GO:0016799,GO:0019104	3
gene-BC941DRAFT_386132	PF00534.27,PF08288.19,PF13439.13,PF13579.13,PF13692.13	GO:0006506,GO:0016757	8
gene-BC941DRAFT_464100	PF04905.19	GO:0005634,GO:0045892	100
gene-BC941DRAFT_497263		NA	100
gene-BC941DRAFT_407169	PF10165.15	NA	100
gene-BC941DRAFT_386137	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-BC941DRAFT_342589	PF00072.31,PF00512.32,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF02518.32,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6	GO:0000155,GO:0000160,GO:0007165,GO:0016020	3
gene-BC941DRAFT_407189		NA	100
gene-BC941DRAFT_407192	PF08585.19	NA	100
gene-BC941DRAFT_407195	PF00793.27	GO:0009058	8
gene-BC941DRAFT_446914	PF02811.27	GO:0003824	8
gene-BC941DRAFT_407197	PF04281.19	GO:0005741,GO:0006886	6
gene-BC941DRAFT_407198		NA	100
gene-BC941DRAFT_407199	PF02100.24	GO:0008073	100
gene-BC941DRAFT_364882	PF02544.22	GO:0006629,GO:0016627	8
gene-BC941DRAFT_364883	PF01501.27,PF06427.18,PF18400.8,PF18401.8,PF18402.8,PF18403.8,PF18404.8	GO:0003980,GO:0009101,GO:0016757	8
gene-BC941DRAFT_407203	PF00169.36,PF00620.33,PF00787.30	GO:0007165,GO:0035091	3
gene-BC941DRAFT_464116		NA	100
gene-BC941DRAFT_407210	PF01535.27,PF01535.27	NA	100
gene-BC941DRAFT_342547	PF02386.23	GO:0006812,GO:0008324,GO:0055085	6
gene-BC941DRAFT_364894	PF07992.21	GO:0016491	8
gene-BC941DRAFT_497280	PF12799.14,PF12799.14,PF13855.13,PF14580.13,PF14580.13	GO:0005515	100
gene-BC941DRAFT_407217	PF01066.27	GO:0008654,GO:0016020,GO:0016780	8
gene-BC941DRAFT_464123		NA	100
gene-BC941DRAFT_341928	PF00122.26,PF00690.32,PF12409.14,PF13246.13	NA	100
gene-BC941DRAFT_648		NA	100
gene-BC941DRAFT_464127	PF04100.19,PF16854.12	NA	100
gene-BC941DRAFT_407239	PF01302.32	NA	100
gene-BC941DRAFT_464129	PF11559.14	NA	100
gene-BC941DRAFT_407245	PF00293.35	NA	100
gene-BC941DRAFT_464131		NA	100
gene-BC941DRAFT_689		NA	100
gene-BC941DRAFT_407248		NA	100
gene-BC941DRAFT_342149	PF12505.15,PF12505.15,PF12505.15,PF12505.15,PF26150.1	NA	100
gene-BC941DRAFT_407252	PF10310.16	NA	100
gene-BC941DRAFT_407260	PF23419.3	NA	100
gene-BC941DRAFT_464137	PF10436.15	NA	100
gene-BC941DRAFT_407264	PF06747.19	NA	100
gene-BC941DRAFT_464139	PF03770.23	GO:0016301,GO:0032958	3
gene-BC941DRAFT_343090		NA	100
gene-BC941DRAFT_407267	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
gene-BC941DRAFT_407268		NA	100
gene-BC941DRAFT_364928	PF00724.27	GO:0010181,GO:0016491	8
gene-BC941DRAFT_386202	PF10075.16	NA	100
gene-BC941DRAFT_407273	PF04145.21	GO:0005375,GO:0016020,GO:0035434	6
gene-BC941DRAFT_407276	PF00003.29,PF01094.35	GO:0004930,GO:0007186,GO:0016020	3
gene-BC941DRAFT_446946	PF00498.32,PF13639.13,PF17123.12	GO:0005515	100
gene-BC941DRAFT_407282	PF03171.27,PF14226.13	NA	100
gene-BC941DRAFT_407283	PF01545.27,PF01545.27,PF16916.12	NA	100
gene-BC941DRAFT_407288	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF16363.12	GO:0006694,GO:0016616	8
gene-BC941DRAFT_386217	PF00009.34,PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
gene-BC941DRAFT_446951	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-BC941DRAFT_342194		NA	100
gene-BC941DRAFT_407295		NA	100
gene-BC941DRAFT_1028	PF00046.36	GO:0003677	4
gene-BC941DRAFT_1032	PF00454.34,PF21245.4	NA	100
gene-BC941DRAFT_464157	PF00249.38,PF00249.38,PF00249.38,PF13921.13,PF13921.13,PF13921.13	NA	100
gene-BC941DRAFT_446956		NA	100
gene-BC941DRAFT_1343	PF00397.33	GO:0005515	100
gene-BC941DRAFT_491738	PF00063.28,PF00612.34,PF00612.34,PF00612.34,PF01843.26	GO:0003774,GO:0005515,GO:0005524,GO:0016459	100
gene-BC941DRAFT_386224	PF07798.17	NA	100
gene-BC941DRAFT_507527	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-BC941DRAFT_507528	PF16088.11	NA	100
gene-BC941DRAFT_407332		NA	100
gene-BC941DRAFT_407337	PF04925.21,PF21413.4	NA	100
gene-BC941DRAFT_1448	PF00493.30,PF01078.28,PF07728.21,PF12619.14,PF14551.12,PF17207.10,PF17855.8	GO:0003677,GO:0005524,GO:0016887	4
gene-BC941DRAFT_477670	PF28859.1	NA	100
gene-BC941DRAFT_446965		NA	100
gene-BC941DRAFT_464168	PF02714.21,PF12621.14,PF13967.12,PF14703.13	GO:0016020	100
gene-BC941DRAFT_407348	PF01753.25	NA	100
gene-BC941DRAFT_458196	PF10075.16	NA	100
gene-BC941DRAFT_343114		NA	100
gene-BC941DRAFT_464172		NA	100
gene-BC941DRAFT_339673		NA	100
gene-BC941DRAFT_407355		NA	100
gene-BC941DRAFT_386248	PF03587.20	GO:0070037,GO:0070475	8
gene-BC941DRAFT_407358		NA	100
gene-BC941DRAFT_364984	PF00076.29	GO:0003723	4
gene-BC941DRAFT_464177	PF00132.31,PF12464.14,PF14602.13	GO:0016407	8
gene-BC941DRAFT_1548	PF00488.28,PF01624.26,PF05188.24,PF05190.24,PF05192.24	GO:0005524,GO:0006298,GO:0030983	3
gene-BC941DRAFT_491747	PF01730.22	GO:0016151	100
gene-BC941DRAFT_342671	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene-BC941DRAFT_407368	PF00226.37	NA	100
gene-BC941DRAFT_407371	PF01222.23	GO:0016020,GO:0016126,GO:0016628	8
gene-BC941DRAFT_386266	PF08624.16	NA	100
gene-BC941DRAFT_446980	PF00240.30,PF01599.27,PF11976.15	GO:0003735,GO:0005515,GO:0005840,GO:0006412	4
gene-BC941DRAFT_464185		NA	100
gene-BC941DRAFT_407377	PF00935.26	GO:0003735,GO:0005840,GO:0006412	4
gene-BC941DRAFT_407380		NA	100
gene-BC941DRAFT_407382	PF00133.29,PF00133.29,PF00133.29,PF08264.20,PF09334.18,PF13603.13	GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418	8
gene-BC941DRAFT_491752	PF00180.26	NA	100
gene-BC941DRAFT_446984	PF01488.27,PF03435.25,PF16653.11	NA	100
gene-BC941DRAFT_407388		NA	100
gene-BC941DRAFT_342321	PF02221.21	NA	100
gene-BC941DRAFT_407396	PF01565.29,PF04030.20	GO:0003885,GO:0016020,GO:0050660	8
gene-BC941DRAFT_491756	PF00623.26,PF04983.24,PF04997.18,PF04998.23,PF05000.23	GO:0003677,GO:0003899,GO:0006351	4
gene-BC941DRAFT_464194	PF09811.15	NA	100
gene-BC941DRAFT_342008	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-BC941DRAFT_t10		NA	100
gene-BC941DRAFT_407406	PF08287.17	GO:0005876,GO:0008608,GO:0042729	100
gene-BC941DRAFT_407410	PF05903.21	GO:0008233	8
gene-BC941DRAFT_407412		NA	100
gene-BC941DRAFT_341994	PF19050.6,PF19050.6	NA	100
gene-BC941DRAFT_497345	PF21203.3	NA	100
gene-BC941DRAFT_464201	PF04383.20	NA	100
gene-BC941DRAFT_464202	PF22749.3	NA	100
