protein_id	length
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295824	403
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA296157	563
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA328992	580
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA296783	674
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA160699	736
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA163215	303
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA297660	215
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA297922	2531
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA298355	245
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA298766	185
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA257722	414
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA299445	381
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA299807	335
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA340361	1072
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA19057	188
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA30857	488
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA301125	361
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA340619	422
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA330581	494
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA302357	268
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA302695	411
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA349550	495
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA110315	343
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA117264	716
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA124634	408
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA350533	526
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA304457	88
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA341263	707
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA304933	578
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA305237	459
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA305543	561
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA305786	471
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA306074	740
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA179764	387
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA183173	803
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA188508	504
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA307420	254
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA307672	1443
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA307961	420
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA206554	84
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA332762	278
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA332859	1017
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA309182	186
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA333054	315
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA352833	643
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA333259	184
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA333361	225
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA333463	547
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA238484	743
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA245339	150
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA353269	391
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA342892	580
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA311968	443
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA312312	1472
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA312708	151
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA313012	980
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA313271	500
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA313540	113
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA343441	1046
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA314157	236
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA354088	854
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA314735	459
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA289110	585
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA291763	516
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA335140	84
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA315822	357
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA316116	539
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA316412	420
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA347912	319
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA24319	566
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA348041	1368
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA32201	695
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA34193	351
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA318342	65
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA318595	204
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA318914	397
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA336310	542
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA319439	877
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA55614	363
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA58261	1183
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA63701	281
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA349073	819
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA349111	923
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA75041	344
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA349270	468
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA321816	175
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA349434	500
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA88531	316
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA92986	137
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA95200	369
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA337687	183
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA323590	522
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA346065	357
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA324061	490
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA350282	260
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA123014	96
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA324968	110
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA132077	293
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA338469	223
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA138259	226
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA326015	732
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA326308	250
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA338864	203
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA351271	498
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA351403	190
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA327502	503
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA351694	498
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA339360	170
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA328394	190
rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA339596	163
