gene_id	pfam_ids	go_ids	bin_id
gene-PLICBS_000001	PF00171.28	GO:0016491	8
gene-PLICBS_000002	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-PLICBS_000003	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-PLICBS_000004	PF11951.14	NA	100
gene-PLICBS_000005	PF01425.27	NA	100
gene-PLICBS_000006	PF06779.21,PF07690.22	GO:0022857,GO:0055085	6
gene-PLICBS_000007	PF01546.34,PF07687.20	GO:0016787	8
gene-PLICBS_000008		NA	100
gene-PLICBS_000009	PF01042.27	NA	100
gene-PLICBS_000010	PF00561.27,PF12697.14	NA	100
gene-PLICBS_000011	PF01425.27	NA	100
gene-PLICBS_000012	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-PLICBS_000013	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-PLICBS_000014	PF01425.27	NA	100
gene-PLICBS_000015	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-PLICBS_000016	PF02836.24,PF03198.21,PF07983.19	GO:0004553,GO:0005975	8
gene-PLICBS_000017	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-PLICBS_000018	PF21311.4	NA	100
gene-PLICBS_000019		NA	100
gene-PLICBS_000020		NA	100
gene-PLICBS_000021		NA	100
gene-PLICBS_000022	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF23098.2,PF23414.2	GO:0005515	100
gene-PLICBS_000023		NA	100
gene-PLICBS_000024	PF04577.20	GO:0016757	8
gene-PLICBS_000025	PF00350.30,PF01031.26	NA	100
gene-PLICBS_000026	PF17667.8	NA	100
gene-PLICBS_000027		NA	100
gene-PLICBS_000028		NA	100
gene-PLICBS_000029	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-PLICBS_000030	PF00106.32,PF13561.13	NA	100
gene-PLICBS_000031	PF10373.16	NA	100
gene-PLICBS_000032	PF09729.16	NA	100
gene-PLICBS_000033	PF08624.16	NA	100
gene-PLICBS_000034		NA	100
gene-PLICBS_000035		NA	100
gene-PLICBS_000036		NA	100
gene-PLICBS_000037		NA	100
gene-PLICBS_000038	PF09362.16	NA	100
gene-PLICBS_000039	PF00012.27,PF06723.20	GO:0005524,GO:0016887	8
gene-PLICBS_000040		NA	100
gene-PLICBS_000041		NA	100
gene-PLICBS_000042	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-PLICBS_000043		NA	100
gene-PLICBS_000044	PF11558.14,PF14479.12	NA	100
gene-PLICBS_000045	PF05729.19,PF24883.3	NA	100
gene-PLICBS_000046	PF23397.2,PF23397.2,PF23397.2,PF23397.2	NA	100
gene-PLICBS_000047	PF24883.3	NA	100
gene-PLICBS_000048	PF12862.14,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13	NA	100
gene-PLICBS_000049		NA	100
gene-PLICBS_000050		NA	100
gene-PLICBS_000051	PF04142.22	GO:0000139,GO:0015165,GO:0016020,GO:0090481	6
gene-PLICBS_000052		NA	100
gene-PLICBS_000053		NA	100
gene-PLICBS_000054		NA	100
gene-PLICBS_000055		NA	100
gene-PLICBS_000056		NA	100
gene-PLICBS_000057		NA	100
gene-PLICBS_000058	PF11327.14	NA	100
gene-PLICBS_000059	PF02515.23	GO:0003824	8
gene-PLICBS_000060		NA	100
gene-PLICBS_000061		NA	100
gene-PLICBS_000062		NA	100
