gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-PtrM4_000010	rna-XM_066102507.1	PF00078.33,PF17917.8,PF17919.8	Complete	None
gene-PtrM4_000020	rna-XM_066102508.1		None	None
gene-PtrM4_000030	rna-XM_066102509.1	PF08284.17,PF13650.12,PF13975.12,PF30863.1	Partial	None
gene-PtrM4_000040	rna-XM_066102510.1		None	None
gene-PtrM4_000050	rna-XM_066102511.1		None	None
gene-PtrM4_000060	rna-XM_066102512.1		None	None
gene-PtrM4_000070	rna-XM_066102513.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-PtrM4_000080	rna-XM_066102514.1	PF07727.20,PF25597.2	Complete	None
gene-PtrM4_000090	rna-XM_066102515.1		None	None
gene-PtrM4_000100	rna-XM_066102516.1		None	None
gene-PtrM4_000110	rna-XM_066102517.1	PF12013.14	Partial	None
gene-PtrM4_000120	rna-XM_066102518.1		None	None
gene-PtrM4_000130	rna-XM_066102519.1	PF12511.14	Complete	None
gene-PtrM4_000140	rna-XM_066102520.1	PF17917.8,PF17919.8,PF17921.8,PF31073.1	Complete	None
gene-PtrM4_000150	rna-XM_066102521.1	PF00078.33,PF00098.29,PF13650.12,PF13975.12,PF30863.1	Complete	None
gene-PtrM4_000160	rna-XM_066102522.1		None	None
gene-PtrM4_000170	rna-XM_066102523.1		None	None
gene-PtrM4_000180	rna-XM_066102524.1	PF00075.31,PF00078.33	Complete	None
gene-PtrM4_000190	rna-XM_066102525.1	PF27041.1	Partial	None
gene-PtrM4_000200	rna-XM_066102526.1	PF05699.20	Partial	None
gene-PtrM4_000210	rna-XM_001938978.2	PF06792.18,PF23189.2	Partial	None
gene-PtrM4_000220	rna-XM_066102527.1	PF09370.17	Partial	None
gene-PtrM4_000230	rna-XM_066102528.1	PF05699.20,PF27041.1	Complete	None
gene-PtrM4_000240	rna-XM_066102529.1	PF05699.20,PF27041.1	Complete	None
gene-PtrM4_000250	rna-XM_001938976.2		None	None
gene-PtrM4_000260	rna-XM_066102530.1		None	None
gene-PtrM4_000270	rna-XM_001938975.2		None	None
gene-PtrM4_000280	rna-XM_001941666.2	PF01593.31,PF13450.13	Partial	None
gene-PtrM4_000290	rna-XM_066102531.1	PF11517.15,PF14608.13,PF14608.13,PF14608.13,PF14608.13,PF22683.3	Complete	None
gene-PtrM4_000300	rna-XM_066102532.1	PF20684.4	Partial	None
gene-PtrM4_000310	rna-XM_066102533.1		None	None
gene-PtrM4_000320	rna-XM_001941663.2	PF01565.29	Partial	None
gene-PtrM4_000330	rna-XM_066102534.1	PF00076.29	Partial	None
gene-PtrM4_000340	rna-XM_066102535.1		None	None
gene-PtrM4_000350	rna-XM_001941660.2	PF05730.17	Partial	None
gene-PtrM4_000360	rna-XM_066102536.1		None	None
gene-PtrM4_000370	rna-XM_066102537.1		None	None
gene-PtrM4_000380	rna-XM_001941657.1		None	None
gene-PtrM4_000390	rna-XM_066102538.1	PF00324.28,PF13520.13	Partial	None
gene-PtrM4_000400	rna-XM_066102539.1		None	None
gene-PtrM4_000410	rna-XM_066102540.1		None	None
gene-PtrM4_000420	rna-XM_066102541.1		None	None
gene-PtrM4_000430	rna-XM_066102542.1		None	None
gene-PtrM4_000440	rna-XM_066102543.1	PF00743.26,PF13450.13	Partial	None
gene-PtrM4_000450	rna-XM_001941652.1	PF00621.26,PF00780.29,PF15405.13,PF23582.2	Complete	None
gene-PtrM4_000460	rna-XM_066102544.1	PF00069.32,PF07714.24	Partial	None
gene-PtrM4_000470	rna-XM_066102545.1	PF01564.24	Complete	None
gene-PtrM4_000480	rna-XM_001941649.1	PF09747.15,PF09747.15	Partial	None
gene-PtrM4_000490	rna-XM_001941648.2	PF00083.31,PF07690.22	Partial	None
gene-PtrM4_000500	rna-XM_001941646.1	PF12937.13	Partial	None
gene-PtrM4_000510	rna-XM_066102546.1		None	None
gene-PtrM4_000520	rna-XM_066102547.1	PF05699.20,PF27041.1	Complete	None
gene-PtrM4_000530	rna-XM_066102548.1	PF07727.20	Complete	None
gene-PtrM4_000540	rna-XM_066102549.1		None	None
gene-PtrM4_000550	rna-XM_066102550.1	PF07727.20,PF25597.2	Partial	None
gene-PtrM4_000560	rna-XM_066102551.1	PF20253.4	Partial	None
gene-PtrM4_000570	rna-XM_066102552.1	PF20253.4	Partial	None
gene-PtrM4_000580	rna-XM_066102553.1		None	None
gene-PtrM4_000590	rna-XM_066102554.1		None	None
gene-PtrM4_000600	rna-XM_001941668.2		None	None
gene-PtrM4_000610	rna-XM_066102555.1	PF00266.26	Partial	None
gene-PtrM4_000620	rna-XM_066102556.1		None	None
gene-PtrM4_000630	rna-XM_001941670.1		None	None
gene-PtrM4_000640	rna-XM_066102557.1	PF20516.5	Partial	None
gene-PtrM4_000650	rna-XM_066102558.1	PF05699.20,PF27041.1	Complete	None
gene-PtrM4_000660	rna-XM_066102559.1		None	None
gene-PtrM4_000670	rna-XM_066102560.1		None	None
gene-PtrM4_000680	rna-XM_001941672.1		None	None
gene-PtrM4_000690	rna-XM_066102561.1		None	None
gene-PtrM4_000700	rna-XM_066102562.1		None	None
gene-PtrM4_000710	rna-XM_066102563.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF24883.3	Complete	None
