protein_id	length
GML000001_mRNA1	304
GML000101_mRNA1	319
GML000201_mRNA1	763
GML000301_mRNA1	582
GML000401_mRNA1	171
GML000501_mRNA1	763
GML000601_mRNA1	593
GML000701_mRNA1	700
GML000801_mRNA1	568
GML000901_mRNA1	1425
GML001001_mRNA1	601
GML001101_mRNA1	506
GML001201_mRNA1	1287
GML001301_mRNA1	594
GML001401_mRNA1	88
GML001501_mRNA1	119
GML001601_mRNA1	658
GML001701_mRNA1	68
GML001801_mRNA1	82
GML001901_mRNA1	609
GML002001_mRNA1	295
GML002101_mRNA1	269
GML002201_mRNA1	623
GML002301_mRNA1	425
GML002401_mRNA1	242
GML002501_mRNA1	337
GML002601_mRNA1	518
GML002701_mRNA1	339
GML002801_mRNA1	261
GML002901_mRNA1	670
GML003001_mRNA1	206
GML003101_mRNA1	359
GML003201_mRNA1	355
GML003301_mRNA1	589
GML003401_mRNA1	583
GML003501_mRNA1	122
GML003601_mRNA1	256
GML003701_mRNA1	223
GML003801_mRNA1	352
GML003901_mRNA1	833
GML004001_mRNA1	274
GML004101_mRNA1	139
GML004201_mRNA1	173
GML004301_mRNA1	290
GML004401_mRNA1	712
GML004501_mRNA1	262
GML004601_mRNA1	251
GML004701_mRNA1	335
GML004801_mRNA1	580
GML004901_mRNA1	676
GML005001_mRNA1	218
GML005101_mRNA1	259
GML005201_mRNA1	332
GML005301_mRNA1	146
GML005401_mRNA1	95
GML005501_mRNA1	375
GML005601_mRNA1	1281
GML005701_mRNA1	220
GML005801_mRNA1	111
GML005901_mRNA1	198
GML006001_mRNA1	833
GML006101_mRNA1	172
GML006201_mRNA1	129
GML006301_mRNA1	397
GML006401_mRNA1	340
GML006501_mRNA1	85
GML006601_mRNA1	159
GML006701_mRNA1	614
GML006801_mRNA1	1453
GML006901_mRNA1	263
GML007001_mRNA1	338
GML007101_mRNA1	151
GML007201_mRNA1	593
GML007301_mRNA1	156
GML007401_mRNA1	425
GML007501_mRNA1	425
GML007601_mRNA1	377
GML007701_mRNA1	278
GML007801_mRNA1	346
GML007901_mRNA1	266
GML008001_mRNA1	1022
GML008101_mRNA1	185
GML008201_mRNA1	320
GML008301_mRNA1	858
GML008401_mRNA1	915
GML008501_mRNA1	128
GML008601_mRNA1	242
GML008701_mRNA1	362
GML008801_mRNA1	468
GML008901_mRNA1	585
GML009001_mRNA1	207
GML009101_mRNA1	499
GML009201_mRNA1	161
GML009301_mRNA1	475
GML009401_mRNA1	265
GML009501_mRNA1	428
