protein_id	length
rna-XM_051742315.1	356
rna-XM_051743802.1	361
rna-XM_051748190.1	409
rna-XM_051749204.1	235
rna-XM_051743904.1	91
rna-XM_051748258.1	764
rna-XM_051749578.1	815
rna-XM_051740680.1	712
rna-XM_051744035.1	377
rna-XM_051747195.1	1077
rna-XM_051747201.1	253
rna-XM_051748313.1	400
rna-XM_051744160.1	534
rna-XM_051749746.1	308
rna-XM_051749753.1	942
rna-XM_051738389.1	259
rna-XM_051748340.1	324
rna-XM_051738780.1	114
rna-XM_051738810.1	1059
rna-XM_051738827.1	313
rna-XM_051749856.1	418
rna-XM_051749863.1	1583
rna-XM_051744499.1	339
rna-XM_051739119.1	342
rna-XM_051739142.1	560
rna-XM_051740904.1	1206
rna-XM_051744648.1	942
rna-XM_051739220.1	606
rna-XM_051742465.1	181
rna-XM_051740980.1	240
rna-XM_051740499.1	206
rna-XM_051744802.1	250
rna-XM_051744844.1	411
rna-XM_051748479.1	214
rna-XM_051741015.1	737
rna-XM_051744950.1	139
rna-XM_051750038.1	442
rna-XM_051742533.1	404
rna-XM_051745038.1	288
rna-XM_051741039.1	358
rna-XM_051739863.1	469
rna-XM_051745145.1	780
rna-XM_051745179.1	501
rna-XM_051739966.1	207
rna-XM_051742568.1	108
rna-XM_051745270.1	398
rna-XM_051740069.1	241
rna-XM_051745325.1	568
rna-XM_051749266.1	351
rna-XM_051747498.1	194
rna-XM_051749597.1	279
rna-XM_051749069.1	486
rna-XM_051745462.1	818
rna-XM_051745500.1	272
rna-XM_051747542.1	579
rna-XM_051745543.1	902
rna-XM_051740810.1	1128
rna-XM_051747567.1	473
rna-XM_051741246.1	692
rna-XM_051746865.1	286
rna-XM_051748907.1	558
rna-XM_051745743.1	131
rna-XM_051749412.1	288
rna-XM_051747613.1	225
rna-XM_051749088.1	873
rna-XM_051745838.1	1205
rna-XM_051745882.1	385
rna-XM_051748725.1	282
rna-XM_051745957.1	235
rna-XM_051742234.1	2008
rna-XM_051738154.1	440
rna-XM_051742863.1	626
rna-XM_051749100.1	1167
rna-XM_051738226.1	731
rna-XM_051738424.1	184
rna-XM_051738452.1	162
rna-XM_051738466.1	535
rna-XM_051749437.1	252
rna-XM_051746191.1	416
rna-XM_051749112.1	400
rna-XM_051746267.1	493
rna-XM_051741495.1	487
rna-XM_051742248.1	239
rna-XM_051741507.1	225
rna-XM_051747796.1	218
rna-XM_051748814.1	289
rna-XM_051746415.1	608
rna-XM_051743098.1	107
rna-XM_051747832.1	66
rna-XM_051738904.1	153
rna-XM_051746512.1	256
rna-XM_051747873.1	151
rna-XM_051738964.1	345
rna-XM_051749883.1	94
rna-XM_051746585.1	159
rna-XM_051742269.1	117
rna-XM_051742272.1	395
rna-XM_051740534.1	142
rna-XM_051746691.1	298
rna-XM_051742279.1	929
rna-XM_051739316.1	332
rna-XM_051743325.1	531
rna-XM_051746764.1	315
rna-XM_051743361.1	184
rna-XM_051746824.1	295
rna-XM_051741775.1	513
rna-XM_051750003.1	507
rna-XM_051746895.1	281
rna-XM_051746921.1	140
rna-XM_051749509.1	644
rna-XM_051743487.1	209
rna-XM_051749169.1	212
rna-XM_051743508.1	173
rna-XM_051740524.1	101
rna-XM_051750085.1	416
rna-XM_051741893.1	262
rna-XM_051741908.1	257
rna-XM_051740152.1	409
rna-XM_051748985.1	264
rna-XM_051748161.1	273
rna-XM_051738024.1	72
rna-XM_051748198.1	490
rna-XM_051741978.1	57
