gene_id	pfam_ids	go_ids	bin_id
GML000001	PF10334.17	NA	100
GML000002	PF01055.33,PF21365.4	GO:0004553,GO:0005975	8
GML000003		NA	100
GML000004	PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF14531.13,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
GML000005	PF00909.27,PF00909.27	GO:0008519,GO:0016020,GO:0072488	6
GML000006	PF00076.29	GO:0003723	4
GML000007	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000008	PF00128.32	GO:0005975	8
GML000009		NA	100
GML000010	PF00172.24,PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000011		NA	100
GML000012	PF00005.34,PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF01061.30,PF19055.7,PF19055.7,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0140359	6
GML000013	PF03663.21	NA	100
GML000014		NA	100
GML000015		NA	100
GML000016	PF01230.30	GO:0003824	8
GML000017		NA	100
GML000018	PF20684.4,PF20684.4	NA	100
GML000019		NA	100
GML000020	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000021	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14	GO:0005515	100
GML000022		NA	100
GML000023		NA	100
GML000024		NA	100
GML000025	PF03151.23	NA	100
GML000026	PF01593.31,PF13450.13	GO:0016491	8
GML000027	PF00004.36,PF00004.36,PF00004.36,PF00004.36,PF02933.24,PF02933.24,PF17862.8,PF17862.8	GO:0005524,GO:0016887	8
GML000028		NA	100
GML000029		NA	100
GML000030	PF11790.15	NA	100
GML000031	PF07690.22	GO:0022857,GO:0055085	6
GML000032	PF11913.14,PF11913.14,PF11913.14	NA	100
GML000033		NA	100
GML000034		NA	100
GML000035	PF20684.4	NA	100
GML000036	PF01425.27	NA	100
GML000037	PF12734.13	NA	100
GML000038	PF02269.23	GO:0006366	8
GML000039	PF00590.26	GO:0008168	8
GML000040	PF13515.13	NA	100
GML000041		NA	100
GML000042	PF00581.26,PF00899.28	NA	100
GML000043		NA	100
GML000044	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
GML000045	PF01979.27,PF07969.18	GO:0016787	8
GML000046	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000047		NA	100
GML000048		NA	100
GML000049	PF01734.28	GO:0006629	8
GML000050	PF03473.24,PF03476.22	GO:0003824,GO:0030151,GO:0030170	8
GML000051	PF01432.27	GO:0004222,GO:0006508	5
GML000052	PF00890.31,PF01494.26,PF13450.13	GO:0071949	100
GML000053		NA	100
GML000054	PF08639.16	NA	100
GML000055		NA	100
GML000056	PF02733.23,PF02734.23	GO:0004371,GO:0006071	3
GML000057	PF29556.1	NA	100
GML000058	PF00106.32,PF00106.32,PF13561.13,PF13561.13	NA	100
GML000059	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	NA	100
GML000060	PF07690.22	GO:0022857,GO:0055085	6
GML000061		NA	100
GML000062		NA	100
GML000063	PF00106.32,PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF08659.17,PF16363.12	GO:0006694,GO:0016616	8
GML000064	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000065	PF00561.27,PF12146.16,PF12697.14	NA	100
GML000066		NA	100
GML000067	PF00628.36	NA	100
GML000068		NA	100
GML000069	PF06963.19,PF06963.19	GO:0005381,GO:0016020,GO:0034755	6
GML000070	PF02878.23,PF02878.23,PF02878.23,PF02878.23,PF02880.23,PF02880.23,PF02880.23	GO:0005975,GO:0016868	8
GML000071	PF00408.27,PF02880.23	GO:0005975,GO:0016868	8
GML000072	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000073		NA	100
GML000074	PF02146.24	GO:0070403	100
GML000075	PF11635.15,PF20719.3	GO:0016592	100
GML000076		NA	100
GML000077	PF02201.24,PF02201.24,PF02201.24	NA	100
GML000078		NA	100
GML000079	PF00172.24,PF00172.24,PF28706.1,PF28706.1	GO:0000981,GO:0006355,GO:0008270	3
GML000080	PF00172.24,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000081	PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000082		NA	100
GML000083	PF00580.28,PF08696.18,PF12705.14,PF13086.13,PF13086.13,PF13087.13,PF13245.13,PF13604.13,PF21123.4	GO:0004386,GO:0005524	8
GML000084	PF00181.31,PF03947.25	GO:0003735,GO:0005840,GO:0006412	4
GML000085	PF00134.29,PF02984.25	NA	100
GML000086	PF00389.37,PF02826.26	GO:0016616,GO:0051287	8
GML000087	PF01988.25	GO:0005384,GO:0030026	6
GML000088	PF04185.20	GO:0016788	8
GML000089	PF00230.26,PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000090	PF00478.32,PF01070.25,PF01645.24	GO:0003824,GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
GML000091		NA	100
GML000092		NA	100
GML000093		NA	100
GML000094		NA	100
GML000095		NA	100
GML000096	PF01968.25,PF02538.20,PF05378.20,PF19278.5	GO:0003824,GO:0016787	8
GML000097	PF00023.37,PF00023.37,PF01843.26,PF12796.14,PF12796.14,PF13637.13	GO:0005515	100
GML000098	PF03561.23,PF03561.23	GO:0000256,GO:0004037	8
GML000099	PF07690.22	GO:0022857,GO:0055085	6
GML000100	PF02464.24	NA	100
GML000101		NA	100
GML000102	PF04193.20	NA	100
GML000103	PF30554.1	NA	100
GML000104	PF00725.28,PF02737.25	GO:0006631,GO:0016491,GO:0016616,GO:0070403	8
GML000105		NA	100
GML000106	PF01545.27,PF01545.27	NA	100
GML000107	PF07690.22	GO:0022857,GO:0055085	6
GML000108		NA	100
GML000109		NA	100
GML000110	PF01753.25,PF01753.25	NA	100
GML000111	PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF07717.23,PF07717.23,PF21010.3,PF21010.3,PF28719.1,PF28719.1	GO:0003676,GO:0005524	4
GML000112	PF12074.14,PF13513.13,PF23271.2,PF23271.2,PF24916.2,PF24984.2,PF24987.2,PF24993.2,PF25786.1,PF25801.2,PF26715.1	NA	100
GML000113	PF00400.39,PF00400.39	GO:0005515	100
GML000114	PF00076.29	GO:0003723	4
GML000115		NA	100
GML000116	PF10241.15	NA	100
GML000117	PF00521.27,PF00521.27,PF00521.27,PF00521.27	GO:0003677,GO:0003918,GO:0005524,GO:0006265	4
GML000118	PF22939.3,PF22939.3,PF22939.3,PF22939.3,PF24883.3,PF24883.3,PF24883.3,PF24883.3	NA	100
GML000119	PF00623.26,PF04983.24,PF04997.18,PF04998.23,PF05000.23	GO:0003677,GO:0003899,GO:0006351	4
GML000120	PF06544.19,PF08572.16	NA	100
GML000121	PF18271.9	NA	100
GML000122	PF06733.22,PF06733.22,PF06733.22,PF06777.18,PF06777.18,PF06777.18,PF13307.13,PF13307.13,PF13307.13	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	4
GML000123	PF13639.13,PF22958.3,PF22999.3,PF23009.2,PF23280.2	NA	100
GML000124		NA	100
GML000125	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000126	PF00651.38	GO:0005515	100
GML000127	PF00891.25	GO:0008171	8
GML000128	PF00230.26,PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000129		NA	100
GML000130	PF00293.35,PF09296.18	GO:0016787	8
GML000131		NA	100
GML000132	PF01501.27,PF01501.27,PF01501.27	GO:0016757	8
GML000133	PF01494.26,PF01494.26	GO:0071949	100
GML000134	PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000135	PF01055.33,PF01055.33,PF13802.13,PF13802.13,PF21365.4,PF21365.4	GO:0004553,GO:0005975	8
GML000136	PF00561.27,PF06500.18,PF12697.14	NA	100
GML000137		NA	100
GML000138	PF19834.5,PF19834.5	NA	100
GML000139		NA	100
GML000140	PF00349.28,PF03727.23	GO:0005524,GO:0005975	8
GML000141	PF13577.13,PF13577.13	NA	100
GML000142		NA	100
GML000143	PF03069.21	GO:0016811	8
GML000144	PF12634.14	GO:0005780,GO:0045033	100
GML000145	PF00097.32,PF01485.28,PF01485.28,PF19422.5,PF21235.5,PF22191.3,PF22605.3	GO:0008270,GO:0046872	100
GML000146	PF00483.30,PF02020.25,PF25084.2,PF25087.2	GO:0005515,GO:0009058	8
GML000147	PF00072.31,PF00447.24	GO:0000160,GO:0003700,GO:0006355,GO:0043565	3
