protein_id	length
rna-XM_016435660.1	468
rna-XM_059464305.1	305
rna-XM_016435800.1	299
rna-XM_016435900.1	737
rna-XM_016436032.1	349
rna-XM_059464398.1	566
rna-XM_016436219.1	618
rna-XM_016434021.1	649
rna-XM_016434127.2	896
rna-XM_016434205.1	760
rna-XM_016434326.2	145
rna-XM_016434356.1	1484
rna-XM_016434504.2	872
rna-XM_059464610.1	204
rna-XM_016434662.1	283
rna-XM_016434741.1	383
rna-XM_016434857.1	102
rna-XM_016434917.1	1293
rna-XM_016434984.2	937
rna-XM_016435124.2	627
rna-XM_059464743.1	1037
rna-XM_016435255.1	818
rna-XM_016435350.1	1226
rna-XM_016435451.1	1849
rna-XM_059464843.1	892
rna-XM_016436926.1	83
rna-XM_016436990.1	247
rna-XM_016437106.1	814
rna-XM_016437238.1	820
rna-XM_016437297.1	560
rna-XM_016437380.1	972
rna-XM_016436266.2	709
rna-XM_016436297.1	966
rna-XM_016436437.1	268
rna-XM_059465037.1	122
rna-XM_016436624.1	387
rna-XM_016436690.1	904
rna-XM_016436789.1	524
rna-XM_059465166.1	139
rna-XM_016437475.1	152
rna-XM_016437593.1	877
rna-XM_059465219.1	460
rna-XM_059465245.1	957
rna-XM_016437838.2	1132
rna-XM_016437938.2	530
rna-XM_016438031.2	844
rna-XM_016438130.1	153
rna-XM_016438208.1	448
rna-XM_016438284.1	503
rna-XM_016438376.1	558
rna-XM_016438449.1	454
rna-XM_016438559.1	228
rna-XM_016438678.1	178
rna-XM_059465497.1	492
rna-XM_059465579.1	829
rna-XM_016438909.2	423
rna-XM_016439015.1	442
rna-XM_059465652.1	1687
rna-XM_016439201.1	1451
rna-XM_016439297.1	409
rna-XM_016439395.1	241
rna-XM_016439477.1	436
rna-XM_059465727.1	594
rna-XM_016439629.2	1510
rna-XM_016439731.2	1043
