gene_id	pfam_ids	go_ids	bin_id
gene-BJV82DRAFT_584636		NA	100
gene-BJV82DRAFT_503975	PF00224.28,PF02887.22	GO:0000287,GO:0004743,GO:0006096,GO:0030955	8
gene-BJV82DRAFT_661897	PF03028.22,PF07728.21,PF07728.21,PF08385.18,PF08393.19,PF12774.14,PF12775.14,PF12777.12,PF12780.14,PF12781.14,PF17852.7,PF17857.7,PF18198.8,PF18199.7,PF22597.3	GO:0005524,GO:0007018,GO:0008569,GO:0016887,GO:0030286	7
gene-BJV82DRAFT_503939	PF00782.26	GO:0016311	8
gene-BJV82DRAFT_101	PF07690.22	GO:0022857,GO:0055085	6
gene-BJV82DRAFT_584652	PF00173.34	NA	100
gene-BJV82DRAFT_584654		NA	100
gene-BJV82DRAFT_504232		NA	100
gene-BJV82DRAFT_641741	PF04502.19,PF04502.19	GO:0000398	8
gene-BJV82DRAFT_306	PF10104.15	GO:0031965,GO:0055088	100
gene-BJV82DRAFT_584686	PF00326.28,PF00930.28	GO:0006508,GO:0008236	5
gene-BJV82DRAFT_584691		NA	100
gene-BJV82DRAFT_584692		NA	100
gene-BJV82DRAFT_661905		NA	100
gene-BJV82DRAFT_584695		NA	100
gene-BJV82DRAFT_528452	PF00023.37,PF12796.14,PF13606.13,PF13637.13,PF27704.2	GO:0005515	100
gene-BJV82DRAFT_573052	PF00828.26	NA	100
gene-BJV82DRAFT_584711	PF00023.37,PF12796.14,PF13606.13,PF13857.13	GO:0005515	100
gene-BJV82DRAFT_685	PF00982.28,PF02358.23	GO:0003824,GO:0005992	8
gene-BJV82DRAFT_661910	PF01644.24,PF03142.22,PF13632.13,PF13641.13,PF22997.2	NA	100
gene-BJV82DRAFT_704	PF00928.27,PF01217.27	NA	100
gene-BJV82DRAFT_780	PF02146.24	GO:0070403	100
gene-BJV82DRAFT_661913		NA	100
gene-BJV82DRAFT_584727		NA	100
gene-BJV82DRAFT_584736		NA	100
gene-BJV82DRAFT_548134	PF01363.28	GO:0046872	100
gene-BJV82DRAFT_504241	PF00515.35,PF07719.24,PF07719.24,PF12895.14,PF13174.13,PF13174.13,PF13174.13,PF13176.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13414.13,PF13428.13,PF13431.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13	GO:0005515	100
gene-BJV82DRAFT_584751	PF00200.29,PF13574.13,PF13582.13,PF13583.12,PF13688.13	NA	100
gene-BJV82DRAFT_976	PF07500.20	GO:0006351	8
gene-BJV82DRAFT_661920		NA	100
gene-BJV82DRAFT_573063	PF04571.20,PF08235.20,PF16876.11,PF24694.2	NA	100
gene-BJV82DRAFT_490920	PF02225.28	NA	100
gene-BJV82DRAFT_584768	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
gene-BJV82DRAFT_573065		NA	100
gene-BJV82DRAFT_1063		NA	100
gene-BJV82DRAFT_503267	PF00069.32,PF07714.24,PF19431.5	GO:0000165,GO:0004672,GO:0005524,GO:0006468	3
gene-BJV82DRAFT_584771	PF00018.35,PF00169.36,PF00307.37,PF00536.38,PF07647.25,PF07653.24,PF14604.13	GO:0005515	100
gene-BJV82DRAFT_584774		NA	100
gene-BJV82DRAFT_707626	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-BJV82DRAFT_584784	PF00005.34	GO:0005524,GO:0016887	8
gene-BJV82DRAFT_491945		NA	100
gene-BJV82DRAFT_584789	PF00149.34,PF16891.11	GO:0016787	8
