protein_id	length
GML000001_mRNA1	96
GML000101_mRNA1	396
GML000201_mRNA1	171
GML000301_mRNA1	71
GML000401_mRNA1	269
GML000501_mRNA1	1263
GML000601_mRNA1	1546
GML000701_mRNA1	190
GML000801_mRNA1	455
GML000901_mRNA1	344
GML001001_mRNA1	534
GML001101_mRNA1	506
GML001201_mRNA1	281
GML001301_mRNA1	484
GML001401_mRNA1	516
GML001501_mRNA1	481
GML001601_mRNA1	661
GML001701_mRNA1	273
GML001801_mRNA1	296
GML001901_mRNA1	299
GML002001_mRNA1	603
GML002101_mRNA1	391
GML002201_mRNA1	197
GML002301_mRNA1	286
GML002401_mRNA1	201
GML002501_mRNA1	316
GML002601_mRNA1	200
GML002701_mRNA1	676
GML002801_mRNA1	277
GML002901_mRNA1	1217
GML003001_mRNA1	175
GML003101_mRNA1	314
GML003201_mRNA1	359
GML003301_mRNA1	290
GML003401_mRNA1	539
GML003501_mRNA1	351
GML003601_mRNA1	522
GML003701_mRNA1	826
GML003801_mRNA1	607
GML003901_mRNA1	1826
GML004001_mRNA1	500
GML004101_mRNA1	642
GML004201_mRNA1	273
GML004301_mRNA1	149
GML004401_mRNA1	942
GML004501_mRNA1	349
GML004601_mRNA1	433
GML004701_mRNA1	205
GML004801_mRNA1	651
GML004901_mRNA1	358
GML005001_mRNA1	284
GML005101_mRNA1	934
GML005201_mRNA1	198
GML005301_mRNA1	258
GML005401_mRNA1	376
GML005501_mRNA1	65
GML005601_mRNA1	344
GML005701_mRNA1	510
GML005801_mRNA1	203
GML005901_mRNA1	805
GML006001_mRNA1	639
GML006101_mRNA1	403
GML006201_mRNA1	522
GML006301_mRNA1	445
GML006401_mRNA1	421
GML006501_mRNA1	458
GML006601_mRNA1	544
GML006701_mRNA1	372
GML006801_mRNA1	340
GML006901_mRNA1	480
GML007001_mRNA1	201
GML007101_mRNA1	68
GML007201_mRNA1	530
GML007301_mRNA1	496
GML007401_mRNA1	205
GML007501_mRNA1	562
GML007601_mRNA1	207
GML007701_mRNA1	1309
GML007801_mRNA1	513
GML007901_mRNA1	298
GML008001_mRNA1	168
GML008101_mRNA1	376
GML008201_mRNA1	180
GML008301_mRNA1	305
GML008401_mRNA1	600
GML008501_mRNA1	166
GML008601_mRNA1	386
GML008701_mRNA1	578
GML008801_mRNA1	500
GML008901_mRNA1	496
GML009001_mRNA1	401
GML009101_mRNA1	312
GML009201_mRNA1	274
GML009301_mRNA1	1074
GML009401_mRNA1	323
GML009501_mRNA1	404
GML009601_mRNA1	997
GML009701_mRNA1	154
GML009801_mRNA1	265
GML009901_mRNA1	250
GML010001_mRNA1	103
GML010101_mRNA1	156
GML010201_mRNA1	70
GML010301_mRNA1	228
GML010401_mRNA1	242
GML010501_mRNA1	278
GML010601_mRNA1	100
GML010701_mRNA1	582
GML010801_mRNA1	557
GML010901_mRNA1	127
GML011001_mRNA1	195
GML011101_mRNA1	332
GML011201_mRNA1	226
GML011301_mRNA1	387
GML011401_mRNA1	989
GML011501_mRNA1	518
GML011601_mRNA1	457
GML011701_mRNA1	339
GML011801_mRNA1	498
GML011901_mRNA1	249
GML012001_mRNA1	162
GML012101_mRNA1	696
GML012201_mRNA1	231
GML012301_mRNA1	566
GML012401_mRNA1	190
GML012501_mRNA1	401
GML012601_mRNA1	278
GML012701_mRNA1	95
GML012801_mRNA1	165
GML012901_mRNA1	524
GML013001_mRNA1	562
GML013101_mRNA1	666
GML013201_mRNA1	296
GML013301_mRNA1	569
GML013401_mRNA1	699
GML013501_mRNA1	80
GML013601_mRNA1	117
GML013701_mRNA1	477
GML013801_mRNA1	281
GML013901_mRNA1	113
