gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-V1518DRAFT_5	rna-XM_066906601.1	PF06682.18	Partial	None
gene-V1518DRAFT_408014	rna-XM_066902017.1	PF02045.22	Partial	None
gene-V1518DRAFT_408016	rna-XM_066902018.1	PF04959.20,PF12066.14	Complete	None
gene-V1518DRAFT_408017	rna-XM_066902019.1	PF00092.35,PF04056.21,PF13519.13	Partial	None
gene-V1518DRAFT_408019	rna-XM_066902020.1	PF05739.27,PF09177.16	Complete	None
gene-V1518DRAFT_51	rna-XM_066906608.1		None	None
gene-V1518DRAFT_t12	gene-V1518DRAFT_t12		None	None
gene-V1518DRAFT_408025	rna-XM_066902021.1	PF00149.34	Partial	None
gene-V1518DRAFT_408026	rna-XM_066902022.1		None	None
gene-V1518DRAFT_t11	gene-V1518DRAFT_t11		None	None
gene-V1518DRAFT_408028	rna-XM_066902023.1	PF00382.25,PF00382.25,PF07741.19,PF08271.18	Complete	None
gene-V1518DRAFT_408031	rna-XM_066902024.1	PF04683.20,PF16550.11	Complete	None
gene-V1518DRAFT_408032	rna-XM_066902025.1	PF00004.36,PF16450.12,PF17862.8	Complete	None
gene-V1518DRAFT_408038	rna-XM_066902026.1	PF02492.26,PF07683.20	Complete	None
gene-V1518DRAFT_843	rna-XM_066906692.1	PF10187.16	Partial	None
gene-V1518DRAFT_436000	rna-XM_066906275.1	PF04828.23	Partial	None
gene-V1518DRAFT_408042	rna-XM_066902027.1	PF00804.32,PF05739.27	Complete	None
gene-V1518DRAFT_408047	rna-XM_066902028.1	PF00804.32,PF05739.27	Complete	None
gene-V1518DRAFT_387	rna-XM_066901709.1	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-V1518DRAFT_408050	rna-XM_066902029.1	PF04427.24	Partial	None
gene-V1518DRAFT_408052	rna-XM_066902030.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-V1518DRAFT_408054	rna-XM_066902031.1	PF00677.24,PF00677.24	Partial	None
gene-V1518DRAFT_408059	rna-XM_066902032.1	PF00970.31,PF01794.26,PF08022.19	Complete	None
gene-V1518DRAFT_408061	rna-XM_066902033.1	PF13532.13,PF13532.13	Complete	None
gene-V1518DRAFT_436007	rna-XM_066906276.1	PF00339.35,PF02752.28	Complete	None
gene-V1518DRAFT_408069	rna-XM_066902034.1	PF02434.24	Partial	None
gene-V1518DRAFT_408072	rna-XM_066902035.1	PF00646.39	Complete	None
gene-V1518DRAFT_408073	rna-XM_066902036.1	PF08316.17	Partial	None
gene-V1518DRAFT_408076	rna-XM_066902037.1	PF02373.29,PF10497.15	Complete	None
gene-V1518DRAFT_408081	rna-XM_066902038.1	PF00892.27,PF00892.27	Complete	None
gene-V1518DRAFT_408083	rna-XM_066902039.1	PF06201.20	Partial	None
gene-V1518DRAFT_408085	rna-XM_066902040.1	PF00490.28	Partial	None
gene-V1518DRAFT_439580	rna-XM_066906404.1	PF03357.27	Partial	None
gene-V1518DRAFT_408090	rna-XM_066902041.1	PF00004.36,PF00004.36,PF05496.19,PF07728.21,PF09336.17,PF17862.8,PF17862.8	Complete	None
gene-V1518DRAFT_408092	rna-XM_066902042.1	PF01008.24	Partial	None
gene-V1518DRAFT_408094	rna-XM_066902043.1	PF00702.33,PF13242.13,PF13419.13	Complete	None
gene-V1518DRAFT_408095	rna-XM_066902044.1	PF00787.30,PF09325.16	Complete	None
