gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004	PF00005.34,PF00005.34,PF00005.34,PF00005.34,PF00664.29,PF00664.29,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000005	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000006		NA	100
GML000007	PF02668.23	GO:0016491	8
GML000008		NA	100
GML000009	PF12171.15,PF12874.14,PF12874.14,PF12874.14	NA	100
GML000010	PF20174.5,PF20174.5	NA	100
GML000011	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000012	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000013		NA	100
GML000014	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000015	PF12751.14,PF12751.14	NA	100
GML000016	PF12767.13,PF12767.13,PF12767.13	GO:0070461	100
GML000017		NA	100
GML000018	PF04597.20	GO:0009101,GO:0016020	8
GML000019	PF00294.30,PF00294.30,PF00294.30,PF00294.30,PF04227.18,PF04227.18	GO:0004730	8
GML000020	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13637.13,PF13857.13,PF24883.3	GO:0005515	100
GML000021	PF00155.28,PF01053.27,PF30496.1	GO:0009058,GO:0019346,GO:0030170	8
GML000022	PF00856.34,PF00856.34	GO:0005515	100
GML000023	PF00561.27,PF06441.19,PF06441.19	NA	100
GML000024	PF01602.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
GML000025	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000026		NA	100
GML000027		NA	100
GML000028	PF00982.28,PF00982.28	GO:0003824,GO:0005992	8
GML000029		NA	100
GML000030	PF00149.34	GO:0016787	8
GML000031	PF06011.18,PF14558.12	NA	100
GML000032	PF00648.28,PF00648.28	GO:0004198,GO:0006508	5
GML000033	PF00560.40,PF08263.18	GO:0005515	100
GML000034	PF07823.18	GO:0004112	8
GML000035	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000036		NA	100
GML000037		NA	100
GML000038	PF00561.27,PF08386.17	NA	100
GML000039	PF26534.1	NA	100
GML000040	PF30909.1,PF30909.1	NA	100
GML000041	PF02102.22,PF14521.13	GO:0004222,GO:0006508	5
GML000042	PF00732.26	GO:0016614,GO:0050660	8
GML000043	PF05199.20	GO:0016614	8
GML000044	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000045	PF00107.33,PF08240.18,PF13602.13	NA	100
GML000046	PF11951.14	NA	100
GML000047	PF24681.2,PF24981.2	NA	100
GML000048	PF00170.27,PF07716.21	GO:0003700,GO:0006355	3
GML000049	PF00581.26,PF00581.26	NA	100
GML000050	PF17316.8,PF17316.8	NA	100
GML000051	PF00725.28,PF02737.25	GO:0006631,GO:0016491,GO:0016616,GO:0070403	8
GML000052	PF04931.19	GO:0003677,GO:0005730,GO:0006355,GO:0008134	4
GML000053		NA	100
GML000054	PF00106.32,PF00106.32,PF00106.32,PF00107.33,PF00107.33,PF00107.33,PF00109.33,PF00109.33,PF00109.33,PF00550.32,PF00550.32,PF00550.32,PF00698.27,PF00698.27,PF00698.27,PF02801.29,PF02801.29,PF02801.29,PF08240.18,PF08240.18,PF08240.18,PF08659.17,PF08659.17,PF08659.17,PF13602.13,PF13602.13,PF13602.13,PF14765.13,PF14765.13,PF14765.13,PF16197.12,PF16197.12,PF16197.12,PF21089.4,PF21089.4,PF21089.4	NA	100
GML000055	PF03959.20	NA	100
GML000056	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000057	PF00106.32,PF00106.32,PF08659.17,PF13561.13,PF13561.13	NA	100
GML000058	PF03171.27	NA	100
GML000059	PF00106.32,PF13561.13	NA	100
GML000060	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000061		NA	100
GML000062	PF00307.37,PF00307.37,PF00307.37,PF00307.37	GO:0005515	100
GML000063	PF00583.32,PF13673.14	GO:0016747	8
GML000064	PF00070.34,PF02852.29,PF07992.21	GO:0016491	8
GML000065	PF01753.25	NA	100
GML000066		NA	100
GML000067		NA	100
GML000068		NA	100
GML000069	PF00106.32,PF00106.32,PF13561.13,PF13561.13	NA	100
GML000070		NA	100
GML000071	PF02656.21,PF09359.16	NA	100
GML000072	PF01243.28,PF16242.12	NA	100
GML000073	PF10604.16	NA	100
GML000074	PF05686.19	NA	100
GML000075	PF12697.14	NA	100
GML000076	PF02990.22	GO:0016020	100
GML000077	PF11790.15	NA	100
GML000078		NA	100
GML000079	PF00888.30,PF00888.30,PF10557.16,PF10557.16,PF26557.1,PF26557.1	GO:0006511,GO:0031625	8
GML000080	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
GML000081		NA	100
GML000082	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000083		NA	100
GML000084		NA	100
GML000085	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000086	PF03022.23	NA	100
GML000087	PF09949.16	GO:0008195	8
GML000088		NA	100
GML000089	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13637.13,PF13637.13,PF22939.3,PF22939.3,PF24883.3,PF24883.3	GO:0005515	100
GML000090	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000091		NA	100
GML000092	PF00248.28	NA	100
GML000093	PF01490.25	NA	100
GML000094	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000095	PF05180.18	GO:0008270	100
GML000096		NA	100
GML000097	PF11951.14	NA	100
GML000098		NA	100
GML000099		NA	100
GML000100	PF07676.20,PF07676.20,PF07676.20,PF07676.20	NA	100
GML000101	PF00724.27	GO:0010181,GO:0016491	8
GML000102		NA	100
GML000103	PF00854.28,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000104	PF08240.18	NA	100
GML000105	PF08241.19,PF08242.19,PF13649.13	GO:0008757	8
