protein_id	length
GML000001_mRNA1	469
GML000101_mRNA1	579
GML000201_mRNA1	609
GML000301_mRNA1	305
GML000401_mRNA1	599
GML000501_mRNA1	807
GML000601_mRNA1	307
GML000701_mRNA1	415
GML000801_mRNA1	99
GML000901_mRNA1	241
GML001001_mRNA1	513
GML001101_mRNA1	130
GML001201_mRNA1	777
GML001301_mRNA1	429
GML001401_mRNA1	241
GML001501_mRNA1	165
GML001601_mRNA1	995
GML001701_mRNA1	655
GML001801_mRNA1	188
GML001901_mRNA1	539
GML002001_mRNA1	124
GML002101_mRNA1	431
GML002201_mRNA1	858
GML002301_mRNA1	381
GML002401_mRNA1	379
GML002501_mRNA1	775
GML002601_mRNA1	1658
GML002701_mRNA1	438
GML002801_mRNA1	430
GML002901_mRNA1	72
GML003001_mRNA1	1029
GML003101_mRNA1	356
GML003201_mRNA1	371
GML003301_mRNA1	738
GML003401_mRNA1	829
GML003501_mRNA1	186
GML003601_mRNA1	220
GML003701_mRNA1	908
GML003801_mRNA1	443
GML003901_mRNA1	991
GML004001_mRNA1	690
GML004101_mRNA1	411
GML004201_mRNA1	627
GML004301_mRNA1	77
GML004401_mRNA1	486
GML004501_mRNA1	214
GML004601_mRNA1	458
GML004701_mRNA1	126
GML004801_mRNA1	469
GML004901_mRNA1	577
GML005001_mRNA1	578
GML005101_mRNA1	216
GML005201_mRNA1	417
GML005301_mRNA1	209
GML005401_mRNA1	740
GML005501_mRNA1	71
GML005601_mRNA1	160
GML005701_mRNA1	1476
GML005801_mRNA1	529
GML005901_mRNA1	350
GML006001_mRNA1	452
GML006101_mRNA1	102
GML006201_mRNA1	493
GML006301_mRNA1	141
GML006401_mRNA1	80
GML006501_mRNA1	666
GML006601_mRNA1	200
GML006701_mRNA1	665
GML006801_mRNA1	583
GML006901_mRNA1	517
GML007001_mRNA1	566
GML007101_mRNA1	576
GML007201_mRNA1	330
GML007301_mRNA1	437
GML007401_mRNA1	266
GML007501_mRNA1	1629
GML007601_mRNA1	343
GML007701_mRNA1	324
GML007801_mRNA1	1181
GML007901_mRNA1	823
GML008001_mRNA1	336
GML008101_mRNA1	404
GML008201_mRNA1	272
GML008301_mRNA1	165
GML008401_mRNA1	559
GML008501_mRNA1	545
GML008601_mRNA1	440
GML008701_mRNA1	688
GML008801_mRNA1	137
GML008901_mRNA1	279
GML009001_mRNA1	442
GML009101_mRNA1	155
GML009201_mRNA1	675
GML009301_mRNA1	635
GML009401_mRNA1	230
GML009501_mRNA1	210
GML009601_mRNA1	303
