protein_id	length
rna-XM_014714966.1	117
rna-XM_014715056.1	72
rna-XM_014715149.1	435
rna-XM_014715239.1	754
rna-XM_014715331.1	1523
rna-XM_014715427.1	66
rna-XM_014715521.1	528
rna-XM_014714915.1	296
rna-XM_014715455.1	359
rna-XM_014715788.1	244
rna-XM_014715882.1	546
rna-XM_014715967.1	513
rna-XM_014714316.1	183
rna-XM_014714405.1	143
rna-XM_014714493.1	168
rna-XM_014714583.1	175
rna-XM_014714670.1	569
rna-XM_014714241.1	507
rna-XM_014714253.1	358
rna-XM_014713672.1	229
rna-XM_014713763.1	418
rna-XM_014713540.1	237
rna-XM_014713931.1	668
rna-XM_014714019.1	394
rna-XM_014714102.1	512
rna-XM_014714188.1	143
rna-XM_014713014.1	1622
rna-XM_014713101.1	275
rna-XM_014713192.1	562
rna-XM_014713287.1	797
rna-XM_014713371.1	109
rna-XM_014713462.1	656
rna-XM_014712228.1	517
rna-XM_014712433.1	844
rna-XM_014712517.1	1202
rna-XM_014712598.1	240
rna-XM_014712280.1	843
rna-XM_014712776.1	210
rna-XM_014711751.1	372
rna-XM_014711839.1	101
rna-XM_014711930.1	975
rna-XM_014712020.1	477
rna-XM_014711700.1	166
rna-XM_014712198.1	100
rna-XM_014711367.1	1074
rna-XM_014711456.1	834
rna-XM_014711287.1	195
rna-XM_014711631.1	753
rna-XM_014710986.1	572
rna-XM_014710902.1	106
rna-XM_014711161.1	83
rna-XM_014710925.1	99
rna-XM_014710664.1	396
rna-XM_014710756.1	275
rna-XM_014710589.1	534
rna-XM_014710385.1	590
rna-XM_014710475.1	504
rna-XM_014710085.1	355
rna-XM_014710172.1	790
rna-XM_014710260.1	425
rna-XM_014709901.1	103
rna-XM_014709995.1	260
rna-XM_014709712.1	1087
rna-XM_014709800.1	490
rna-XM_014709563.1	234
rna-XM_014709649.1	310
rna-XM_014709469.1	320
rna-XM_014709371.1	157
rna-XM_014709189.1	100
