protein_id	length
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1483351	383
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1464622	245
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA18240	397
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1464758	819
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1464829	366
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1464905	261
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA48542	308
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1486649	745
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA62000	88
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA68394	186
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA76794	104
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1465345	166
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1510819	147
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA97380	243
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1468581	350
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1557532	1000
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1694104	476
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA120631	145
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1475399	249
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1695306	806
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1464179	149
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1696494	571
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1437565	345
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA156425	201
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1475627	606
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1560747	119
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1475766	302
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1561768	79
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1670850	468
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA196018	77
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1671004	336
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1562780	326
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476026	334
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1450168	1166
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA218164	342
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1671122	304
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1428508	58
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476298	767
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476377	187
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA237156	533
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1426355	137
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA249506	215
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1566706	73
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476603	320
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1451188	125
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1517677	96
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476758	430
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1476840	426
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1469389	464
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1671502	284
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1569515	155
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1706243	201
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1630745	119
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1519322	84
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1477158	325
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1389752	65
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1662013	1531
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1611024	440
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1452527	324
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1572359	248
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1785429	357
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1671939	188
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1679783	200
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA351590	150
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1489621	359
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1490168	202
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1432389	869
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1608102	592
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1608167	366
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1617851	447
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1667735	177
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1608389	975
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1469958	316
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1477734	188
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA428457	538
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1522833	201
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA437830	213
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1680164	163
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA451345	275
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA457854	546
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1611346	176
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA472803	106
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1385698	127
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1470490	262
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1680610	502
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA489519	87
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1613984	940
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA502073	464
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1454740	50
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA510911	548
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1800666	247
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1478734	214
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1470849	142
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1681076	501
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1470930	296
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1614192	292
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1667914	239
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1667989	194
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1668074	1327
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1495386	415
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1495997	388
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA593512	486
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1497062	462
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1441489	257
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1455811	204
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1786499	596
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1582012	246
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1673250	520
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1582849	986
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1531400	117
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA643686	96
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA649777	65
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA658758	109
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1646537	918
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1533090	71
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1682055	526
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1682087	151
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1625487	366
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1434046	471
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1668535	311
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1498815	306
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1434579	637
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1499942	849
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1660372	301
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1471827	735
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1535477	182
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1471926	423
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1480167	115
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1443116	239
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA784506	277
rna-gnl|WGS:JADNYI|BD779DRAFT_mRNA1443270	769
