protein_id	length
gene-EMPS_00001	88
gene-EMPS_00101	1718
gene-EMPS_00201	528
gene-EMPS_00301	319
gene-EMPS_00401	397
gene-EMPS_00501	1164
gene-EMPS_00601	160
gene-EMPS_00701	406
gene-EMPS_00801	357
gene-EMPS_00901	1343
gene-EMPS_01001	815
gene-EMPS_01101	146
gene-EMPS_01201	358
gene-EMPS_01301	756
gene-EMPS_01401	240
gene-EMPS_01501	143
gene-EMPS_01601	464
gene-EMPS_01701	203
gene-EMPS_01801	1150
gene-EMPS_01901	1676
gene-EMPS_02001	2059
gene-EMPS_02101	456
gene-EMPS_02201	655
gene-EMPS_02301	669
gene-EMPS_02401	480
gene-EMPS_02501	393
gene-EMPS_02601	108
gene-EMPS_02701	305
gene-EMPS_02801	253
gene-EMPS_02901	378
gene-EMPS_03001	779
gene-EMPS_03101	73
gene-EMPS_03201	1188
gene-EMPS_03301	1128
gene-EMPS_03401	344
gene-EMPS_03501	190
gene-EMPS_03601	851
gene-EMPS_03701	132
gene-EMPS_03801	560
gene-EMPS_03901	499
gene-EMPS_04001	858
gene-EMPS_04101	472
gene-EMPS_04201	1096
gene-EMPS_04301	214
gene-EMPS_04401	159
gene-EMPS_04501	1114
gene-EMPS_04601	287
gene-EMPS_04701	295
gene-EMPS_04801	1232
gene-EMPS_04901	1736
gene-EMPS_05001	867
gene-EMPS_05101	577
gene-EMPS_05201	1026
gene-EMPS_05301	368
gene-EMPS_05401	1135
gene-EMPS_05501	250
gene-EMPS_05601	658
gene-EMPS_05701	542
gene-EMPS_05801	250
gene-EMPS_05901	627
gene-EMPS_06001	383
gene-EMPS_06101	387
gene-EMPS_06201	345
gene-EMPS_06301	329
gene-EMPS_06401	1003
gene-EMPS_06501	404
gene-EMPS_06601	546
gene-EMPS_06701	1162
gene-EMPS_06801	1218
gene-EMPS_06901	775
gene-EMPS_07001	498
gene-EMPS_07101	624
gene-EMPS_07201	385
gene-EMPS_07301	1792
gene-EMPS_07401	295
gene-EMPS_07501	335
gene-EMPS_07601	791
gene-EMPS_07701	306
gene-EMPS_07801	114
gene-EMPS_07901	272
gene-EMPS_08001	683
gene-EMPS_08101	519
gene-EMPS_08201	1317
gene-EMPS_08301	528
gene-EMPS_08401	2220
gene-EMPS_08501	587
gene-EMPS_08601	853
gene-EMPS_08701	95
gene-EMPS_08801	121
gene-EMPS_08901	434
gene-EMPS_09001	554
gene-EMPS_09101	329
gene-EMPS_09201	301
gene-EMPS_09301	666
gene-EMPS_09401	383
gene-EMPS_09501	328
gene-EMPS_09601	621
gene-EMPS_09701	626
gene-EMPS_09801	417
gene-EMPS_09901	302
gene-EMPS_10001	158
gene-EMPS_10101	311
gene-EMPS_10201	905
gene-EMPS_10301	422
gene-EMPS_10401	920
gene-EMPS_10501	334
gene-EMPS_10601	1518
gene-EMPS_10701	126
gene-EMPS_10801	173
gene-EMPS_10901	830
gene-EMPS_11001	588
gene-EMPS_11101	114
gene-EMPS_11201	841
gene-EMPS_11301	454
gene-EMPS_11401	368
gene-EMPS_11501	712
gene-EMPS_11601	374
