gene_id	pfam_ids	go_ids	bin_id
gene0	PF00701.29	GO:0016829	8
gene1	PF06738.19	GO:0022857,GO:0055085	6
gene2		NA	100
gene3	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene4	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene5	PF00005.34,PF00005.34,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene6	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene7	PF01926.30,PF08701.17	GO:0005525	100
gene8	PF00702.33,PF13419.13	NA	100
gene9	PF04893.23	GO:0016020	100
gene10	PF01569.28	NA	100
gene11	PF01214.24	GO:0005956,GO:0019887	100
gene12	PF05916.17,PF25005.2	NA	100
gene13	PF00248.28	NA	100
gene14	PF00106.32,PF08659.17,PF13561.13	NA	100
gene15		NA	100
gene16	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
gene17	PF00561.27,PF12146.16,PF12697.14	NA	100
gene18	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
gene19	PF02679.22	NA	100
gene20	PF07958.17	NA	100
gene21	PF02096.27	NA	100
gene22	PF08219.17	GO:0005741	100
gene23	PF00789.27,PF08059.19,PF14555.13,PF22566.3	GO:0005515	100
gene24	PF00654.26	GO:0006821,GO:0015108,GO:0016020,GO:0055085	6
gene25	PF08424.16	NA	100
gene26	PF14479.12	NA	100
gene27	PF00617.25,PF00618.26,PF25006.2,PF25008.2	GO:0005085,GO:0007264	3
gene28	PF04082.24,PF31024.1	GO:0003677,GO:0006351,GO:0008270	4
gene29	PF00722.29	GO:0004553,GO:0005975	8
gene30	PF00150.25	GO:0000272,GO:0004553	8
gene31	PF00106.32,PF13561.13,PF23441.1	NA	100
gene32		NA	100
gene33		NA	100
gene34	PF20684.4	NA	100
gene35		NA	100
gene36		NA	100
gene37	PF00076.29	GO:0003723	4
gene38		NA	100
gene39		NA	100
gene40	PF12697.14	NA	100
gene41		NA	100
gene42		NA	100
gene43	PF00171.28	GO:0016491	8
gene44	PF01266.31,PF13450.13	NA	100
gene45	PF11991.14,PF11991.14	GO:0009820,GO:0016765	8
gene46	PF12851.14	NA	100
gene47		NA	100
gene48	PF07690.22	GO:0022857,GO:0055085	6
gene49		NA	100
gene50	PF01144.30,PF01144.30	GO:0008410	8
gene51	PF10937.14	GO:0006103	8
gene52	PF00561.27,PF12697.14	NA	100
gene53		NA	100
gene54	PF00305.25	GO:0016702,GO:0046872	8
gene55	PF04678.19	NA	100
gene56	PF06985.18,PF26639.1	NA	100
gene57	PF08512.19	NA	100
gene58	PF08432.16	NA	100
gene59		NA	100
gene60	PF00043.31,PF00647.25,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	GO:0003746,GO:0006414	8
gene61	PF00380.26	GO:0003735,GO:0005840,GO:0006412	4
gene62		NA	100
gene63		NA	100
gene64		NA	100
gene65		NA	100
gene66	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene67		NA	100
gene68	PF01565.29	GO:0050660	100
gene69		NA	100
gene70	PF22669.3	GO:0016791,GO:0046856	8
gene71	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene72	PF01243.28	NA	100
gene73	PF00289.29,PF00364.29,PF02222.28,PF02785.26,PF02786.23,PF07478.19	GO:0005524,GO:0008716	8
gene74	PF00886.25	GO:0003735,GO:0005840,GO:0006412	4
gene75	PF03853.22	NA	100
gene76	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene77	PF00498.32	GO:0005515	100
gene78	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene79	PF20684.4	NA	100
gene80	PF00550.32,PF01073.26,PF01370.28,PF07993.19,PF23562.3	GO:0006694,GO:0016616	8
gene81	PF01040.24	GO:0016020,GO:0016765	8
gene82		NA	100
gene83	PF00248.28	NA	100
gene84		NA	100
gene85	PF00400.39	GO:0005515	100
gene86		NA	100
gene87	PF06687.18	GO:0005886	100
gene88	PF00149.34,PF16891.11	GO:0016787	8
gene89	PF10494.16	NA	100
gene90	PF00225.30	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
gene91		NA	100
gene92	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene93	PF11274.15	NA	100
gene94	PF00133.29,PF08264.20,PF09334.18,PF13603.13	GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418	8
gene95		NA	100
gene96	PF00005.34,PF06472.21,PF06472.21	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene97		NA	100
gene98	PF07942.19	GO:0008757	8
gene99		NA	100
gene100	PF01218.24	GO:0004109,GO:0006779	8
gene101		NA	100
gene102	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
gene103	PF20345.3	NA	100
gene104	PF00070.34,PF01494.26,PF01494.26,PF13450.13	GO:0071949	100
gene105		NA	100
gene106	PF01979.27,PF07969.18	GO:0016787	8
gene107		NA	100
gene108	PF00075.31	GO:0003676,GO:0004523	1
gene109	PF17316.8	NA	100
gene110	PF06738.19,PF12821.14	GO:0022857,GO:0055085	6
gene111	PF15901.11,PF15901.11,PF15902.13,PF15902.13	NA	100
gene112		NA	100
gene113	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene114	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
gene115		NA	100
gene116	PF02845.23	GO:0043130	100
gene117	PF00338.28	NA	100
gene118		NA	100
gene119	PF00150.25	GO:0000272,GO:0004553	8
gene120	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene121		NA	100
gene122	PF01878.25	NA	100
gene123	PF08640.18	NA	100
gene124	PF03372.30,PF23226.2	GO:0003824	8
gene125	PF03663.21,PF03663.21	NA	100
gene126		NA	100
gene127		NA	100
gene128	PF01965.31	NA	100
gene129	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene130	PF02775.27,PF02776.24	GO:0003824,GO:0030976	8
gene131	PF20684.4	NA	100
gene132	PF00083.31,PF06609.19,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene133		NA	100
gene134		NA	100
gene135	PF00291.32,PF14821.12,PF24857.2	NA	100
gene136	PF27986.1	NA	100
gene137	PF06813.20,PF07690.22	GO:0022857,GO:0055085	6
gene138	PF00135.35,PF20434.6	NA	100
gene139	PF00026.29	NA	100
gene140		NA	100
gene141	PF07690.22	GO:0022857,GO:0055085	6
gene142	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene143	PF00743.26,PF00743.26,PF07992.21,PF13434.13,PF13450.13,PF13454.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene144	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene145	PF00135.35,PF20434.6	NA	100
gene146		NA	100
gene147	PF03663.21	NA	100
gene148	PF01266.31,PF01266.31	NA	100
gene149	PF00255.26	GO:0004601,GO:0006979	3
gene150	PF02181.29,PF06367.23,PF06371.20	GO:0003779,GO:0016043,GO:0030036,GO:0031267	7
gene151	PF00097.32	GO:0046872	100
gene152	PF04005.18	GO:0000077,GO:0030896	3
gene153	PF12931.14,PF12931.14	NA	100
gene154	PF12935.13	NA	100
gene155		NA	100
gene156	PF03055.22,PF03055.22	GO:0016702	8
gene157	PF02037.34,PF18592.7	NA	100
gene158		NA	100
gene159		NA	100
gene160	PF24345.2	NA	100
gene161	PF01266.31	NA	100
gene162	PF10544.16,PF13455.14	NA	100
gene163	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene164	PF00282.26,PF00282.26	GO:0016830,GO:0019752,GO:0030170	8
gene165	PF27751.1,PF29050.1	NA	100
gene166		NA	100
gene167	PF07543.18	NA	100
gene168		NA	100
gene169	PF00475.25	GO:0000105,GO:0004424	8
gene170	PF28225.1	NA	100
gene171	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene172		NA	100
gene173		NA	100
gene174		NA	100
gene175	PF00004.36,PF01434.25,PF06480.21,PF17862.8	GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0008270,GO:0016020,GO:0016887	5
gene176	PF00270.36,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene177	PF00294.30,PF03070.22,PF08543.18	NA	100
gene178	PF00187.25,PF01522.27	GO:0005975,GO:0008061,GO:0016810	8
gene179	PF00515.35,PF00564.31,PF07719.24,PF13181.13	GO:0005515	100
gene180	PF00403.33	GO:0046872	100
gene181	PF00572.25	GO:0003735,GO:0005840,GO:0006412	4
gene182	PF01014.24,PF01014.24	NA	100
gene183	PF14099.14	NA	100
gene184	PF02185.23,PF14663.12,PF14664.12,PF14664.12,PF14666.12,PF14668.12	GO:0007165	3
gene185	PF18922.6	NA	100
gene186	PF18922.6	NA	100
gene187		NA	100
gene188	PF00775.28	GO:0003824,GO:0008199	8
gene189		NA	100
gene190	PF29664.1	NA	100
gene191		NA	100
gene192	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene193		NA	100
gene194	PF06985.18	NA	100
gene195		NA	100
gene196		NA	100
gene197	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	NA	100
gene198		NA	100
gene199	PF01569.28,PF14378.13	NA	100
gene200	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene201	PF07110.18	GO:0016491	8
gene202	PF07766.20,PF31075.1	GO:0043022	100
gene203		NA	100
gene204		NA	100
gene205	PF03625.21	NA	100
gene206	PF00561.27,PF12146.16,PF12697.14	NA	100
gene207	PF07690.22	GO:0022857,GO:0055085	6
gene208	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene209		NA	100
gene210		NA	100
gene211		NA	100
gene212	PF01658.23,PF07994.19	GO:0004512,GO:0006021,GO:0008654	8
gene213	PF00412.29,PF00412.29	NA	100
gene214	PF11885.14	NA	100
gene215		NA	100
gene216	PF00208.28,PF02812.24	GO:0006520,GO:0016491	8
gene217	PF00136.27,PF03104.26,PF14260.12	GO:0000166,GO:0003677	4
gene218	PF01435.25,PF16491.11	GO:0004222,GO:0006508	5
gene219	PF00070.34,PF07992.21	GO:0016491	8
gene220	PF03439.19,PF11942.14,PF12815.13,PF23037.2,PF23042.3,PF23284.3,PF23290.2,PF23291.2	NA	100
gene221		NA	100
gene222		NA	100
gene223	PF00023.37	GO:0005515	100
gene224		NA	100
gene225	PF00023.37,PF12796.14,PF13606.13	GO:0005515	100
gene226	PF28751.1	NA	100
gene227	PF03443.21	NA	100
gene228	PF01419.23,PF22669.3	GO:0016791,GO:0046856	8
gene229	PF09362.16	NA	100
gene230	PF01828.25	GO:0006508,GO:0070007	5
gene231	PF01112.24,PF01112.24	GO:0016787	8
gene232	PF02466.25	NA	100
gene233	PF00400.39,PF01546.34,PF04389.23,PF07687.20	GO:0005515,GO:0016787	8
gene234		NA	100
gene235	PF05960.18	NA	100
gene236	PF11951.14	NA	100
gene237	PF02466.25	NA	100
gene238	PF26113.1	NA	100
gene239	PF05890.18	NA	100
gene240	PF07780.18	GO:0005634,GO:0006364,GO:0008168	8
gene241	PF09362.16	NA	100
gene242	PF07690.22	GO:0022857,GO:0055085	6
gene243	PF00106.32,PF02719.22,PF08659.17,PF13561.13	NA	100
gene244		NA	100
gene245	PF00106.32,PF08659.17,PF13561.13	NA	100
gene246	PF00004.36,PF22942.2	GO:0005524,GO:0016887	8
gene247	PF07731.21	GO:0005507,GO:0016491	8
gene248	PF09320.17	NA	100
gene249	PF03639.20,PF17652.8	NA	100
gene250	PF10451.16	NA	100
gene251	PF00226.37,PF23302.2	NA	100
gene252	PF02171.24,PF02171.24,PF08699.16,PF16486.12,PF16488.11	GO:0003676	4
gene253		NA	100
gene254	PF02845.23	GO:0043130	100
gene255	PF00271.38,PF04408.30,PF07717.23,PF13401.13,PF21010.3	GO:0016887	8
gene256	PF16862.11	NA	100
gene257		NA	100
gene258	PF08654.16	GO:0000278,GO:0042729,GO:0072686	100
gene259	PF07557.17	GO:0000775,GO:0005634,GO:0045132	100
gene260	PF12850.13	NA	100
gene261	PF00155.28,PF00266.26	GO:0009058,GO:0030170	8
gene262	PF03810.26,PF08389.19,PF08767.18,PF18777.8,PF18784.7,PF18787.8	GO:0005049,GO:0006886,GO:0031267	6
gene263	PF00596.28	NA	100
gene264	PF00118.30	GO:0005524	100
gene265	PF06658.18	GO:0003725	4
gene266	PF00300.28	NA	100
gene267	PF00072.31,PF00512.32,PF02518.32	GO:0000155,GO:0000160,GO:0007165	3
gene268	PF07286.18	NA	100
gene269		NA	100
gene270	PF03188.22	NA	100
gene271	PF03561.23,PF03561.23	GO:0000256,GO:0004037	8
gene272	PF00023.37,PF00023.37,PF01843.26,PF12796.14,PF13637.13	GO:0005515	100
gene273	PF00566.26,PF23436.2	NA	100
gene274	PF07883.18	NA	100
gene275		NA	100
gene276		NA	100
gene277	PF02696.20	NA	100
gene278	PF00248.28	NA	100
gene279	PF00384.28,PF09326.17,PF22117.3,PF22151.3	GO:0016491,GO:0016651,GO:0051536	8
gene280	PF24106.1	NA	100
gene281	PF11204.14	NA	100
gene282	PF00150.25	GO:0000272,GO:0004553	8
gene283	PF00481.27	NA	100
gene284	PF17733.8	NA	100
gene285		NA	100
gene286	PF00887.25	GO:0000062	100
gene287	PF00636.32,PF14622.12	GO:0004525,GO:0006396	1
gene288	PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26	GO:0003723	4
gene289	PF00042.29,PF00175.27	GO:0016491,GO:0020037	8
gene290	PF00534.27,PF13692.13,PF20706.4,PF21269.4,PF27036.1	GO:0016757	8
gene291		NA	100
gene292	PF00106.32,PF13561.13	NA	100
gene293	PF02811.27	GO:0003824	8
gene294	PF01480.23	NA	100
gene295	PF00920.28,PF13902.12	NA	100
gene296		NA	100
gene297		NA	100
gene298	PF04193.20	NA	100
gene299		NA	100
gene300		NA	100
gene301		NA	100
gene302	PF09949.16	GO:0008195	8
gene303	PF02487.24	GO:0016020	100
gene304		NA	100
gene305	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene306	PF10615.15	NA	100
gene307		NA	100
gene308	PF03443.21	NA	100
gene309	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene310	PF04185.20	GO:0016788	8
gene311	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene312	PF03571.22,PF03571.22	NA	100
gene313	PF01926.30,PF09439.17	GO:0005525	100
gene314	PF00291.32,PF00571.34	NA	100
gene315	PF00734.24,PF03443.21	GO:0005576,GO:0005975,GO:0030248	8
gene316	PF00107.33,PF08240.18,PF13602.13	NA	100
gene317	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene318	PF00378.26,PF16113.11	NA	100
gene319	PF00135.35,PF01565.29,PF08031.18,PF20434.6	GO:0016491,GO:0050660	8
gene320	PF00205.29,PF02775.27,PF02776.24	GO:0000287,GO:0003824,GO:0030976	8
gene321	PF00557.30,PF05195.23	GO:0030145,GO:0070006	8
gene322	PF08613.17	GO:0000079,GO:0019901	100
gene323	PF00106.32,PF13561.13	NA	100
gene324	PF00450.29	GO:0004185,GO:0006508	5
gene325		NA	100
gene326	PF00328.28	NA	100
gene327		NA	100
gene328	PF00722.29	GO:0004553,GO:0005975	8
gene329		NA	100
gene330	PF10282.16	NA	100
gene331	PF00249.38,PF13921.13	NA	100
gene332	PF00920.28,PF24877.2	NA	100
gene333	PF00248.28	NA	100
gene334	PF03464.21,PF03465.21,PF26356.1	NA	100
gene335	PF00400.39	GO:0005515	100
gene336	PF02525.23,PF03358.21	GO:0016491	8
gene337		NA	100
gene338	PF01135.26	NA	100
gene339		NA	100
gene340	PF00176.30,PF04851.22	GO:0003677,GO:0005524,GO:0016787	4
gene341	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
gene342	PF07690.22	GO:0022857,GO:0055085	6
gene343	PF01968.25,PF02538.20,PF05378.20,PF19278.5	GO:0003824,GO:0016787	8
gene344	PF00202.28,PF00202.28,PF13500.13	GO:0030170	100
gene345	PF04055.28,PF06968.19	GO:0003824,GO:0051536	8
gene346	PF18631.7	NA	100
gene347	PF00330.26,PF00694.26	NA	100
gene348	PF00106.32,PF08659.17,PF13561.13	NA	100
gene349	PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene350	PF01490.25	NA	100
gene351		NA	100
gene352	PF01822.25	NA	100
gene353	PF01408.29,PF02894.23,PF22725.2	GO:0000166	100
gene354		NA	100
gene355	PF22322.2	NA	100
gene356	PF00293.35	NA	100
gene357		NA	100
gene358	PF12246.14,PF12247.14	NA	100
gene359	PF03171.27	NA	100
gene360		NA	100
gene361		NA	100
gene362		NA	100
gene363	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene364	PF05368.20	NA	100
gene365		NA	100
gene366	PF04042.22,PF18018.8	GO:0003677,GO:0006260	4
gene367	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08154.19	GO:0005515	100
gene368	PF14420.12	NA	100
gene369	PF01612.27	GO:0003676,GO:0006139,GO:0008408	4
gene370	PF01423.29	NA	100
gene371	PF01193.30,PF13656.12	GO:0003899,GO:0006351,GO:0046983	8
gene372	PF01490.25	NA	100
gene373	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene374	PF03522.21	GO:0006811,GO:0016020,GO:0022857	6
gene375		NA	100
gene376	PF06093.20	NA	100
gene377	PF20976.3	NA	100
gene378	PF00149.34,PF07719.24,PF08321.19	GO:0016787	8
gene379	PF03443.21	NA	100
gene380	PF02515.23	GO:0003824	8
gene381	PF01205.26,PF05773.28	GO:0005515	100
gene382	PF00350.30,PF01031.26,PF02212.24	GO:0003924,GO:0005525	8
gene383		NA	100
gene384	PF00501.35	NA	100
gene385	PF00106.32,PF08659.17,PF13561.13	NA	100
gene386	PF10022.16,PF10022.16,PF20938.4	NA	100
gene387	PF00083.31,PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene388	PF03200.23,PF16923.12,PF22422.3	NA	100
gene389	PF08648.18	GO:0008380	8
gene390	PF00117.35,PF00117.35,PF00425.26,PF00425.26,PF30495.1	NA	100
gene391	PF04133.20	NA	100
gene392	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene393	PF10483.16	GO:0002098,GO:0033588	8
gene394	PF03641.20,PF18306.7	NA	100
gene395	PF05602.18	GO:0016020	100
gene396	PF13919.12	NA	100
gene397	PF00957.28,PF13774.14	NA	100
gene398		NA	100
gene399	PF26251.1,PF26254.1,PF26280.1,PF26282.1,PF26283.1	NA	100
gene400	PF00266.26,PF00266.26	NA	100
gene401	PF00106.32,PF08659.17,PF13561.13	NA	100
gene402	PF00566.26,PF23436.2	NA	100
gene403		NA	100
gene404		NA	100
gene405	PF04049.20,PF13181.13,PF13181.13,PF13181.13,PF13414.13,PF13432.13	GO:0005515,GO:0005680	100
gene406	PF00348.23	GO:0004659,GO:0008299	8
gene407	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene408	PF00501.35	NA	100
gene409		NA	100
gene410	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene411	PF13622.13,PF20789.4	NA	100
gene412	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF16363.12	GO:0006694,GO:0016616	8
gene413	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene414	PF09084.17	NA	100
gene415	PF00133.29,PF00133.29,PF08264.20,PF09334.18,PF13603.13	GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418	8
gene416	PF07669.18	GO:0006304	4
gene417	PF27934.1	NA	100
gene418		NA	100
gene419	PF12400.14	NA	100
gene420	PF00076.29	GO:0003723	4
gene421	PF08920.16,PF22646.3	NA	100
gene422		NA	100
gene423	PF00106.32,PF08659.17,PF13561.13	NA	100
gene424	PF24883.3	NA	100
gene425		NA	100
gene426		NA	100
gene427	PF00133.29,PF08264.20,PF09334.18	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene428		NA	100
gene429	PF00225.30,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
gene430	PF07690.22	GO:0022857,GO:0055085	6
gene431	PF01593.31	GO:0016491	8
gene432	PF11951.14	NA	100
gene433	PF01494.26	GO:0071949	100
gene434	PF02755.21,PF02755.21	NA	100
gene435	PF00817.26,PF11799.14	GO:0003684,GO:0006281	3
gene436	PF07690.22	GO:0022857,GO:0055085	6
gene437	PF00583.32,PF13508.14,PF13673.14	GO:0016747	8
gene438	PF05139.20	GO:0046677	3
gene439	PF00254.35	GO:0003755	8
gene440		NA	100
gene441		NA	100
gene442	PF00891.25	GO:0008171	8
gene443	PF00076.29,PF00076.29,PF00106.32,PF08659.17,PF13561.13	GO:0003723	4
gene444	PF03009.24	GO:0006629,GO:0008081	8
gene445	PF00251.27,PF08244.20	NA	100
gene446	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene447	PF04828.23	GO:0016846	8
gene448	PF08240.18	NA	100
gene449	PF03650.20	GO:0005743,GO:0006850	6
gene450	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene451		NA	100
gene452	PF02900.24	GO:0008198,GO:0016491	8
gene453	PF00326.28,PF01738.25,PF02230.23,PF03959.20	GO:0006508,GO:0008236,GO:0016787	5
gene454	PF03443.21	NA	100
gene455		NA	100
gene456	PF00860.27	GO:0016020,GO:0022857,GO:0055085	6
gene457	PF01088.28,PF18031.7	GO:0004843,GO:0006511	8
gene458	PF11937.14	NA	100
gene459	PF08172.18,PF25398.2	GO:0000139,GO:0006891	6
gene460		NA	100
gene461	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene462	PF07690.22	GO:0022857,GO:0055085	6
gene463	PF00505.26	NA	100
gene464	PF00004.36,PF00004.36,PF08740.17,PF25426.2	GO:0005524,GO:0016887	8
gene465	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04003.18,PF23381.2	GO:0005515	100
gene466	PF00735.25,PF01926.30	GO:0005525	100
gene467	PF02518.32,PF10436.15	NA	100
gene468	PF00443.36,PF00917.33,PF12436.15,PF14533.13,PF22486.3	GO:0004843,GO:0005515,GO:0016579	8
gene469	PF05935.18,PF14269.13	GO:0004062	8
gene470	PF00106.32	NA	100
gene471	PF07774.20,PF13360.14,PF25293.2	NA	100
gene472		NA	100
gene473	PF00141.29	GO:0004601,GO:0006979,GO:0020037	3
gene474		NA	100
gene475	PF01565.29	GO:0050660	100
gene476	PF01565.29	GO:0050660	100
gene477	PF09362.16	NA	100
gene478		NA	100
gene479	PF00646.39,PF12937.13	GO:0005515	100
gene480	PF14613.13,PF19343.6	NA	100
gene481	PF06179.18	GO:0003712,GO:0006357,GO:0016592	100
gene482	PF01416.26	GO:0001522,GO:0003723,GO:0009451,GO:0009982	4
gene483		NA	100
gene484	PF06985.18	NA	100
gene485	PF00026.29	NA	100
gene486		NA	100
gene487		NA	100
gene488	PF00071.29	GO:0003924,GO:0005525	8
gene489	PF00106.32,PF00106.32,PF13561.13,PF13561.13	NA	100
gene490		NA	100
gene491		NA	100
