protein_id	length
GML000001_mRNA1	520
GML000101_mRNA1	14
GML000201_mRNA1	148
GML000301_mRNA1	204
GML000401_mRNA1	102
GML000501_mRNA1	836
GML000601_mRNA1	655
GML000701_mRNA1	547
GML000801_mRNA1	92
GML000901_mRNA1	410
GML001001_mRNA1	109
GML001101_mRNA1	569
GML001201_mRNA1	406
GML001301_mRNA1	411
GML001401_mRNA1	109
GML001501_mRNA1	415
GML001601_mRNA1	463
GML001701_mRNA1	84
GML001801_mRNA1	670
GML001901_mRNA1	451
GML002001_mRNA1	534
GML002101_mRNA1	68
GML002201_mRNA1	1291
GML002301_mRNA1	239
GML002401_mRNA1	111
GML002501_mRNA1	50
GML002601_mRNA1	102
GML002701_mRNA1	560
GML002801_mRNA1	1215
GML002901_mRNA1	107
GML003001_mRNA1	324
GML003101_mRNA1	114
GML003201_mRNA1	444
GML003301_mRNA1	616
GML003401_mRNA1	101
GML003501_mRNA1	292
GML003601_mRNA1	44
GML003701_mRNA1	462
GML003801_mRNA1	154
GML003901_mRNA1	327
GML004001_mRNA1	348
GML004101_mRNA1	391
GML004201_mRNA1	360
GML004301_mRNA1	421
GML004401_mRNA1	1542
GML004501_mRNA1	166
GML004601_mRNA1	71
GML004701_mRNA1	113
GML004801_mRNA1	117
GML004901_mRNA1	467
GML005001_mRNA1	286
GML005101_mRNA1	523
GML005201_mRNA1	172
GML005301_mRNA1	200
GML005401_mRNA1	201
GML005501_mRNA1	89
GML005601_mRNA1	415
GML005701_mRNA1	438
GML005801_mRNA1	670
GML005901_mRNA1	261
GML006001_mRNA1	116
GML006101_mRNA1	108
GML006201_mRNA1	89
GML006301_mRNA1	326
GML006401_mRNA1	503
GML006501_mRNA1	487
GML006601_mRNA1	9
GML006701_mRNA1	138
GML006801_mRNA1	86
GML006901_mRNA1	439
GML007001_mRNA1	332
GML007101_mRNA1	201
GML007201_mRNA1	77
GML007301_mRNA1	96
GML007401_mRNA1	504
GML007501_mRNA1	47
GML007601_mRNA1	621
GML007701_mRNA1	653
GML007801_mRNA1	285
GML007901_mRNA1	227
GML008001_mRNA1	590
GML008101_mRNA1	338
GML008201_mRNA1	260
GML008301_mRNA1	358
GML008401_mRNA1	613
GML008501_mRNA1	489
GML008601_mRNA1	299
GML008701_mRNA1	313
GML008801_mRNA1	139
GML008901_mRNA1	138
GML009001_mRNA1	84
GML009101_mRNA1	1129
GML009201_mRNA1	514
GML009301_mRNA1	1009
GML009401_mRNA1	27
GML009501_mRNA1	641
GML009601_mRNA1	339
GML009701_mRNA1	171
GML009801_mRNA1	161
GML009901_mRNA1	192
GML010000_mRNA1	337
GML010101_mRNA1	129
GML010201_mRNA1	80
GML010301_mRNA1	186
GML010401_mRNA1	446
GML010501_mRNA1	409
GML010601_mRNA1	138
GML010701_mRNA1	63
GML010801_mRNA1	131
GML010901_mRNA1	713
GML011001_mRNA1	112
GML011101_mRNA1	532
GML011201_mRNA1	377
GML011301_mRNA1	292
GML011401_mRNA1	157
GML011501_mRNA1	181
GML011600_mRNA1	480
