gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-Q9165_000001	rna-LIQ214TRSU_000001-T1		None	None
gene-Q9165_000002	rna-LIQ214TRSU_000002-T1		None	None
gene-Q9165_000003	rna-LIQ214TRSU_000003-T1	PF09587.16	Partial	None
gene-Q9165_000004	rna-LIQ214TRSU_000004-T1		None	None
gene-Q9165_000005	rna-LIQ214TRSU_000005-T1	PF00441.30,PF02770.25,PF08028.17	Complete	None
gene-Q9165_000006	rna-LIQ214TRSU_000006-T1	PF01253.28,PF25304.2,PF26291.1,PF26292.1	Complete	None
gene-Q9165_000007	rna-LIQ214TRSU_000007-T1	PF13279.13	Partial	None
gene-Q9165_000008	rna-LIQ214TRSU_000008-T1	PF04199.20	Partial	None
gene-Q9165_000009	rna-LIQ214TRSU_000009-T1	PF04112.19,PF04112.19,PF25789.2	Partial	None
gene-Q9165_000010	rna-LIQ214TRSU_000010-T1	PF00067.28	Partial	None
gene-Q9165_000011	rna-LIQ214TRSU_000011-T1	PF00675.26,PF05193.27	Partial	None
gene-Q9165_000012	rna-LIQ214TRSU_000012-T1	PF02002.24,PF05645.20,PF22536.3	Complete	None
gene-Q9165_000013	rna-LIQ214TRSU_000013-T1	PF00128.32,PF02806.25	Complete	None
gene-Q9165_000014	rna-LIQ214TRSU_000014-T1	PF00004.36,PF07724.21,PF07728.21	Partial	None
gene-Q9165_000015	rna-LIQ214TRSU_000015-T1	PF03221.23	Complete	None
gene-Q9165_000016	rna-LIQ214TRSU_000016-T1	PF08610.16	Partial	None
gene-Q9165_000017	rna-LIQ214TRSU_000017-T1	PF01398.27,PF13012.12	Partial	None
gene-Q9165_000018	rna-LIQ214TRSU_000018-T1		None	None
gene-Q9165_000019	rna-LIQ214TRSU_000019-T1	PF00022.27	Partial	None
gene-Q9165_000020	rna-LIQ214TRSU_000020-T1	PF08609.17,PF28415.2	Partial	None
gene-Q9165_000021	rna-LIQ214TRSU_000021-T1	PF03378.22,PF03810.26,PF08506.17	Partial	None
gene-Q9165_000022	rna-LIQ214TRSU_000022-T1	PF02145.22,PF03542.22,PF11864.14	Complete	None
gene-Q9165_000023	rna-LIQ214TRSU_000023-T1	PF08626.17,PF26251.1,PF26254.1,PF26280.1,PF26282.1,PF26283.1	Complete	None
gene-Q9165_000024	rna-LIQ214TRSU_000024-T1	PF12449.14,PF25794.2	Partial	None
gene-Q9165_000025	rna-LIQ214TRSU_000025-T1	PF00106.32,PF01370.28,PF13561.13	Partial	None
gene-Q9165_000026	rna-LIQ214TRSU_000026-T1	PF00043.31,PF02798.27,PF13409.13,PF13417.13,PF14497.12	Partial	None
gene-Q9165_000027	rna-LIQ214TRSU_000027-T1	PF01351.26	Partial	None
gene-Q9165_000028	rna-LIQ214TRSU_000028-T1	PF15624.12	Partial	None
gene-Q9165_000029	rna-LIQ214TRSU_000029-T1	PF01302.32,PF14560.13	Complete	None
gene-Q9165_000030	rna-LIQ214TRSU_000030-T1	PF00249.38,PF13921.13	Complete	None
gene-Q9165_000031	rna-LIQ214TRSU_000031-T1	PF00248.28	Partial	None
gene-Q9165_000032	rna-LIQ214TRSU_000032-T1	PF00646.39,PF12937.13,PF25499.3	Partial	None
gene-Q9165_000033	rna-LIQ214TRSU_000033-T1		None	None
gene-Q9165_000034	rna-LIQ214TRSU_000034-T1	PF00385.31	Partial	None
gene-Q9165_000035	rna-LIQ214TRSU_000035-T1	PF00025.28,PF00071.29,PF01926.30,PF08477.20	Partial	None
gene-Q9165_000036	rna-LIQ214TRSU_000036-T1	PF00006.32,PF02874.30,PF22919.2	Complete	None
