gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-PRCAT00000001001	rna-XM_062950787.1	PF00172.24,PF04082.24	Partial	None
gene-PRCAT00000002001	rna-XM_062951898.1	PF05730.17,PF13928.12	Complete	None
gene-PRCAT00000003001	rna-XM_062953009.1	PF08030.18	Partial	None
gene-PRCAT00000004001	rna-XM_062954120.1	PF01794.26,PF08022.19	Complete	None
gene-PRCAT00000005001	rna-XM_062955231.1	PF05730.17	Partial	None
gene-PRCAT00000006001	rna-XM_062956342.1	PF05730.17	Partial	None
gene-PRCAT00000007001	rna-XM_062956633.1	PF00450.29	Partial	None
gene-PRCAT00000008001	rna-XM_062956744.1	PF00080.26	Partial	None
gene-PRCAT00000009001	rna-XM_062956855.1	PF03417.22	Partial	None
gene-PRCAT00000010001	rna-XM_062950788.1	PF00728.29,PF14845.12	Partial	None
gene-PRCAT00000011001	rna-XM_062950899.1	PF00775.28,PF04444.20	Partial	None
gene-PRCAT00000012001	rna-XM_062951010.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000013001	rna-XM_062951121.1	PF01613.25	Partial	None
gene-PRCAT00000014001	rna-XM_062951232.1	PF01408.29,PF02894.23,PF22725.2	Partial	None
gene-PRCAT00000015001	rna-XM_062951343.1	PF01261.31	Partial	None
gene-PRCAT00000016001	rna-XM_062951454.1	PF00890.31,PF01494.26,PF13450.13	Partial	None
gene-PRCAT00000017001	rna-XM_062951565.1	PF01202.29,PF01487.23,PF01488.27,PF08501.17	Complete	None
gene-PRCAT00000018001	rna-XM_062951676.1	PF01220.26	Partial	None
gene-PRCAT00000019001	rna-XM_062951787.1	PF00172.24,PF04082.24	Partial	None
gene-PRCAT00000020001	rna-XM_062951899.1	PF08501.17	Partial	None
gene-PRCAT00000021001	rna-XM_062952010.1	PF00108.30,PF02803.25	Complete	None
gene-PRCAT00000022001	rna-XM_062952121.1	PF01144.30,PF01144.30	Partial	None
gene-PRCAT00000023001	rna-XM_062952232.1	PF00172.24,PF11951.14	Partial	None
gene-PRCAT00000024001	rna-XM_062952343.1	PF02133.22	Partial	None
gene-PRCAT00000025001	rna-XM_062952454.1	PF01968.25,PF05378.20,PF06032.19,PF20906.4	Complete	None
gene-PRCAT00000026001	rna-XM_062952565.1	PF00107.33,PF08240.18	Partial	None
gene-PRCAT00000027001	rna-XM_062952676.1	PF01566.26	Partial	None
gene-PRCAT00000028001	rna-XM_062952787.1	PF10604.16	Partial	None
gene-PRCAT00000029001	rna-XM_062952898.1	PF00107.33,PF08240.18,PF13602.13	Partial	None
gene-PRCAT00000030001	rna-XM_062953010.1	PF00450.29	Partial	None
gene-PRCAT00000031001	rna-XM_062953121.1	PF01302.32	Partial	None
gene-PRCAT00000032001	rna-XM_062953232.1	PF16755.12	Partial	None
gene-PRCAT00000033001	rna-XM_062953343.1	PF17235.8	Partial	None
gene-PRCAT00000034001	rna-XM_062953454.1	PF08698.17	Partial	None
gene-PRCAT00000035001	rna-XM_062953565.1		None	None
gene-PRCAT00000036001	rna-XM_062953676.1	PF01409.26,PF17759.7,PF18553.8	Partial	None
gene-PRCAT00000037001	rna-XM_062953787.1	PF23561.2	Complete	None
gene-PRCAT00000038001	rna-XM_062953898.1		None	None
gene-PRCAT00000039001	rna-XM_062954009.1	PF02146.24	Partial	None
gene-PRCAT00000040001	rna-XM_062954121.1	PF00439.31,PF00439.31,PF01426.25	Complete	None
gene-PRCAT00000041001	rna-XM_062954232.1	PF00332.25,PF29664.1	Partial	None
gene-PRCAT00000042001	rna-XM_062954343.1	PF12352.14	Complete	None
gene-PRCAT00000043001	rna-XM_062954454.1	PF07798.17	Partial	None
gene-PRCAT00000044001	rna-XM_062954565.1	PF00415.25,PF13540.13	Complete	None
gene-PRCAT00000045001	rna-XM_062954676.1	PF03332.20,PF08282.19	Partial	None
gene-PRCAT00000046001	rna-XM_062954787.1	PF00252.25	Partial	None
gene-PRCAT00000047001	rna-XM_062954898.1	PF12171.15	Complete	None
gene-PRCAT00000048001	rna-XM_062955009.1	PF02338.26,PF21403.5,PF24560.2	Complete	None
gene-PRCAT00000050001	rna-XM_062955120.1	PF08662.18,PF31025.1	Complete	None
gene-PRCAT00000051001	rna-XM_062955232.1	PF02364.22,PF14288.12,PF23605.2	Complete	None
gene-PRCAT00000052001	rna-XM_062955343.1	PF08551.17	Partial	None
gene-PRCAT00000053001	rna-XM_062955454.1	PF05637.19	Partial	None
gene-PRCAT00000054001	rna-XM_062955565.1	PF07522.20	Complete	None
gene-PRCAT00000055001	rna-XM_062955676.1	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-PRCAT00000056001	rna-XM_062955787.1	PF25409.1,PF26660.1	Complete	None
gene-PRCAT00000057001	rna-XM_062955898.1	PF03198.21,PF07983.19	Complete	None
gene-PRCAT00000058001	rna-XM_062956009.1	PF08294.18	Partial	None
gene-PRCAT00000059001	rna-XM_062956120.1	PF00467.36,PF16906.12	Partial	None
gene-PRCAT00000060001	rna-XM_062956231.1	PF00300.28,PF01591.25	Complete	None
gene-PRCAT00000061001	rna-XM_062956343.1	PF08738.16	Partial	None
gene-PRCAT00000062001	rna-XM_062956454.1	PF01920.26	Partial	None
gene-PRCAT00000063001	rna-XM_062956545.1	PF07542.17	Partial	None
gene-PRCAT00000064001	rna-XM_062956556.1	PF04802.23,PF22972.4	Partial	None
gene-PRCAT00000065001	rna-XM_062956567.1	PF00106.32,PF08659.17,PF13561.13	Partial	None
gene-PRCAT00000066001	rna-XM_062956578.1	PF01412.24	Partial	None
gene-PRCAT00000067001	rna-XM_062956589.1	PF01569.28	Partial	None
gene-PRCAT00000068001	rna-XM_062956600.1	PF03810.26,PF13513.13,PF25574.2	Complete	None
gene-PRCAT00000069001	rna-XM_062956611.1	PF00735.25	Partial	None
gene-PRCAT00000070001	rna-XM_062956622.1	PF03853.22	Partial	None
gene-PRCAT00000071001	rna-XM_062956634.1		None	None
gene-PRCAT00000072001	rna-XM_062956645.1	PF04106.19,PF20637.3,PF20638.4	Complete	None
gene-PRCAT00000073001	rna-XM_062956656.1	PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-PRCAT00000074001	rna-XM_062956667.1	PF01087.28,PF02744.23	Partial	None
gene-PRCAT00000075001	rna-XM_062956678.1	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF16363.12	Partial	None
gene-PRCAT00000076001	rna-XM_062956689.1	PF04099.19,PF04628.20	Partial	None
gene-PRCAT00000077001	rna-XM_062956700.1	PF00106.32,PF01073.26,PF01263.27,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF08659.17,PF16363.12	Partial	None
gene-PRCAT00000078001	rna-XM_062956711.1	PF00288.33,PF08544.19,PF10509.16	Complete	None
gene-PRCAT00000079001	rna-XM_062956722.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000080001	rna-XM_062956733.1	PF03690.19	Partial	None
gene-PRCAT00000081001	rna-XM_062956745.1	PF01425.27	Partial	None
gene-PRCAT00000082001	rna-XM_062956756.1	PF08938.17	Partial	None
gene-PRCAT00000083001	rna-XM_062956767.1	PF00009.34,PF22594.3	Complete	None
gene-PRCAT00000084001	rna-XM_062956778.1	PF10496.15	Partial	None
gene-PRCAT00000085001	rna-XM_062956789.1	PF01596.24,PF13578.13	Partial	None
gene-PRCAT00000086001	rna-XM_062956800.1	PF08231.18	Partial	None
gene-PRCAT00000087001	rna-XM_062956811.1	PF00017.31,PF14632.12,PF14633.13,PF14635.13,PF14639.12,PF14641.12,PF17674.8,PF21710.4,PF22706.2	Complete	None
gene-PRCAT00000088001	rna-XM_062956822.1	PF02668.23	Partial	None
gene-PRCAT00000090001	rna-XM_062956833.1	PF06738.19	Complete	None
gene-PRCAT00000091001	rna-XM_062956844.1	PF04194.19,PF30657.1	Complete	None
gene-PRCAT00000092001	rna-XM_062956856.1	PF00009.34,PF01926.30,PF04760.22,PF11987.14,PF22042.3	Complete	None
gene-PRCAT00000093001	rna-XM_062956867.1	PF07535.19,PF08630.16,PF22437.3	Complete	None
gene-PRCAT00000094001	rna-XM_062956878.1	PF16818.12	Partial	None
gene-PRCAT00000095001	rna-XM_062956889.1	PF00179.32	Partial	None
gene-PRCAT00000096001	rna-XM_062956900.1	PF04908.22	Complete	None
gene-PRCAT00000097001	rna-XM_062956911.1	PF00067.28	Partial	None
gene-PRCAT00000098001	rna-XM_062956922.1	PF09329.17,PF22379.3	Complete	None
gene-PRCAT00000099001	rna-XM_062956933.1	PF04136.22,PF20671.4	Partial	None
gene-PRCAT00000100001	rna-XM_062956944.1		None	None
gene-PRCAT00000101001	rna-XM_062956955.1	PF00400.39,PF00637.27,PF23411.2,PF23556.2	Complete	None
gene-PRCAT00000102001	rna-XM_062950789.1		None	None
gene-PRCAT00000103001	rna-XM_062950800.1	PF05832.18	Partial	None
gene-PRCAT00000105001	rna-XM_062950811.1		None	None
gene-PRCAT00000106001	rna-XM_062950822.1	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-PRCAT00000107001	rna-XM_062950833.1	PF00132.31,PF14602.13	Complete	None
gene-PRCAT00000108001	rna-XM_062950844.1	PF00291.32	Partial	None
gene-PRCAT00000109001	rna-XM_062950855.1	PF01546.34,PF04389.23,PF07687.20	Complete	None
gene-PRCAT00000110001	rna-XM_062950866.1	PF04082.24	Partial	None
gene-PRCAT00000111001	rna-XM_062950877.1	PF07690.22	Partial	None
gene-PRCAT00000112001	rna-XM_062950888.1	PF00795.28	Partial	None
gene-PRCAT00000113001	rna-XM_062950900.1	PF01593.31,PF13450.13	Partial	None
gene-PRCAT00000114001	rna-XM_062950911.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000115001	rna-XM_062950922.1		None	None
gene-PRCAT00000116001	rna-XM_062950933.1	PF00481.27,PF00481.27	Partial	None
gene-PRCAT00000117001	rna-XM_062950944.1	PF00122.26,PF00403.33,PF00702.33	Complete	None
gene-PRCAT00000118001	rna-XM_062950955.1	PF10261.16	Partial	None
gene-PRCAT00000119001	rna-XM_062950966.1	PF00561.27,PF00756.27	Partial	None
gene-PRCAT00000120001	rna-XM_062950977.1	PF04148.19	Partial	None
gene-PRCAT00000121001	rna-XM_062950988.1	PF00614.30,PF00614.30,PF13091.13	Complete	None
gene-PRCAT00000122001	rna-XM_062950999.1	PF08883.17	Partial	None
gene-PRCAT00000123001	rna-XM_062951011.1	PF00009.34,PF01926.30	Partial	None
gene-PRCAT00000124001	rna-XM_062951022.1	PF04410.21	Partial	None
gene-PRCAT00000125001	rna-XM_062951033.1	PF00627.38,PF12763.14,PF12763.14,PF12763.14	Complete	None
gene-PRCAT00000126001	rna-XM_062951044.1	PF02668.23	Partial	None
gene-PRCAT00000127001	rna-XM_062951055.1	PF02668.23	Partial	None
gene-PRCAT00000128001	rna-XM_062951066.1	PF00172.24	Partial	None
gene-PRCAT00000129001	rna-XM_062951077.1		None	None
gene-PRCAT00000130001	rna-XM_062951088.1		None	None
gene-PRCAT00000131001	rna-XM_062951099.1	PF00875.25,PF03441.20	Partial	None
gene-PRCAT00000132001	rna-XM_062951110.1	PF00013.36,PF00013.36,PF00013.36,PF00013.36,PF00013.36,PF00013.36,PF24668.2	Complete	None
gene-PRCAT00000133001	rna-XM_062951122.1	PF02133.22	Partial	None
gene-PRCAT00000134001	rna-XM_062951133.1		None	None
gene-PRCAT00000135001	rna-XM_062951144.1	PF04425.18,PF04426.18	Complete	None
gene-PRCAT00000136001	rna-XM_062951155.1		None	None
gene-PRCAT00000137001	rna-XM_062951166.1	PF02696.20	Partial	None
gene-PRCAT00000138001	rna-XM_062951177.1	PF11051.15	Partial	None
gene-PRCAT00000139001	rna-XM_062951188.1	PF07690.22	Partial	None
gene-PRCAT00000140001	rna-XM_062951199.1	PF00795.28	Partial	None
gene-PRCAT00000141001	rna-XM_062951210.1	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-PRCAT00000142001	rna-XM_062951221.1	PF00018.35,PF07653.24	Complete	None
gene-PRCAT00000143001	rna-XM_062951233.1	PF01786.25	Partial	None
gene-PRCAT00000144001	rna-XM_062951244.1	PF01490.25	Partial	None
gene-PRCAT00000145001	rna-XM_062951255.1	PF00635.33	Partial	None
gene-PRCAT00000146001	rna-XM_062951266.1	PF00557.30	Partial	None
gene-PRCAT00000147001	rna-XM_062951277.1		None	None
gene-PRCAT00000148001	rna-XM_062951288.1	PF00534.27,PF15924.12	Complete	None
gene-PRCAT00000149001	rna-XM_062951299.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23953.2	Complete	None
gene-PRCAT00000150001	rna-XM_062951310.1	PF01728.26	Partial	None
gene-PRCAT00000151001	rna-XM_062951321.1	PF00687.27	Partial	None
gene-PRCAT00000152001	rna-XM_062951332.1	PF01926.30	Complete	None
gene-PRCAT00000153001	rna-XM_062951344.1	PF00025.28	Partial	None
gene-PRCAT00000155001	rna-XM_062951355.1		None	None
gene-PRCAT00000156001	rna-XM_062951366.1	PF09350.16	Complete	None
gene-PRCAT00000157001	rna-XM_062951377.1	PF00534.27,PF13439.13	Partial	None
gene-PRCAT00000158001	rna-XM_062951388.1	PF00258.31,PF04055.28,PF08608.18	Complete	None
gene-PRCAT00000159001	rna-XM_062951399.1	PF14616.12	Complete	None
gene-PRCAT00000160001	rna-XM_062951410.1	PF08313.18,PF18508.10	Complete	None
gene-PRCAT00000161001	rna-XM_062951421.1	PF00069.32,PF07714.24,PF14531.13	Partial	None
gene-PRCAT00000162001	rna-XM_062951432.1		None	None
gene-PRCAT00000163001	rna-XM_062951443.1	PF00069.32,PF07714.24,PF17667.8	Partial	None
gene-PRCAT00000165001	rna-XM_062951455.1	PF01416.26	Complete	None
gene-PRCAT00000166001	rna-XM_062951466.1	PF03657.21,PF17833.8	Partial	None
gene-PRCAT00000167001	rna-XM_062951477.1	PF10236.16	Partial	None
gene-PRCAT00000168001	rna-XM_062951488.1	PF10236.16	Partial	None
gene-PRCAT00000169001	rna-XM_062951499.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-PRCAT00000170001	rna-XM_062951510.1	PF00293.35	Complete	None
gene-PRCAT00000171001	rna-XM_062951521.1	PF03009.24	Partial	None
gene-PRCAT00000172001	rna-XM_062951532.1	PF02791.23,PF10537.15,PF15613.12	Complete	None
gene-PRCAT00000173001	rna-XM_062951543.1	PF02731.21	Partial	None
gene-PRCAT00000174001	rna-XM_062951554.1		None	None
gene-PRCAT00000175001	rna-XM_062951566.1	PF03981.18	Partial	None
gene-PRCAT00000176001	rna-XM_062951577.1	PF08492.18,PF17004.12	Complete	None
gene-PRCAT00000177001	rna-XM_062951588.1	PF00107.33,PF02826.26,PF08240.18	Partial	None
gene-PRCAT00000178001	rna-XM_062951599.1		None	None
gene-PRCAT00000179001	rna-XM_062951610.1	PF01571.27,PF08669.18	Complete	None
gene-PRCAT00000180001	rna-XM_062951621.1	PF29950.1	Partial	None
gene-PRCAT00000181001	rna-XM_062951632.1	PF00454.34,PF02260.26,PF11640.14,PF30717.1	Complete	None
gene-PRCAT00000182001	rna-XM_062951643.1		None	None
gene-PRCAT00000183001	rna-XM_062951654.1	PF00076.29,PF10567.16	Complete	None
gene-PRCAT00000184001	rna-XM_062951665.1	PF09753.15	Partial	None
gene-PRCAT00000185001	rna-XM_062951677.1	PF01822.25	Partial	None
gene-PRCAT00000186001	rna-XM_062951688.1	PF00238.25	Partial	None
gene-PRCAT00000187001	rna-XM_062951699.1	PF00169.36,PF20399.5,PF20400.4	Complete	None
gene-PRCAT00000188001	rna-XM_062951710.1	PF00097.32,PF13445.13,PF13639.13,PF13923.13,PF15227.13	Partial	None
gene-PRCAT00000189001	rna-XM_062951721.1		None	None
gene-PRCAT00000190001	rna-XM_062951732.1	PF01027.27	Partial	None
gene-PRCAT00000191001	rna-XM_062951743.1	PF00004.36,PF05673.20,PF07728.21,PF16450.12,PF17862.8	Complete	None
gene-PRCAT00000192001	rna-XM_062951754.1	PF02902.26	Partial	None
gene-PRCAT00000193001	rna-XM_062951765.1	PF23436.2	Partial	None
gene-PRCAT00000194001	rna-XM_062951776.1	PF01494.26,PF08491.17,PF13450.13	Partial	None
gene-PRCAT00000195001	rna-XM_062951788.1	PF04280.22	Complete	None
gene-PRCAT00000196001	rna-XM_062951799.1	PF01412.24	Partial	None
gene-PRCAT00000197001	rna-XM_062951810.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000198001	rna-XM_062951821.1	PF01000.32,PF01193.30	Partial	None
gene-PRCAT00000199001	rna-XM_062951832.1	PF08508.17	Partial	None
gene-PRCAT00000200001	rna-XM_062951843.1	PF03813.22,PF17403.8,PF17404.8,PF17405.9,PF17406.8,PF17407.8	Complete	None
gene-PRCAT00000201001	rna-XM_062951854.1	PF13243.13,PF13249.13	Partial	None
gene-PRCAT00000202001	rna-XM_062951865.1	PF01979.27,PF01979.27,PF07969.18,PF12890.14	Partial	None
gene-PRCAT00000203001	rna-XM_062951876.1	PF00107.33,PF08240.18	Partial	None
gene-PRCAT00000204001	rna-XM_062951887.1		None	None
gene-PRCAT00000205001	rna-XM_062951900.1		None	None
gene-PRCAT00000206001	rna-XM_062951911.1	PF00069.32,PF07714.24	Partial	None
gene-PRCAT00000207001	rna-XM_062951922.1	PF12298.15	Partial	None
gene-PRCAT00000208001	rna-XM_062951933.1	PF12298.15	Partial	None
gene-PRCAT00000209001	rna-XM_062951944.1	PF01105.30	Partial	None
gene-PRCAT00000210001	rna-XM_062951955.1	PF00916.27,PF01740.27	Complete	None
gene-PRCAT00000211001	rna-XM_062951966.1	PF02221.21	Partial	None
gene-PRCAT00000212001	rna-XM_062951977.1	PF03239.21	Partial	None
gene-PRCAT00000213001	rna-XM_062951988.1		None	None
gene-PRCAT00000214001	rna-XM_062951999.1	PF02985.29,PF03810.26,PF13513.13,PF13513.13,PF23271.2	Complete	None
gene-PRCAT00000215001	rna-XM_062952011.1	PF08510.18	Partial	None
gene-PRCAT00000216001	rna-XM_062952022.1	PF02222.28,PF02222.28,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF07478.19,PF25596.2,PF25596.2	Complete	None
gene-PRCAT00000217001	rna-XM_062952033.1	PF07690.22	Partial	None
gene-PRCAT00000218001	rna-XM_062952044.1	PF13176.13,PF13181.13,PF14938.13	Complete	None
gene-PRCAT00000219001	rna-XM_062952055.1	PF03980.20	Partial	None
gene-PRCAT00000220001	rna-XM_062952066.1	PF00312.28	Complete	None
gene-PRCAT00000221001	rna-XM_062952077.1	PF16399.12	Partial	None
gene-PRCAT00000222001	rna-XM_062952088.1	PF00320.34,PF25026.2	Complete	None
gene-PRCAT00000223001	rna-XM_062952099.1	PF02878.23,PF02879.24,PF02880.23,PF24947.2	Complete	None
gene-PRCAT00000224001	rna-XM_062952110.1	PF00155.28	Partial	None
gene-PRCAT00000225001	rna-XM_062952122.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000226001	rna-XM_062952133.1	PF11968.15	Partial	None
gene-PRCAT00000227001	rna-XM_062952144.1	PF00270.36,PF00271.38	Complete	None
gene-PRCAT00000228001	rna-XM_062952155.1	PF03463.22,PF03464.21,PF03465.21,PF18854.7	Complete	None
gene-PRCAT00000229001	rna-XM_062952166.1	PF03381.21	Partial	None
gene-PRCAT00000230001	rna-XM_062952177.1	PF00107.33,PF16884.11	Partial	None
gene-PRCAT00000231001	rna-XM_062952188.1	PF00069.32,PF07714.24	Partial	None
gene-PRCAT00000232001	rna-XM_062952199.1	PF04757.20	Partial	None
gene-PRCAT00000233001	rna-XM_062952210.1	PF00806.26,PF00806.26,PF08144.18	Complete	None
gene-PRCAT00000234001	rna-XM_062952221.1	PF00085.27,PF13098.14	Partial	None
gene-PRCAT00000235001	rna-XM_062952233.1	PF03061.29	Partial	None
gene-PRCAT00000236001	rna-XM_062952244.1	PF00303.25	Partial	None
gene-PRCAT00000237001	rna-XM_062952255.1	PF07558.17	Partial	None
gene-PRCAT00000238001	rna-XM_062952266.1	PF08654.16	Partial	None
gene-PRCAT00000239001	rna-XM_062952277.1	PF03177.21,PF08801.18	Partial	None
gene-PRCAT00000240001	rna-XM_062952288.1	PF04427.24	Partial	None
gene-PRCAT00000243001	rna-XM_062952299.1	PF01794.26,PF08022.19,PF08030.18	Complete	None
gene-PRCAT00000244001	rna-XM_062952310.1	PF02195.27	Partial	None
gene-PRCAT00000245001	rna-XM_062952321.1	PF03239.21	Partial	None
gene-PRCAT00000246001	rna-XM_062952332.1	PF00069.32,PF07714.24	Partial	None
gene-PRCAT00000247001	rna-XM_062952344.1	PF00083.31,PF07690.22	Partial	None
gene-PRCAT00000248001	rna-XM_062952355.1	PF02167.21	Partial	None
gene-PRCAT00000249001	rna-XM_062952366.1	PF10209.15	Partial	None
gene-PRCAT00000250001	rna-XM_062952377.1	PF00307.37	Partial	None
gene-PRCAT00000251001	rna-XM_062952388.1	PF00069.32,PF01636.30,PF07714.24	Partial	None
gene-PRCAT00000252001	rna-XM_062952399.1	PF18596.7,PF18636.9	Complete	None
gene-PRCAT00000253001	rna-XM_062952410.1	PF00828.26,PF29471.1	Complete	None
gene-PRCAT00000254001	rna-XM_062952421.1	PF11326.14	Partial	None
gene-PRCAT00000255001	rna-XM_062952432.1	PF00025.28,PF00071.29,PF08477.20	Partial	None
gene-PRCAT00000256001	rna-XM_062952443.1	PF28230.1	Partial	None
gene-PRCAT00000257001	rna-XM_062952455.1		None	None
gene-PRCAT00000258001	rna-XM_062952466.1	PF11262.14,PF11732.14,PF16134.11	Complete	None
gene-PRCAT00000259001	rna-XM_062952477.1	PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33	Complete	None
gene-PRCAT00000260001	rna-XM_062952488.1	PF06202.21,PF14699.13,PF14701.13,PF14702.13	Complete	None
