gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005	PF18758.8,PF18803.7	NA	100
GML000006	PF05347.22,PF13233.13	NA	100
GML000007	PF05183.18,PF05183.18	NA	100
GML000008		NA	100
GML000009	PF02179.22,PF02179.22	GO:0051087	100
GML000010		NA	100
GML000011		NA	100
GML000012	PF00023.37,PF00023.37,PF00023.37,PF01753.25,PF01753.25,PF01753.25,PF12796.14,PF12796.14,PF12796.14	GO:0005515	100
GML000013		NA	100
GML000014	PF07859.20,PF07859.20,PF10340.16,PF10340.16,PF20434.6,PF20434.6	GO:0016787	8
GML000015	PF08719.18	NA	100
GML000016		NA	100
GML000017		NA	100
GML000018		NA	100
GML000019		NA	100
GML000020	PF05729.19,PF05729.19,PF24883.3,PF24883.3	NA	100
GML000021	PF03171.27,PF14226.13	NA	100
GML000022		NA	100
GML000023	PF00106.32,PF00106.32,PF00179.32,PF00179.32,PF00179.32,PF08659.17,PF13561.13,PF13561.13	NA	100
GML000024	PF00069.32,PF02149.26,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
GML000025	PF01593.31,PF13450.13	GO:0016491	8
GML000026	PF11779.14	NA	100
GML000027	PF08101.17	NA	100
GML000028	PF02602.21	GO:0004852,GO:0033014	8
GML000029		NA	100
GML000030	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000031		NA	100
GML000032	PF10334.17,PF10337.16,PF10337.16,PF13515.13	NA	100
GML000033	PF01937.25,PF01937.25,PF01937.25,PF01937.25,PF01937.25	NA	100
GML000034	PF03171.27,PF03171.27,PF14226.13,PF14226.13	NA	100
GML000035	PF05729.19,PF05729.19,PF24883.3,PF24883.3	NA	100
GML000036	PF20722.4	NA	100
GML000037	PF18759.8,PF18759.8	NA	100
GML000038	PF20149.5	NA	100
GML000039		NA	100
GML000040		NA	100
GML000041		NA	100
GML000042	PF13352.12,PF13650.12,PF13975.12	NA	100
GML000043		NA	100
GML000044		NA	100
GML000045		NA	100
GML000046	PF24626.2	NA	1
GML000047		NA	100
GML000048		NA	100
GML000049		NA	100
GML000050	PF18759.8	NA	100
GML000051	PF20722.4	NA	100
GML000052		NA	100
GML000053		NA	100
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057		NA	100
GML000058		NA	100
GML000059		NA	100
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063		NA	100
GML000064		NA	100
GML000065		NA	100
GML000066		NA	100
GML000067		NA	100
GML000068		NA	100
GML000069		NA	100
GML000070		NA	100
GML000071		NA	100
GML000072		NA	100
GML000073		NA	100
GML000074		NA	100
GML000075		NA	100
GML000076		NA	100
GML000077		NA	100
GML000078	PF24883.3,PF24883.3,PF24883.3,PF24883.3	NA	100
GML000079		NA	100
GML000080		NA	100
GML000081		NA	100
GML000082	PF03109.23	NA	100
GML000083		NA	100
GML000084		NA	100
GML000085	PF04191.19	NA	100
GML000086	PF01073.26,PF01370.28	GO:0006694,GO:0016616	8
GML000087	PF12937.13	GO:0005515	100
GML000088		NA	100
GML000089	PF00076.29,PF00076.29,PF00076.29,PF00076.29	GO:0003723	4
GML000090	PF04157.23	NA	100
GML000091	PF02338.26	NA	100
GML000092		NA	100
GML000093	PF00646.39	GO:0005515	100
GML000094	PF00646.39,PF12937.13	GO:0005515	100
GML000095	PF00646.39	GO:0005515	100
GML000096	PF00398.27,PF08241.19,PF13649.13	GO:0008757	8
GML000097	PF01722.24,PF01722.24	NA	100
GML000098	PF00646.39,PF00646.39	GO:0005515	100
GML000099		NA	100
GML000100	PF02992.21	NA	100
GML000101		NA	100
GML000102		NA	100
GML000103		NA	100
GML000104		NA	100
GML000105		NA	100
GML000106		NA	100
GML000107	PF00646.39,PF00646.39,PF12937.13	GO:0005515	100
GML000108		NA	100
GML000109		NA	100
GML000110	PF13812.13	NA	100
GML000111	PF00122.26,PF00689.27,PF00690.32,PF00702.33,PF13246.13	NA	100
GML000112	PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33	NA	100
GML000113	PF05486.18	NA	100
GML000114		NA	100
GML000115		NA	100
GML000116	PF07690.22	GO:0022857,GO:0055085	6
GML000117		NA	100
GML000118		NA	100
GML000119		NA	100
GML000120		NA	100
GML000121		NA	100
GML000122		NA	100
GML000123		NA	100
GML000124		NA	100
GML000125		NA	100
GML000126	PF02906.20,PF02906.20	NA	100
GML000127	PF00004.36,PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468,GO:0016887	3
GML000128		NA	100
GML000129	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000130		NA	100
GML000131	PF00326.28,PF01738.25,PF20434.6	GO:0006508,GO:0008236,GO:0016787	5
GML000132		NA	100
GML000133	PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000134	PF13805.12	NA	100
GML000135	PF00163.25,PF01479.31	GO:0003723,GO:0019843	4
GML000136	PF01157.25	GO:0003735,GO:0005840,GO:0006412	4
GML000137	PF06687.18,PF06687.18	GO:0005886	100
GML000138		NA	100
GML000139		NA	100
GML000140		NA	100
GML000141		NA	100
GML000142	PF00069.32,PF00069.32,PF06293.21,PF06293.21,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000143		NA	100
GML000144		NA	100
GML000145		NA	100
GML000146	PF13352.12,PF13650.12,PF13975.12	NA	100
GML000147		NA	100
GML000148		NA	100
GML000149	PF02992.21	NA	100
GML000150		NA	100
GML000151	PF00078.33,PF13352.12,PF17917.8,PF17919.8,PF17921.8	NA	1
GML000152		NA	100
GML000153		NA	100
GML000154		NA	100
GML000155	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000156		NA	100
GML000157	PF02149.26	NA	100
GML000158	PF02076.23	GO:0004932,GO:0007186,GO:0016020	3
GML000159	PF02076.23	GO:0004932,GO:0007186,GO:0016020	3
GML000160		NA	100
GML000161		NA	100
GML000162	PF02076.23	GO:0004932,GO:0007186,GO:0016020	3
GML000163	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
