protein_id	length
rna-XM_066931474.1	619
rna-XM_066931962.1	330
rna-XM_066932556.1	91
rna-XM_066930906.1	333
rna-XM_066930379.1	457
rna-XM_066932687.1	373
rna-XM_066931994.1	93
rna-XM_066932779.1	435
rna-XM_066930515.1	565
rna-XM_066931514.1	1520
rna-XM_066932914.1	389
rna-XM_066932970.1	423
rna-XM_066933012.1	152
rna-XM_066933054.1	276
rna-XM_066933099.1	172
rna-XM_066931534.1	1139
rna-XM_066932055.1	257
rna-XM_066933239.1	514
rna-XM_066932074.1	359
rna-XM_066930788.1	934
rna-XM_066933399.1	513
rna-XM_066933454.1	544
rna-XM_066931139.1	641
rna-XM_066933543.1	341
rna-XM_066935763.1	452
rna-XM_066933637.1	195
rna-XM_066933677.1	131
rna-XM_066933720.1	482
rna-XM_066933770.1	296
rna-XM_066933823.1	282
rna-XM_066931230.1	684
rna-XM_066931241.1	541
rna-XM_066933971.1	282
rna-XM_066935777.1	449
rna-XM_066934076.1	470
rna-XM_066934106.1	341
rna-XM_066934152.1	319
rna-XM_066934200.1	428
rna-XM_066934251.1	424
rna-XM_066931893.1	1383
rna-XM_066935582.1	254
rna-XM_066934399.1	434
rna-XM_066931341.1	636
rna-XM_066932232.1	297
rna-XM_066934535.1	768
rna-XM_066934579.1	115
rna-XM_066930534.1	257
rna-XM_066931382.1	568
rna-XM_066934730.1	449
rna-XM_066934782.1	192
rna-XM_066934833.1	84
rna-XM_066931427.1	594
rna-XM_066930629.1	320
rna-XM_066930652.1	177
rna-XM_066931685.1	639
rna-XM_066930692.1	1904
rna-XM_066931700.1	811
