protein_id	length
GML000001_mRNA1	144
GML000101_mRNA1	388
GML000201_mRNA1	102
GML000301_mRNA1	103
GML000401_mRNA1	101
GML000501_mRNA1	510
GML000601_mRNA1	70
GML000701_mRNA1	52
GML000801_mRNA1	49
GML000901_mRNA1	80
GML001001_mRNA1	260
GML001101_mRNA1	212
GML001201_mRNA1	150
GML001301_mRNA1	85
GML001401_mRNA1	1062
GML001501_mRNA1	777
GML001601_mRNA1	341
GML001701_mRNA1	64
GML001801_mRNA1	83
GML001901_mRNA1	670
GML002001_mRNA1	227
GML002101_mRNA1	266
GML002201_mRNA1	708
GML002301_mRNA1	184
GML002401_mRNA1	284
GML002501_mRNA1	57
GML002601_mRNA1	92
GML002701_mRNA1	131
GML002801_mRNA1	140
GML002901_mRNA1	460
GML003001_mRNA1	1814
GML003101_mRNA1	133
GML003201_mRNA1	1307
GML003301_mRNA1	351
GML003401_mRNA1	2229
GML003501_mRNA1	233
GML003601_mRNA1	527
GML003701_mRNA1	684
GML003801_mRNA1	446
GML003901_mRNA1	444
GML004001_mRNA1	315
GML004101_mRNA1	240
GML004201_mRNA1	1449
GML004301_mRNA1	168
GML004401_mRNA1	119
GML004501_mRNA1	90
GML004601_mRNA1	237
GML004701_mRNA1	199
GML004801_mRNA1	263
GML004901_mRNA1	79
GML005001_mRNA1	554
GML005101_mRNA1	308
GML005201_mRNA1	921
GML005301_mRNA1	326
GML005401_mRNA1	108
GML005501_mRNA1	148
GML005601_mRNA1	2021
GML005701_mRNA1	153
GML005801_mRNA1	495
GML005901_mRNA1	593
GML006001_mRNA1	1347
GML006101_mRNA1	473
GML006201_mRNA1	549
GML006301_mRNA1	575
GML006401_mRNA1	376
GML006501_mRNA1	521
GML006601_mRNA1	922
GML006701_mRNA1	415
GML006801_mRNA1	310
GML006901_mRNA1	143
GML007001_mRNA1	504
GML007101_mRNA1	115
GML007201_mRNA1	291
GML007301_mRNA1	128
GML007401_mRNA1	1599
GML007501_mRNA1	464
GML007601_mRNA1	284
GML007701_mRNA1	261
GML007801_mRNA1	203
GML007901_mRNA1	182
GML008001_mRNA1	394
GML008101_mRNA1	116
GML008201_mRNA1	384
GML008301_mRNA1	667
GML008401_mRNA1	180
GML008501_mRNA1	107
GML008601_mRNA1	160
GML008701_mRNA1	351
GML008802_mRNA1	217
GML008901_mRNA1	267
GML009001_mRNA1	1239
GML009101_mRNA1	473
GML009201_mRNA1	45
GML009301_mRNA1	78
GML009401_mRNA1	39
GML009501_mRNA1	1453
GML009601_mRNA1	216
GML009701_mRNA1	319
GML009801_mRNA1	216
GML009901_mRNA1	54
GML010001_mRNA1	911
GML010101_mRNA1	80
GML010201_mRNA1	745
GML010301_mRNA1	319
GML010401_mRNA1	91
GML010501_mRNA1	281
GML010601_mRNA1	398
GML010701_mRNA1	48
GML010801_mRNA1	243
GML010901_mRNA1	296
GML011001_mRNA1	897
GML011101_mRNA1	190
GML011201_mRNA1	149
GML011301_mRNA1	107
GML011401_mRNA1	640
GML011501_mRNA1	501
GML011601_mRNA1	42
GML011701_mRNA1	337
GML011801_mRNA1	267
GML011901_mRNA1	205
GML012001_mRNA1	238
GML012101_mRNA1	524
GML012201_mRNA1	267
GML012301_mRNA1	200
GML012401_mRNA1	181
GML012501_mRNA1	128
GML012601_mRNA1	720
GML012701_mRNA1	264
GML012801_mRNA1	207
GML012901_mRNA1	125
GML013001_mRNA1	343
GML013101_mRNA1	45
GML013201_mRNA1	994
GML013301_mRNA1	92
GML013401_mRNA1	557
GML013501_mRNA1	255
GML013601_mRNA1	229
GML013701_mRNA1	496
GML013801_mRNA1	1019
GML013901_mRNA1	108
GML014001_mRNA1	766
GML014101_mRNA1	300
GML014201_mRNA1	720
GML014301_mRNA1	561
GML014401_mRNA1	315
GML014501_mRNA1	214
GML014601_mRNA1	251
GML014701_mRNA1	613
GML014801_mRNA1	248
GML014901_mRNA1	138
GML015001_mRNA1	688
GML015101_mRNA1	689
GML015201_mRNA1	164
GML015301_mRNA1	362
GML015401_mRNA1	785
GML015501_mRNA1	51
GML015601_mRNA1	120
GML015701_mRNA1	395
GML015801_mRNA1	173
GML015901_mRNA1	104
GML016001_mRNA1	576
GML016101_mRNA1	939
GML016201_mRNA1	396
GML016301_mRNA1	351
GML016401_mRNA1	355
GML016501_mRNA1	1055
GML016601_mRNA1	350
GML016701_mRNA1	2154
GML016801_mRNA1	247
GML016901_mRNA1	752
GML017001_mRNA1	438
GML017101_mRNA1	390
GML017201_mRNA1	517
GML017301_mRNA1	344
GML017401_mRNA1	433
GML017501_mRNA1	164
GML017601_mRNA1	465
GML017701_mRNA1	191
GML017801_mRNA1	390
GML017901_mRNA1	515
GML018001_mRNA1	504
GML018101_mRNA1	396
GML018201_mRNA1	201
GML018301_mRNA1	146
GML018401_mRNA1	1044
GML018501_mRNA1	334
GML018601_mRNA1	137
GML018701_mRNA1	151
GML018801_mRNA1	364
GML018901_mRNA1	224
GML019001_mRNA1	274
GML019101_mRNA1	1954
GML019201_mRNA1	456
GML019301_mRNA1	336
GML019401_mRNA1	682
GML019501_mRNA1	1799
GML019601_mRNA1	140
GML019701_mRNA1	260
GML019801_mRNA1	835
GML019901_mRNA1	1316
GML020001_mRNA1	77
