protein_id	length
GML000001_mRNA1	620
GML000101_mRNA1	743
GML000201_mRNA1	388
GML000301_mRNA1	421
GML000401_mRNA1	347
GML000501_mRNA1	110
GML000601_mRNA1	422
GML000701_mRNA1	324
GML000801_mRNA1	1636
GML000901_mRNA1	629
GML001001_mRNA1	747
GML001101_mRNA1	228
GML001201_mRNA1	367
GML001301_mRNA1	1056
GML001401_mRNA1	282
GML001501_mRNA1	800
GML001601_mRNA1	564
GML001701_mRNA1	734
GML001801_mRNA1	162
GML001901_mRNA1	625
GML002001_mRNA1	529
GML002101_mRNA1	296
GML002201_mRNA1	405
GML002301_mRNA1	259
GML002401_mRNA1	647
GML002501_mRNA1	353
GML002601_mRNA1	570
GML002701_mRNA1	627
GML002801_mRNA1	229
GML002901_mRNA1	478
GML003001_mRNA1	350
GML003101_mRNA1	379
GML003201_mRNA1	578
GML003301_mRNA1	1557
GML003401_mRNA1	270
GML003501_mRNA1	359
GML003601_mRNA1	676
GML003701_mRNA1	123
GML003801_mRNA1	301
GML003901_mRNA1	321
GML004001_mRNA1	390
GML004101_mRNA1	362
GML004201_mRNA1	237
GML004301_mRNA1	382
GML004401_mRNA1	911
GML004501_mRNA1	378
GML004601_mRNA1	189
GML004701_mRNA1	100
GML004801_mRNA1	373
GML004901_mRNA1	626
GML005001_mRNA1	2102
GML005101_mRNA1	79
GML005201_mRNA1	522
GML005301_mRNA1	266
GML005401_mRNA1	552
GML005501_mRNA1	481
GML005601_mRNA1	435
GML005701_mRNA1	286
GML005801_mRNA1	183
GML005901_mRNA1	284
GML006001_mRNA1	371
GML006101_mRNA1	260
GML006201_mRNA1	333
GML006301_mRNA1	214
GML006401_mRNA1	772
GML006501_mRNA1	287
GML006601_mRNA1	894
GML006701_mRNA1	539
GML006801_mRNA1	754
GML006901_mRNA1	170
GML007001_mRNA1	107
GML007101_mRNA1	504
GML007201_mRNA1	174
GML007301_mRNA1	546
GML007401_mRNA1	527
GML007501_mRNA1	710
GML007601_mRNA1	211
GML007701_mRNA1	309
GML007801_mRNA1	1120
GML007901_mRNA1	1124
GML008001_mRNA1	296
GML008101_mRNA1	307
GML008201_mRNA1	749
GML008301_mRNA1	853
GML008401_mRNA1	778
GML008501_mRNA1	380
GML008601_mRNA1	359
GML008701_mRNA1	205
GML008801_mRNA1	345
GML008901_mRNA1	665
GML009001_mRNA1	385
GML009101_mRNA1	625
GML009201_mRNA1	120
GML009301_mRNA1	262
GML009401_mRNA1	538
GML009501_mRNA1	307
GML009601_mRNA1	260
GML009701_mRNA1	334
GML009801_mRNA1	401
GML009901_mRNA1	176
GML010001_mRNA1	177
GML010101_mRNA1	486
