gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF04960.21	GO:0004359,GO:0006541	8
GML000003	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000004	PF01968.25,PF05378.20,PF06032.19,PF20906.4	GO:0016787	8
GML000005	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
GML000006	PF01979.27,PF07969.18	GO:0016787	8
GML000007	PF01408.29,PF02894.23,PF22725.2	GO:0000166	100
GML000008	PF07510.17	NA	100
GML000009		NA	100
GML000010		NA	100
GML000011	PF13086.13,PF13086.13,PF13087.13,PF13087.13	GO:0004386	8
GML000012	PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF31073.1	NA	1
GML000013		NA	100
GML000014	PF02567.22	GO:0003824,GO:0009058	8
GML000015	PF00117.35	NA	100
GML000016	PF00246.30	GO:0004181,GO:0006508,GO:0008270	5
GML000017	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000018	PF13378.13	NA	100
GML000019	PF07690.22	GO:0022857,GO:0055085	6
GML000020	PF00097.32,PF13445.13	GO:0046872	100
GML000021		NA	100
GML000022		NA	100
GML000023	PF07470.20	NA	100
GML000024		NA	100
GML000025		NA	100
GML000026	PF11380.14,PF11380.14,PF17101.11,PF17101.11	GO:0016772	8
GML000027	PF01757.29,PF01757.29	GO:0016747	8
GML000028	PF01872.23	GO:0008703,GO:0009231	8
GML000029	PF00856.34	GO:0005515	100
GML000030	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000031	PF00385.31,PF00385.31	NA	100
GML000032	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000033	PF23155.2	NA	100
GML000034		NA	100
GML000035	PF00023.37,PF00023.37,PF00023.37,PF01529.26,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13637.13,PF13637.13	GO:0005515,GO:0016409	8
GML000036	PF09439.17	NA	100
GML000037	PF00291.32,PF00571.34	NA	100
GML000038	PF00474.24	GO:0016020,GO:0022857,GO:0055085	6
GML000039	PF00106.32,PF00106.32,PF08659.17,PF08659.17,PF13561.13,PF13561.13	NA	100
GML000040	PF00328.28	NA	100
GML000041	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF00646.39,PF12937.13,PF12937.13	GO:0005515	100
GML000042	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000043	PF00241.26,PF00241.26	GO:0003779	7
GML000044	PF00551.25,PF01842.32	GO:0009058	8
GML000045	PF00750.26,PF03485.22,PF05746.22	GO:0000166,GO:0004814,GO:0005524,GO:0005737,GO:0006420	8
GML000046	PF20238.5	NA	100
GML000047	PF01794.26,PF08022.19,PF08030.18	GO:0016491	8
GML000048	PF12906.14,PF23113.2,PF25417.2	GO:0008270	100
GML000049		NA	100
GML000050	PF00106.32,PF13561.13	NA	100
GML000051	PF03663.21,PF03663.21	NA	100
GML000052		NA	100
GML000053	PF05670.19	NA	100
GML000054		NA	100
GML000055	PF03894.21,PF09363.16,PF09364.16	GO:0005975,GO:0016832	8
GML000056	PF00199.25,PF01965.31,PF06628.18,PF18011.8	GO:0004096,GO:0020037	8
GML000057	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000058		NA	100
GML000059	PF00144.30	NA	100
GML000060	PF03443.21	NA	100
GML000061	PF01822.25	NA	100
GML000062	PF04108.18	NA	100
GML000063	PF04515.19,PF04515.19	GO:0022857,GO:0055085	6
GML000064	PF01687.24,PF26728.1	GO:0008531,GO:0009398	3
GML000065	PF24864.1	NA	100
GML000066	PF06179.18	GO:0003712,GO:0006357,GO:0016592	100
GML000067	PF01416.26,PF01416.26	GO:0001522,GO:0003723,GO:0009451,GO:0009982	4
GML000068	PF01163.29	GO:0003824,GO:0005524	8
GML000069	PF01933.24	GO:0043743	8
GML000070	PF13450.13	NA	100
GML000071	PF01095.26	GO:0030599,GO:0042545	8
GML000072		NA	100
GML000073	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000074	PF00248.28,PF00248.28	NA	100
GML000075	PF00246.30	GO:0004181,GO:0006508,GO:0008270	5
GML000076		NA	100
GML000077	PF00561.27,PF08386.17	NA	100
GML000078	PF14342.12,PF14342.12	NA	100
GML000079	PF00248.28	NA	100
GML000080		NA	100
GML000081	PF20248.4	NA	100
GML000082		NA	100
GML000083		NA	100
GML000084		NA	100
GML000085		NA	100
GML000086	PF00561.27,PF06441.19	NA	100
