protein_id	length
GML000001_mRNA1	456
GML000101_mRNA1	173
GML000201_mRNA1	727
GML000301_mRNA1	90
GML000401_mRNA1	231
GML000501_mRNA1	128
GML000601_mRNA1	418
GML000701_mRNA1	387
GML000801_mRNA1	77
GML000901_mRNA1	2057
GML001001_mRNA1	566
GML001101_mRNA1	598
GML001201_mRNA1	86
GML001301_mRNA1	373
GML001401_mRNA1	466
GML001501_mRNA1	173
GML001601_mRNA1	424
GML001701_mRNA1	109
GML001801_mRNA1	238
GML001901_mRNA1	567
GML002001_mRNA1	285
GML002101_mRNA1	932
GML002201_mRNA1	256
GML002301_mRNA1	631
GML002401_mRNA1	423
GML002501_mRNA1	137
GML002601_mRNA1	329
GML002701_mRNA1	639
GML002801_mRNA1	392
GML002901_mRNA1	380
GML003001_mRNA1	699
GML003101_mRNA1	315
GML003201_mRNA1	598
GML003301_mRNA1	379
GML003401_mRNA1	313
GML003501_mRNA1	345
GML003601_mRNA1	1048
GML003701_mRNA1	372
GML003801_mRNA1	759
GML003901_mRNA1	1095
GML004001_mRNA1	635
GML004101_mRNA1	346
GML004201_mRNA1	304
GML004301_mRNA1	254
GML004401_mRNA1	702
GML004501_mRNA1	81
GML004601_mRNA1	258
GML004701_mRNA1	515
GML004801_mRNA1	344
GML004901_mRNA1	288
GML005001_mRNA1	512
GML005101_mRNA1	332
GML005201_mRNA1	189
GML005301_mRNA1	584
GML005401_mRNA1	507
GML005501_mRNA1	1006
GML005601_mRNA1	325
GML005701_mRNA1	827
GML005801_mRNA1	1432
GML005901_mRNA1	298
GML006001_mRNA1	286
GML006101_mRNA1	210
GML006201_mRNA1	601
GML006301_mRNA1	430
GML006401_mRNA1	97
GML006501_mRNA1	128
GML006601_mRNA1	734
GML006701_mRNA1	317
GML006801_mRNA1	261
GML006901_mRNA1	647
GML007001_mRNA1	381
GML007101_mRNA1	379
GML007201_mRNA1	349
GML007301_mRNA1	1030
GML007401_mRNA1	840
GML007501_mRNA1	518
GML007601_mRNA1	550
GML007701_mRNA1	504
GML007801_mRNA1	189
GML007901_mRNA1	1046
GML008001_mRNA1	92
GML008101_mRNA1	493
GML008201_mRNA1	403
GML008301_mRNA1	487
GML008401_mRNA1	207
GML008501_mRNA1	148
GML008601_mRNA1	802
GML008701_mRNA1	583
GML008801_mRNA1	316
GML008901_mRNA1	667
GML009001_mRNA1	490
GML009101_mRNA1	355
GML009201_mRNA1	676
GML009301_mRNA1	469
GML009401_mRNA1	91
GML009501_mRNA1	534
GML009601_mRNA1	506
GML009701_mRNA1	833
GML009801_mRNA1	1294
GML009901_mRNA1	2506
GML010001_mRNA1	401
GML010101_mRNA1	117
GML010201_mRNA1	205
GML010301_mRNA1	473
GML010400_mRNA1	1107
GML010501_mRNA1	56
GML010601_mRNA1	153
GML010701_mRNA1	174
GML010801_mRNA1	435
GML010901_mRNA1	357
