gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-OBBRIDRAFT_765094	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765094	PF00995.29	Partial	None
gene-OBBRIDRAFT_815730	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA815730	PF01027.27	Partial	None
gene-OBBRIDRAFT_718382	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718382	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08513.18	Complete	None
gene-OBBRIDRAFT_717948	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA717948	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-OBBRIDRAFT_840497	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA840497	PF00491.27	Partial	None
gene-OBBRIDRAFT_684	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA684	PF06687.18	Partial	None
gene-OBBRIDRAFT_718357	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718357	PF00583.32,PF13302.14	Partial	None
gene-OBBRIDRAFT_743022	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743022	PF00009.34,PF00679.31,PF03144.32,PF03764.25,PF14492.13,PF22042.3	Complete	None
gene-OBBRIDRAFT_621	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA621	PF01569.28	Partial	None
gene-OBBRIDRAFT_829854	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829854	PF26146.1	Partial	None
gene-OBBRIDRAFT_718201	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718201		None	None
gene-OBBRIDRAFT_743031	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743031	PF03998.20	Partial	None
gene-OBBRIDRAFT_765124	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765124	PF00070.34,PF01494.26,PF13450.13	Partial	None
gene-OBBRIDRAFT_692909	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA692909		None	None
gene-OBBRIDRAFT_718032	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718032	PF03901.24	Partial	None
gene-OBBRIDRAFT_984	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA984		None	None
gene-OBBRIDRAFT_718231	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718231	PF20151.5	Partial	None
gene-OBBRIDRAFT_829860	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829860	PF01494.26,PF13450.13	Partial	None
gene-OBBRIDRAFT_815742	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA815742	PF02969.24,PF15511.13	Partial	None
gene-OBBRIDRAFT_882925	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA882925	PF00085.27,PF13098.14	Partial	None
gene-OBBRIDRAFT_718237	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718237	PF23664.2,PF23664.2,PF24097.2,PF24312.2,PF24312.2,PF24519.2,PF24527.2	Complete	None
gene-OBBRIDRAFT_786984	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA786984	PF00719.25	Partial	None
gene-OBBRIDRAFT_718350	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718350	PF04130.19,PF17681.7	Partial	None
gene-OBBRIDRAFT_1582	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA1582	PF00566.26,PF23436.2	Complete	None
gene-OBBRIDRAFT_718243	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718243		None	None
gene-OBBRIDRAFT_765153	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765153	PF05997.18	Partial	None
gene-OBBRIDRAFT_829868	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829868	PF00576.28	Partial	None
gene-OBBRIDRAFT_786990	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA786990		None	None
gene-OBBRIDRAFT_808970	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA808970	PF01124.24	Partial	None
gene-OBBRIDRAFT_1343	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA1343		None	None
gene-OBBRIDRAFT_822105	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA822105		None	None
gene-OBBRIDRAFT_882934	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA882934	PF00400.39,PF00400.39,PF00400.39,PF12265.15	Complete	None
gene-OBBRIDRAFT_786997	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA786997	PF02252.24	Partial	None
gene-OBBRIDRAFT_765167	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765167	PF12157.14	Partial	None
gene-OBBRIDRAFT_840653	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA840653	PF01425.27	Partial	None
gene-OBBRIDRAFT_815755	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA815755	PF00108.30,PF02803.25	Complete	None
gene-OBBRIDRAFT_787003	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787003	PF01783.30	Partial	None
gene-OBBRIDRAFT_743088	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743088	PF04716.20	Partial	None
gene-OBBRIDRAFT_t6	gene-OBBRIDRAFT_t6		None	None
gene-OBBRIDRAFT_787004	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787004	PF01423.29	Partial	None
gene-OBBRIDRAFT_3509	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA3509	PF00628.36,PF30811.1	Complete	None
gene-OBBRIDRAFT_787008	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787008	PF04774.21	Partial	None
gene-OBBRIDRAFT_743099	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743099	PF00300.28	Partial	None
gene-OBBRIDRAFT_787011	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787011	PF01875.24	Partial	None
gene-OBBRIDRAFT_787012	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787012	PF01655.24	Partial	None
gene-OBBRIDRAFT_718308	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718308	PF00069.32,PF07714.24	Partial	None
gene-OBBRIDRAFT_787015	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787015	PF00009.34,PF03143.24,PF03144.32,PF22594.3	Complete	None
gene-OBBRIDRAFT_808985	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA808985	PF01738.25	Partial	None
gene-OBBRIDRAFT_787017	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787017	PF00583.32	Partial	None
gene-OBBRIDRAFT_815766	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA815766	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-OBBRIDRAFT_4193	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA4193	PF10483.16	Partial	None
gene-OBBRIDRAFT_829891	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829891		None	None
gene-OBBRIDRAFT_4097	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA4097		None	None
gene-OBBRIDRAFT_808989	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA808989	PF00152.26,PF01336.32	Partial	None
gene-OBBRIDRAFT_4161	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA4161	PF00155.28	Partial	None
gene-OBBRIDRAFT_787023	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787023	PF00622.37	Partial	None
gene-OBBRIDRAFT_718122	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718122	PF00571.34,PF00571.34,PF00571.34	Complete	None
gene-OBBRIDRAFT_787024	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787024	PF00787.30	Partial	None
gene-OBBRIDRAFT_787025	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787025	PF00153.33,PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-OBBRIDRAFT_4917	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA4917	PF00621.26	Complete	None
gene-OBBRIDRAFT_743143	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743143	PF00324.28,PF13520.13	Partial	None
gene-OBBRIDRAFT_765235	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765235		None	None
gene-OBBRIDRAFT_808997	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA808997	PF00734.24	Complete	None
gene-OBBRIDRAFT_799740	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA799740		None	None
gene-OBBRIDRAFT_765239	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765239	PF00266.26	Partial	None
gene-OBBRIDRAFT_743150	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743150		None	None
gene-OBBRIDRAFT_5814	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA5814	PF05832.18	Partial	None
gene-OBBRIDRAFT_718531	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA718531	PF00782.26	Partial	None
gene-OBBRIDRAFT_829905	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829905	PF00175.27,PF00970.31,PF08030.18	Complete	None
gene-OBBRIDRAFT_829906	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829906		None	None
gene-OBBRIDRAFT_829907	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA829907	PF13409.13,PF13417.13	Partial	None
gene-OBBRIDRAFT_5259	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA5259		None	None
gene-OBBRIDRAFT_787039	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA787039	PF00188.33	Complete	None
gene-OBBRIDRAFT_743164	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA743164		None	None
gene-OBBRIDRAFT_765253	rna-gnl|WGS:MAXV|OBBRIDRAFT_mRNA765253	PF09430.17	Partial	None
