gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF08616.16,PF09794.15	NA	100
GML000003	PF00646.39	GO:0005515	100
GML000004	PF02463.26,PF06470.19	GO:0005515,GO:0005524,GO:0005694,GO:0051276	100
GML000005	PF00097.32,PF13639.13	GO:0046872	100
GML000006	PF00149.34,PF04152.20	GO:0004519,GO:0005634,GO:0006302,GO:0016787,GO:0030145	3
GML000007		NA	100
GML000008		NA	100
GML000009	PF14953.12	NA	100
GML000010	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
GML000011		NA	100
GML000012		NA	100
GML000013	PF06985.18	NA	100
GML000014		NA	100
GML000015		NA	100
GML000016	PF01738.25	GO:0016787	8
GML000017	PF00899.28,PF10585.15,PF14732.12	NA	100
GML000018	PF00578.28	GO:0016209,GO:0016491	8
GML000019		NA	100
GML000020		NA	100
GML000021	PF00892.27,PF00892.27	GO:0016020	100
GML000022	PF00023.37,PF00293.35,PF09296.18,PF09297.17,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515,GO:0016787,GO:0046872	8
GML000023	PF00085.27,PF00085.27	NA	100
GML000024	PF00581.26,PF00899.28	NA	100
GML000025	PF01619.25	NA	100
GML000026	PF00225.30,PF00225.30,PF16796.12,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000027		NA	100
GML000028	PF13450.13	NA	100
GML000029	PF00892.27,PF00892.27	GO:0016020	100
GML000030	PF00892.27,PF00892.27	GO:0016020	100
GML000031	PF00892.27,PF00892.27	GO:0016020	100
GML000032		NA	100
GML000033	PF03839.22	GO:0005789,GO:0015031	6
GML000034	PF00169.36,PF00620.33,PF00787.30	GO:0007165,GO:0035091	3
GML000035	PF03081.23,PF20669.4	GO:0000145,GO:0005546,GO:0006887	6
GML000036	PF08315.18	NA	100
GML000037	PF01529.26	GO:0016409	8
GML000038	PF26146.1	NA	100
GML000039	PF01263.27,PF01263.27	GO:0005975,GO:0016853	8
GML000040	PF02077.21	GO:0016020	100
GML000041	PF17800.8,PF17800.8	NA	100
GML000042		NA	100
GML000043		NA	100
GML000044		NA	100
GML000045		NA	100
GML000046		NA	100
GML000047	PF04774.21	NA	100
GML000048	PF00102.33,PF00782.26	GO:0004725,GO:0006470,GO:0016311	8
GML000049		NA	100
GML000050	PF00069.32,PF00536.38,PF00788.30,PF07647.25,PF07714.24,PF14531.13,PF14847.13	GO:0004672,GO:0005515,GO:0005524,GO:0006468,GO:0007165	3
GML000051	PF06985.18	NA	100
GML000052	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000053	PF13202.13,PF13499.13,PF30624.1	GO:0005509	100
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057	PF01131.26,PF23546.2	GO:0003677,GO:0003916,GO:0006265	4
GML000058	PF01131.26,PF01751.29	GO:0003677,GO:0003916,GO:0006265	4
GML000059	PF00063.28,PF01644.24,PF03142.22,PF13632.13,PF13641.13	GO:0003774,GO:0005524,GO:0016459	100
GML000060	PF00063.28	GO:0003774,GO:0005524,GO:0016459	100
GML000061		NA	100
GML000062		NA	100
GML000063	PF06985.18	NA	100
GML000064	PF00892.27,PF00892.27	GO:0016020	100
GML000065		NA	100
GML000066	PF19036.7	GO:0016192	6
GML000067	PF00150.25,PF18564.8	GO:0000272,GO:0004553	8
GML000068		NA	100
GML000069	PF07719.24,PF14559.13,PF29151.1,PF29386.1	NA	100
GML000070	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20,PF09439.17	GO:0003924,GO:0005525	8
GML000071	PF00646.39,PF12937.13	GO:0005515	100
GML000072		NA	100
GML000073	PF00571.34,PF00571.34	NA	100
GML000074		NA	100
GML000075	PF00335.27	GO:0016020	100
GML000076		NA	100
GML000077	PF02148.26	GO:0008270	100
GML000078		NA	100
GML000079	PF21203.3	NA	100
GML000080	PF07798.17	NA	100
