protein_id	length
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA781796	298
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA782283	1650
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA848077	682
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA783024	64
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA667009	82
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA765848	265
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA784193	251
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA734058	209
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA784938	422
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA864949	233
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA266387	647
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA786172	314
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA746582	472
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA896727	496
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA849030	523
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA766796	288
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA672368	296
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA385962	354
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA849329	320
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA903986	535
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA735049	524
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA906833	365
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA790049	289
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA790409	116
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA790788	668
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA791093	510
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA767842	294
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA912225	536
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA792234	199
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA850235	617
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA793055	304
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA850385	334
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA793799	381
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA657180	307
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA850623	469
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA794932	263
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA795356	329
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA674354	731
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA796304	231
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA796588	172
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA797014	139
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA139025	243
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA142828	468
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA150023	229
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA885106	1258
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA754290	492
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA769754	2076
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA799508	386
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA886192	510
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA176780	400
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA800676	582
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA675903	171
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA852068	344
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA675953	333
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA737709	717
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA802469	951
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA802814	281
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA852463	227
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA803590	477
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA227118	575
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA868441	235
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA235470	352
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA239419	484
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA771389	264
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA247604	1109
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA251403	118
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA806849	54
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA258467	1236
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA261147	362
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA738858	205
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA279174	175
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA668086	241
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA286150	181
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA288865	636
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA291958	237
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA810131	303
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA739398	493
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA666507	173
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA772846	456
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA811792	144
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA311219	85
rna-gnl|WGS:JAHLKD|BJ742DRAFT_mRNA812631	396
