gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-SAPINGB_P000001	rna-XM_031994726.1	PF02137.25	Partial	None
gene-SAPINGB_P000002	rna-XM_031994727.1		None	None
gene-SAPINGB_P000003	rna-XM_031994728.1	PF00380.26	Partial	None
gene-SAPINGB_P000004	rna-XM_031994729.1	PF09797.16,PF31234.1	Partial	None
gene-SAPINGB_P000005	rna-XM_031994730.1	PF00096.33,PF12756.14	Complete	None
gene-SAPINGB_P000006	rna-XM_031994731.1	PF04950.19,PF08142.19,PF22298.3	Complete	None
gene-SAPINGB_P000007	rna-XM_031994732.1	PF01207.24	Partial	None
gene-SAPINGB_P000008	rna-XM_031994733.1	PF02466.25	Partial	None
gene-SAPINGB_P000009	rna-XM_031994734.1	PF00289.29,PF00364.29,PF01039.28,PF02785.26,PF02786.23,PF08326.18,PF21385.3	Complete	None
gene-SAPINGB_P000010	rna-XM_031994735.1	PF24990.1,PF24990.1	Complete	None
gene-SAPINGB_P000011	rna-XM_031994736.1	PF06325.20,PF08003.18,PF08241.19,PF13649.13,PF13847.13,PF22528.2	Partial	None
gene-SAPINGB_P000012	rna-XM_031994737.1	PF00324.28,PF03522.21	Complete	None
gene-SAPINGB_P000013	rna-XM_031994738.1	PF00328.28	Partial	None
gene-SAPINGB_P000014	rna-XM_031994739.1	PF03291.23,PF08241.19,PF08242.19,PF13649.13,PF13847.13	Complete	None
gene-SAPINGB_P000015	rna-XM_031994740.1	PF12923.13,PF17799.8	Partial	None
gene-SAPINGB_P000016	rna-XM_031994741.1	PF00206.26,PF10415.15	Complete	None
gene-SAPINGB_P000017	rna-XM_031994742.1	PF00128.32,PF02806.25,PF02922.25	Complete	None
gene-SAPINGB_P000018	rna-XM_031994743.1	PF00573.28,PF14374.12	Complete	None
gene-SAPINGB_P000019	rna-XM_031994744.1	PF00026.29	Partial	None
gene-SAPINGB_P000020	rna-XM_031994745.1	PF06201.20	Partial	None
gene-SAPINGB_P000021	rna-XM_031994746.1	PF00490.28	Partial	None
gene-SAPINGB_P000022	rna-XM_031994747.1	PF03357.27	Partial	None
gene-SAPINGB_P000023	rna-XM_031994748.1	PF00004.36,PF00004.36,PF05496.19,PF06068.20,PF07728.21,PF17862.8,PF17862.8	Complete	None
gene-SAPINGB_P000024	rna-XM_031994749.1	PF16575.12	Partial	None
gene-SAPINGB_P000025	rna-XM_031994750.1		None	None
gene-SAPINGB_P000026	rna-XM_031994751.1	PF05670.19	Partial	None
gene-SAPINGB_P000027	rna-XM_031994752.1	PF00226.37,PF23302.2	Complete	None
gene-SAPINGB_P000028	rna-XM_031994753.1	PF00155.28,PF00266.26	Partial	None
gene-SAPINGB_P000029	rna-XM_031994754.1	PF00155.28,PF00464.26	Partial	None
gene-SAPINGB_P000030	rna-XM_031994755.1	PF09794.15	Complete	None
gene-SAPINGB_P000031	rna-XM_031994756.1	PF04117.18	Complete	None
gene-SAPINGB_P000032	rna-XM_031994757.1	PF02969.24,PF15511.13	Partial	None
gene-SAPINGB_P000033	rna-XM_031994758.1	PF00125.31	Partial	None
gene-SAPINGB_P000034	rna-XM_031994759.1	PF01656.30,PF09140.18,PF10609.16	Partial	None
gene-SAPINGB_P000035	rna-XM_031994760.1		None	None
gene-SAPINGB_P000036	rna-XM_031994761.1	PF03690.19	Partial	None
gene-SAPINGB_P000037	rna-XM_031994762.1	PF07978.20,PF07978.20,PF08449.18	Complete	None
gene-SAPINGB_P000038	rna-XM_031994763.1	PF04193.20	Complete	None
gene-SAPINGB_P000039	rna-XM_031994764.1	PF00069.32,PF00433.30,PF07714.24,PF07714.24	Complete	None
gene-SAPINGB_P000040	rna-XM_031994765.1	PF00300.28	Partial	None
gene-SAPINGB_P000041	rna-XM_031994766.1	PF06419.18,PF20653.4	Partial	None
gene-SAPINGB_P000042	rna-XM_031994767.1	PF03587.20	Partial	None
gene-SAPINGB_P000043	rna-XM_031994768.1	PF08618.16	Partial	None
gene-SAPINGB_P000044	rna-XM_031994769.1		None	None
gene-SAPINGB_P000045	rna-XM_031994770.1	PF08743.16,PF15412.12	Complete	None
gene-SAPINGB_P000046	rna-XM_031994771.1	PF00814.32	Partial	None
gene-SAPINGB_P000047	rna-XM_031994772.1	PF00171.28	Partial	None
gene-SAPINGB_P000048	rna-XM_031994773.1	PF00043.31,PF02798.27,PF13409.13,PF13417.13	Complete	None
gene-SAPINGB_P000049	rna-XM_031994774.1	PF00583.32	Partial	None
gene-SAPINGB_P000050	rna-XM_031994775.1	PF00579.32	Partial	None
gene-SAPINGB_P000051	rna-XM_031994776.1	PF03062.25	Partial	None
gene-SAPINGB_P000052	rna-XM_031994777.1	PF03388.22	Partial	None
gene-SAPINGB_P000053	rna-XM_031994778.1	PF08574.16	Complete	None
gene-SAPINGB_P000054	rna-XM_031994779.1		None	None
gene-SAPINGB_P000055	rna-XM_031994780.1	PF00018.35,PF03114.24,PF07653.24,PF14604.13	Complete	None
gene-SAPINGB_P000056	rna-XM_031994781.1		None	None
gene-SAPINGB_P000057	rna-XM_031994782.1		None	None
gene-SAPINGB_P000058	rna-XM_031994783.1	PF00076.29,PF26763.1	Complete	None
gene-SAPINGB_P000059	rna-XM_031994784.1	PF06687.18	Partial	None
gene-SAPINGB_P000060	rna-XM_031994785.1	PF00984.25,PF03720.23,PF03721.22	Complete	None
gene-SAPINGB_P000061	rna-XM_031994786.1	PF00137.27,PF00137.27	Partial	None
